restaurant;address;neighborhood
Pio Pio;1746 First Ave btwn 90th and 91st Sts;Upper East Side
Pio Pio Salon;702 Amsterdam at 94th St;Upper West Side
Piola;48 E 12th St btwn Broadway and...;East Village
Pizza Gruppo;186 Ave B btwn 11th and 12th Sts;East Village
Pizzeria de Santo (CLOSED);173 Ludlow St btwn Houston and Stanton...;Lower East Side
Planethailand 212;;Chelsea
Po;31 Cornelia St btwn Bleecker and W 4th...;Greenwich Village
Pomaire;371 W 46th St btwn 8th and 9th Aves;Midtown West
Pop Burger;14 E 58th St btwn Madison and 5th Aves;Midtown East
Porchetta;110 E 7th St btwn 1st Ave and Ave A;East Village
Porter House New York;10 Columbus Circle at 59th St;Midtown West
Pre:Post;547 W 27th St btwn 10th and 11th Aves;Chelsea
Prem-on Thai;;Greenwich Village
Primo Atto;;Park Slope
Prune;;East Village
Public House;140 E 41st St btwn Lexington and Third...;Midtown East
Pukk;71 First Ave btwn 4th and 5th Sts;East Village
Purnima;75 Ninth Ave btwn 15th and 16th Sts;Chelsea
Puttanesca;859 Ninth Ave at 56th St;Midtown West
Pylos;128 E 7th St btwn Ave A and 1st Ave;East Village
Pyramida;401 E 78th St at First Ave;Upper East Side
Quality Meats;57 W 58th St btwn 5th and 6th Aves;Midtown West
Quatorze Bis;;Upper East Side
Queen of Sheba;;Midtown West
Quintessence (CLOSED);;East Village
R.U.B.;208 W 23rd St btwn Seventh and Eighth...;Chelsea
Rack and Soul;2818 Broadway at 109th St;Upper West Side
Radio Perfecto;190 Ave B btwn 11th and 12th Sts;East Village
Rai Rai Ken;214 E 10th St btwn First and Second Aves;East Village
Rainbow Room;;Midtown West
Rainbow Room (CLOSED);30 Rockefeller Plaza;Midtown West
Rainbow Room Grill;30 Rockefeller Plaza;Midtown West
Rainbow Room Grill (CLOSED);;Midtown West
Ramen Setagaya;141 First Ave btwn 9th St and St Marks...;East Village
Raoul's;180 Prince St btwn Sullivan and...;SoHo
Rare Bar and Grill;;Greenwich Village
Ravagh Persian Grill;;Upper East Side
Rayuela;;Lower East Side
Re Sette;;Midtown West
Rectangles;;Upper East Side
Red Bamboo;140 W 4th St btwn MacDougal St and...;Greenwich Village
Redeye Grill;;Midtown West
Regional;2607 Broadway btwn 98th and 99th Sts;Upper West Side
Remi;;Midtown West
Restaurant Ichimura;1026 Second Ave btwn 54th and 55th Sts;Midtown East
Restaurant Seo;;Midtown East
Resto Leon;351 E 12th St btwn First and Second Aves;East Village
Retsina;;Midtown East
Rhong Tiam;541 LaGuardia Pl btwn W 3rd and...;Greenwich Village
Riingo;;Midtown East
Risotteria;270 Bleecker St at Morton St;Greenwich Village
Ritz Asia;;Greenwich Village
Robert's Steakhouse;;Midtown West
Roberto Passon;741 9th Ave at 50th St;Midtown West
Rocco's;;Greenwich Village
Rock Center Cafe;;Midtown West
Rocking Horse Cafe;;Chelsea
Roots and Vines;;Lower East Side
Rosa Mexicano First Avenue;1063 1st Ave at 58h St;Midtown East
Rosa Mexicano Lincoln Center;61 Columbus Ave at 62nd St;Upper West Side
Rose Club;;Midtown West
Rose Water;787 Union St at 6th Ave;Park Slope
Rothmann's Steakhouse and Grill;;Midtown East
Rouge Tomate;10 E 60th St btwn Madison and 5th Aves;Midtown East
Ruby Foo's;1626 Broadway at 49th St;Midtown West
Ruby Foo's (CLOSED);2182 Broadway at 77th St;Upper West Side
Rue 57;60 W 57th St at Sixth Ave;Midtown West
Russian Samovar;256 W 52nd St btwn Broadway and Eighth...;Midtown West
Rusty Knot;425 West St at 11th St;Greenwich Village
S'Mac;345 E 12th St btwn First and Second Aves;East Village
Sachiko's on Clinton;25 Clinton St btwn Houston and Stanton...;Lower East Side
Sacred Chow;;Greenwich Village
Safran;88 Seventh Ave btwn 15th and 16th Sts;Chelsea
Sahara East;184 First Ave btwn 11th and 12th Sts;East Village
Saigon 48;;Midtown West
Saigon Grill;620 Amsterdam Ave at 90th St;Upper West Side
Saigon Grill;620 Amsterdam Ave at 90th St;Greenwich Village
Saju;120 W 44th St btwn Sixth Ave and...;Midtown West
Sakae Sushi;135 W 3rd St btwn Sixth Ave and...;Greenwich Village
Sakae Sushi (CLOSED);405 Lexington Ave btwn 42nd and 43rd Sts;Midtown East
Sakagura;211 E 43rd St btwn 2nd and 3rd Aves;Midtown East
Sake Hana;466 Amsterdam Ave btwn 82nd and 83rd Sts;Upper West Side
Sakura Cafe;388 Fifth Ave btwn 6th and 7th Sts;Park Slope
Sala;;East Village
Salmon River;3 E 40th St btwn Fifth and Madison Aves;Midtown East
Salsa y Salsa;206 Seventh Ave btwn 21st and 22nd Sts;Chelsea
Salt;58 MacDougal St btwn Houston and Prince...;SoHo
Salt Bar;29A Clinton St btwn Houston and Stanton...;Lower East Side
Salumeria Rosi;;Upper West Side
Sammy's Roumanian Steakhouse;157 Chrystie St;Lower East Side
San Marzano;;Lower East Side
San Pietro;18 E 54th St btwn Fifth and Madison Aves;Midtown East
Sanctuary Tea;;SoHo
Sandro's;;Upper East Side
Sangria 46;;Midtown West
Sant Ambroeus;259 W 4th St at Perry St;Greenwich Village
Sant Ambroeus;259 W 4th St at Perry St;Upper East Side
Sapa;;Chelsea
Sapa (CLOSED);;Chelsea
Sapphire;;Upper West Side
Sarabeth's;423 Amsterdam Ave btwn 80th and 81st Sts;Upper West Side
Sarabeth's;423 Amsterdam Ave btwn 80th and 81st Sts;Upper East Side
Sarabeth's Central Park South;40 Central Park So btwn Fifth and Sixth...;Midtown West
Sardi's;;Midtown West
Sarge's Deli;;Midtown East
Sasabune;;Upper East Side
Satsko;;Lower East Side
Saucy;1409 York Ave;Upper East Side
Savann;;Upper West Side
Savore;;SoHo
Savoy;70 Prince St btwn Broadway and Crosby St;SoHo
Scalinatella;201 E 61st St btwn Second and Third Aves;Upper East Side
Scarlatto;;Midtown West
Schiller's Liquor Bar;131 Rivington St at Norfolk St;Lower East Side
Schnipper's Quality Kitchen;;Midtown West
Seasonal;132 W 58th St btwn 6th & 7th Aves;Midtown West
Sel et Poivre;853 Lexington Ave btwn 64th and 65th Sts;Upper East Side
Seoul Station;81 St Marks Pl btwn 1st and 2nd Aves;East Village
Seppi's;;Midtown West
Serafina Broadway;;Midtown West
Serafina Fabulous Grill;29 E 61st St btwn Park and Madison Aves;Upper East Side
Serafina Fabulous Pizza;1022 Madison Ave at 79th St;Upper East Side
Serafina Lafayette;;East Village
Serendipity 3;225 E 60th St btwn Second and Third Aves;Upper East Side
Setacci;420 Hudson St at Leroy St;Greenwich Village
Sette Enoteca e Cucina;207 7th Ave at 3rd St;Park Slope
Sette Mezzo;969 Lexington Ave btwn 70th and 71st Sts;Upper East Side
Seven;350 Seventh Ave btwn 29th and 30th Sts;Chelsea
Sevilla;62 Charles St at W 4th St;Greenwich Village
Sfoglia;1402 Lexington Ave at 92nd St;Upper East Side
Shabu-Shabu 70;;Upper East Side
Shaburi;125 E 39th St btwn Park and Lexington...;Midtown East
Shaffer City Oyster Bar and Grill;5 W 21st St btwn Fifth and Sixth Aves;Chelsea
Shake Shack;;Upper West Side
Shalizar;1420 Third Ave btwn 80th and 81st Sts;Upper East Side
Shang;187 Orchard St btwn Stanton and Houston...;Lower East Side
Shanghai Mong;;Midtown West
Shanghai Pavilion;1378 Third Ave btwn 78th and 79th Sts;Upper East Side
Sheep Station;149 4th Ave at Douglass St;Park Slope
Shelly's New York;;Midtown West
Shimizu;;Midtown West
Shopsin's;;Lower East Side
Shorty's;576 Ninth Ave at 41st St;Midtown West
Shorty's.32;;SoHo
Shula's;;Midtown West
Shun Lee Cafe;43 W 65th St btwn Central Park West and...;Upper West Side
Shun Lee Palace;;Midtown East
Shun Lee West;43 W 65th St btwn Central Park West and...;Upper West Side
Sidecar;560 Fifth Ave btwn 15th and 16th Sts;Park Slope
Sidecar at P.J. Clarke's;;Midtown East
Sigiri;91 First Ave btwn 5th and 6th Sts;East Village
Silverleaf Tavern;70 Park Ave at 38th St;Midtown East
Simon Sips;;East Village
Singas Famous Pizza;;East Village
Sip Sak;928 Second Ave btwn 49th and 50th Sts;Midtown East
Sistina;1555 Second Ave btwn 80th and 81st Sts;Upper East Side
Slice;1413 Second Ave btwn 73rd and 74th Sts;Upper East Side
Slurp;84 Stanton St at Orchard St;Lower East Side
Smith and Wollensky;797 Third Ave at 49th St;Midtown East
Smith's;79 MacDougal St btwn Bleecker and W...;Greenwich Village
Smokin' Q;;Upper East Side
Smokin' Q (CLOSED);;Upper East Side
Smorgas Chef;;Midtown East
Smorgas Chef;;Greenwich Village
Snack;;SoHo
Snack Taverna;;Greenwich Village
Soba Totto;;Midtown East
SobaKoh;;East Village
Sobaya;229 E 9th St btwn Second and Third Aves;East Village
Socarrat Paella Bar;259 W 19th St btwn Seventh and Eighth...;Chelsea
Socialista (CLOSED);505 West St at Jane St;Greenwich Village
Sofrito;400 E 57th St btwn First Ave and Sutton...;Midtown East
Solera;;Midtown East
Solex;103 First Ave btwn 6th and 7th Sts;East Village
Solo;550 Madison Ave btwn 55th and 56th Sts;Midtown East
Song 7.2;;East Village
Sonia Rose;;Lower East Side
Sookk;;Upper West Side
Sorella;;Lower East Side
Sosa Borella;;Midtown West
Soto;;Greenwich Village
Sotto Voce;;Park Slope
Souen;28 E 13th St btwn Fifth Ave and...;Greenwich Village
Souen;28 E 13th St btwn Fifth Ave and...;SoHo
Souen Ramen;;East Village
Soul Fixins;371 W 34th St btwn Eighth and Ninth Aves;Midtown West
Soup Burg;1095 Lexington Ave at 77th St;Upper East Side
Soup Burg (CLOSED);;Upper East Side
South Gate;160 Central Park South btwn 6th and 7th...;Midtown West
Southern Hospitality;;Upper East Side
Soy;;Lower East Side
Spanky's BBQ;127 W 43rd St btwn Broadway and Sixth...;Midtown West
Spanky's BBQ (CLOSED);;Midtown West
Sparks Steak House;210 E 46th St btwn Second and Third Aves;Midtown East
Sparky's American Food;;East Village
Spice;;Chelsea
Spice;;Upper East Side
Spice;;Greenwich Village
Spiga;;Upper West Side
Spigolo;;Upper East Side
Spitzer's Corner;101 Rivington St at Ludlow St;Lower East Side
Spotlight Live;;Midtown West
Spotlight Live (CLOSED);;Midtown West
Spring Street Natural;62 Spring St at Lafayette St;SoHo
Spunto;;Greenwich Village
Square Meal;30 E 92nd St btwn 5th Ave and Madison...;Upper East Side
Stage Deli;1481 Second Ave at 77th St;Upper East Side
Stage Deli;1481 Second Ave at 77th St;Midtown West
Staghorn Steakhouse;;Midtown West
Stand;;Greenwich Village
Steak Frites;;Greenwich Village
Stone Park Cafe;;Park Slope
Strip House;;Greenwich Village
Suba;;Lower East Side
Suba (CLOSED);;Lower East Side
Suenos;;Chelsea
Sugarcane;;Park Slope
Sugiyama;;Midtown West
Sumile Sushi;;Greenwich Village
Supermac;;Chelsea
Supper;156 E 2nd St btwn Aves A and B;East Village
Surya;302 Bleecker St btwn Seventh Ave South...;Greenwich Village
Sushi Ann;38 E 51st St btwn Madison and Park Aves;Midtown East
Sushi Hana;;Upper East Side
Sushi Jun;;Midtown West
Sushi Samba 7;87 Seventh Ave So at Barrow St;Greenwich Village
Sushi Seki;1143 1st Ave btwn 62nd and 63rd Sts;Upper East Side
Sushi Yasuda;204 E 43rd St btwn 2nd and 3rd Aves;Midtown East
Sushi Zen;;Midtown West
Sushi of Gari;;Upper East Side
Sushi of Gari 46;;Midtown West
Sushiden;19 E 49th St btwn Fifth and Madison Aves;Midtown East
Sushiden;19 E 49th St btwn Fifth and Madison Aves;Midtown West
Sweet Emily's;;Midtown West
Sweet and Lowdown;123 Allen St btwn Delancey and...;Lower East Side
Sweetiepie;19 Greenwich Ave btwn W 10th and...;Greenwich Village
Swich;104 8th Ave btwn 15th and 16th Sts;Chelsea
Swifty's;1007 Lexington Ave btwn 72nd and 73rd...;Upper East Side
Swizz Restaurant and Wine Bar;310 W 53rd St btwn Eighth and Ninth...;Midtown West
Symposium;544 W 113th St btwn Amsterdam Ave and...;Upper West Side
Szechuan Gourmet;21 West 39th St btwn Fifth and Sixth Ave;Midtown West
T-Bar Steak and Lounge;;Upper East Side
Taam Tov;41 W 47th St btwn Fifth and Sixth Aves;Midtown West
Taboon;773 10th Ave btwn 52nd and 53rd Sts;Midtown West
Taco Taco;;Upper East Side
Tagine Dining Gallery;537 Ninth Ave btwn 39th and 40th Sts;Midtown West
Tahini;23 Third Ave at St Marks Pl;East Village
Tailor;525 Broome St btwn Thompson and...;SoHo
Taim;222 Waverly Pl btwn Perry and W 11th Sts;Greenwich Village
Takahachi;;East Village
Taksim;99 Second Ave btwn 5th and 6th Sts;East Village
Talia's Steakhouse and Bar;;Upper West Side
Tang Pavilion;;Midtown West
Tanti Baci Caffe;;Greenwich Village
Tao;;Midtown East
Taralluccci e Vino;163 First Ave Corner of 10th St;East Village
Taro Sushi;446 Dean St btwn Fifth and Flatbush...;Park Slope
Tartine;253 W 11th St at 4th St;Greenwich Village
Tasca (CLOSED);130 Seventh Avenue So at W 10th St;Greenwich Village
Taste;;Upper East Side
Tavern on Nostrand;813 Nostrand Ave btwn Union and...;Park Slope
Tavern on the Green;Central Park West at 67th St;Upper West Side
Tea and Sympathy;108 Greenwich Ave near Jane St;Greenwich Village
Teany;90 Rivington St btwn Ludlow and Orchard...;Lower East Side
Tebaya;;Chelsea
Ted's Montana Grill;110 W 51st St btwn Sixth and Seventh...;Midtown West
Telepan;;Upper West Side
Tello's;;Chelsea
Tempo;;Park Slope
Teodora;;Midtown East
Terroir;413 E 12th St btwn First Ave and Ave A;East Village
Tet;83 Ave A btwn 5th and 6th Sts;East Village
Thai on Clinton;;Lower East Side
Thalia;828 Eighth Ave at 50th St;Midtown West
The Capital Grille;155 E 42nd St btwn Lexington & 3rd Aves;Midtown East
The Carlyle Restaurant;35 E 76th St at Madison Ave;Upper East Side
The Charles;234 W 4th St btwn W 10th and Charles Sts;Greenwich Village
The E.U.;235 E 4th St near Ave B;East Village
The E.U. (CLOSED);;East Village
The Elephant;;East Village
The Ethiopian Restaurant;;Upper East Side
The Four Seasons;99 E 52nd St btwn Park and Lexington...;Midtown East
The Great Burrito;405 Amsterdam Ave at 79th St;Upper West Side
The Green Table;75 Ninth Ave at 15th St;Chelsea
The Little Owl;90 Bedford St at Grove St;Greenwich Village
The Mercury Dime;246 E 5th St btwn Cooper Square and...;East Village
The Mermaid Inn;568 Amsterdam Ave btwn 87th and 88th Sts;Upper West Side
The Mermaid Inn;568 Amsterdam Ave btwn 87th and 88th Sts;East Village
The Modern;;Midtown West
The Morgan Dining Room;;Midtown East
The New French;;Greenwich Village
The Noho Star;;East Village
The Oak Room;;Midtown West
The Orchard;162 Orchard St at Rivington St;Lower East Side
The Organic Grill;123 First Ave btwn St Marks Pl and E...;East Village
The Palm;;Midtown East
The Palm Too;;Midtown East
The Palm West Side;;Midtown West
The Park;118 10th Ave at 18th St;Chelsea
The Park Room;;Midtown West
The Place;310 W 4th St btwn Bank and W 12th Sts;Greenwich Village
The Pod Cafe;230 E 51st St btwn 2nd and 3rd Aves;Midtown East
The Post House;28 E 63rd St btwn Madison and Park Aves;Upper East Side
The Prime Grill;60 E 49th St btwn Madison and Park Aves;Midtown East
The Red Cat;227 10th Ave btwn 23rd and 24th Sts;Chelsea
The Redhead;349 E 13th St at First Ave;East Village
The Restaurant at The Jumeirah Essex House;160 Central Park South btwn 6th and 7th...;Midtown West
The Russian Tea Room;;Midtown West
The Sea Grill;;Midtown West
The Sheep Meadow Cafe;;Upper West Side
The Smith;55 Third Ave btwn 10th and 11th Sts;East Village
The Spotted Pig;314 W 11th St at Greenwich St;Greenwich Village
The Stanton Social;;Lower East Side
The Sunburnt Cow;137 Ave C btwn 8th and 9th Sts;East Village
The Tasting Room Wine Bar and Cafe;72 East 1st Street Btwn First and...;East Village
The Twisted Burger (CLOSED);430 E 14th St btwn First Ave and Ave A;East Village
The West Branch;;Upper West Side
Thor;107 Rivington St at Essex St;Lower East Side
Three of Cups;;East Village
Tia Pol;205 10th Ave btwn 22nd and 23rd Sts;Chelsea
Tides;102 Norfolk St at Delancey St;Lower East Side
Tiengarden;170 Allen St btwn Rivington and Stanton...;Lower East Side
Tisserie;870 7th Ave btwn 55th and 56th Sts;Midtown West
Tokyo Pop;;Upper West Side
Tokyo Pop (CLOSED);;Upper West Side
Toledo;6 E 36th St btwn Fifth and Madison Aves;Midtown East
Toloache;;Midtown West
Tomoe Sushi;172 Thompson St btwn Bleecker and...;Greenwich Village
Tong Thai Brasserie;;East Village
Tony's Di Napoli;;Midtown West
Tony's Di Napoli;;Upper East Side
Tori Shin;;Upper East Side
Tout Va Bien;;Midtown West
Town;15 W 56th St btwn 5th and 6th Aves;Midtown West
Trata Estiatorio;;Upper East Side
Trattoria Dopo Teatro;125 W 44th St btwn Broadway and 6th Ave;Midtown West
Trattoria Spaghetto;;Greenwich Village
Trattoria dell'Arte;;Midtown West
Tre;173 Ludlow St btwn Stanton and Houston...;Lower East Side
Tre Dici;;Chelsea
Tre Dici Steak;128 W 26th St btwn Sixth and Seventh...;Chelsea
Tree;;East Village
Trestle on Tenth;;Chelsea
Triangolo;;Upper East Side
Trio;167 E 33rd St btwn Lexington and Third...;Midtown East
Triomphe;;Midtown West
Tsampa;;East Village
Tse Yang;34 E 51st St btwn Madison and Park Aves;Midtown East
Tsushima;141 E 47th St btwn Lexington and Third...;Midtown East
Tuck Shop;68 E 1st St btwn First and Second Aves;East Village
Turkuaz (CLOSED);2637 Broadway at 100th St;Upper West Side
Turquoise;;Upper East Side
Udon West;;Midtown East
Una Pizza Napoletana;;East Village
Uncle Jack's Steakhouse;;Midtown West
Uncle Nick's;;Chelsea
Uncle Nick's Ouzaria;;Midtown West
Upstairs at '21';;Midtown West
Ushiwakamaru;136 W Houston St btwn MacDougal and...;Greenwich Village
Utsav;;Midtown West
Uva;1486 Second Ave at 77th St;Upper East Side
Vai Restaurant and Wine Bar;225 W 77 St near Broadway;Upper East Side
Valbella;421 W 13th St btwn Ninth Ave and...;Greenwich Village
Valdino West (CLOSED);;Greenwich Village
Vero Midtown;;Midtown East
Veselka;;East Village
Vespa;1625 Second Ave btwn 84th and 85th Sts;Upper East Side
Via dei Mille;;SoHo
ViceVersa;;Midtown West
Vico;;Upper East Side
Villa Berulia;;Midtown East
Villa Pazzo;;Greenwich Village
Village;;Greenwich Village
Village Mingala;;East Village
Village Natural;;Greenwich Village
Village Yokocho;;East Village
Vince and Eddie's;;Upper West Side
Vino 313;;Midtown East
Virgil's Real BBQ;152 W 44th St btwn Broadway and Sixth...;Midtown West
Vong;200 E 54th St at 3rd Ave;Midtown East
Vynl;1491 Second Ave btwn 77th and 78th Sts;Upper East Side
Vynl;1491 Second Ave btwn 77th and 78th Sts;Upper West Side
Vynl;1491 Second Ave btwn 77th and 78th Sts;Chelsea
Vynl;1491 Second Ave btwn 77th and 78th Sts;Midtown West
Waldy's Wood Fired Pizza and Penne;80 6th Ave btwn 27th and 28th Sts;Chelsea
Wallse;344 W 11th St at Washington St;Greenwich Village
Wasabi Lobby;1584 2nd Ave btwn 82nd and 83rd Sts;Upper East Side
Waverly Inn;16 Bank St at Waverly Pl;Greenwich Village
Wawa Canteen;;Greenwich Village
Wd-50;;Lower East Side
Wechsler's;;East Village
West Bank Cafe;407 W 42nd St at Ninth Ave;Midtown West
Westville;;Greenwich Village
Westville East;173 Ave A at 11th St;East Village
Whym;;Midtown West
Wild Ginger;;Greenwich Village
Wilfie and Nell;228 W 4th St btwn W 10th and...;Greenwich Village
Wogie's Bar and Grill;39 Greenwich Ave at Charles St;Greenwich Village
Wollensky's Grill;201 E 49th St at Third Ave;Midtown East
Won Jo;;Midtown West
Wondee Siam;792 Ninth Ave btwn 52nd and 53rd Sts;Midtown West
Wondee Siam II;813 Ninth Ave btwn 53rd and 54th Sts;Midtown West
Woo Chon;8-10 W 36th St btwn Fifth and Sixth Aves;Midtown West
Woo Lae Oak;148 Mercer St btwn Prince and Houston St;SoHo
Wu Liang Ye;;Midtown West
Wu Liang Ye;;Midtown East
Wu Liang Ye;;Upper East Side
Xunta;;East Village
Yaffa Cafe;;East Village
Yakitori Taisho;;East Village
Yakitori Torys;;Midtown East
Yakitori Totto;;Midtown West
Yama;92 W Houston St btwn La Guardia Pl and...;Midtown East
Yama;92 W Houston St btwn La Guardia Pl and...;Greenwich Village
Yamato;;Park Slope
Yerba Buena;23 Avenue A at E 2nd St;East Village
York Grill;;Upper East Side
Yuca Bar;111 Ave A at 7th St;East Village
Yuva;230 E 58th St btwn Second and Third Aves;Midtown East
Zarela;953 Second Ave btwn 50th and 51st Sts;Midtown East
Zen Burger (CLOSED);465 Lexington Ave btwn 45th and 46th Sts;Midtown East
Zen Palate;;Midtown West
Zerza;;East Village
Zeytin;519 Columbus Ave at 85th St;Upper West Side
Zip Burger (CLOSED);300 1/2 E 52nd St at 2nd Ave;Midtown East
Zipper Tavern;336 W 37th St btwn 8th and 9th St;Midtown West
Zoe;;SoHo
Zoe Townhouse (CLOSED);;Upper East Side
Zona Rosa;40 W 56th St btwn Fifth and Sixth Aves;Midtown West
Zona Rosa (CLOSED);;Midtown West
Zucchero e Pomodori;;Upper East Side
Zucco: Le French Diner;;Lower East Side
Zuni;;Midtown West
al di la vino;;Park Slope
b-bap;830 9th Ave btwn 54th and 55th St;Midtown West
bar.vetro;222 E 58th St btwn Second and Third Aves;Midtown East
per se;10 Columbus Circle at 60th St;Midtown West
