restaurant;address;neighborhood
Shake Shack;23rd & Madison Ave.;Flatiron
Shang;187 Orchard St.;Chinatown
Shanghai Café;100 Mott St.;Chinatown
Shanghai Cuisine;89 Bayard St.;Chinatown
Sharaku;14 Stuyvesant St.;East Village
Sheng Wang;27 Eldridge St.;Chinatown
Shima;188 2nd Ave.;East Village
Shinbashi;7 E 48th St.;East 40s
Sigiri;91 First Ave.;East Village
Silver Spurs;771 Broadway;Greenwich Village
Silver Spurs;494 La Guardia Place;Greenwich Village
Simon Sips Cafe;72 East 1st Street;Greenwich Village
Singapore Café;69 Mott St.;Chinatown
Singas Famous Pizza;176 Second Ave.;East Village
Sirtaj;36 W 26th St.;Flatiron
Skylight Diner;402 W 34th St.;Chelsea
Skyway;11 Allen St.;Lower East Side
Slurp;84 Stanton St.;Lower East Side
Smith's;79 MacDougal Street;Greenwich Village
Smokin' Q;206 E 63rd St.;East 60s
Smorgas Chef;53 Stone St.;Financial District
Soba Totto;211 E. 43rd St.;East 40s
Soba-ya;229 E 9th St.;East Village
Sokobolie;2529 8th Ave.;Harlem
Sophie's Cuban Cuisine;96 Chambers St.;Financial District
Sorella;95 Allen St.;East Village
Soto;357 Sixth Ave.;West Village
Soul Fixins';371 W 34th St.;Chelsea
Southern Hospitality;1460 Second Ave.;East 70s
Soy;102 Suffolk St.;Lower East Side
Spain;113 W 13th St.;West Village
Spice;104 2nd Ave.;East Village
Spice;60 University Place;Greenwich Village
Spice;199 8th Ave.;Chelsea
Spice;1411 2nd Ave.;East 70s
Spice Market;403 W 13th St.;West Village
Spiga;200 West 84th St.;West 80s
Spitzer's Corner;101 Rivington St.;Lower East Side
Spotted Pig;314 W 11th St.;West Village
Spring Street Natural Restaurant;62 Spring St.;Soho
St. Andrews;120 W 44th St.;West 40s
St. Marks Ale House;2 St. Marks Pl.;East Village
Stand;24 E 12th St.;East Village
Steak Frites;225 Varick St.;Greenwich Village
Stout NYC;133 W 33rd St.;Chelsea
Strange Taste;20 Henry St.;Chinatown
Strip House;13 E 12th St.;East Village
Suba;109 Ludlow St.;Lower East Side
Sueños;311 W 17th St.;Chelsea
Sugar Sweet Sunshine Bakery;126 Rivington St.;Lower East Side
Sukhadia's Gokul Indian Gourmet;17 W 45th St.;West 40s
Sumile;154 W 13th St.;West Village
Sun Dou;214 Grand St.;Soho
Sunburnt Cow;137 Ave. C;East Village
Sunrise Cuisine;2317 First Ave.;East Harlem
Sunrise Mart;4 Stuyvesant St.;East Village
Super Taste;26 Eldridge St.;Chinatown
Supermac;348 Seventh Ave.;Chelsea
Supper Restaurant;156 E. 2nd Street;East Village
Sushi A la Kawa;22 Maiden Ln.;Financial District
Sushi Samba;245 Park Ave. South;Gramercy Park
Sushi Seki;1143 First Ave.;East 60s
Sushi Yasuda;204 E 43rd St.;East 40s
Sushi Zen;108 W 44th St.;West 40s
Sushisay;38 E 51st St.;East 50s
Suteishi;24 Peck Slip;South Street Seaport
Sweetiepie;19 Greenwich Ave.;Greenwich Village
TOMO;2850 Broadway;West 100s
Taam Tov;46 West 47th St.;West 40s
Tabla Frankie Cart;11 Madison Ave.;Flatiron
Tacocina;714 Ninth Ave.;West 40s
Tahini;23 3rd Ave.;East Village
Tailor;525 Broome St.;Soho
Taim;222 Waverly Pl.;West Village
Takahatchi;85 Ave. A;East Village
Taksim;1030 Second Ave.;East 50s
Tamarind;41-43 E. 22nd St.;Flatiron
Tamil Nadu Bhavan;102 Lexington Ave.;Murray Hill
Tang Pavilion;65 W 55th St.;West 50s
Taqueria y Fonda;968 Amsterdam Ave.;West 100s
Tartine;253 W 11th St.;West Village
Tavern on Jane;31 8th Ave.;West Village
Tavern on the Green;67 Central Park W;West 60s
Tebaya;144 W 19th St.;Chelsea
Telepan;72 W 69th St.;West 60s
Telephone;149 2nd Ave.;East Village
Tello's Ristorante;263 W 19th St.;Chelsea
Temple in the Village;74 W 3rd St.;Greenwich Village
Terry's Gourmet;575 Sixth Ave.;Chelsea
Tet;83 Ave. A;East Village
Texas Smokehouse BBQ;637 2nd Ave.;Murray Hill
Thai Market;960 Amsterdam Ave.;West 100s
Thai So'n;89 Baxter St.;Chinatown
Thalassa Restuarant;179 Franklin St.;Tribeca
The Country Kebab;76 Fulton St.;Financial District
The Crooked Knife;29 e. 30th St.;Murray Hill
The Cupping Room Cafe, Inc.;359 W. Broadway;Soho
The E.U.;235 E. Fourth St.;East Village
The Elephant;58 E. First St.;East Village
The Grey Dog's Coffee;33 Carmine St.;West Village
The Harrison;355 Greenwich St.;Tribeca
The Irish Punt;40 Exchange Place;Financial District
The John Dory;85 Tenth Ave, New York;Chelsea
The Mill;2895 Broadway;West 100s
The Modern;11 W 53rd St.;West 50s
The New French;522 Hudson St.;West Village
The Oak Room;59 W 44th St.;West 40s
The Orchard;162 Orchard St.;Lower East Side
The Palm;837 2nd Ave.;East 40s
The Park;118 10th Ave.;Chelsea
The Red Cat;227 10th Ave.;Chelsea
The Silver Swan;41 E 20th St.;Flatiron
The Smith;55 3rd Ave.;East Village
The Stanton Social;99 Stanton St.;Lower East Side
The Tasting Room;72 E. First St.;East Village
The Trailer Park Lounge;271 W 23rd St.;Chelsea
The Water Club;500 E 30th St.;Murray Hill
Thor;107 Rivington St.;Lower East Side
Three of Cups;83 First Ave.;East Village
Tia Pol;205 10th Ave.;Chelsea
Tiffin Wallah;127 East 28th Street;Murray Hill
Times Square Brewery;210 W 42nd St.;East 40s
Tiny's Giant Sandwich Shop;129 Rivington St.;Lower East Side
Todai;6 E 32nd St.;Murray Hill
Tokyo La Men;90 University Pl.;Greenwich Village
Tokyo Lunch;10 John St.;Financial District
Toloache;251 W 50th St.;West 50s
Tomoe Sushi;172 Thompson St.;Greenwich Village
Totally Baked;8 W 18th St.;Chelsea
Totonno's;462 Second Ave.;Murray Hill
Tout Va Bien;311 W 51st St.;West 50s
Trattoria Spaghetto;232 Bleecker St.;West Village
Treichville;339 E 118th St.;East Harlem
Trestle on Tenth;242 10th Ave.;Chelsea
Tribeca Grill;375 Greenwich Street;Tribeca
Trigo;268 W. Broadway;Tribeca
Troy;539 9th Ave.;West 40s
Tu Quynh Center;230 Grand St.;Chinatown
Tulcingo Del Valle Grocery;665 Tenth Ave.;West 40s
Turkuaz;2637 Broadway;West 100s
Two Boots;201 W 11th St.;West Village
Two Boots;30 Rockefeller Plz.;West 40s
Two Boots;42 Ave. A;East Village
Two Boots;Grand Central Station;East 40s
Two Boots;74 Bleecker St.;Greenwich Village
Two Boots Tavern;;
Two Times Square;714 Seventh Ave.;West 40s
Txikito;240 Ninth Ave.;Chelsea
Udon West;150 E 46th St.;East 40s
Udon West;11 St. Marks Place;East Village
Ulysses;93 Pearl St.;Financial District
Una Pizza Napoletana;349 E 12th St.;East Village
Uncle Nick's;747 Ninth Ave.;West 50s
Union Prime;9 E 16th St, New York;East Village
Union Square Cafe;21 E 16th St.;Union Square
Ureña;37 E 28th St.;Murray Hill
Ushiwakamaru;136 W Houston St.;Greenwich Village
Vanessa's Dumplings;220 E. 14th St.;East Village
Vegetarian Dim Sum House;24 Pell St.;Chinatown
Vento;between W. 13th and W. 14th St.;West Village
Veritas;43 E 20th St.;Flatiron
Veselka;144 2nd Ave.;East Village
Via Emilia;47 E 21st St.;Flatiron
Viceroy;160 8th Ave.;Chelsea
Viet Café;345 Greenwich St.;Tribeca
Village Mingala;21 E 7th St.;East Village
Village Yokocho;8 Stuyvesant St.;East Village
Vintage Irving;120 E15th St.;Union Square
Virage;118 Second Ave.;East Village
Virgil's Real Barbecue;152 W 44th St.;West 40s
Viva Herbal;179 Second Ave.;East Village
Vynl;507 Columbus Ave.;West 80s
Vynl;824 9th Ave.;West 40s
Vynl;754 9th Ave.;West 50s
Vynl;1491 2nd Ave.;West 50s
Vynl;102 8th Ave.;Chelsea
Wa Ji Pork Chip Fast Food;7 Allen St.;Chinatown
WaWa Canteen;289 Mercer St.;Greenwich Village
Wah Fung No. 1 Fast Food;79 Chrystie St.;Chinatown
Waldy's Wood-Fired Pizza & Penne;800 6th Ave.;Chelsea
Wall Street Burger Shoppe;30 Water St.;Financial District
Waverly Inn;16 Bank St.;West Village
Waverly Restaurant;385 6th Ave.;West Village
Westville;210 W 10th St.;West Village
Westville East;173 Ave. A;East Village
Wing Shoon;165 E Broadway;Lower East Side
Wok to Walk;106 University Place;Union Square
Won Jo;23 W 32nd St.;Chelsea
Wondee Siam;813 9th Ave.;West 50s
Wonton Garden;56 Mott St.;Chinatown
Woorijip;12 W 32nd St.;Chelsea
Wu Liang Ye;338 Lexington Ave.;Murray Hill
XO Kitchen;148 Hester St.;Soho
Xai Xai;365 W. 51st St.;West 50s
Xunta;174 First Ave.;East Village
Yaffa Cafe;97 St. Marks Place;East Village
Yaffa Café;97 St. Marks Pl.;East Village
Yakiniku West;218 E 9th St.;East Village
Yakitori Taisho;5 Saint Marks Pl.;East Village
Yakitori Totto;251 W 55th St.;West 50s
Yama;122 E 17th St.;Flatiron
Yama;92 W Houston St.;Greenwich Village
Yama;38-40 Carmine St.;West Village
Yeah Shanghai Deluxe;65 Bayard St.;Chinatown
Yoghurt Place II;71 Sullivan St.;Soho
Yoshi;201 E Houston St.;Lower East Side
Yoshinoya;255 W 42nd St.;West 40s
Young City Fish Balls;21 Eldridge St.;Chinatown
Yuca Bar & Restaurant;111 Avenue A;East Village
Yum Thai;129 West 44th St.;West 40s
Yushi;245 Park Avenue;East 40s
Zabar's Deli & Gourmet Foods;2245 Boradway;West 80s
Zabb City;244 E. 13th St.;East Village
Zaitzeff;72 Nassau St.;Financial District
Zaragoza Grocery;215 Ave. A;East Village
Zemi;130 Ninth Ave.;Chelsea
Zen Palate;663 9th Ave.;West 40s
Zen Palate;104 John St.;Financial District
Zip Burger;300 1/2 E 52nd;East 50s
Zoma;2084 Frederick Douglass Blvd.;Harlem
Zorzi;1 E 35th St.;Gramercy Park
Zum Schneider;107 Ave. C;East Village
eleven B.;174 Ave. B.;East Village
etcetera etcetera;352 W. 44th St.;West 40s
la Focaccia;51 Bank St.;West Village
wd-50;50 Clinton St.;Lower East Side
Ñ;33 Crosby St.;Tribeca
