restaurant;address1;address2
Jimbo's Hamburger Palace;52 E 125th St;Btwn Madison & Park
Jimbo's Hamburger Palace;301 W 154th St;Btwn Frederick Douglass Blvd. & Bradhurst A
Jimbo's Hamburger Palace;2027 Lexington Ave;Btwn 123rd & 124th St
Jimbo's Hamburger Palace;1345 Amsterdam Ave;Btwn 125th & 126th St
Jimbo's Hamburger Palace;284 Lenox Ave;Btwn 124th & 125th St
Jimbo's Hamburger Palace;535 Lenox Ave;At 137th St.
Jimbo's20;48 Amsterdam Ave;
Jimmy Grill;162 E 25th St;At 3rd Ave
Jimmy Oro;711 W 181st St;Btwn Broadway & BennettAve
Jimmy's Burger Shack;258 W 31st St;Btwn 7th & 8th Ave
Jimmy's Cafe & Catering;60 E 42nd St;Btwn Park & Madison Ave
Jimmy's Classic Diner;1634 Lexington Ave;At 103rd St
Jimmy's Coffee Shop;164 Madison Ave;Btwn 32nd & 33rd St
Jimmy's House;162 E 25th St;Btwn 3rd & Lexington Ave
Jimmy's House & Jimmy's Grill;162 E 25th St;
Jimmy's No.;4343 E 7th St;Btwn 2nd & 3rd Ave
Jimmy's Oriental Palace;1728 Madison Ave;Btwn 113th & 114th St
Jin;252 Broome St;Btwn Orchard & Ludlow St
Jing;689 9th Ave;Btwn 47th & 48th St
Jing Du;1074 2nd Ave;Btwn 56th & 57th St
Jing Du10;74 2nd Ave;
Jing Fong;20 Elizabeth St;At Canal St
Jing Hui;255 W 148th St;At 8th Ave
JivamukTea Cafe;841 Broadway;Btwn 13th & 14th St
JoJo;160 E 64th St;At Lexington Ave
JoJo160 E;64th St;
Joa;3908 Broadway;Btwn 163rd & 164th St
Joanna's Restaurant;1295 Madison Ave;At 92nd St
Joanna's Restaurant (CLOSED);1295 Madison Ave;
Joe Allen;326 W 46th St;Btwn 8th & 9th Ave
Joe G;244 W 56th St;Btwn 8th Ave & Bway
Joe G244 W;56th St;
Joe Hug Deli;361 3rd Ave;Btwn 26th & 27th St
Joe Jr. Restaurant;482 6th Ave;At 12th St
Joe Jr. Restaurant;167 3rd Ave;Btwn 15th & 16th St
Joe the Art of Coffee;1Grand Central Terminal 1 At 42nd St;
Joe the Art of Coffee;405 W 23rd St;At 9th Ave
Joe the Art of Coffee;141 Waverly Pl;Btwn Christopher St & 6th Ave
Joe the Art of Coffee;0Grand Central Terminal;At 42nd St
Joe the Art of Coffee;Grand Central Terminal;At 42nd St
Joe the Art of Coffee;0grand central terminal;
Joe the Art of Coffee;9 E 13th St;Btwn 5th Ave & University Pl
Joe's Gourmet;98 Greenwich St;Btwn Rector & Carlisle St
Joe's Pizza;7 Carmine St;At 6th Ave
Joe's Shanghai;24 W 56th St;Btwn 5th & 6th Ave
Joe's Shanghai;9 Pell St;Btwn Doyers St & Bowery
JoeDoe;45 E 1st St;Btwn 1st & 2nd Ave
JoeDoe45 E;1st St;
John & Tony's;1097 1st Ave;At 60th St
John & Tony's West;547 9th Ave;Btwn 40th & 41st St
John Barry's;38 W 39th St;Btwn 5th & 6th Ave
John's Coffee Shop;823 2nd Ave;At 44th St
John's Deli;441 Park Ave S;Corner of 30th St
John's Gyro & Souvlaki;124 W 25th St;
John's Pizzeria;408 E 64th St;Btwn 1st & York Ave
John's Pizzeria;260 W 44th St;Btwn 7th & 8th Ave
John's Shanghai;144 W 46th St;Btwn 6th Ave & Bway
John's of;12th Street302 E 12th St;At 2nd Ave
John's of Bleecker Street;278 Bleecker St;Btwn 6th Ave & 7th Ave
John-Street;17 John St;Btwn Bway & Nassau St
Johnney's Fish Grill;250 Vesey St;Btwn N End Ave & W Side Highway
Johnny Rockets;930 3rd Ave;At 56th St
Johnny Rockets;42 E 8th St;At Greene St
Johnny Utah's;25 W 51st St;Btwn 5th & 6th Ave
Johnny's Pizza;261 1st Ave;At 15th St
Johny's Grill & Luncheonette;124 W 25th St;Btwn 6th & 7th Ave
Jonathan's Steakhouse;552 W 38th St;Btwn 10th & 11th Ave
Joselito Restaurant;125 Avenue D;At 9th St
Joseph's Restaurant;3 Hanover Sq;At Pearl St
Josephina;1900 Broadway;Btwn 63rd & 64th St
Joshua Tree;513 3rd Ave;Btwn 34th & 35th St
Joshua Tree;366 W 46th St;Btwn 8th & 9th Ave
Josie Wood's Pub & Restaurant;11 Waverly Pl;At Mercer St
Josie's Kitchen;1614 2nd Ave;At 84th St
Josie's Restaurant;300 Amsterdam Ave;At 74th St
Josie's Restaurant;565 3rd Ave;At 37th St
Jou Jou Cafe;603 W 168th St;At Bway
Joy;148 E 46th St;Btwn Lex & 3rd Ave
Joy Burger Bar;1567 Lexington Ave;At 100th St
Joy Grill;172 8th Ave;Btwn 18th & 19th St
Joy148 E;46th St;
Jubilee;347 E 54th St;Btwn 1st & 2nd Ave
Jubilee Marketplace;99 John St;At Cliff St
Jubilee34;7 E 54th St;
Judy's;1505 Lexington Ave;At 115th St
Judy's150;5 Lexington Ave;
Juice Generation;171 W 4th St;Btwn 6th & 7th Ave
Juice Generation;117 W 72nd St;Btwn Bway & Columbus Ave
Juice Generation;2730 Broadway;Btwn 104th & 105th St
Juice Generation;644 9th Ave;Btwn 45th & 46th St
Jules;65 Saint Marks Pl;Btwn 1st & 2nd Ave
Julian;242 116th St;Btwn 2nd & 3rd Ave
Julian's (CLOSED);802 9th Ave;At 53rd St
Julian242;116th St;
Jumbo Hamburger Place;112 W 116th St;Btwn Lenox & 7th Ave
Jumbo Pizza Coffee Shop;964 Amsterdam Ave;Btwn 107th & 108th St
Jumbo Seafood;1295 Lexington Ave;At 87th St
Junior's;0grand central terminal;
Junior's;0Grand Central Terminal;At 42nd St
Junior's;1515 Broadway;At W 44th St
Junior'sGrand Central Terminal;1 At 42nd St;
Just Delicious;80 Varick St;Btwn Watts & Grand St
Just Delicious;225 Varick St;Corner of Houston St
Just Salad;134 W 37th St;Btwn Broadway & 7th Ave
Just Salad;100 Maiden Ln;Btwn Pearl & Gold St
Just Salad;320 Park Ave;51st St Btwn Park & Madison Ave
K.L. Malaysia Beef Jerky;95A Elizabeth St;At Grand St
KAI;822 Madison Ave;Btwn 68th & 69th St
KB Kebob;221 E 23rd St;Btwn 2nd & 3rd Ave
Kabab Factory;101 Lexington Ave;Btwn 27th & 28th St
Kabob & Grill;150 W 36th St;Btwn 7th Ave & B'way
Kafana;116 Avenue C;Btwn 7th & 8th St
Kaffe;1668275 Greenwich St;Btwn Warren & Murray St
Kaffe 166;8275 Greenwich St;
Kahlua's Cafe & Restaurant;2117 3rd Ave;At E 116 St
Kaijou;21 South End Ave;At W Thames St
Kaleidoscope;212 E 10th St;Btwn 1st & 2nd Ave
Kam Luang Kitchen;1557 Lexington Ave;Btwn 99th & 100th St
Kam Wei Kitchen;630 10th Ave;Btwn 44th & 45th St
Kami Sushi;1047 2nd Ave;Btwn 55th & 56th St
Kampuchea Restaurant;78 Rivington St;At Allen St
Kamui Den;186 Avenue A;Btwn 11th & 12th St
Kana Tapas Bar & Restaurant;324 Spring St;Btwn Washington & Greenwich St
Kang Kee;124 Hester St;Btwn Bowery & Christie St
Kang Suh;1250 Broadway;At 32nd St
Kanoyama;175 2nd Ave;At 11th St
Kanvas;219 9th Ave;Btwn 23rd & 24th St
Kanvas219;9th Ave;
Kao;3 Greenwich Ave;At 6th Ave
Kao Sushi;1280 1st Ave;Btwn 68th & 69th St
Kar Won;116 E 60th St;Btwn Lexington & Park Ave
Kar Won11;6 E 60th St;
Karahi;118 Christopher St;Btwn Bedford & Bleecker St
Karani;591 1st Ave;At 34th St
Karani (CLOSED);591 1st Ave;
Karani591;1st Ave;
Karavas Place;162 W 4th St;At Cornelia St & 6th Ave
Karavas Place;108 7th Ave S;At Christopher St
Kasadela;647 E 11th St;Btwn Ave B & Ave C
Kashkaval;856 9th Ave;Btwn 55th & 56th St
Kashmir Kabab House;601 8th Ave;Btwn 39th & 40th St
Kasturi;83 Lexington Ave;Btwn 26th & 27th St
Kate's Joint;58 Avenue B;At 4th St
Katra;217 Bowery;At Rivington St
Katsu-Hama;11 E 47th St;Btwn Madison & 5th Ave
Katz's Delicatessen;205 E Houston St;At Ludlow St
Kawa Sushi;24 8th Ave;Btwn Jane & 12th St
Keats;842 2nd Ave;Btwn 44th & 45th St
Keats842;2nd Ave;
Kebab Garden;128 1st Ave;Btwn 7th St & St Marks Pl
Kebab House;2144 Orchard St;At Rivington St
Keens Steakhouse;72 W 36th St;Btwn 5th & 6th Ave
Kefi;505 Columbus Ave;Btwn 84th & 85th St
Keko Cafe;121 Madison Ave;At 30th St
Kellari Taverna;19 W 44th St;Btwn 5th & 6th Ave
Kellari's Parea;36 E 20th St;Btwn Broadway & Park Ave S
Kelley and Ping;127 Greene St;Btwn Prince & Houston St
Kemia Bar;630 9th Ave;At 44th St
Kennedy Fried Chicken;536 E 14th St;Btwn Ave A & Ave B
Kennedy's;327 W 57th St;Btwn 8th & 9th Ave
Key West Diner;2532 Broadway;Btwn 94th & 95th St
Khondoker Luncheonette;58 Kenmare St;Corner of Mott St
Khushie Kitchen;139 Essex St;Btwn Rivington & Stanton St
Khyber Pass;34 Saint Marks Pl;Btwn 2nd & 3rd Ave
Kien Tuong;83 Chrystie St;Btwn Hester & Grand St
Kiku;50 W 55th St;Btwn 5th & 6th Ave
Kiku Sushi;235 9th Ave;Btwn 24th & 25th St
Kiku50 W;55th St;
Killarney Rose;127 Pearl St;At Hanover St
Kim Tong;1722 Amsterdam Ave;Btwn 145th & 146th St
King Dragon;305 115th St;Btwn 1st & 2nd Ave
King Foo;2030 2nd Ave;Btwn 104th &105th St
King Food;310 W 14th St;Btwn 8th & 9th Ave
King Food Restaurant;422 Amsterdam Ave;Btwn 80th & 81st St
King Garden;4316 Broadway;Btwn 183rd & 184th St
King Garden;1 W 137th St;At 5th Ave
King House;1053 St. Nicholas Ave;At 163rd St
King Sushi;288 8th Ave;Btwn 24th & 25th St
King Wok;222 Varick St;Btwn Clarkson & Downing St
King's Chef;587 Lenox Ave;Btwn 140th & 141st St
King's Deli;115 W 23rd St;Btwn 6th & 7th Ave
King's Pizza;110 W 145th St;At Lenox Ave
King's Wok;3575 Broadway;Btwn 146th & 147th St
Kings' Carriage House;251 E 82nd St;Btwn 2nd & 3rd Ave
Kion;509 E 6th St;Btwn Ave A & B
Kion509 E;6th St;
Kips Bay Delicatessen;593 1st Ave;Corner of 34th St
Kiran;401 W 53rd St;At 9th Ave
Kiran401 W;53rd St;
Kismat Indian Restaurant;603 Fort Washington Ave;At 187th St
Kitaro;510 Amsterdam Ave;Btwn 84th & 85th St
Kitchen Provance;68 W 45th St;Btwn 5th & 6th Ave
Kitchenette;1272 Amsterdam Ave;At 122nd St
Kitchenette;156 Chambers St;Btwn Greenwich St & W Bway
Kito Gourmet Deli;41 W 33rd St;Btwn 5th Ave & Bway
Kittichai;60 Thompson St;Btwn Spring & Broome St
Kiva Cafe;139 Reade St;Btwn Hudson & Greenwich St
Klatch;9 Maiden Ln;Btwn Bway & Nassau St
Klee;200 9th Ave;At 22nd St
Klong;7 Saint Marks Pl;Btwn 2nd & 3rd Ave
Knickerbocker;33 University Pl;At 9th St
Knife + Fork;108 E 4th St;Btwn 1st & 2nd St
Ko Sushi;1329 2nd Ave;At 70th St
Ko Sushi;1619 York Ave;Btwn 85th & 86th Sts
Kobma Thai;611 Hudson St;At W 12th St
Kodama Sushi;301 W 45th St;Btwn 8th & 9th Ave
Kofoo;334 8th Ave;Btwn 26th & 27th St
Kofoo334;8th Ave;
Koi;40 W 40th St;Btwn 5th & 6th Ave
Koi40 W 4;0th St;
Kokura;19 S William St;Btwn Broad St & Mill Ln
Koo Sushi;142 W Houston St;Btwn MacDougal & Sullivan St
Koodo Sushi;55 Liberty St;At Nassau St
Kool Bloo;117 6th Ave;At Watts St
Kool Bloo;221 E 23rd St;Btwn 2nd & 3rd Ave
Korea Palace;127 E 54th St;Btwn Park & Lexington Ave
Kori;253 Church St;Btwn Franklin & Leonard St
Kosher Delight;1359 Broadway;Btwn 36th & 37th St
Kosher Deluxe;10 W 46th St;Btwn 5th & 6th Ave
Kossar's Bialys;367 Grand St;Btwn Norfolk & Essex St
Kouzan;685 Amsterdam Ave;Btwn 93rd & 94th St
Koyzina Grill;25 Cedar St;Btwn William & Pearl St
Krik Krak;844 Amsterdam Ave;Btwn 101st & 102nd St
Krunch Pizza Bar;980 2nd Ave;At 52nd St
Kum Gang San;49 W 32nd St;Btwn 5th Ave & Bway
Kuma Inn;113 Ludlow St, 2nd Fl;Btwn Delancey & Rivington St
Kumo Sushi;165 W 72nd St;Btwn Amsterdam & Columbus Ave
Kunjip;9 W 32nd St;Btwn 5th Ave & Bway
Kunjip9 W;32nd St;
Kurio;338 E 92nd St;Btwn 1st & 2nd Ave
Kurio338 E;92nd St;
Kuruma Zushi;7 E 47th St;Btwn 5th & Madison Ave
Kurve;87 2nd Ave;At E 5th St
Kush Lounge;191 Chrystie St;Btwn Stanton & Rivington St
KushiQ;723 3rd Ave;Btwn 45th & 46th St
KushiQ723;3rd Ave;
Kuta;65 Rivington St;At Allen St
Kwok's;56 Market St;At Monroe St
Kwong Ming;1764 1st Ave;Btwn 91st & 92nd Sts
Kyo Ya;94 E 7th St;At 1st Ave
Kyo Ya94 E;7th St;
Kyoto Sushi;1240 Lexington Ave;Btwn 83rd & 84th St
Kyoto of Japan;76 Pearl St;At Coenties Slip
Kyotofu;705 9th Ave;Btwn 48th & 49th St
Kyotofu70;5 9th Ave;
L&L Hawaiian Barbecue;64 Fulton St;Btwn Cliff & Gold St
L&T Donut Shop;2265 1st Ave;At 116th St
L'Absinthe;227 E 67th St;Btwn 2nd & 3rd Ave
L'Allegria;623 9th Ave;Corner of 44th St
L'Annam;393 3rd Ave;At 28th St
L'Annam;121 University Pl;At 13th St
L'Annam12;1 University Pl;
L'Annam39;3 3rd Ave;
L'Arte del Gelato;75 7th Ave S;
L'Artusi;228 W 10th St;Btwn Hudson & Bleecker St
L'Atelier de Joel Robuchon;57 E 57th St;Btwn Madison & Park Ave
L'Ecole;462 Broadway;At Grand St -
L'Ecole46;2 Broadway;
L'Espresso;590 Madison Ave;At 57th St
L'Express;249 Park Ave S;At 20th St
L'Orange Bleue;430 Broome St;At Crosby St
L'Ybane;1136 1st Ave;Btwn 62st & 63nd St
L'Ybane11;36 1st Ave;
L'asso;192 Mott St;At Kenmare St
L'fonda;2023 Amsterdam Ave;Btwn 160th & 161st St
L'fonda20;23 Amsterdam Ave;
L'ulivo Focaccheria;184 Spring St;At Thompson St
L.A. Cafe;17 W 45th St;Btwn 5th & 6th Ave
L.A. Gourmet;111 E 58th St;Btwn Park & Lexington Ave
L.E.S. Sushi;515 Grand St;Btwn Willet & Columbia St
La Bagel;263 1st Ave;Btwn 15th & 16th St
La Barra;250 Broome St;Btwn Ludlow & Orchard St
La Barra Cevicheria;250 Broome St;
La Beleca;200 W 40th St;At 7th Ave
La Bella Ferrara Pastries;108 Mulberry St;Btwn Hester & Canal St
La Bella Pizzeria;581 2nd Ave;Corner of 32nd St
La Bella Stella;460 W 34th St;Btwn 9th & 10th Ave
La Bella's;581 2nd Ave;
La Bella's;254 E 32nd St;At 2nd Ave
La Belle Vie;184 8th Ave;Btwn 19th & 20th St
La Bellezza Pizzeria;145 E 49th St;Btwn 3rd & Lexington Ave
La Boite En Bois;75 W 68th St;At Columbus Ave
La Bonne Soupe;48 W 55th St;Btwn 5th & 6th Ave
La Bottega;363 W 16th St;At 9th Ave
La Cabana Salvadorena;4384 Broadway Ave;At 187th St
La Cantina Toscana;1109 1st Ave;Btwn 60th & 61st St
La Cantina Toscana (CLOSED);1109 1st Ave;
La Carbonara;202 W 14th St;
La Caridad;782199 Broadway;At 78th St
La Carne Grill;340 Lexington Ave;At 39th St
La Casa Del Mofongo;1447 St Nicholas Ave;Btwn 182nd & 183rd St
La Casa de los Tacos;2277 1st Ave;At 117th St
La Cave des Fondus;20 Prince St;Btwn Mott & Ellizabeth St
La Caverna;122 Rivington St;Btwn Essex & Norfolk St
La Cocina;217 W 85th St;Btwn Bway & Amsterdam Ave
La Cocina;430 3rd Ave;At 30th St
La Crosta;436 E 72nd St;Btwn York & 1st Ave
La Dinastia;4059 Broadway;At 171st St
La Espanola;1944 Amsterdam Ave;Btwn 156th & 157th St
La Esquina;114 Kenmare St;At Lafayette St
La Estufa;5035 Broadway;Btwn 214th & 215th St
La Fiesta;3797 Broadway;Btwn 157th & 158th St
La Focaccia;51 Bank St;At W 4th St
La Fonda Boricua;169 E 106th St;Btwn Lexington & 3rd Ave
La Fonda del Sol;200 Park Ave;Btwn 44th & 45th St
La Giara;501 3rd Ave;Btwn 33rd & 34th St
La Gioconda;226 E 53rd St;Btwn 2nd & 3rd Ave
La Goulue;746 Madison Ave;Btwn 64th & 65th St
La Grenouille;3 E 52nd St;Btwn Madison & 5th Ave
La Hacienda;219 E 116 St;Btwn 2nd & 3rd Ave
La Houppa;26 E 64th St;Btwn Madison & 5th Ave
La Isla;212 Delancey St;Btwn Ridge & Pitt St
La Isla;542 E 14th St;Btwn Ave A & Ave B
La Isla;1883 3rd Ave;At 104th St
La Isla18;83 3rd Ave;
La Isla21;2 Delancey St;
La Isla54;2 E 14th St;
La Kabbr;685 9th Ave;Btwn 47th & 48th St
La Lanterna Caffe;129 MacDougal St;At 3rd St
La Lunchonette;130 10th Ave;At 18th St
La Maison du Chocolat;1018 Madison Ave;Btwn 78th & 79th St
La Maison du Chocolat;63 Wall St;Btwn Pearl & Hanover St
La Maison du Chocolat;30 Rockfeller Plaza;At 49th St
La Mangeoire;1008 2nd Ave;At 53rd St
La Masseria;235 W 48th St;Btwn 8th Ave & Bway
La Mediterranee;947 2nd Ave;Btwn 50th & 51st St
La Mela Ristorante;167 Mulberry St;Btwn Grand & Broome St
La Mia Pizza;1488 1st Ave;Btwn 77th & 78th Sts
La Mirabelle;102 W 86th St;At Columbus Ave
La Nacional;239 W 14th St;Btwn 7th & 8th Ave
La Negrita;999 Columbus Ave;At 109th St
La Nonna;134 Mulberry St;Btwn Hester & Grand St
La Nueva Espana;606 W 207th St;Btwn Broadway & Vermilyea Ave
La Nueva Espana;1263 St. Nicholas Ave;At 173rd St
La Nueva Rampa;149 W 14th St;Btwn 6th & 7th Ave
La Nueva Victoria;2536 Broadway;At 95th St
La Paella;214 E 9th St;Btwn 2nd & 3rd Ave
La Palapa;77 Saint Marks Pl;Btwn 1st & 2nd Ave
La Palapa;359 6th Ave;Btwn W 4th St & Washington Pl
La Palette;94 Greenwich Ave;At 12th St
La Palma;1502 Amsterdam Ave;At 134th St
La Paloma;359 W 45th St;Btwn 8th & 9th Ave
La Petite Auberge;116 Lexington Ave;Btwn 27th & 28th St
La Pizza Fresca Ristorante;31 E 20th St;Btwn Bway & Park Ave S
La Pizzeria;442 3rd Ave;Btwn 30th & 31st St
La Posada;364 3rd Ave;Btwn 26th & 27th St
La Posada;3496 Broadway;At 143rd St
La Preciosa;163 E 116th St;Btwn Lexington & 3rd Ave
La Ripaille;605 Hudson St;At W 12th St
La Rivista Ristorante;313 W 46th St;Btwn 8th & 9th Ave
La Rural;768 Amsterdam Ave;Btwn 97th & 98th St
La Sirene;558 Broome St;Btwn Varick St & 6th Ave
La Taza De Oro;96 8th Ave;Btwn 14th & 15th St
La Traviata;101 W 68th St;At Columbus Ave
La Tropezienne Bakery;2131 1st Ave;At 110th St
La Vela;373 Amsterdam Ave;Btwn 77th St & 78th St
La Vela37;3 Amsterdam Ave;
La Vineria;737 9th Ave;At 50th St
La Zarza;166 1st Ave;At 10th St
Label;74 Rivington St;At Allen St
Lady M Confections;41 E 78th St;Btwn Madison & Park Ave
Lady Mendl's Tea Salon;56 Irving Pl;At E 18th St
Lafayette;1St 1 Btwn Spring & Broome St;
Lafayette Grill & Bar;54 Franklin St;Btwn Bway & Lafayette
Lafayette St;0 Btwn Spring & Broome St;
Lam's Garden;40 Rivington St;Btwn Forsyth & Eldridge St
Lamarca;161 E 22nd St;At 3rd Ave
Lamarca16;1 E 22nd St;
Lamazou;370 3rd Ave;At 27th St
Lamazou37;0 3rd Ave;
Lan;56 3rd Ave;Btwn 10th & 11th St
Lan Cafe;342 E 6th St;Btwn 1st & 2nd Ave
Lan Zhou;144 E Broadway;Btwn Pike & Rutgers St
Land Northeast Thai;1565 2nd Ave;Btwn 81st & 82nd St
Land Thai Kitchen;450 Amsterdam Ave;Btwn 81st & 82nd St
Landmarc;10 Columbus Circle;At 60th St
Landmarc;179 W Broadway;Btwn Leonard & Worth St
Landmark;158 Grand St;Btwn Lafayette & Center St
Landmark Gourmet;64 Pearl St;At Broad St
Lane Cafe;75 Maiden Ln;Btwn William & Gold St
Langan's;150 W 47th St;Btwn 6th & 7th Ave
Lansdowne Road;599 10th Ave;Btwn 43rd & 44th St
Lansky's Old World Deli;235 Columbus Ave;Btwn 70th & 71st St
Lantern Thai;311 2nd Ave;At 18th St
Lanza's;168 1st Ave;Btwn 10th & 11th St
Lanza's16;8 1st Ave;
Las Chicas Locas;160 W 25th St;
Las Panteras Negras;2130 2nd Ave;Btwn 109th & 110th St
Las Poblanitas;302 W 38th St;At 8th Ave
Las Ramblas;170 W 4th St;Btwn Cornelia & Jones St
Lasagna Restaurant;785 9th Ave;Btwn 52nd & 53rd St
Lasagna Ristorante;196 8th Ave;At 20th St
Lasagna Ristorante;941 2nd Ave;At 50th St
Lassi;28 Greenwich Ave;Btwn Charles & W 10th St
Last Licks Ice Cream;245 E 93rd St;Btwn 2nd & 3rd Ave
Latin Thing;61 B Lexington Ave;Btwn 25th & 26th St
Latitude;783 8th Ave;Btwn 47th & 48th St
Lattanzi;361 W 46th St;Btwn 8th & 9th Ave
Laut;15 E 17th St;Btwn 5th Ave & Broadway
Laut15 E;17th St;
Lavagna;545 E 5th St;Btwn Ave A & Ave B
Lavagna54;5 E 5th St;
Layaly;98 Avenue B;Btwn 6th & 7th St
Lazzara's Pizza Cafe;221 W 38th St;Btwn 7th & 8th Ave
Lazzara's Pizza Cafe;617 9th Ave;Btwn 43rd & 44th St
Lazzat;210 1st Ave;Btwn E 12th & E 13th St
Le Basket;683 Broadway;At Great Jones St
Le Bateau Ivre;230 E 51st St;Btwn 2nd & 3rd Ave
Le Bernardin;155 W 51st St;Btwn 6th & 7th Ave
Le Bilboquet;25 E 63rd St;Btwn Madison & Park Ave
Le Boeuf a la Mode;539 E 81st St;At East End Ave
Le Caire;189 E 3rd St;Btwn Ave A & Ave B
Le Cirque;151 E 58th St;Btwn Lexington & 3rd Ave
Le Colonial;149 E 57th St;Btwn Lexington & 3rd Ave
Le Gamin Cafe;132 Houston St;At Sullivan St
Le Gamin Cafe;536 E 5th St;Btwn Ave A & Ave B
Le Gamin Cafe (CLOSED);132 Houston St;
Le Gigot;18 Cornelia St;Btwn W 4th & Bleecker St
Le Grainne Cafe;183 9th Ave;Btwn 21st & 22nd St
Le Jardin Bistro;25 Cleveland Pl;Btwn Spring & Kenmare St
Le Lupanar;103 Essex St;Btwn Rivington & Delancey St
Le Marais;150 W 46th St;Btwn 6th & 7th Ave
Le Miu;107 Avenue A;Btwn 6th & 7th St
Le Miu (CLOSED);107 Avenue A;
Le Monde;2885 Broadway;Btwn 112th & 113th St
Le Pain Quotidien;124 7th Ave;Btwn 17th & 18th St
Le Pain Quotidien;50 W 72nd St;Btwn CPW & Columbus Ave
Le Pain Quotidien;100 Grand St;Btwn Greene & Mercer St
Le Pain Quotidien;70 W 40th St;At 6th Ave
Le Pain Quotidien;1131 Madison Ave;Btwn 84th & 85th St
Le Pain Quotidien;38 E 19th St;Btwn Bway & Park Ave
Le Pain Quotidien;1270 1st Ave;Btwn 68th & 69th St
Le Pain Quotidien;494 Amsterdam Ave;At 84th St
Le Pain Quotidien;60 W 65th St;Btwn CPW & Columbus Ave
Le Pain Quotidien;922 7th Ave;At W 58th St
Le Pain Quotidien;833 Lexington Ave;At 64th St
Le Pain Quotidien;252 E 77th St;Btwn 2nd & 3rd Ave
Le Pere Pinard;175 Ludlow St;Btwn Houston & Stanton St
Le Perigord;405 E 52nd St;At 1st Ave
Le Petit Belge;22 E 14th St;Btwn 5th Ave & Union Sq W
Le Petit Canard;228 3rd Ave;Btwn 19th & 20th St
Le Petit Un Deux Trois;403 W 43rd St;At 9th Ave
Le Poisson Rouge;158 Bleecker;Btwn Thompson & Sullivan St
Le Refuge;166 E 82nd St;Btwn Lexington & 3rd Ave
Le Rivage;340 W 46th St;Btwn 8th & 9th Ave
Le Singe Vert;160 7th Ave;Btwn 19th & 20th St
Le Soleil;877 10th Ave;Btwn 57th & 58th St
Le Souk;47 Avenue B;Btwn 3rd & 4th St
Le Veau D'or;129 E 60th St;Btwn Park & Lexington Ave
Le Zie;172 7th Ave;Btwn 20th & 21st St
Le Zie172;7th Ave;
LeAn;583 6th Ave;Btwn 16th & 17th St
Lea;230 Park Ave;Btwn 45th & 46th St
Lederhosen;39 Grove St;At Bleecker St
Leela Lounge;1 W 3rd St;Btwn Bway & Mercer St
Legends;6 W 33rd St;
Legends6 W;33rd St;
Lelabar;422 Hudson St;Btwn Leroy & Morton St
Lelabar42;2 Hudson St;
Lemongrass;1571 2nd Ave;Btwn 81st & 82nd St
Lemongrass Grill;84 William St;At Maiden Ln
Lemongrass Grill;138 E 34th St;At Lexington Ave
Lemongrass Grill;2534 Broadway;Btwn 94th & 95th St
Lenny's;108 John St;At Cliff St
Lenny's;489 Columbus Ave;Btwn 83rd & 84th St
Lenny's;613 9th Ave;Btwn 43rd & 44th St
Lenny's;60 W 48th St;Btwn 5th & 6th Ave
Lenny's;1024 2nd Ave;At 54th St
Lenny's;1269 1st Ave;At 68th St
Lenny's;1481 2nd Ave;At 77th St
Lenny's;302 Columbus Ave;Btwn 74th & 75th St
Lenny's;66 W 9th St;At 6th Ave
Lenny's;16 W 23rd St;Btwn 5th & 6th Ave
Lenny's Bagels;2601 Broadway;At 98th St
Lenny's10;8 John St;
Lenny's10;24 2nd Ave;
Lenny's12;69 1st Ave;
Lenny's14;81 2nd Ave;
Lenny's16 W;23rd St;
Lenny's30;2 Columbus Ave;
Lenny's48;9 Columbus Ave;
Lenny's60 W;48th St;
Lenny's61;3 9th Ave;
Lenny's66 W;9th St;
Lenox Hill Grill;1105 Lexington Ave;Btwn 77th & 78th St
Lenox Hill Pizza;1107 Lexington Ave;Btwn 77th & 78th St
Lenox Lounge;288 Lenox Ave;Btwn 124th & 125th St
Leo's Bagels;3 Hanover Sq;At Stone St
Leocadia Milanes;29 W 26th St;Btwn 6th Ave & Bway
Leone Pizza & Pasta;1674 Broadway;Btwn 52nd & 53rd St
Leone Pizza & Pasta (CLOSED);1674 Broadway;
Les Enfants Terribles;37 Canal St;At Ludlow St
Les Halles;411 Park Ave S;Btwn 28th & 29th St
Les Halles;15 John St;Btwn Bway & Nassau St
Les Sans Culottes East;1085 2nd Ave;At 57th St
Levain Bakery;167 W 74th St;Btwn Columbus & Amsterdam Ave
Levana;141 W 69th St;Btwn Bway & Columbus
Levana141 W;69th St;
Lever House;390 Park Ave;At 53rd St
Lex Restaurant;1370 Lexington Ave;Btwn 90th & 91st St
Lexington Deli;660 Lexington Ave;At 55th St
Lexington Grill;1332 Lexington Ave;Btwn 88th & 89th St
Li Hua;171 Grand St;At Baxter St
Li's Restaurant;102 Avenue C;Btwn 6th & 7th St
Libation;137 Ludlow St;Btwn Rivington & Stanton St
Liberatos Pizza;17 Cedar St;Btwn Pearl & William St
Liberty;22 E 49th St;Btwn Madison & 5th Ave
Liberty Bagel & Deli;876 6th Ave;Corner of 31st St
Liberty Cafe;829 3rd Ave;Btwn 50th & 51st St
Liberty View;21 S End Ave;At W Thames St
Liberty22 E;49th St;
Libretto's Pizzeria & Restaurant;546 3rd Ave;Btwn 36th & 37th St
