restaurant;in;address1;address2;address3;neighborhood;phone;type
L’Asso;;192 Mott St;at Kenmare St;;Chinatown/Little Italy;(212-219-2353);Italian
L’Atelier de Joël Robuchon;Mon–Fri;;;;;;
L’Atelier de Joël Robuchon;Four Seasons Hotel New York;;57 E 57th St;between Madison and Park Aves;Midtown East;(212-350-6658);French
L’Atelier du Chocolat;59 W 22nd St;;;;;;
L’Ecole;;462 Broadway;at Grand St;;Soho;(212-219-3300);French
L’Express;;249 Park Ave South;at 20th St;;Gramercy/Flatiron;(212-254-5858);French
L’Orange Bleue;;430 Broome St;at Crosby St;;Soho;(212-226-4999);Moroccan
L’Ulivo;;184 Spring St;between Sullivan and Thompson Sts;;Soho;(212-343-1445);Italian
M & R Bar-Dining Room;;356 Bowery;between Great Jones and E 4th St;;East Village;(212-260-1890);Eclectic
M&G Soul Food Diner (CLOSED);;383 W 125th St;at Morningside Ave;;Harlem;(212-864-7326);American Regional
M. Rohrs’ House of Fine Teas and Coffees;;310 E 86th St;between First and Second Aves;;Upper East Side;(212-772-2513);Cafés & diners
Ma-Ya;;234 E 4th St;between Aves A and B;;Lower East Side;(646-313-1987);Thai
Macao Trading Co.;;311 Church St;between Lispenard and Walker Sts;;Tribeca;(212-431-8750);Eclectic
Macaron Café;;161 W 36th St;between Broadway and Seventh Ave;;Midtown West;(646-573-5048);French
Macelleria;;48 Gansevoort St;between Greenwich and Washington Sts;;Meatpacking District;(212-741-2555);Italian
Macondo;;157 E Houston St;between Allen and Eldridge Sts;;Lower East Side;(212-473-9900);Latin American
Madaleine Mae;;461 Columbus Ave;at 82nd St;;Upper West Side;(212-496-3000);American
Madaleine Mae (CLOSED);;461 Columbus Ave;at 82nd St;;Upper West Side;(212-496-3000);American
Madison & Vine;;299 Madison Ave;at 41st St;;Midtown East;(212-867-5535);American
Madras Café;;79 Second Ave;between 4th and 5th Sts;;East Village;(212-254-8002);Indian
Madras Mahal;;104 Lexington Ave;between 27th and 28th Sts;;Gramercy/Flatiron;(212-684-4010);Indian
Maffei Pizza;;688 Sixth Ave;at 22nd St;;Chelsea;(212-929-0949);Italian: Pizza
Magnolia Bakery;;200 Columbus Ave;at 69th St;;Upper West Side;(212-724-8101);Food or Beverage Shop
Magnolia Bakery;;1240 Sixth Ave;at 49th St;;Midtown West;(212-767-1123);Food or Beverage Shop
Magnolia Bakery;;401 Bleecker St;at Bank St;;West Village;(212-462-2572);Food or Beverage Shop
Mai House;;186 Franklin St;between Greenwich and Hudson Sts;;Tribeca;(212-431-0606);Vietnamese
Maia;;98 Ave B;between 6th and 7th Sts;;East Village;(212-358-1166);Turkish
Maison;;1700 Broadway;between 53rd and 54th Sts;;Midtown West;(212-757-2233);French
Malatesta Trattoria;;649 Washington St;at Christopher St;;West Village;(212-741-1207);Italian
Maloney & Porcelli;;37 E 50th St;between Madison and Park Aves;;Midtown East;(212-750-2233);Steakhouses
Mamajuana Cafe;;247 Dyckman St;at Seaman Ave;;Inwood;(212-304-0140);Latin American
Mama’s Food Shop;;200 E 3rd St;between Aves A and B;;East Village;(212-777-4425);American Regional
Mama’s Mudsliders (CLOSED);;120 Christopher St;between Bleecker and Bedford Sts;;West Village;(646-414-4447);American
Mamlouk (CLOSED);;211 E 4th St;between Aves A and B;;East Village;(212-529-3477);Middle Eastern
Mamoun’s Falafel;;119 MacDougal St;between Bleecker and W 3rd Sts;;Greenwich Village;(212-674-8685);Middle Eastern
Mamoun’s Falafel;;22 St. Marks Pl;between Second and Third Aves;;East Village;(no phone yet);Middle Eastern
Mamá Mexico;;2672 Broadway;between 101st and 102nd Sts;;Upper West Side;(212-864-2323);Mexican
Mamá Mexico;;214 E 49th St;between Second and Third Aves;;Midtown East;(212-935-1316);Mexican
Mana;;646 Amsterdam Ave;between 91st and 92nd Sts;;Upper West Side;(212-787-1110);Vegetarian & Organic
Mandler’s (CLOSED);;601 Eighth Ave;between 39th and 40th Sts;;Midtown West;(212-244-4222);German
Mandler’s: The Original Sausage Co. (CLOSED);;26 E 17th St;between Fifth Ave and Broadway;;Gramercy/Flatiron;(212-255-8999);German
Mandoo Bar;;2 W 32nd St;between Fifth Ave and Broadway;;Midtown West;(212-279-3075);Korean
Mangez Avec Moi;;71-73 West Broadway;between Murray Warren Sts;;Financial District;(212-385-0008);Vietnamese
Mangez Express;;71–73 West Broadway;between Murray and Warren Sts;;Financial District;(212-385-0008);Vietnamese
Mangia e Bevi;;800 Ninth Ave;at 53rd St;;Midtown West;(212-956-3976);Italian
Mangiami;;9 Stanton St;between Bowery and Chrystie St;;Lower East Side;(212-477-7047);Italian
Mangiarini;;1593 Second Ave;between 82nd and 83rd Sts;;Upper East Side;(212-734-5500);Italian
Manhattan Bistro;;129 Spring St;between Greene and Wooster Sts;;Soho;(212-966-3459);French
Maoz Vegetarian;;59 E 8th St;between Broadway and University Pl;;East Village;(212-420-5999);Vegetarian & Organic
Maoz Vegetarian;;38 Union Sq East;between 16th and 17th Sts;;Gramercy/Flatiron;(212-260-1988);Vegetarian & Organic
Maracas Mexican Bar & Grill;;33 Greenwich Ave;between Sixth and Seventh Aves;;West Village;(212-593-6600);Mexican
Mara’s Homemade;;342 E 6th St;between First and Second Aves;;East Village;(212-598-1110);American Regional
Marbella Restaurant;;162 E 33rd St;between Lexington and Third Aves;;Midtown East;(212-725-4499);Spanish
Marc Forgione;134 Reade St;;;;;;
March (CLOSED);;405 E 58th St;between First Ave and Sutton Pl;;Midtown East;(212-754-6272);American Creative
Marco Polo Café;;102 St. Marks Pl;between First Ave and Ave A;;East Village;(212-228-8456);Eclectic
Mardigras;;3 Maiden Ln;between Broadway and Liberty Pl;;Financial District;(212-233-6066);American Regional
Mare;;198 Eighth Ave;at 20th St;;Chelsea;(212-675-7522);Seafood
Marfa;101 E 2nd St;;;;;;
Margie’s Red Rose;;275 W 144th St;between Adam Clayton Powell Jr. Blvd;;Harlem;(212-491-3665);American Regional
Margon;;136 W 46th St;between Sixth and Seventh Aves;;Midtown West;(212-354-5013);Caribbean
Marinella;;49 Carmine St;at Bedford St;;West Village;(212-807-7472);Italian
Mario’s Trattoria;;493 Ninth Ave;between 37th and 38th Sts;;Midtown West;(212-239-3394);Italian
MarkJoseph Steakhouse;;261 Water St;at Peck Slip;;Financial District;(212-277-0020);Steakhouses
Market Cafe;;496 Ninth Ave;between 37th and 38th Sts;;Midtown West;(212-564-7350);American
Market Diner;;572 Eleventh Ave;at 43rd St;;Midtown West;(212-695-0415);American
Market Table;;54 Carmine St;at Bedford St;;West Village;(212-255-2100);American
Markt;;676 Sixth Ave;at 21st St;;Chelsea;(212-727-3314);Belgian
Maroons;;244 W 16th St;between Seventh and Eighth Aves;;Chelsea;(212-206-8640);Caribbean: Jamaican
Maroons (CLOSED);244 W 16th St;;;;;;
Marquet Pâtisserie;;15 E 12th St;between Fifth Ave and University Pl;;Greenwich Village;(212-229-9313);Cafés & diners
Marseille;;630 Ninth Ave;at 44th St;;Midtown West;(212-333-3410);French
Marshall Stack;;66 Rivington St;at Allen St;;Lower East Side;(212-228-4667);Cafés
Marumi;;546 La Guardia Pl;between Bleecker and W 3rd Sts;;Greenwich Village;(212-979-7055);Japanese
Maruzzella;;1483 First Ave;between 77th and 78th Sts;;Upper East Side;(212-988-8877);Italian
Mary’s Fish Camp;;64 Charles St;at W 4th St;;West Village;(646-486-2185);Seafood
Mas;;39 Downing St;between Seventh Ave South and Bedford St;;West Village;(212-255-1790);French
Masa;Time Warner Center;;10 Columbus Circle;at 60th St;fourth floor;Upper West Side;(212-823-9800)
Masala Bollywood (CLOSED);;108 Lexington Ave;between 27th and 28th Sts;;Gramercy/Flatiron;(212-679-1284);Indian
Massawa;;1239 Amsterdam Ave;at 121st St;;Columbia University–City College;(212-663-0505);African: Ethiopian
Massimo Al Ponte Vecchio;;206 Thompson St;between Bleecker and W 3rd Sts;;Greenwich Village;(212-228-7701);Italian
Matador;;57 Greenwich Ave;between Perry and Charles Sts;;West Village;(212-691-0057);Spanish
Matilda;;647 E 11th St;between Aves B and C;;East Village;(212-777-3355);Eclectic
Matsugen;;241 Church St;between Leonard and Worth Sts;;Tribeca;(212-925-0202);Japanese
Matsuri;Maritime Hotel;;369 W 16th St;at Ninth Ave;Chelsea;(212-243-6400);Japanese
MauiWowi Hawaiian Coffees & Smoothies;;1598 Third Ave;between 89th and 90th Sts;;Upper East Side;(212-289-1975);Food or Beverage Shop
Max;;51 Ave B;between 3rd and 4th Sts;;East Village;(212-539-0111);Italian
Max Brenner;;841 Broadway;between 13th and 14th Sts;;Gramercy/Flatiron;(212-388-0030);Chocolate by the Bald Man
Max Brenner;;141 Second Ave;at 9th St;;East Village;(212-388-0030);Chocolate by the Bald Man
Max Brenner;Chocolate by the Bald Man;;841 Broadway;between 13th and 14th Sts;Gramercy/Flatiron;(212-388-0030);Cafés
Max Brenner;Chocolate by the Bald Man;;141 Second Ave;at 9th St;East Village;(212-388-0030);Cafés
Max SoHa;;1274 Amsterdam Ave;at 123rd St;;Columbia University–City College;(212-531-2221);Italian
Maxie’s Grill;;233 Park Ave South;at 19th St;;Gramercy/Flatiron;(212-979-7800);American
Maya;;1191 First Ave;between 64th and 65th Sts;;Upper East Side;(212-585-1818);Mexican
Mayrose (CLOSED);;920 Broadway;at 21st St;;Gramercy/Flatiron;(212-533-3663);American
Maz Mezcal;;316 E 86th St;between First and Second A;;Upper East Side;(212-472-1599);Mexican
Maze;The London NYC Hotel;;151 W 54th St;between Sixth and Seventh Aves;Midtown West;(212-468-8888);Eclectic
McCormick & Schmick’s;;1285 Sixth Ave;at 51st St;;Midtown West;(212-459-1222);Seafood
McFadden’s Restaurant and Saloon;;800 Second Ave;at 42nd St;;Midtown East;(212-986-1515);American
Meade’s;;251 Water St;at Peck Slip;;Financial District;(212-791-1818);Seafood
Medina;;315 Tenth Ave;between 28th and 29th Sts;;Chelsea;(212-239-0057);Moroccan
Megu;;62 Thomas St;between Church St and West Broadway;;Tribeca;(212-964-7777);Japanese
Megu Midtown;845 U.N. Plaza;;Trump World Tower;First Ave;at 47th St;Midtown East;(212-964-7777)
Mehanata (a.k.a. 416 B.C.;;416 Broadway;at Canal St;;Soho;(212-625-0981);a.k.a. Bulgarian Bar)
Mehanata (a.k.a. 416 B.C.;a.k.a. Bulgarian Bar);;416 Broadway;at Canal St;Soho;(212-625-0981);Eastern European
Melba’s;;300 W 114th St;at Frederick Douglass Blvd (Eighth Ave);;Harlem;(212-864-7777);American Regional
Mercadito;;179 Ave B;between 11th and 12th Sts;;East Village;(212-529-6493);Mexican
Mercadito;;;;;;;Mexican
Mercadito;Mexican;;;;;;
Mercadito;0;;;;;;
Mercadito;"Mon–Wed 5pm–midnight; Thu 5pm–1am; Fri 11:30am–4pm";;;;;;
Mercadito Grove;;100 Seventh Ave South;at Grove St;;West Village;(212-647-0830);Mexican
Mercat;;45 Bond St;between Bowery and Lafayette St;;East Village;(212-529-8600);Spanish
Merkato 55;;55 Gansevoort St;between Greenwich and Washington Sts;;Meatpacking District;(212-255-8555);African: Pan-African
Mesa Grill;;102 Fifth Ave;between 15th and 16th Sts;;Gramercy/Flatiron;(212-807-7400);American Regional
Meskel;;199 E 3rd St;between Ave A & B;;East Village;(212-254-2411);African: Ethiopian
Metro Diet;;141 E 56th St;between Lexington and Third Aves;;Midtown East;(212-838-2077);American
Metro Marché;;625 Eighth Ave;at 41st St;;Midtown West;(212-239-1010);French
MetroCafe & Wine Bar;;32 E 21st St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-353-0800);American Creative
MetroCafé & Wine Bar;;32 E 21st St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-353-0800);American Creative
Mexican Radio;;19 Cleveland Pl;between Kenmare and Spring Sts;;Chinatown/Little Italy;(212-343-0140);Mexican
Mexicana Mama;;525 Hudson St;between Charles and W 10th Sts;;West Village;(212-924-4119);Mexican
Mexicana Mama;;47 E 12th St;between Broadway and University Pl;;Greenwich Village;(212-253-7594);Mexican
Mexico Lindo;;459 Second Ave;at 26th St;;Gramercy/Flatiron;(212-679-3665);Mexican
Mezzaluna;;1295 Third Ave;between 74th and 75th Sts;;Upper East Side;(212-535-9600);Italian
Mezzogiorno;;195 Spring St;at Sullivan St;;Soho;(212-334-2112);Italian
Mi Cocina (CLOSED);;57 Jane St;at Hudson St;;West Village;(212-627-8273);Mexican
Mia Dona;;206 E 58th St;between Second and Third Aves;;Midtown East;(212-750-8170);Mediterranean
Michael Jordan’s—The Steak House NYC;Grand Central Terminal;;West Balcony;23 Vanderbilt Ave;at 43rd St;Midtown East;(212-655-2300)
Michael’s;;24 W 55th St;between Fifth and Sixth Aves;;Midtown West;(212-767-0555);American
Mike’s Bistro;;228 W 72nd St;between Broadway and West End Ave;;Upper West Side;(212-799-3911);Kosher
Milant Gourmet Deli;;158 E 39th St;between Lexington and Third Aves;;Midtown East;(212-682-0111);American
Milieu;;601 W 26th St;between Eleventh and Twelfth Aves;;Chelsea;(212-479-7796);American
Milk & Cookies;;19 Commerce St;at Seventh Ave South;;West Village;(212-243-1640);Cafés
Minca;;536 E 5th St;between Aves A and B;;East Village;(212-505-8001);Asian: Pan-Asian
Minetta Tavern;;113 MacDougal St;between Bleecker and W 3rd Sts;;Greenwich Village;(212-475-3850);Eclectic
Mingala Burmese;;1393B Second Ave;between 72nd and 73rd Sts;;Upper East Side;(212-744-8008);Asian: Burmese
Mint;;150 E 50th St;between Lexington and Third Aves;;Midtown East;(212-644-8888);Indian
Miracle Grill;112 First Ave;;;;;;
Miracle Grill;;415 Bleecker St;between Bank and W 11th Sts;;West Village;(212-924-1900);American Regional
Miracle Grill (CLOSED);;112 First Ave;between 6th and 7th Sts;;East Village;(212-254-2353);American Regional
Miracle Grill (CLOSED);415 Bleecker St;;;;;;
Mishima;;164 Lexington Ave;between 30th and 31st Sts;;Midtown East;(212-532-9596);Japanese
Miss Mamie’s Spoonbread Too;;366 W 110th St;between Manhattan and Columbus Aves;;Columbia University–City College;(212-865-6744);American Regional
Miss Maude’s Spoonbread Too;;547 Malcolm X Blvd (Lenox Ave);between 137th and 138th Sts;;Harlem;(212-690-3100);American Regional
Mitchel London Pizza;;456 Ninth Ave;between 35th and 36th Sts;;Midtown West;(212-563-7741);Italian: Pizza
Miyagi;;220 W 13th St;between Seventh and Greenwich Aves;;West Village;(212-620-3830);Japanese
Mizu Sushi;;29 E 20th St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-505-6688);Japanese
Mo Pitkin’s House of Satisfaction (CLOSED);;34 Ave A;between Second and Third Sts;;East Village;(212-777-5660);Eclectic
Moco Global Dining;;516 Third Ave;between 34th and 35th Sts;;Midtown East;(212-685-3663);Eclectic
Moda;Flatotel;;135 W 52nd St;between Sixth and Seventh Aves;Midtown West;(212-887-9880);Italian
Moda Outdoors;Flatotel;;135 W 52nd St;between Sixth and Seventh Aves;Midtown West;(212-887-9870);Italian
Mofongo Depot;;931 Amsterdam Ave;between 105th and 106th Sts;;Upper West Side;(646-707-3904);Caribbean
Moksha (CLOSED);;18 Murray St;between Broadway and Church St;;Financial District;(212-608-0707);Indian
Molyvos;;871 Seventh Ave;between 55th and 56th Sts;;Midtown West;(212-582-7500);Greek
Molé;;205 Allen St;between Houston and Stanton Sts;;Lower East Side;(212-777-3200);Mexican
Momofuku Bakery & Milk Bar;207 Second Ave;;at 13th St;entrance on 13th St;East Village;(212-254-3500);Eclectic
Momofuku Ko;;163 First Ave;at 10th St;;East Village;(no phone);Japanese
Momofuku Noodle Bar;;171 First Ave;between 10th and 11th Sts;;East Village;(212-777-7773);Japanese
Momofuku Ssäm Bar;;207 Second Ave;at 13th St;;East Village;(212-254-3500);Korean
Momokawa;;157 E 28th St;between Lexingtonand Third Aves;;Midtown East;(no phone yet);Japanese
Momoya;;85 Seventh Ave;at 21st St;;Chelsea;(212-989-4466);Japanese
Momoya Amsterdam;;427 Amsterdam Ave;between 80th and 81st Sts;;Upper West Side;(212-580-0007);Japanese
Mondel Chocolates;;2913 Broadway;between 113th and 114th Sts;;Upper West Side;(212-864-2111);Cafés & diners
Monkey Bar;Hotel Elysée;;60 E 54th St;between Madison and Park Aves;Midtown East;(212-838-2600);Asian: Pan-Asian
Monster Sushi;;22 W 46th St;between Fifth and Sixth Aves;;Midtown West;(212-398-7707);Japanese
Monster Sushi;;158 W 23rd St;between Sixth and Seventh Aves;;Chelsea;(212-620-9131);Japanese
Monster Sushi (CLOSED);;535 Hudson St;between Charles and Perry Sts;;West Village;(646-336-1833);Japanese
Montebello;;120 E 56th St;between Park and Lexington Aves;;Midtown East;(212-753-1447);Italian
Monte’s Restaurant;;97 MacDougal St;between Bleecker and W 3rd Sts;;Greenwich Village;(212-228-9194);Italian
Montien;;90 Third Ave;between 12th and 13th Sts;;East Village;(212-475-6814);Thai
Montparnasse;;230 E 51st St;between Second and Third Aves;;Midtown East;(212-758-6633);French
Moomia;;157 Lafayette St;between Grand and Howard Sts;;Soho;(212-219-4006);Moroccan
Mooncake Foods;;28 Watts St;between Sixth Ave and Thompson St;;Soho;(212-219-8888);Asian: Pan-Asian
Moondance (CLOSED);;80 Sixth Ave;between Canal and Grand Sts;;Soho;(212-226-1191);Cafés & diners
Morandi;;211 Waverly Pl;between Seventh Ave South and Charles St;;West Village;(212-627-7575);Italian
Moran’s Chelsea;;146 Tenth Ave;at 19th St;;Chelsea;(212-627-3030);Steakhouses
Morelli’s;;187 Ninth Ave;at 22nd St;;Chelsea;(212-242-7626);Italian
Morimoto;;88 Tenth Ave;between 15th and 16th Sts;;Chelsea;(212-989-8883);Japanese
Morrell Wine Bar & Café;;1 Rockefeller Plaza;at 49th St;;Midtown West;(212-262-7700);Italian
Morton’s The Steakhouse;;551 Fifth Ave;at 45th St;;Midtown West;(212-972-3315);Steakhouses
Mottsu;;285 Mott St;between Houston and Prince Sts;;Chinatown/Little Italy;(212-343-8017);Japanese
Moustache;;265 E 10th St;between First Ave and Ave A;;East Village;(212-228-2022);Middle Eastern
Moustache;;1621 Lexington Ave;at 102nd St;;East Harlem;(212-828-0030);Middle Eastern
Moustache;;90 Bedford St;between Barrow and Grove Sts;;West Village;(212-229-2220);Middle Eastern
Mr. Chow;;324 E 57th St;between First and Second Aves;;Midtown East;(212-751-9030);Chinese
Mr. Chow (Tribeca);;121 Hudson St;at N Moore St;;Tribeca;(212-965-9500);Chinese
Mr. Jones;;243 E 14th St;between Second and Third Aves;;Gramercy/Flatiron;(212-253-7670);Eclectic
Mr. K’s;;570 Lexington Ave;at 51st St;;Midtown East;(212-583-1668);Chinese
Mr. Skewer & Co.;;43 W 14th St;between Fifth and Sixth Aves;;Gramercy/Flatiron;(212-645-0505);Brazilian
Mr. Skewer & Co.;;325 Broadway;between Thomas and Worth Sts;;Financial District;(212-513-0505);Brazilian
Mr. Skewer & Co. (CLOSED);325 Broadway;;;;;;
Mudspot;;307 E 9th St;between First and Second Aves;;East Village;(212-288-9074);Cafés & diners
Murals on 54th;;63 W 54th St;at Sixth Ave;;Midtown West;(212-314-7700);Eclectic
Murray’s Cheese;Grand Central Terminal;;43rd St;at Lexington Ave;Midtown East;(212-922-1540);Food or Beverage Shop
Murray’s Cheese;;254 Bleecker St;between Sixth and Seventh Aves;;Greenwich Village;(212-243-3289);Food or Beverage Shop
Murray’s Real Salami;Grand Central Market;;Lexington Ave;at 43rd St;Midtown East;(212-867-7202);Food or Beverage Shop
Muzzarella Pizza;;221 Ave A;at 14th St;;East Village;(212-614-0905);Italian: Pizza
My Befana (CLOSED);;116 West Houston St;between Sullivan and Thompson Sts;;Soho;(212-473-3238);Mediterranean
Myers of Keswick;;634 Hudson St;between Horatio and Jane Sts;;West Village;(212-691-4194);Food or Beverage Shop
Métisse;;239 W 105th St;between Amsterdam Ave and Broadway;;Upper West Side;(212-666-8825);French
Métrazur;Grand Central Terminal;;East Balcony;42nd St;between Fifth and Madison Aves;Midtown East;(212-687-4600)
NY Dosas;;Washington Sq South;at Sullivan St;;West Village;;Indian
NYC ICY (CLOSED);;628 Tenth Ave;between 44th and 45th Sts;;Midtown West;(no phone yet);American
Naima;;513 W 27th St;between Tenth and Eleventh Aves;;Chelsea;(212-967-4392);Italian
Naka Naka;;458 W 17th St;at Tenth Ave;;Chelsea;(212-929-8544);Japanese
Nam;;110 Reade St;between Church St and West Broadway;;Tribeca;(212-267-1777);Vietnamese
Nam Phuong;;19 Sixth Ave;at Walker St;;Tribeca;(212-431-7715);Vietnamese
Namaskaar;;337A West Broadway;at Grand St;;Soho;(212-625-1112);Indian
Nanoosh;1273 First Ave;;;;;;
Nanoosh Mediterranean Hummus Bar;;2012 Broadway;between 68th and 69th Sts;;Upper West Side;(212-362-7922);Middle Eastern
Naples 45;Met Life Building;;200 Park Ave;at 45th St;entrance on 45th St;Midtown East;(212-972-7001)
Native;;161 Malcolm X Blvd (Lenox Ave);at 118th St;;Harlem;(212-665-2525);Caribbean
Natori;;58 St. Marks Pl;between First and Second Aves;;East Village;(212-533-7711);Japanese
Naya Mezze & Grill;;1057 Second Ave;between 55th and 56th Sts;;Midtown East;(212-319-7777);Middle Eastern
Negril Chelsea;;362 W 23rd St;between Eighth and Ninth Aves;;Chelsea;(212-807-6411);Caribbean: Jamaican
Negril Village;;70 W 3rd St;between La Guardia Pl and Thompson St;;Greenwich Village;(212-477-2804);Caribbean: Jamaican
Nello;;696 Madison Ave;between 62nd and 63rd Sts;;Upper East Side;(212-980-9099);Italian
Nelson Blue;;233–235 Front St;at Peck Slip;;Financial District;(212-346-9090);Australian & New Zealand
Neptune Room Restaurant & Bait Bar (CLOSED);;511 Amsterdam Ave;at 84th St;;Upper West Side;(212-496-4100);Seafood
Nero;;46 Gansevoort St;at Greenwich St;;Meatpacking District;(212-675-5224);Italian
Nessa;;964 Second Ave;at 51st St;;Midtown East;(212-888-1737);American
New Beer Distributors;;167 Chrystie St;between Delancey and Rivington Sts;;Lower East Side;(212-260-4360);Food or Beverage Shop
New Bo Ky Restaurant;;80 Bayard St;between Mott and Mulberry Sts;;Chinatown/Little Italy;(212-406-2292);Chinese
New Green Bo;;66 Bayard St;between Elizabeth and Mott Sts;;Chinatown/Little Italy;(212-625-2359);Previews
New Indonesia & Malaysia Restaurant (CLOSED);;18 Doyers St;between Bowery and Pell St;;Chinatown/Little Italy;(212-267-0088);Asian: Indonesian
New Leaf Café;;Fort Tryon Park;1 Margaret Corbin Dr;;Washington Heights;(212-568-5323);American
New Malaysia Restaurant;Chinatown Arcade #28;;46–48 Bowery;between Bayard and Canal Sts;Chinatown/Little Italy;(212-964-0284);Asian: Malaysian
New Yeah Shanghai Deluxe;;65 Bayard St;between Elizabeth and Mott Sts;;Chinatown/Little Italy;(212-566-4884);Chinese
New York Burger Co.;;303 Park Ave South;between 23rd and 24th Sts;;Gramercy/Flatiron;(212-254-2727);American
New York City Hot Dog Company;;105 Chambers St;at Church St;;Tribeca;(212-240-9550);American
New York Hotdog & Coffee;;245 BleeckerSt;at Leroy St;;West Village;(917-388-2608);Eclectic
New York Kom Tang Kalbi House;;32 W 32nd St;between Fifth Ave and Broadway;;Midtown West;(212-947-8482);Korean
New York Noodle Town;;28 Bowery;at Bayard St;;Chinatown/Little Italy;(212-349-0923);Chinese
Next Door Nobu;;105 Hudson St;at Franklin St;;Tribeca;(212-334-4445);Japanese
Nha Trang;;87 Baxter St;between Walker and White Sts;;Chinatown/Little Italy;(212-233-5948);Vietnamese
Nha Trang;;148 Centre St;between Walker and White Sts;;Chinatown/Little Italy;(212-941-9292);Vietnamese
Nice Matin;;201 W 79th St;at Amsterdam Ave;;Upper West Side;(212-873-6423);French
Nice Restaurant;;30 East Broadway;between Catherine and Market Sts;;Chinatown/Little Italy;(212-406-9776);Chinese
Nick & Stef’s;Madison Square Garden;;9 Pennsylvania Plaza;33rd St;between Seventh and Eighth Aves;Midtown West;(212-563-4444)
Nick & Toni’s;;100 W 67th St;between Columbus Ave and Broadway;;Upper West Side;(212-496-4000);Mediterranean
Nicky’s Vietnamese Sandwiches;;150 E 2nd St;between Aves A and B;;East Village;(212-388-1088);Vietnamese
Nick’s Pizza;;1814 Second Ave;at 94st St;;Upper East Side;(212-987-5700);Italian: Pizza
Nightlife;;132 W 45th St;between Sixth and Seventh Aves;;Midtown West;(212-835-9670);American Creative
Nina’s Argentinian Pizzeria;;1750 Second Ave;between 91st and 92nd Sts;;Upper East Side;(212-426-4627);Argentine
Ninja;;25 Hudson St;between Duane and Reade Sts;;Tribeca;(212-274-8500);Japanese
Nino’s;;1354 First Ave;between 72nd and 73rd Sts;;Upper East Side;(212-988-0002);Italian
Nino’s 208;;208 E 58th St;between Second and Third Aves;;Midtown East;(212-750-7766);Italian
Nino’s Bellissima Pizza;;890 Second Ave;at 47th St;;Midtown East;(212-355-5540);Italian
Nino’s Positano (CLOSED);;890 Second Ave;between 47th and 48th Sts;;Midtown East;(212-355-5540);Italian
Nino’s Tuscany;;117 W 58th St;between Sixth and Seventh Aves;;Midtown West;(212-757-8630);Italian
Ninth Street Espresso;;700 E 9th St;between Aves C and D;;East Village;(212-358-9225);Cafés
Ninth Street Espresso;Chelsea Market;;75 Ninth Ave;between 15th and 16th Sts;Meatpacking District;(212-228-2930);Cafés
Nippon;;155 E 52nd St;between Lexington and Third Aves;;Midtown East;(212-758-0226);Japanese
Nirvana;;346 Lexington Ave;between 39th and 40th Sts;;Midtown East;(212-983-0000);Indian
Nish (CLOSED);;405 E 58th St;between First Ave and Sutton Pl;;Midtown East;(212-754-6272);American Creative
Nizza;;630 Ninth Ave;between 44th and 45th Sts;;Midtown West;(212-956-1800);Italian
No. 28;;28 Carmine St;between Bedford and Bleecker Sts;;West Village;(212-463-9653);Italian: Pizza
Noah’s Ark;;399 Grand St;between Clinton and Suffolk Sts;;Lower East Side;(212-674-2200);Kosher
Noble Food & Wine;;7 Spring St;between Bowery and Elizabeth St;;Chinatown/Little Italy;(212-777-0877);American
Nobu;;105 Hudson St;at Franklin St;;Tribeca;(212-219-0500);Japanese
Nobu 57;;40 W 57th St;between Fifth and Sixth Aves;;Midtown West;(212-757-3000);Japanese
Noche Mexicana;;852 Amsterdam Ave;between 101st and 102nd Sts;;Upper West Side;(212-662-6900);Mexican
Nolita House;;47 E Houston St;between Mott and Mulberry Sts;;Chinatown/Little Italy;(212-625-1712);American
Nomad;;78 Second Ave;between 4th and 5th Sts;;East Village;(212-253-5410);African: Pan-African
Nomado 33;;165 E 33rd St;between Lexington and Third Aves;;Midtown East;(212-889-2833);Japanese
Nonna;;520 Columbus Ave;at 85th St;;Upper West Side;(212-579-3194);Italian
Nonno’s Focacceria;;455 Main St;;;Roosevelt Island;(212-753-2300);Italian
Nooch;;301 W 17th St;at Eighth Ave;;Chelsea;(212-691-8600);Thai
Noodle Bar;;26 Carmine St;at Bleecker St;;West Village;(212-524-6800);Chinese
Noodle Bar Lower East Side;;172 Orchard St;at Stanton St;;Lower East Side;(212-228-9833);Asian: Pan-Asian
Nook;;746 Ninth Ave;between 50th and 51st Sts;;Midtown West;(212-247-5500);Eclectic
Nori;;129 Second Ave;between 7th and 8th Sts;;East Village;(212-677-4825);Japanese
Norimaki;;224 W 35th St;between Seventh and Eighth Aves;;Midtown West;(212-967-8177);Japanese
Norma’s;Le Parker Meridien;;118 W 57th St;between Sixth and Seventh Aves;Midtown West;(212-708-7460);American
North Square;Washington Square Hotel;;103 Waverly Pl;at Washington Sq West;Greenwich Village;(212-254-1200);American Creative
Notaro;;635 Second Ave;between 34th and 35th Sts;;Midtown East;(212-686-3400);Italian
Nougatine and Mistral Terrace;Trump International Hotel & Tower;;1 Central Park West;at Columbus Circle;Upper West Side;(212-299-3900);French
Novecento;;343 West Broadway;between Broome and Grand Sts;;Soho;(212-925-4706);Argentine
