1;2_x
Riingo;Midtown East
Risotteria;West Village
Ristorante DeGrezia;Midtown East
Ristorante San Pietro;Midtown East
Rive Gauche;Upper East Side
Rivoli Pizza;West Village
Robert's Steakhouse;Hell's Kitchen
Roberto Passon;Hell's Kitchen
Robongi Sushi;West Village
Roc;Tribeca
Rocco;West Village
Rocco's Pastry Shop;nan
Rock Center Café;Midtown West
Rocket Joe's East;Lower East Side
Rocking Horse Cafe;Chelsea
Rohm;Flatiron
Rolf's;Gramercy
Ronnybrook Milk Bar;Chelsea
Roomali;Gramercy
Roots & Vines;Lower East Side
Roppongi;Upper West Side
Rosa Mexicano;Upper West Side
Rosa Mexicano;Midtown East
Rosa Mexicano;Flatiron
Rosanjin;Tribeca
Rosario's Pizza;Lower East Side
Rosie O'Grady's Times Square;Times Square
Rossetti’s Pizza;Soho
Rossini's;Murray Hill/Kips Bay
Roth's Westside Steakhouse;Upper West Side
Rothmann's Steakhouse & Grill;Midtown East
Roti Plus;Harlem
Roti Roll Bombay Frankie;Upper West Side
Rouge Tomate;Upper East Side
Route 66 Cafe;Hell's Kitchen
Roxy Delicatessen;Times Square
Roy's New York;Financial/Battery Pk
Royal Siam;Chelsea
Royale Cafe + Pastry;West Village
Ruby Foo's;Times Square
Ruby’s Café;Nolita
Rue 57;Midtown West
Russian Samovar;Times Square
Ruth's Chris Steakhouse;Times Square
SEA;East Village
STK;Meatpacking District
SUteiSHI;Financial/Battery Pk
Saburi;Murray Hill/Kips Bay
Sachiko’s on Clinton;Lower East Side
Sacred Chow;West Village
Safran;Chelsea
Sahara East;East Village
Sahara Grill;Midtown West
Sahara's Turkish Cuisine;Gramercy
Saigon Grill;Upper West Side
Saigon Grill;West Village
Saint’s Alp Teahouse;East Village
Saji's;Upper West Side
Saju;Times Square
Sake Bar Hagi;Times Square
Sake Bar Satsko;East Village
Sake Hana;Upper East Side
Sakura Hana;West Village
Sal's & Carmine's Pizza;Upper West Side
Sala;East Village
Sala Thai;Upper East Side
Salaam Bombay;Tribeca
Salam Café;West Village
Salmon River;Midtown West
Salon de Tapas;West Village
Salsa y Salsa;Chelsea
Salt Bar;Lower East Side
Salud! Restaurant & Bar;Financial/Battery Pk
Salumeria Rosi;nan
Salute!;Midtown West
Samad's;Morningside Hts
Samalita's Sunflower Restaurant;Upper East Side
Sambuca;Upper West Side
Sammy's Noodle Shop & Grill;West Village
Sammy's Roumanian Steak House;Lower East Side
San Martin;Midtown East
San Martin Restaurant;Midtown East
Sandro's;Upper East Side
Sandwich Planet;Hell's Kitchen
Sangam;West Village
Sant Ambroeus;West Village
Santa Fe;Upper West Side
Sanur Restaurant;Chinatown
Sapphire;Upper West Side
Sapporo;Times Square
Sapporo East;East Village
Saravanaas;Gramercy
Sardi's;Times Square
Sarge's Delicatessen;Murray Hill/Kips Bay
Sasabune;Upper East Side
Sau Voi Corp.;Chinatown
Saucy;Upper East Side
Savarona;Midtown East
Savore;Soho
Savoy;Soho
Sawa Sushi;West Village
Scaletta;Upper West Side
Scalinatella;Upper East Side
Scalini Fedeli;Tribeca
Scarlatto;Times Square
Scarpetta;Chelsea
Schiller's Liquor Bar;Lower East Side
Scuderia;nan
Secession;nan
Sel & Poivre;Upper East Side
Selena;Midtown West
Seoul Garden;Midtown West
Seppi's;Midtown West
Sequoia;Financial/Battery Pk
Serafina;Upper East Side
Serafina Broadway;Midtown West
Serafina on Lafayette;East Village
Serendipity 3;Upper East Side
Sette;Chelsea
Sette Mezzo;Upper East Side
Seven Bar & Grill;Midtown West
Sevilla;West Village
Seymour Burton;East Village
Sezz Medì;Morningside Hts
Sfoglia;Upper East Side
Shabu-Shabu 70;Upper East Side
Shabu-Tatsu;East Village
Shaburi;Murray Hill/Kips Bay
Shaffer City Oyster Bar & Grill;Flatiron
Shake Shack;Flatiron
Shake Shack;Upper West Side
Shalizar;Upper East Side
Shamrat;Upper East Side
Shang;Lower East Side
Shanghai Cuisine;Chinatown
Shanghai Pavilion;Upper East Side
Sharaku;East Village
Sharz Café & Wine Bar;Upper East Side
Sheep Meadow Cafe;Upper West Side
Shelly's Tradizionale;Midtown West
Sheng Wang;Lower East Side
Shimizu;Hell's Kitchen
Shinbashi;Midtown East
Shopsin's;Lower East Side
Shorty's;Hell's Kitchen
Shorty's.32;Soho
Shula’s;Times Square
Shun Lee;Upper West Side
Shun Lee Palace;Midtown East
Sicaffé;Upper East Side
Sidecar;Midtown East
Sidewalk Cafe;East Village
Sigiri;East Village
Silver Spurs;West Village
Silver Star;Upper East Side
Silver Swan;Flatiron
Simply Pasta;Times Square
Sip Sak;Midtown East
Sisters Caribbean Cuisine;Spanish Harlem
Sistina;Upper East Side
Sitar;Midtown West
Skylight Diner;Hell's Kitchen
Slice, the Perfect Food;Upper East Side
Smith & Mills;Tribeca
Smith & Wollensky;Midtown East
Smith's;West Village
Smokin’ Q;Midtown West
Smorgas Chef;nan
SnAKS;Midtown East
Snack;Soho
Snack Dragon Taco Shack;East Village
Snack Taverna;West Village
Soba Nippon;Midtown West
Soba Totto;Midtown East
Soba-Ya;East Village
Sobakoh;East Village
Socarrat Paella Bar;Chelsea
Society Coffee Lounge;Harlem
Sofrito;Midtown East
Soho House;Meatpacking District
Sokhna Restaurant;Harlem
Solera;Midtown East
Solex;East Village
Solo Pizza;East Village
Son Cubano;Chelsea
Song Chu Mei;West Village
Sookk;Upper West Side
Sorella;nan
Soto;West Village
Souen;Soho
Souen;West Village
Soul Fixins;Hell's Kitchen
Sounkyo Sushi;Midtown East
Soup Burg;Upper East Side
South Gate;Midtown West
SouthWest NY;Battery Park City
Southern Hospitality;Upper East Side
Souths;Tribeca
Southside Café;Times Square
Soy;Lower East Side
Soy Luck Club;West Village
Spain Restaurant;West Village
Spanky’s BBQ;Times Square
Sparks;Midtown East
Spice Cove;East Village
Spice Market;Meatpacking District
Spiga;Upper West Side
Spigolo;Upper East Side
Spitzer's Corner;Lower East Side
Spoon;Flatiron
Spotlight Live;Times Square
Spring Street Natural;Nolita
Spunto;nan
Square Diner;Tribeca
St. Andrews;Times Square
Stage Deli;Midtown West
Stand;West Village
Starwich;Hell's Kitchen
Steak Frites;West Village
Steamers Landing;Battery Park City
Stella Maris;Financial/Battery Pk
Stella del Mare;Murray Hill/Kips Bay
Sticky Rice;Lower East Side
Stone Street Tavern;Financial/Battery Pk
Strictly Roots;Harlem
Strip House;West Village
Stromboli Pizzeria;West Village
Su Ra;East Village
Suba;Lower East Side
Sueños;Chelsea
Sugiyama;Midtown West
Sukhadia’s;Midtown West
Sullivan Diner;West Village
Sumile Sushi;West Village
Sundaes and Cones;East Village
Super Taste Restaurant;Lower East Side
Supermac;Midtown West
Supper;East Village
Surf City Squeeze;West Village
Surya;West Village
Sushi Azabu;Tribeca
Sushi Damo * Damo;Hell's Kitchen
Sushi Hana;Upper East Side
Sushi Mambo;West Village
Sushi Seki;Upper East Side
Sushi Sen-nin @ 33rd;Murray Hill/Kips Bay
Sushi Twist;Flatiron
Sushi Yasuda;Midtown East
Sushi Zen;Times Square
Sushi a-go-go;Upper West Side
Sushi of Gari;Upper East Side
Sushi on Hudson;West Village
Sushi-Ann;Midtown East
SushiSamba;Gramercy
SushiSamba 7;West Village
Sushiden;Times Square
Sushiden;Midtown East
Sushiya;Midtown West
Suzie's;West Village
Sweetiepie;nan
Swich Pressed Sandwiches;Chelsea
Swifty's;Upper East Side
Swing 46;Hell's Kitchen
Swish Cafe & Shabu Shabu;West Village
Swizz Restaurant & Wine Bar;Hell's Kitchen
Sylvia’s;Harlem
Szechuan Gourmet;Midtown West
Sòlo;Midtown East
S’MAC;East Village
T Salon;Chelsea
T-Bar Steak & Lounge;Upper East Side
T.G.I. Friday's;Times Square
T.S. Ma;Hell's Kitchen
TOM: Tuesday Dinner;Flatiron
TOWN;Midtown West
Taam-Tov;Midtown West
Tabla;Flatiron
Tabla Street Cart;Flatiron
Table 8;East Village
Table Tales Café;Financial/Battery Pk
Table d'Hôte;Upper East Side
Taboon;Hell's Kitchen
Taco Taco;Upper East Side
Tafu;Midtown East
Tagine Dining Gallery;Hell's Kitchen
Tai Thai;East Village
Tailor;Soho
Takahachi;Tribeca
Takahachi;East Village
Taksim;Midtown East
Talay;Harlem
Talia's Steakhouse;Upper West Side
Tamarind;Flatiron
Tanaka Sushi;Midtown East
Tang Pavilion;Midtown West
Tang Tang;Upper East Side
Tanti Baci Caffe;West Village
Tao Asian Bistro;Midtown East
Taqueria y Fonda la Mexicana;Upper West Side
Tarallucci e Vino;nan
Tartine;West Village
Taste Restaurant & Wine Bar;Upper East Side
Tataki;Tribeca
Tavern on Jane;West Village
Tavern on The Green;Upper West Side
Taïm;West Village
Tea & Sympathy;West Village
Tea Box Café;Midtown East
Tebaya;Chelsea
Ted's Montana Grill;Times Square
Tehuitzingo Mexican Deli;Hell's Kitchen
Telegraph;Chelsea
Telepan;Upper West Side
Telephone Bar and Grill;East Village
Tello's;Chelsea
Teodora;Midtown East
Terrace 5;Midtown West
Terrace in the Sky;Morningside Hts
Terroir;East Village
Thai Angel;Soho
Thai Market;Upper West Side
Thai Me Up;East Village
Thai Terminal;East Village
ThaiNY;Gramercy
Thalassa;Tribeca
Thalia;Times Square
The Atrium Cafe;Midtown East
The Bagel Café and Ray's Pizza;East Village
The Bar @ Etats-Unis;Upper East Side
The Bar Room;Midtown West
The Barclay Restaurant & Terrace;Midtown East
The Beach Café;Upper East Side
The Bigger Place;Financial/Battery Pk
The Black Duck;Gramercy
The Blue Seats;Lower East Side
The Cafe at Country;Murray Hill/Kips Bay
The Capital Grille;Midtown East
The City Bakery;Flatiron
The City Grill;Upper West Side
The Coffee Pot;Hell's Kitchen
The Coffee Shop;Union Square
The Coliseum Bar & Restaurant;Hell's Kitchen
The Commodore Grill;Midtown East
The Cotton Club;Morningside Hts
The Country Kebab;Financial/Battery Pk
The Cub Room;Soho
The Delta Grill;Hell's Kitchen
The Diner;Chelsea
The E.U.;East Village
The Elephant;East Village
The Fitz;Midtown East
The Four Seasons Restaurant;Midtown East
The Great Burrito;Upper West Side
The Green Table;Chelsea
The Half Pint;West Village
The Harlem Tea Room;Spanish Harlem
The Harrison;Tribeca
The Hog Pit;Meatpacking District
The House;Union Square
The Jamaican Dutchy;Times Square
The John Dory;Chelsea
The Libertine;Financial/Battery Pk
The Library at 540 Park;Upper East Side
The London Bar;Midtown West
The Madras Cafe;East Village
The Mercer Kitchen;Soho
The Mercury Dime;nan
The Mermaid Inn;East Village
The Mermaid Inn;Upper West Side
The Modern;Midtown West
The Neptune Room;Upper West Side
The New French;West Village
The Oak Room;Midtown East
The Odeon;Tribeca
The Orchard;Lower East Side
The Organic Grill;East Village
The Original Chinatown Ice Cream Factory;Chinatown
The Original Sandwich Shoppe;West Village
The Palm;Midtown East
The Palm West;Times Square
The Park;Chelsea
The Park Room;Midtown West
The Pizzeria;West Village
The Place;West Village
The Post House;Upper East Side
The Prime Grill;Midtown East
The Red Cat;Chelsea
The Redhead;East Village
The Restaurant at Splashlight Studios;Hell's Kitchen
The Restaurant at The Benjamin Hotel;Midtown East
The River Room;Harlem
The Round Table Room;Midtown West
The Russian Tea Room;Midtown West
The Sea Grill;Midtown West
The Shark Bar;Upper West Side
The Smith;East Village
The Soda Shop;Tribeca
The Spotted Pig;West Village
The Stanton Social;Lower East Side
The Steakhouse at Fairway;Upper West Side
The Stoned Crow;West Village
The Sunburnt Cow;East Village
The Symposium Restaurant;Morningside Hts
The Trie Café;Wash Hts/Inwood
The View;Times Square
The Village Den Restaurant;West Village
The Village Lantern;West Village
The Water Club;Murray Hill/Kips Bay
The Waverly Inn;West Village
The Wicked Wolf;Upper East Side
The Yoghurt Place II;Soho
Think Coffee;East Village
Think Coffee;West Village
Thompson Café;Soho
Thor;Lower East Side
Three of Cups;East Village
Thé Adoré;West Village
Tick Tock Diner;Hell's Kitchen
Tides Seafood;Lower East Side
Tiengarden;Lower East Side
Tiffin Wallah;Murray Hill/Kips Bay
Tiny's Giant Sandwich Shop;Lower East Side
Tio Pepe;West Village
Tiramisu;Upper East Side
Tisserie;Union Square
Ti­­pico Dominicano Restaurant;Wash Hts/Inwood
Tkettle;East Village
Toast;Morningside Hts
Toasties East;Midtown East
Toasties Union Square;Union Square
Tocqueville;Union Square
Todai;Murray Hill/Kips Bay
Todd English's Olives New York;Union Square
Tokyo Bar;Tribeca
Tokyo La Men;West Village
Toledo;Murray Hill/Kips Bay
Toloache;Times Square
Tomo Sushi and Sake Bar;Morningside Hts
Tomoe Sushi;West Village
"Tony ""the Dragon"" Dragonas";Upper East Side
Tony's;Upper East Side
Tony's Di Napoli;Upper East Side
Tony's Di Napoli;Times Square
Toons;West Village
Topaz Thai;Midtown West
Tora Ido Sushi;West Village
Tossed;Midtown West
Tossed;Gramercy
Totonno's;Upper East Side
Totonno's;Gramercy
Tout Va Bien;Hell's Kitchen
Tracy Stern SALONTEA TeaBar;nan
Trailer Park Lounge & Grill;Chelsea
Tramway Diner;Upper East Side
Trata Estiatorio;Upper East Side
Trattoria Alba;Murray Hill/Kips Bay
Trattoria Dopo Teatro;Times Square
Trattoria Spaghetto;West Village
Trattoria dell'Arte;Midtown West
Tre Dici;Chelsea
Tre Dici Steak;Chelsea
Tree;East Village
Tres Pasos;Harlem
Trestle on Tenth;Chelsea
Triangolo;Upper East Side
Tribal Spears Gallery and Café;Harlem
Tribeca Grill;Tribeca
Tribeca Hana;Tribeca
Tribeca Pizzeria;Tribeca
Trio;Murray Hill/Kips Bay
Triomphe;Midtown West
Tropica;Midtown East
Trump Café;Midtown East
Trump Grill;Midtown East
Tsampa;East Village
Tse Yang;Midtown East
Tsuki;Upper East Side
Tsushima;Midtown East
Tuck Shop;East Village
Tulcingo Del Valle;Hell's Kitchen
Turkish Cuisine;Hell's Kitchen
Turkish Kitchen;Gramercy
Turks & Frogs Tribeca;Tribeca
Turkuaz;Upper West Side
Turquoise;Upper East Side
Tutto Bene;West Village
Tía Pol;Chelsea
Ukrainian East Village Restaurant;East Village
Ulysses’;Financial/Battery Pk
Umberto's Clam House;Little Italy
Una Pizza Napoletana;East Village
Uncle Jack's Steakhouse;Hell's Kitchen
Uncle Marky's Organics;Midtown East
Uncle Moe's Burrito & Taco Shop;Flatiron
Uncle Nick's;Hell's Kitchen
Union Square Ballroom Lounge;Union Square
Union Square Cafe;Union Square
University Restaurant;West Village
Upstairs at '21';Midtown West
Upstairs at Bouley Bakery;Tribeca
Upstairs at Eli's Vinegar Factory;Upper East Side
Uptown Juice Bar;Harlem
Ushiwakamaru;West Village
Uskudar;Upper East Side
Utsav Festive India;Times Square
Uva;Upper East Side
V & T Pizzeria;Morningside Hts
Va Bene;Upper East Side
Vai;Upper West Side
Valbella;Meatpacking District
Valdino West;West Village
Vandam Diner;Soho
Vanessa’s Dumplings;East Village
Vegetarian Dim Sum House;Chinatown
Vegetarian's Paradise 2;West Village
Vento Trattoria;Meatpacking District
Veritas;Flatiron
Vermicelli;Upper East Side
Vero Panini & Wine Bar;Upper East Side
Veselka;East Village
Vespa;Upper East Side
Via Brasil;Midtown West
Via Delle Zoccolette;East Village
Via Emilia;Flatiron
Via Oreto;Upper East Side
Via Quadronno;Upper East Side
Viand;Upper East Side
Viang Ping;Gramercy
Vice Versa;Hell's Kitchen
Viceroy;Chelsea
Vico Ristorante;Upper East Side
Victor's Café;Times Square
Viet Café;Tribeca
Viet-Nam Banh Mi So 1;Little Italy
Villa Berulia;Murray Hill/Kips Bay
Villa Mosconi;West Village
Village;West Village
Village Mingala;East Village
Village Natural;West Village
Village Pizza;West Village
Village Tart;nan
Vince & Eddie's;Upper West Side
Vincent's;Little Italy
Vinci's;Upper East Side
Vinny Vincenz;East Village
Vintage Irving;Union Square
Vintage New York Wine Bar;Soho
Virgil's Real Barbecue;Times Square
Vivolo;Upper East Side
Volare;West Village
Vong;Midtown East
Vox Pop;East Village
Voza Restaurant;Upper West Side
Vynl;Hell's Kitchen
WaWa Canteen;West Village
Wai? Cafe;Chelsea
Wai? Cafe;East Village
Waldy's Wood-Fired Pizza & Penne;Flatiron
Wallsé;West Village
Washington Square Diner;West Village
Water Moon;Upper West Side
Waterfront Ale House;Murray Hill/Kips Bay
Waterstone Grill;Financial/Battery Pk
Waverly Restaurant;West Village
Wechsler’s Currywurst & Bratwurst;nan
West Bank Cafe;Hell's Kitchen
West Branch;Upper West Side
Westville;West Village
Westville East;East Village
Westway Diner;Hell's Kitchen
White Slab Palace;nan
Whym;Hell's Kitchen
Wild Ginger;Little Italy
Wild Ginger;West Village
Wild Salmon;Midtown East
Wildgreen Cafe;Upper East Side
Wildwood Barbeque;Gramercy
Wilfie & Nell;West Village
Winner's Circle Restaurant;Midtown West
Wo Hop;Chinatown
Wogie's Bar & Grill;West Village
Wok to Walk;West Village
Wolfgang's Steakhouse;Tribeca
Wolfgang's Steakhouse;Murray Hill/Kips Bay
Wollensky's Grill;Midtown East
Wondee Siam;Hell's Kitchen
Wondee Siam II;Hell's Kitchen
Wonjo Korean Restaurant;Midtown West
Woo Chon;Midtown West
Woo Lae Oak;Soho
World Yacht Dining Cruises;Hell's Kitchen
Xai Xai;nan
Xe Lua;Chinatown
Xinjiang Kebabs;Lower East Side
Xunta Tapas Bar;East Village
Yaffa Cafe;East Village
Yaffa's Tea Room;Tribeca
Yakiniku West;East Village
Yakitori Taisho;East Village
Yakitori Totto;Midtown West
Yama;Union Square
Yatagan Kebab House;West Village
Yoláto;West Village
Yoshinoya;Times Square
Yozakura Kushiyaki Bar;nan
Yuca Bar;East Village
Yuka;Upper East Side
Yuki Sushi;Upper West Side
Yum Yum Bangkok;Hell's Kitchen
Yummy House;East Village
Yummy Noodles;Chinatown
Yummy Shawarmy;Chelsea
Yummy Sushi;Midtown West
Yummy Village;West Village
Yuva Frontier Indian Grill;Midtown East
Zabar's Café;Upper West Side
Zabb City;East Village
Zaitzeff;East Village
Zaitzeff;Financial/Battery Pk
Zampa Winebar + Kitchen;West Village
Zarela;Midtown East
Zebú Grill;Upper East Side
Zen Palate;Hell's Kitchen
Zenith;Hell's Kitchen
Zeppelin;nan
Zereoué;Murray Hill/Kips Bay
Zerza;East Village
Zesty Pizza and Deli;Upper East Side
Zeytin;Upper West Side
Zeytuna;Financial/Battery Pk
Zibetto Espresso Bar;Financial/Battery Pk
Zibetto Espresso Bar;Midtown West
Ziggiz;Gramercy
Zipper Tavern;Hell's Kitchen
Zoma;Harlem
Zona Rosa;Midtown West
Zoë;Soho
Zucchero e Pomodori;Upper East Side
Zucco: Le French Diner;Lower East Side
Zuni;Hell's Kitchen
Zutto;Tribeca
Zócalo;Upper East Side
Zócalo;Midtown East
bar Q;West Village
barmarché;Nolita
bluechili;Times Square
bonbon chicken;Tribeca
bread & olive;Financial/Battery Pk
bread & olive;Midtown West
brgr;Chelsea
brown café;Lower East Side
bär-bo-ne;East Village
cc's cafe;West Village
david burke townhouse;Upper East Side
dell’anima;West Village
elmo;Chelsea
fetch;Upper East Side
fresh.;Tribeca
i Trulli;Gramercy
il laboratorio del gelato;Lower East Side
ilili;Flatiron
isle;West Village
local;Soho
one fish two fish;Spanish Harlem
salt;Soho
subtle tea;Murray Hill/Kips Bay
teany;Lower East Side
the little owl;West Village
unWINEd;Upper West Side
wd~50;Lower East Side
¡Vamos!;Gramercy
ápizz;Lower East Side
‘21’ Club;Midtown West
’Inoteca and Liquiri Bar;nan
’beca Restaurant;Tribeca
’ino;West Village
’inoteca;Lower East Side
