restaurant;neighborhood
Matsuri;Chelsea
Matsuya;TriBeCa/SoHo
Matt's Grill;Midtown West
Maureen's Passion;Upper E. Side
Maurizio Trattoria;W. Village
Mavalli Palace;Murray Hill
Max;E. Village
Max Brenner, Chocolate by the Bald Man;Flatiron/U. Sq.
Max SoHa;Upper W. Side
Maxmil Cafe and Creperie;Upper W. Side
May & May Restaurnat;E. Village
May May Kitchen;Lower E. Side
May Wah Fast Food;Chinatown
Maya;Upper E. Side
Maya Hurapan Kitchen;E. Village
Mayfair Cafe & Sweet Shoppe;Midtown West
Mayfair Restaurant;Midtown East
Maz Mezcal Mexican Restaurant;Upper E. Side
McCormick & Schmick's;Midtown West
McSorley's Old Ale House;E. Village
Mediterranean;Upper E. Side
Mee Noodle Shop;Murray Hill
Mee Noodle Shop;Midtown East
Mee Noodle Shop;Midtown West
Mee Noodle Shop;E. Village
Megu;TriBeCa/SoHo
Melampo Imported Foods;TriBeCa/SoHo
Melange Fine Food & Catering;Upper E. Side
Melange Food Fair;Upper E. Side
Melange Gourmet;Upper E. Side
Meli Melo;Murray Hill
Meltemi;Midtown East
Menchanko-Tei;Midtown West
Menchanko-Tei Restaurant;Midtown West
Mendy's Food Court;Midtown East
Mendy's Restaurant;Murray Hill
Mercadito;E. Village
Mercadito Grove;W. Village
Merchants, N.Y.;Upper E. Side
Merchants, N.Y.;Chelsea
Meridiana;Upper W. Side
Mermaid Inn;E. Village
Mesa De Espana Restaurant Inc;Murray Hill
Mesa Grill;Chelsea
Meskel Ethiopian Restaurant;E. Village
Meskerem;Midtown West
Meson Sevilla;Midtown West
Messina Cafe;Murray Hill
Metisse;Upper W. Side
Metro 53;Midtown East
Metro Fish;Murray Hill
Metro Grill;Midtown West
Mexican Radio;TriBeCa/SoHo
Mexicana Mama;W. Village
Mexico Lindo Restaurant;Flatiron/U. Sq.
Mezzaluna;Upper E. Side
Mezzogiorno;TriBeCa/SoHo
Mi;Flatiron/U. Sq.
Mi Cocina (CLOSED);W. Village
Mi Nidito;Midtown West
Mi Pais;Upper W. Side
Mica Bar;Midtown East
Michael & Zoe's Cafe & Bakery;Lower E. Side
Michael's;Midtown West
Michael's Pub At The Park — Lombardy Hotel;Midtown East
Michangelo;Midtown West
Mickey Mantle's;Midtown West
Micro Cafe;Upper W. Side
Midnite Express Restaurant;Upper E. Side
Midway;W. Village
Mie Japanese Restaurant;E. Village
Mike's Pizza;Flatiron/U. Sq.
Mike's Take-Away;Midtown East
Milan Cafe & Coffee Bar;Chelsea
Mill Korean;Upper W. Side
Millennium;Lower Manhattan
Millers Tea Room;W. Village
Milon Restaurant;E. Village
Mimi Lee Restaurant;Midtown West
Mimi's Macaroni;Upper W. Side
Mimi's Pizza & Family Rstrnt;Upper E. Side
Mimi's Restaurant;Midtown East
Mimmo's Pizza;Murray Hill
Minamoto Kitchoan;Midtown West
Minar's Taj;Midtown West
Minca;E. Village
Mindy's Restaurant;Midtown East
Minetta Tavern;W. Village
Ming's Delight Inc;Murray Hill
Ming's Wok;Upper W. Side
Mingala Burmese Restaurant;E. Village
Mingala West;Upper W. Side
Mini Thai Cafe;E. Village
Minx Coffee Shop;Chelsea
Miracle Bar & Grill;W. Village
Miracle Grill;E. Village
Miracle Grill (CLOSED);E. Village
Misakiya;Upper E. Side
Mishima;Murray Hill
Miss Mamie's Spoonbread Too;Upper W. Side
Miss Saigon;Upper E. Side
Mission Burrito;E. Village
Mitali Restaurant;E. Village
Mitali West;W. Village
Mitchel London Foods;Midtown West
Miyagi;W. Village
Mo's Caribbean Bar & Grill;Upper E. Side
Mod;Upper W. Side
Moda;Midtown West
Mogador;E. Village
Mojo;E. Village
Molly's;Flatiron/U. Sq.
Molyvos;Midtown West
Mom's Bagels & Capstone Catering;Midtown West
Momofuku Noodle Bar;E. Village
Momofuku Ssam Bar;E. Village
Momoya;Chelsea
Mon Petit Cafe Inc;Midtown East
Mona Lisa Gourmet Pizza;W. Village
Monaco;Upper W. Side
Monck's Corner;Midtown West
Mondo Cane;W. Village
Money Tree;Midtown West
Monkey Bar (Closed for renovations);Midtown East
Mono;W. Village
Monster;W. Village
Monster Sushi;Chelsea
Mont Blanc;Midtown West
Monte Tecla;Midtown West
Monte's Trattoria;W. Village
Montebello;Midtown East
Montien Thai Cuisine Mtc;E. Village
Montparnasse;Midtown East
Moonrock Diner;Midtown West
Moonstruck Diner Restaurant;Chelsea
Moonstruck East Restaurant;Murray Hill
Moran's Bar & Grill;Lower Manhattan
Moran's Chelsea;Chelsea
Morandi;W. Village
Moreno;Flatiron/U. Sq.
Morgan Court Cafe;Murray Hill
Morgan Dining Room;Midtown East
Morgan Williams Restaurant;Lower Manhattan
Morimoto;Chelsea
Mormando's;Upper W. Side
Morning Star Restaurant;Midtown West
Morrell Wine Bar & Cafe;Midtown East
Morton's of Chicago;Midtown East
Mosaico;Murray Hill
Mottsu;TriBeCa/SoHo
Moustache;E. Village
Moustache;W. Village
Mr Biggs Bar & Grill;Midtown West
Mr Broadway Glatt Kosher;Midtown West
Mr Chips Coffee Shop;Upper E. Side
Mr Soup;Midtown West
Mr Tang Of 50 Mott St;Chinatown
Mr. Chow;Midtown East
Mr. Chow Tribeca;TriBeCa/SoHo
Mr. D;Chelsea
Mr. K's;Midtown East
Mr. Soup;Midtown West
Mudville 9;Lower Manhattan
Mueng Thai;Chinatown
Mughlai;Upper W. Side
Mughul-e-azam Restaurant;Lower E. Side
Mugi Japanese Restaurant;Midtown West
Mugshot Saloon;Upper E. Side
Mumbles Restaurant;Flatiron/U. Sq.
Mumtaz India Restaurant;Upper E. Side
Munson Diner;Midtown West
Murray Hill Tavern;Murray Hill
Murray's Sturgeon Shop;Upper W. Side
Murry Hill Tavern;Murray Hill
Musette;Flatiron/U. Sq.
Mustang Grill;Upper E. Side
My Most Favorite Dessert Co;Midtown West
Mythos Restaurant;W. Village
N Y Famous Pizzeria;E. Village
N Y Sarashina;Midtown West
Nada Sushi Restaurant Inc;Midtown East
Nadaman Hakubai;Murray Hill
Nader Restaurant Park Avenue;Murray Hill
Nadine's;W. Village
Naka Naka;Chelsea
Naked Lunch;TriBeCa/SoHo
Nam;TriBeCa/SoHo
Naniwa Of Japan Inc;Midtown West
Nanni's Restaurant;Midtown East
Naples 45;Midtown East
Nascimento;Upper E. Side
Nation;Midtown West
Nations Cafe;Midtown East
Natural Restaurante Inc;Chinatown
Naturally Tasty;Flatiron/U. Sq.
Nature Works Health Food;Midtown West
Neary's Pub;Midtown East
Nectar Coffee Shop;Upper E. Side
Negril Caribbean;Chelsea
Negroni;Midtown West
Nello's;Upper E. Side
Neptune Room;Upper W. Side
Nero;W. Village
New Amsterdam Chinese Rstrnt;Upper W. Side
New Baby Buddha Restaurant;W. Village
New Chao Chow;Chinatown
New China Restaurant;Chelsea
New Day Restaurant;Lower E. Side
New Delhi Indian Restaurant;Murray Hill
New Eastern Villa Restaurant;Chinatown
New Gold Island Restaurant;Chinatown
New Green Bo;Chinatown
New Hop Kwan;Chinatown
New Lex Coffee Shop;Midtown East
New Madras Palace;Murray Hill
New Malaysia and Indonesia;Lower Manhattan
New Pasteur;Chinatown
New South Wind Inc;Chinatown
New Star Deli Restaurant;Midtown West
New Star Kitchen;Harlem
New Szechuan Aroma Restaurant;Midtown East
New Taste Good Restaurant;Chinatown
New Taste Of China Restaurant;Upper W. Side
New Thanh Hong Restaurant Inc;Chinatown
New World Coffee;W. Village
New World Grill;Midtown West
New York Burger Co.;Flatiron/U. Sq.
New York Burger Co.;Chelsea
New York Cafe;Midtown West
New York Kom Tang Kalbi House;Midtown West
New York Noodle Town;Chinatown
Next Door Nobu;TriBeCa/SoHo
Nha Trang;Chinatown
Nha Trang Centre;Chinatown
Nice & Spicy;Harlem
Nice Matin;Upper W. Side
Nice Restaurant;Chinatown
Nick & Stef's Steakhouse;Midtown West
Nick And Toni's Cafe;Upper W. Side
Nick's City Kitchen;W. Village
Nick's Family-Style Restaurant and Pizzeria;Upper E. Side
Nicky's Pizzeria & Restaurant;Midtown East
Nicola Paone;Murray Hill
Nicola's Restaurant;Upper E. Side
Nicole's;Upper E. Side
Niko's Mediterranean Grill;Upper W. Side
Nile Ethiopian Restaurant;Upper W. Side
Nimrod Restaurant;Upper E. Side
Ninja New York;TriBeCa/SoHo
Nino Vendome Restaurant Cnslt;TriBeCa/SoHo
Nino's;Upper E. Side
Ninth Street Market;E. Village
Nippon;Midtown East
Nissho Japanese Restaurant;Midtown West
No 1 Chinese Restaurant;Flatiron/U. Sq.
No. 18 Restaurant;Midtown West
NoHo Star;E. Village
Nobu;TriBeCa/SoHo
Nobu 57;Midtown West
Noche Mexicana;Upper W. Side
Noi Italian Bistro;W. Village
Nolita's;Chinatown
Nomad;E. Village
Nonna;Upper W. Side
Nooch;Chelsea
Noodle Aa;Midtown West
Noodles On Carmine;W. Village
Noodles on 28;Murray Hill
Nook;Midtown West
Nook's Coffee Shop;Midtown West
Norma's;Midtown West
North Square;W. Village
Northwest;Upper W. Side
Nostalgia Restaurant Corp;Chelsea
Notaro;Murray Hill
Novitá;Flatiron/U. Sq.
Nuevo Castillo;E. Village
Nyonya;TriBeCa/SoHo
O Mai;Chelsea
O'lunney's Times Square Pub;Midtown West
O'reilly's Towne House Rstrnt;Midtown West
O.G.;E. Village
Obaa Koryoe West African Rstrt;Upper W. Side
Obento Delight;Upper W. Side
Obento Delight;W. Village
Ocean 11;Midtown East
Ocean 50;Midtown East
Ocean Dragon;Midtown West
Ocean Grill;Upper W. Side
Oceana;Midtown East
Odeon;TriBeCa/SoHo
Odessa;E. Village
Oggi;E. Village
Oke-doke Restaurant;Upper E. Side
Old Devil Moon (CLOSED);E. Village
Old Homestead;Chelsea
Old San Juan;Midtown West
Old Town Bar & Restaurant;Flatiron/U. Sq.
Olde Garden;Chelsea
Ole;Flatiron/U. Sq.
Olio;Upper E. Side
Oliva;Lower E. Side
Olive Garden;Midtown West
Olives NY;Flatiron/U. Sq.
Ollie's Noodle Shop & Grill;Upper W. Side
Ollie's Noodle Shop & Grill;Midtown West
Olympic Restaurant;Midtown West
Olympic Restaurant;Lower E. Side
Omen;TriBeCa/SoHo
Omjavi West Indian Restaurant;TriBeCa/SoHo
Once Upon a Tart;TriBeCa/SoHo
One Fish Two Fish Restaurant;Upper E. Side
One if by Land, Two if by Sea;W. Village
Onieal's Grand Street;Chinatown
Onigashima;Midtown West
Ono;W. Village
Opaline;E. Village
Opia;Midtown East
Ora;Flatiron/U. Sq.
Orbit;Harlem
Oriental Cafe;Upper E. Side
Oriental Garden;Chinatown
Oriental Noodle Shop;Midtown East
Orloff's Deli & Restaurant;Upper W. Side
Orologio;E. Village
Orsay;Upper E. Side
Orso;Midtown West
Oscar's Restaurant;Midtown East
Osso Buco;Upper E. Side
Osso Buco;E. Village
Osteria Gelsi;Midtown West
Osteria Siorentina Restaurant;W. Village
Osteria al Doge;Midtown West
Osteria del Circo;Midtown West
Osteria del Gallo Nero;W. Village
Osteria del Sole;W. Village
Ostia;W. Village
Otafuku;E. Village
Otis Restaurant;Midtown West
Otto Enoteca Pizzeria;E. Village
Ottomanelli Cafe;Flatiron/U. Sq.
Ottomanelli's Cafe;Upper E. Side
Ottomanelli's Cafe;Midtown East
Ouest;Upper W. Side
Our Place;Upper E. Side
Our Place Shanghai Tea Garden;Midtown East
Out of the Kitchen;W. Village
Oxford Cafe;Murray Hill
Oyster Bar Fifty-fourth Street;Midtown West
Oyster Bar and Restaurant;Midtown East
Oyster Bar at the Plaza Hotel;Midtown West
Ozu Restaurant;Upper W. Side
P & C Garden Chinese Rstrnt;Lower Manhattan
P.J. Carney's;Midtown West
P.J. Clarke's;Midtown East
P.J. Clarke's on the Hudson;Lower Manhattan
PS 450;Murray Hill
Pablo's;Upper E. Side
Pacifika Restaurant;Upper E. Side
Pageant Bar & Grill;E. Village
Pakistan Tea House;TriBeCa/SoHo
Palace Restaurant;Midtown East
Palacinka;TriBeCa/SoHo
Paladar;Lower E. Side
Palazzo & Corsini;Upper E. Side
Palette;Midtown West
Palladium Restaurant;Midtown East
Palm - West Side;Midtown West
Palm Too;Midtown East
Pam Real Thai Food;Midtown West
Pamela's Cafe;E. Village
Pampano;Midtown East
Pan Bagnat;Midtown West
Panchito's Mexican Restaurant;W. Village
Panda Kitchen;Upper E. Side
Panda Restaurant;Midtown West
Panda Restaurant-sutton Place;Midtown East
Pandit Restaurant;Upper W. Side
Pando's Poultry;Midtown East
Pane & Cioccolato;E. Village
Panevino;Upper W. Side
Pangea;E. Village
Paninoteca;TriBeCa/SoHo
Panna India Cuisine;E. Village
Panorama Cafe;Upper E. Side
Panya Bakery (CLOSED);E. Village
Pao;TriBeCa/SoHo
Paola's;Upper E. Side
Paoluccis Restaurant;Chinatown
Paparazzi Restaurant;Midtown East
Papaya King;Upper E. Side
Paper Moon Express;Midtown East
Pappardella;Upper W. Side
Paquito's Restaurant;Flatiron/U. Sq.
Paradou;W. Village
Pardo's;W. Village
Parea;Flatiron/U. Sq.
Parioli Romanissimo;Upper E. Side
Paris Cafe;Lower Manhattan
Paris Commune;W. Village
Paris Croissant;Flatiron/U. Sq.
Paris Match;Upper E. Side
Parish & Company;Chelsea
Park Avenue Autumn;Upper E. Side
Park Avenue Country Club;Flatiron/U. Sq.
Park Blue;Midtown West
Park Cafe;Midtown West
Park View at the Boathouse;Upper W. Side
Parma;Upper E. Side
Parnell's Restaurant;Midtown East
Pascalou;Upper E. Side
Pasha;Upper W. Side
Pasta Amore Trattoria;Midtown West
Pasta D'oro;Midtown West
Pasta Lovers;Midtown West
Pasta Presto;Midtown East
Pasta Presto Macdougal;W. Village
Pasta Vicci Inc;Upper W. Side
PastaBreak;Midtown West
Pasticcio Restaurant Inc;Murray Hill
Pastis;W. Village
Pastrami Queen;Upper E. Side
Patagonia Cafe;Upper E. Side
Patroon;Midtown East
Patsy's Italian;Midtown West
Patsy's Pizzeria;E. Village
Patsy's Pizzeria;Upper E. Side
Patsy's Pizzeria;Upper W. Side
Patsy's Pizzeria;Murray Hill
Paul & Jimmy's;Flatiron/U. Sq.
Paul's Palace;E. Village
Payard Patisserie and Bistro;Upper E. Side
Peanut Butter and Company;W. Village
Pearl Oyster Bar;W. Village
Pearl Palace Of Ny;Lower Manhattan
Pearl Street Diner;Lower Manhattan
Pearl on the Sushi;Midtown West
Peasant;TriBeCa/SoHo
Peccavi;Murray Hill
Peep;TriBeCa/SoHo
Peking Duck House;Chinatown
Peking Garden;Chelsea
Peking Park;Murray Hill
Peking Royal Restaurant;E. Village
Pelagos;Upper W. Side
Pellegrino's;Chinatown
Pellena Restaurant;Murray Hill
Pen-Top Terrace;Midtown East
Penang;Upper W. Side
Penang;Upper E. Side
Pennyfeathers Cafe;W. Village
Pepe Giallo;Chelsea
Pepe Rosso To Go;TriBeCa/SoHo
Pepe Rosso To Go;E. Village
Pepe Verde To Go;W. Village
Pepolino;TriBeCa/SoHo
Peppers Restaurant & Bar;TriBeCa/SoHo
Per Bacco;Flatiron/U. Sq.
Per Se;Upper W. Side
Pera;Midtown East
Pera Mediterranean Brasserie;Midtown East
Perbacco;E. Village
Periyali;Flatiron/U. Sq.
Perk's Fine Cuisine;Upper W. Side
Perretti Italian Cafe;Upper W. Side
Perry Bistro;W. Village
Perry St.;W. Village
Persepolis;Upper E. Side
Pershing Square Cafe;Midtown East
Pescatore;Midtown East
Pesce & Pasta Trattoria;Upper E. Side
Pesce & Pasta Trattoria;W. Village
Petaluma;Upper E. Side
Pete's Place Restaurant;Flatiron/U. Sq.
Pete's Tavern;Flatiron/U. Sq.
Peter's;Upper W. Side
Peter's On 67th;Upper E. Side
Peter's Restaurant;Harlem
Petite Abeille;TriBeCa/SoHo
Petite Abeille;W. Village
Petite Abeille;Chelsea
Petrossian;Midtown West
Petrossian Cafe And Boutique;Midtown West
Phil's Luncheonette;Murray Hill
Philip Marie;W. Village
Pho 32 & Shabu;Midtown West
Pho Bang;Chinatown
Pho Bang Restaurant;Chinatown
Pho Grand;Chinatown
Pho Tu Do;Chinatown
Pho Viet Huong;Chinatown
Phoenix Garden;Murray Hill
Piadina;W. Village
Piano Due;Midtown West
Picasso Restaurant;Midtown East
Piccolino;Murray Hill
Picholine;Upper W. Side
Pierres Roulantes;W. Village
Pietrasanta;Midtown West
Pietro's;Midtown West
Pig Heaven;Upper E. Side
Ping's Seafood;Chinatown
Pink Teacup;W. Village
Pinocchio;Murray Hill
Pintaile's Pizza;Upper E. Side
Pintxos;TriBeCa/SoHo
Piola;E. Village
Pipa;Flatiron/U. Sq.
Pipeline;Lower Manhattan
Pita Cuisine Of Soho;TriBeCa/SoHo
Pita Express;Lower Manhattan
Pita Place;Midtown West
Pitchoune;Flatiron/U. Sq.
Pizza Plus Inc;Midtown West
Planet Hollywood;Midtown West
Plantain Cafe;Midtown West
Play By Play;Midtown West
Plaza Espana;Midtown West
Pluck U.;E. Village
Pluck University Wings;W. Village
Plum Tree Restaurant;Upper E. Side
Po;W. Village
Poisson;Midtown West
Polanka;Lower Manhattan
Pomaire;Midtown West
Pommes Frites;E. Village
Pommes Frites;Midtown West
Pomodoro;Upper W. Side
Pongabi Dhabha;Chelsea
Pongal;Flatiron/U. Sq.
Pongsri Thai;Flatiron/U. Sq.
Pongsri Thai;Midtown West
Popover Cafe;Upper W. Side
Poppolini's;E. Village
Porter House New York;Upper W. Side
Porters New York;Chelsea
Portfolio Restaurant & Gallery;Flatiron/U. Sq.
Portico;Upper E. Side
Porto Fino Pizza;Midtown West
Porto-bello Restaurant;W. Village
Portobello Pizzeria Restaurant;TriBeCa/SoHo
Post House;Upper E. Side
Poy Laung Thai Restaurant;W. Village
Pravda;TriBeCa/SoHo
Prem-on Thai;W. Village
Pret A Manger;Lower Manhattan
Pret A Porter;Upper E. Side
Primavera Pizza & Pasta;Midtown East
Primavera Ristorante;Upper E. Side
Prime Burger;Midtown East
Prime Grill;Midtown East
Primola;Upper E. Side
Prive;Flatiron/U. Sq.
Pronto Pizza;Midtown West
Pronto Restaurant;Midtown West
Provi Provi;Upper W. Side
Providence;Midtown West
Province;TriBeCa/SoHo
Prowl;Upper E. Side
Prune;E. Village
Public;TriBeCa/SoHo
Puccini;Upper W. Side
Puglia Restaurant;Chinatown
Puket Thai;Midtown East
Punch;Flatiron/U. Sq.
Punjab Palace;Lower E. Side
Pure Food and Wine;Flatiron/U. Sq.
Puttanesca;Midtown West
Pylos;E. Village
Pyramida;Upper E. Side
Q Cafe;Upper E. Side
Quake;E. Village
Quantum Leap Natural Food;W. Village
Quatorze Bis;Upper E. Side
Quattro Gatti Restaurant Inc;Upper E. Side
Queen Of Sheba;Midtown West
Quince;Midtown West
R J Colors;Midtown East
R.J. Max Fine Foods;Lower Manhattan
Rachel's American Bistro;Midtown West
Radio Mexico Cafe;Lower Manhattan
Radio Perfecto;E. Village
Rafaella To Go Chelsea;Chelsea
Raffaele;Midtown East
Rafina;Upper E. Side
Rage;Midtown East
Ragg's;Harlem
Rain;Upper W. Side
Rainbow Cafe Falafel;Flatiron/U. Sq.
Rainbow Grill (CLOSED);Midtown West
Rainbow Room;Midtown West
Raj India;Chelsea
Raj Mahal;E. Village
Ralph's Restaurant;Midtown West
Rancho;Upper W. Side
Raoul's;TriBeCa/SoHo
Rare Bar and Burger House;Murray Hill
Rascal's Rock Bar And Grill;Midtown West
Rathbones Restaurant;Upper E. Side
Ray Bari Pizza;Upper W. Side
Ray's Pizza;TriBeCa/SoHo
Raymonds Cafe;Chelsea
Re Sette;Midtown West
Ready to Eat;W. Village
Red Blazer Hideaway;Midtown West
Red Cat;Chelsea
Red Flame Coffee Shop;Midtown West
Red Fort Tandoori;Upper E. Side
Red House Restaurant Of Ny;E. Village
Red Light Bistro;Chelsea
Red Lion Music, Pub & Restaurant;W. Village
Red Tulip Hungarian Restaurant;Upper E. Side
Red Wine With Fish?;TriBeCa/SoHo
Redeye Grill;Midtown West
Regional;Upper W. Side
Regional Thai Taste Restaurant;Chelsea
Remi;Midtown West
Remy Lounge;TriBeCa/SoHo
Republic;Flatiron/U. Sq.
Restaurant Associates;Upper W. Side
Restaurant Charlotte;Midtown West
Restaurant Forte Baden Baden;Murray Hill
Restaurant Group La Juquilita;Upper W. Side
Restaurant Tokyo;Murray Hill
Restivo Ristorante;Chelsea
Resto;Murray Hill
Reunion;Midtown West
Ribollita;Flatiron/U. Sq.
Ribot;Midtown East
Rice;TriBeCa/SoHo
Rice;Murray Hill
Rice & Beans Restaurant;Midtown West
Rice 'n' Beans II;W. Village
Rice to Riches;Chinatown
Rickshaw Dumpling Bar;Chelsea
Rico's Restaurant;Flatiron/U. Sq.
Riingo;Midtown East
Rikyu Japanese Restaurant;Upper W. Side
Rinconcito Mexicano;Midtown West
Risotteria;W. Village
Riss;Chelsea
River Diner Inc;Midtown West
Riverview;Murray Hill
Robert's Steak House;Midtown West
Robert's Steakhouse;Midtown West
Roberto Passon;Midtown West
Roc Restaurant;TriBeCa/SoHo
Rocco;W. Village
Rock Center Cafe;Midtown West
Rocking Horse Cafe;Chelsea
Rocky's Restaurant;TriBeCa/SoHo
Rodriguez;Lower E. Side
Rolf's Bar & Restaurant;Flatiron/U. Sq.
Roma Pizza & Pasta;Lower E. Side
Ronnybrook Farm Dairy;Chelsea
Room With a View;Midtown West
Rosa Mexicano;Midtown East
Rosa Mexicano;Flatiron/U. Sq.
Rosa Mexicano at Lincoln Center;Upper W. Side
Rosa's Place Restaurant;Midtown West
Rosanjin;TriBeCa/SoHo
Rose Hall;W. Village
Rose Of Bombay;E. Village
Rose Of India;E. Village
Rosemarie's;TriBeCa/SoHo
Rosie O'grady's Midtown;Midtown West
Rosie O'grady's Pub;TriBeCa/SoHo
Rossini's;Murray Hill
Roth's Westside Steak House;Upper W. Side
Rothmann's;Midtown East
Route 66 Cafe;Midtown West
Roxy Coffee Shop;Lower Manhattan
Roy Rogers;Midtown West
Roy Rogers Restaurant;Midtown East
Roy's New York;Lower Manhattan
Royal Canadian Pancake House;Flatiron/U. Sq.
Royal Canadian Pancake House;Midtown East
Royal Canadian Pancake House;Upper W. Side
Royal Chinese Restaurant;Midtown West
Royal Indian Cuisine;Flatiron/U. Sq.
Royal Kebab and Curry House;Upper W. Side
Royal Siam Thai Cuisine;Chelsea
Royale;E. Village
Rubellino Inc;Upper W. Side
Ruben's Empanadas;Lower Manhattan
Ruby Foo's (CLOSED);Upper W. Side
Ruby Foo's Times Square;Midtown West
Ruby Fruit Bar & Grill;W. Village
Ruby's Tap House;Upper E. Side
Rue 57;Midtown West
Rungsit II Thai Food & Noodles;Murray Hill
Runyon's Of 50th;Midtown East
Russ & Daughters;Lower E. Side
Russian Samovar Restaurant;Midtown West
Ruth's Chris Steak House;Midtown West
S P Restaurant Corp;TriBeCa/SoHo
S.G.S. Donuts;Chelsea
SQC;Upper W. Side
STK;W. Village
Sa Woy;Upper E. Side
Sabarro Italian Eat;Midtown West
Saber Coffee Shop;Flatiron/U. Sq.
Sable's;Upper E. Side
Saffron;Flatiron/U. Sq.
Sag Harbor;Midtown West
Sahara East Restaurant;E. Village
Saigon 48;Midtown West
Saigon Banh Mi;Chinatown
Saigon Grill;Upper W. Side
Saigon Grill;Upper E. Side
Saigon River;Flatiron/U. Sq.
Saint Marks Pizza;E. Village
Saji's Kitchen of Japan;Upper W. Side
Sakagura;Midtown East
Sake Bar Hagi;Midtown West
Saki Restaurant Corp;E. Village
Sakura;Murray Hill
Sal Anthony's Cafe Adelina;Flatiron/U. Sq.
Sal Anthony's Restaurant;Flatiron/U. Sq.
Sal Anthony's Spqr Rstrnt;Chinatown
Sal's Pizzeria;Murray Hill
Sal's Pizzeria & Restaurant;Chinatown
Sal's and Carmine's Pizza;Upper W. Side
Sala;E. Village
Sala Thai;Upper E. Side
Salaam Bombay Indian Cuisine;TriBeCa/SoHo
Salad Works;Midtown West
Salam Cafe And Restaurant;W. Village
Salt;Upper W. Side
Salt;W. Village
Salute!;Murray Hill
Sam's 263 Resaturant;Midtown West
Samalita's Tortilla Factory;Upper E. Side
Sambuca;Upper W. Side
Sammy's Noodle Shop;W. Village
Sammy's Roumanian;Lower E. Side
San Domenico;Midtown West
San Francisco Plum;Chelsea
San Japanese Restaurant;Lower Manhattan
San Locos;E. Village
San Martin Restaurant;Midtown East
San Pietro;Midtown East
Sandbox;Murray Hill
Sandbox;Midtown West
Sandia;Chelsea
Sandobe;E. Village
Sandro Serafina;Upper E. Side
Sandro's;Chelsea
Sandwich Planet;Midtown West
Sandwiches;W. Village
Sant Ambroeus;Upper E. Side
Sant Ambroeus;W. Village
Santa Fe;Flatiron/U. Sq.
Santa Fe;Upper W. Side
Sapa;Chelsea
Sapori Pizzeria;Upper E. Side
Sapphire;Upper W. Side
Sappora Village Japanese;E. Village
Sarabeth's;Midtown East
Sarabeth's;Upper E. Side
Sarabeth's Kitchen;Upper W. Side
Sarabeth's Kitchen;Upper E. Side
Saravanaas;Murray Hill
Sardi's;Midtown West
Sarge's Deli & Restaurant;Murray Hill
Sasabune;Upper E. Side
Sassy's Sliders;Upper E. Side
Savann;Upper W. Side
Savore;TriBeCa/SoHo
Savoy;TriBeCa/SoHo
Sawaki Japenese Restaurant;W. Village
Scalinatella;Midtown East
Scalini Fedeli;TriBeCa/SoHo
Scalini's;Upper E. Side
Schiller's Liquor Bar;Lower E. Side
Scopa;Murray Hill
Scopa To Go;Murray Hill
Scotch Bonnet;Midtown West
Scotty's Diner;Murray Hill
Sea Grill;Midtown West
Seagrill Of The Aegean;Upper E. Side
Seaworld Restaurant;Flatiron/U. Sq.
Seaworld Seafood Restaurant;Flatiron/U. Sq.
Second Avenue Deli;Murray Hill
Secret Harbor Bistro;Murray Hill
Seeda Thai 2;Midtown West
Seh Ja Meh;Lower Manhattan
Sekku Restaurant;Murray Hill
Sel et Poivre;Upper E. Side
Sen-nin;Murray Hill
Seppi;Midtown West
Sequoia;Lower Manhattan
Serafina Fabulous Grill;Upper E. Side
Serafina Fabulous Pizza;Upper E. Side
Serafina Lafayette;E. Village
Serena;Chelsea
Serendipity 3;Midtown East
Session 73;Upper E. Side
Sesso;Upper W. Side
Sesumi;Upper E. Side
Sette;Chelsea
Sette Mezzo;Upper E. Side
Seven;Chelsea
Sevilla Restaurant & Bar;W. Village
Sfoglia;Upper E. Side
Shabu Tatsu;Upper W. Side
Shabu-Tatsu;E. Village
Shabu-shabu 70;Upper E. Side
Shaffer City Oyster Bar And Grill;Flatiron/U. Sq.
Shake Shack;Flatiron/U. Sq.
Shalel;Upper W. Side
Shallots NY;Midtown East
Shamrat Indian Restaurant;Upper E. Side
Shanghai Cuisine;Chinatown
Shanghai Pavilion;Upper E. Side
Shapla Indian Restaurant;E. Village
Sharaku Japanese Restaurant;E. Village
Shark Bar;Upper W. Side
Sharz Cafe & Wine Bar;Upper E. Side
Sheep Meadow Cafe;Upper W. Side
Shelly's New York;Midtown West
Sheng-wah;Lower Manhattan
Sherman's Bar-b-q Inc;Harlem
Shih Lee Co;Midtown East
Shiki's Restaurant Inc;W. Village
Shima;E. Village
Shima Restaurant;E. Village
Shing Lung Chinese Restaurant;E. Village
Shining Star;Upper W. Side
Ship Of Fools;Upper E. Side
Shoebox Cafe;Midtown East
Shorty Long's;Upper E. Side
Shun Cheong Chinese Kitchen;Harlem
Shun Lee Cafe;Upper W. Side
Shun Lee Palace;Midtown East
Shutters Bar & Cafe Inc;Midtown West
Siam City Thai Restaurant;Upper E. Side
Siam Grill Restaurant;Midtown West
Siam Inn;Midtown West
Siam Square;E. Village
Sichuan Palace;Midtown East
Sidewalk-bar Restaurant;E. Village
Sido;Upper W. Side
Sido Kitchen;Upper E. Side
Siegels Kosher Delicatessen;Upper E. Side
Sigiri;E. Village
Silk Road Palace;Upper W. Side
