restaurant;address;country;addressGoogle
Lemongrass Grill;53 Avenue A;New York, NY, 10009;53 Avenue A
Lemongrass Grill;9 East 13th Street;New York, NY, 10003;9 E 13th St
Lenge Japanese Restaurant (CLOSED);202 Columbus Avenue;New York, NY, 10023;202 Columbus Ave
Lenny's;1024 2nd Avenue;New York, NY, 10022;1024 2nd Ave
Lenny's;108 John Street;New York, NY, 10038;108 John St
Lenny's Bagels;2601 Broadway;New York, NY, 10025;2601 Broadway
Lenny's Cafe;307 Columbus Avenue;New York, NY, 10023;307 Columbus Ave
Lenny's Gourmet;489 Columbus Avenue;New York, NY, 10024;489 Columbus Ave
Lentini;1562 2nd Avenue;New York, NY, 10028;1562 2nd Ave
Leonardo Da Vinci Ristorante;1574 2nd Avenue;New York, NY, 10028;1574 2nd Ave
Les Ambassades;2200 Frederick Douglass 8th Avenue;New York, NY, 10026;2200 Frederick Douglass Blvd
Les Deux Gamins (CLOSED);234 West 4th Street;New York, NY, 10014;234 West 4th Street
Les Enfants Terribles;37 Canal Street;New York, NY, 10002;37 Canal St
Les Halles;411 Park Avenue South;New York, NY, 10016;411 Park Ave S
Les Sandwicherie;250 Broome Street;New York, NY, 10002;250 Broome St
Les Sans Culottes East;1085 2ND Avenue;New York, NY, 10022;1085 2nd Ave
Levain Bakery;167 West 74th Street;New York, NY, 10023;167 W 74th St
Lever House Restaurant;390 Park Avenue;New York, NY, 10022;390 Park Ave
Lexington Candy Shop;1226 Lexington Avenue;New York, NY, 10028;1226 Lexington Ave
Li Hua;171 Grand Street at Baxter Street;New York, NY, 10013;171 Grand St
Li-Lac Chocolates;120 Christopher Street;New York, NY, 10014;120 Christopher St
Liberta Restaurant;1574 2ND Avenue;New York, NY, 10028;1574 2nd Ave
Liberty View;21 South End Avenue;New York, NY, 10280;21 South End Ave
Life Cafe;343 East 10th Street;New York, NY, 10009;343 E 10th St
LifeThyme Market;410 6th Avenue;New York, NY, 10011;410 6th Ave
LifeThyme Market;2275 Broadway;New York, NY, 10024;2275 Broadway
Likitsakos Market;1174 Lexington Avenue;New York, NY, 10028;1174 Lexington Ave
Lil' Frankie's Pizza;19-21 1st Avenue;New York, NY, 10003;1921 1st Avenue
Lili's Noodle Shop & Grill;1500 3rd Avenue;New York, NY, 10028;1500 3rd Ave
Lili's Noodle Shop & Grill;Embassy Suites;New York, NY, 10281;60 W 37th St
Lili's Noodle Shop & Grill;200 West 57th Street;New York, NY, 10019;200 W 57th St
Lima's Taste;122 Christopher Street;New York, NY, 10014;122 Christopher St
Lime Leaf;2799 Broadway;New York, NY, 10025;2799 Broadway
Limon Restaurant;238 East 24th Street;New York, NY, 10010;238 E 24th St
Liquiteria At Luck'y;170 2ndAvenue;New York, NY, 10003;170 2nd Ave
Lisca;660 Amsterdam Avenue;New York, NY, 10025;660 Amsterdam Ave
Little Giant;85 Orchard Street;New York, NY, 10002;85 Orchard St
Little Havana;30 Cornelia Street;New York, NY, 10014;30 Cornelia St
Little Italy Pizza;55 West 45th Street;New York, NY, 10036;55 W 45th St
Little Italy Pizza;180 Varick Street;New York, NY, 10014;180 Varick St
Little Italy Pizza;11 Park Place;New York, NY, 10007;11 Park Pl
Little Pie Company;424 West 43rd Street;New York, NY, 10036;424 W 43rd St
Little Pie Company;407 West 14th Street;New York, NY, 10036;407 W 14th St
Little Pie Company;Grand Central Terminal;New York, NY, 10017;89 E 42nd St
Little Saigon Café;374 West 46th Street;New York, NY, 10036;374 W 46th St
Little Seoul;232 7th Avenue;New York, NY, 10011;232 7th Ave
Lo Scalco;313 Church Street;New York, NY, 10013;313 Church St
Lobel's Prime Meats;1096 Madison Avenue;New York, NY, 10028;1096 Madison Ave
Local East;1004 2nd Avenue;New York, NY, 10022;1004 2nd Ave
Lola;15 Watts Street;New York, NY, 10013;15 Watts St
Lombardi's;32 Spring Street;New York, NY, 10012;32 Spring St
Londel's Supper Club;2620 Frederick Douglass Blvd;New York, NY, 10030;2620 Frederick Douglass Blvd
Lonesome Dove (CLOSED);29 West 21st Street;New York, NY, 10010;29 W 21st St
Longwood Gourmet;500 Lexington Avenue;New York, NY, 10017;500 Lexington Ave
Loreley;7 Rivington Street;New York, NY, 10002;7 Rivington St
Los Dados;73 Gansevoort Street;New York, NY, 10014;73 Gansevoort St
Los Dos Molinos;119 East 18th Street;New York, NY, 10003;119 E 18th St
Los Paisas;898 Amsterdam Avenue;New York, NY, 10025;898 Amsterdam Ave
Loside;157 East Houston Street;New York, NY, 10002;157 E Houston St
Lotus (CLOSED);409 West 14th Street;New York, NY, 10014;409 W 14th St
Lttle Pie Company;424 West 43rd Street;New York, NY, 10014;424 W 43rd St
Luca Bar;119 St Marks Place;New York, NY, 10009;119 St Marks Pl
Luca Lounge;220 Avenue B;New York, NY, 10009;220 Avenue B
Lucien;14 1st Avenue;New York, NY, 10009;14 1st Avenue
Lucky Cheng's;24 1st Avenue;New York, NY, 10009;24 1st Avenue
Lucky Star Cafe;250 West 43rd Street;New York, NY, 10036;250 W 43rd St
Lucky Strike;59 Grand Street;New York, NY,;59 Grand St
Luckys Juice Joint;75 West Houston Street;New York, NY, 10012;75 W Houston St
Lucy Latin Kitchen;35 East 18th StreetBetween Broadway and Park Avenue;New York, NY, 10003;35 E 18th St
Lucy of Gramercy;35 East 18th Street;New York, NY, 10003;35 E 18th St
Ludo;42 East 1st Street;New York, NY, 10003;42 E 1st St
Luke's Bar and Grill;1394 3rd Avenue;New York, NY, 10021;1394 3rd Ave
Lumi Restaurant;963 Lexington Avenue;New York, NY, 10021;963 Lexington Ave
Lunapiena Ristorante;243 East 53rd Street;New York, NY, 10022;243 E 53rd St
Lunetta;920 Broadway;New York, NY, 10010;920 Broadway
Lung Moon Bakery;83 Mulberry Street;New York, NY, 10013;83 Mulberry St
Lupa;170 Thompson Street;New York, NY, 10012;170 Thompson St
Lupe's East L.A. Kitchen;110 5th Avenue;New York, NY, 10013;110 5th Ave
Lure Fishbar;142 Mercer Street, downstairs;New York, NY, 10012;142 Mercer St
Lusardi's;1494 2nd Avenue;New York, NY, 10021;1494 2nd Ave
Luscious Thai;1099 1st Avenue;New York, NY, 10021;1099 1st Avenue
Luzia's;429 Amsterdam Avenue;New York, NY, 10024;429 Amsterdam Ave
L’Atelier de Joël Robuchon;57 East 57th Street;New York, NY, 10022;E 57th St
M & G Soul Food Diner;383 West 125th Street;New York, NY, 10027;383 W 125th St
M & O Grocery & Imported & Domestic Products;124 Thompson Street;New York, NY, 10012;124 Thompson St
Macchiato Espresso Bar;141 East 44th Street;New York, NY, 10017;141 E 44th St
Macelleria;48 Gansevoort Street;New York, NY, 10014;48 Gansevoort St
Mad 28;72 Madison Avenue Streete 1;New York, NY, 10016;72 Madison Avenue Streete 1
Madeleine;128 West 23rd Street;New York, NY, 10011;128 W 23rd St
Madison & Vine;299 Madison Avenue;New York, NY, 10017;299 Madison Ave
Madison Bistro;238 Madison Avenue;New York, NY, 10016;238 Madison Ave
Madras Café;79 2nd Avenue;New York, NY, 10003;79 2nd Ave
Madras Mahal;104 Lexington Avenue;New York, NY, 10016;104 Lexington Ave
Maggie's Cajun Grill;12 John Street;New York, NY, 10038;12 John St
Magnifico (CLOSED);200 9th Avenue;New York, NY, 10011;200 9th Ave
Magnolia Bakery;401 Bleecker Street at 11th Street;New York, NY, 10014;West 11th Street
Maharaja;230 East 44th Street;New York, NY, 10017;230 E 44th St
Mai House;186 Franklin Street;New York, NY, 10013;186 Franklin St
Maia;98 Avenue B;New York, NY, 10009;98 Avenue B
Mainland;1081 3rd Avenue;New York, NY, 10021;1081 3rd Ave
Maison;1700 Broadway at 53rd Street;New York, NY, 10019;1700 Broadway
Majestic Pizza Corp;8 Cortlandt Street;New York, NY, 10007;8 Cortlandt St
Malaga Restaurant;406 East 73rd Street;New York, NY, 10021;406 E 73rd St
Malatesta Trattoria;649 Washington Street;New York, NY, 10014;649 Washington St
Malaysia Grill;2381 Broadway at 87th Street;New York, NY, 10024;2381 Broadway
Malibu Diner;163 West 23rd Street;New York, NY, 10011;163 W 23rd St
Mama Buddha;578 Hudson Street at 11th Street;New York, NY, 10014;578 Hudson Street at 11th Street
Mama Buddha Restaurant;576 Hudson Street;New York, NY, 10014;576 Hudson St
Mama's Food Shop;222 Sullivan Street;New York, NY, 10012;222 Sullivan St
Mama's Food Shop;200 East 3rd Street;New York, NY, 10009;200 E 3rd St
Mamlouk Restaurant;211 East 4th Street;New York, NY, 10009;211 E 4th St
Mamoun's Falafel;119 MacDougal Street;New York, NY, 10012;119 MacDougal St
Mana;646 Amsterdam Avenue;New York, NY, 10025;646 Amsterdam Ave
Manana Restaurant Inc;1136 1ST Avenue;New York, NY, 10021;1136 1st Avenue
Manapaty Milant Corp.;158 East 39th Street;New York, NY, 10017;158 E 39th St
Manatus;340 Bleecker Street;New York, NY, 10014;340 Bleecker St
Mancora;99 1st Avenue;New York, NY, 10003;99 1st Avenue
Mandarin Court;61 Mott Street;New York, NY, 10013;61 Mott St
Mandarin Grill;188 1st Avenue;New York, NY, 10009;188 1st Avenue
Mandoo Bar;2 West 32nd Street;New York, NY, 10001;2 W 32nd St
Mandoo Bar;71 University Place;New York, NY, 10003;71 University Pl
Mangez Avec Moi;71-73 West Broadway;New York, NY, 10007;71 W Broadway
Mangia;50 West 57th Street;New York, NY, 10019;50 W 57th St
Mangia;40 Wall Street In the Trump Building;New York, NY, 10005;40 Wall St
Mangia;16 East 48th Street;New York, NY, 10017;16 E 48th St
Mangia;22 West 23rd Street;New York, NY, 10010;22 W 23rd St
Mangia E Bevi;800 9th Avenue;New York, NY, 10019;800 9th Ave
Mangia Restaurant;50 West 57TH Street Streete 1;New York, NY, 10019;1 W 57th St
Mangiami;9 Stanton Street;New York, NY, 10002;9 Stanton St
Mangiarini;1593 2nd Avenue;New York, NY, 10028;1593 2nd Ave
Manhattan Diner;2180 Broadway;New York, NY, 10024;2180 Broadway
Manhattan Espresso Cafe;146 East 49th Street;New York, NY, 10017;146 E 49th St
Manhattan Fruit Exchange;75 9th Avenue;New York, NY, 10011;75 9th Ave
Manhattan Ocean Club (CLOSED);57 West 58th Street;New York, NY, 10019;57 W 58th St
Manila Gardens;325 East 14th Street;New York, NY, 10003;325 E 14th St
Manna's Soul Food & Salad Bar Restaurant;2331-2333 8th Avenue a.k.a. Frederick Douglass Blvd.;New York, NY, 10027;2331 Frederick Douglass Blvd
Manna's Soul Food & Salad Bar Restaurant;51 East 125th Street;New York, NY, 10035;51 E 125th St
Mansion Restaurant;1634 York Avenue at 86th Street;New York, NY, 10028;1634 York Ave
Mantra;986 2nd Avenue;New York, NY, 10022;986 2nd Ave
Maoz;38 Union Square E;New York, NY, 10003;38 Union Square E
Mara's Homemade;342 East 6th Street;New York, NY, 10003;342 E 6th St
Marco Polo Noodle Shop;94 Baxter Street;New York, NY, 10013;94 Baxter St
Mare;198 8th Avenue;New York, NY, 10011;198 8th Ave
Maremma (CLOSED);228 West 10th Street;New York, NY, 10014;228 W 10th St
Margie's Red Rose;267 West 144th Street;New York, NY, 10030;267 W 144th St
Margon;136 West 46th Street;New York, NY, 10036;136 W 46th St
Margot Patisserie;1212 Lexington Avenue;New York, NY,;1212 Lexington Ave
Margot Patisserie;2109 Broadway at 74th Street;New York, NY, 10023;2109 Broadway
Maria Pia;319 West 51st Street;New York, NY, 10019;319 W 51st St
Maria's Bakery;42 Mott Street;New York, NY, 10013;42 Mott St
Marinella;49 Carmine Street;New York, NY, 10014;Centric
Mark's;25 East 77th Street;New York, NY, 10021;25 E 77th St
MarkJoseph Steakhouse;261 Water Street;New York, NY, 10038;261 Water St
Market Table;54 Carmine Street;New York, NY, 10014;54 Carmine St
Maroons;244 West 16th Street;New York, NY, 10011;244 W 16th St
Marquet Patisserie;15 East 12th Street;New York, NY, 10003;15 E 12th St
Martha Frances Mississippi Cheesecake;1707 2nd Avenue;New York, NY, 10128;1707 2nd Ave
Martinique Cafe;1260 Broadway;New York, NY, 10001;1260 Broadway
Marumi;546 La Guardia Place;New York, NY, 10012;546 LaGuardia Pl
Maruzzella;1483 1st Avenue;New York, NY, 10021;1483 1st Avenue
Mary Ann's;116 8th Avenue;New York, NY, 10011;116 8th Ave
Mary Ann's;107 West Broadway;New York, NY, 10013;2787 Broadway
Mary Ann's;2452 Broadway;New York, NY, 10024;2452 Broadway
Mary Ann's (CLOSED);80 2nd Avenue;New York, NY, 10003;80 2nd Ave
Mary's Fish Camp;64 Charles Street;New York, NY, 10014;64 Charles St
Mas;39 Downing Street;New York, NY, 10014;39 Downing St
Masa;Time Warner Ctr. 10 Columbus Circle,;New York, NY, 10019;10 Columbus Cir
Masala Bollywood;108 Lexington Avenue;New York, NY, 10018;108 Lexington Ave
Maskerem;164 Amsterdam Avenue;New York, NY, 10023;164 Amsterdam Ave
Massawa Restaurant;1239 Amsterdam Avenue;New York, NY, 10027;1239 Amsterdam Ave
Massimo Al Ponte Vecchio;206 Thompson Street;New York, NY, 10012;206 Thompson St
Matador;57 Greenwich Avenue;New York, NY, 10014;57 Greenwich Ave
Matsugen;241 Church St., at Leonard St.;New York, NY, 10013;241 Church St
Matsuri;Maritime Hotel;New York, NY, 10011;363 W 16th St
Maui Tacos;330 5th Avenue;New York, NY, 10001;330 5th Ave
Maurizio Trattoria;35 West 13th Street;New York, NY, 10011;35 W 13th St
Mavalli Palace;46 East 29th Street;New York, NY, 10016;46 E 29th St
Max;51 Avenue B;New York, NY, 10009;51 Avenue B
Max;181 Duane Street;New York, NY, 10013;181 Duane St
Max Brenner- Chocolate by the Bald Man;141 2nd Avenue;New York, NY, 10009;141 2nd Ave
Max Brenner- Chocolate by the Bald Man;841 Broadway;New York, NY, 10003;841 Broadway
Max Soha;1274 Amsterdam Avenue;New York, NY, 10027;1274 Amsterdam Ave
Maxie;516A 3rd Avenue;New York, NY, 10016;516a 3rd Ave
May May (CLOSED);35 Pell Street at Mott Street;New York, NY, 10013;35 Pell St
May Wah Restaurant;190 Hester Street;New York, NY, 10013;190 Hester St
Maya;1191 1st Avenue;New York, NY, 10021;1191 1st Avenue
Maya Hurapan Kitchen;234 East 4th Street;New York, NY, 10009;234 E 4th St
Mayrose;920 Broadway;New York, NY, 10010;920 Broadway
McCormick & Schmick's;1285 5th Avenue;New York, NY, 10019;1285 5th Ave
Mchale's;750 8th Avenue at 46th Street;New York, NY,;750 8th Ave
Medina;315 10th Avenue;New York, NY, 10001;315 10th Ave
Mediterraneo;1260 2nd Avenue;New York, NY, 10021;1260 2nd Ave
Mee Noodle Shop;547 2nd Avenue;New York, NY, 10016;547 2nd Ave
Mee Noodle Shop;219 1st Avenue;New York, NY, 10003;219 1st Avenue
Mee Noodle Shop & Grill;92 2nd Avenue;New York, NY, 10003;92 2nd Ave
Meet;71-73 Gansevoort Street;New York, NY, 10014;71 Gansevoort St
Mehanata;113 Ludlow Street;New York, NY, 10002;113 Ludlow St
Mei-Ju Vege Gourmet;154 Mott Street;New York, NY, 10013;154 Mott St
Mekong;44 Prince Street;New York, NY, 10014;44 Prince St
Melange Food Fair;1277 1st Avenue;New York, NY, 10021;1277 1st Avenue
Melba's;300 West 114th Street;New York, NY, 10026;300 W 114th St
Meli Melo;110 Madison Avenue;New York, NY, 10016;110 Madison Ave
Melissa Blue;575 2nd Avenue;New York, NY, 10016;575 2nd Ave
Meltemi;905 1st Avenue;New York, NY, 10022;905 1st Avenue
Menchanko-Tei;131 East 45th Street;New York, NY, 10017;131 E 45th St
Menchanko-Tei;39 West 55th Street;New York, NY, 10019;39 W 55th St
Menkui Tei;63 Cooper Squareat Astor Place;New York, NY,;Astor Pl
Mercadito;179 Avenue B;New York, NY, 10009;179 Avenue B
Mercadito Grove;100 7th Avenue South;New York, NY, 10014;100 7th Ave S
Mercat;45 Bond Street;New York, NY, 10012;45 Bond St
Mercer Kitchen;Mercer Hotel;New York, NY, 10012;147 Mercer St
Merinella;49 Carmine Street at Bedford Street;New York, NY, 10014;Centric
Mermaid Inn;568 Amsterdam Avenue;New York, NY, 10024;568 Amsterdam Ave
Mermaid Inn;96 2nd Avenue;New York, NY, 10003;96 2nd Ave
Mesa De Espana Restaurant Inc;45 East 28TH Street;New York, NY, 10016;45 E 28th St
Mesa Grill;102 5th Avenue;New York, NY, 10011;102 5th Ave
Meskel Ethiopian Restaurant;199 East 3rd Street;New York, NY, 10009;199 E 3rd St
Meskerem;124 MacDougal Street;New York, NY, 10012;124 MacDougal St
Meskerem;164 Amsterdam Avenue;New York, NY, 10023;164 Amsterdam Ave
Meskerem;468 West 47th Street;New York, NY, 10036;468 W 47th St
Meson Sevilla;344 West 46th Street;New York, NY, 10036;344 W 46th St
Metrazur;404 East Balcony Grand Central Terminal;New York, NY, 10017;89 E 42nd St
Metro Diner;2641 Broadway Streete 1;New York, NY, 10025;2641 Broadway #1
MetroCafe & Wine Bar;32 East 21st Street;New York, NY, 10010;32 E 21st St
Metropolitan Museum Roof Garden Cafe;1000 5th Avenue;New York, NY, 10028;1000 5th Ave
Metsovo (CLOSED);65 West 70th Street;New York, NY, 10023;65 W 70th St
Mexican Village;118 Macdougal Street;New York, NY, 10012;118 MacDougal St
Mexicana Mama;47 East 12th Street;New York, NY, 10003;47 E 12th St
Mexicana Mama;525 Hudson Street;New York, NY, 10014;525 Hudson St
Mexico Lindo;459 2nd Avenue;New York, NY, 10010;459 2nd Ave
Mezzaluna;1295 3rd Avenue;New York, NY, 10021;1295 3rd Ave
Mezze;10 East 44th Street;New York, NY, 10017;10 E 44th St
Mezzogiorno;195 Spring Street;New York, NY, 10012;195 Spring St
Mi;66 Madison Avenue Streete 115;New York, NY, 10016;66 Madison Ave
Mi Cocina;57 Jane Street;New York, NY, 10014;57 Jane St
Mi Nidito;852 8TH Avenue;New York, NY, 10019;852 8th Ave
Michael Jordan's The Steak House;23 Vanderbilt Street;New York, NY, 10017;23 Vanderbilt Ave
Michelle's Kitchen;1614 3rd Avenue;New York, NY, 10128;1614 3rd Ave
Midnite Express;1715 2nd Avenue;New York, NY, 10128;1715 2nd Ave
Midtown Deli;322 East 34th Street;New York, NY, 10016;322 E 34th St
Midtown Restaurant;155 East 55th Street;New York, NY, 10022;157 E 55th St
Mikata;150 Centre Street at Walker Street;New York, NY, 10013;150 Centre St
Milk & Cookies Bakery;19 Commerce Street;New York, NY, 10014;19 Commerce St
Mill Korean;2895 Broadway;New York, NY, 10025;2895 Broadway
Milon Bangladesh;93 1st Avenue;New York, NY, 10003;93 1st Avenue
Minamoto Kitchoan;608 5th Avenue;New York, NY, 10020;608 5th Ave
Minar;5 West 31ST Street;New York, NY, 10001;5 W 31st St
Minar;138 West 46th Street;New York, NY,;138 W 46th St
Minetta Tavern;113 MacDougal Street;New York, NY, 10012;113 MacDougal St
Mingala Burmese;1393-B 2nd Avenue;New York, NY, 10021;1393B 2nd Ave
Mingala Burmese;21-23 East 7th Street;New York, NY, 10003;21 E 7th St #23
Mint;San Carlos Hotel;New York, NY, 10022;150 E 50th St
Miracle Grill;415 Bleecker Street;New York, NY, 10014;415 Bleecker St
Mirchi;29 7th Avenue South;New York, NY, 10014;29 7th Ave S
Mishima;164 Lexington Avenue;New York, NY, 10016;164 Lexington Ave
Miss K's;118 Madison Avenue;New York, NY, 10016;118 Madison Ave
Miss Mamie's;366 West 110th Street;New York, NY, 10025;366 W 110th St
Miss Maude's;547 Lenox Avenue;New York, NY, 10027;547 Lenox Ave
Miss Saigon;1425 3rd Avenue;New York, NY, 10028;1425 3rd Ave
Mitali;334 East 5th Street,;New York, NY, 10003;334 E 5th St
Mitchel London Foods;22 East 65th Street Streete A;New York, NY, 10021;22 E 65th St
Mity Fine Restaurant;24 West 125th Street,;New York, NY, 10027;24 W 125th St
Miyagi;220 West 13th Street;New York, NY, 10011;220 W 13th St
Mizu Sushi;29 East 20th Street;New York, NY, 10003;29 E 20th St
Mo Pitkin's (CLOSED);34 Avenue A;New York, NY, 10009;34 Avenue A
Mo-Bay;17 West 125th Street;New York, NY, 10027;17 W 125th St
Mocca Hungarian (CLOSED);1588 2nd Avenue;New York, NY, 10028;1588 2nd Ave
Mocca Lounge;78 Reade Street;New York, NY, 10007;78 Reade St
Moda;Flatotel 135 West 52nd Street;New York, NY, 10019;135 W 52nd St
Moe's Deli;480 9th Avenue;New York, NY, 10018;480 9th Ave
Moes Falafel;SW corner of 21st Street;New York, NY, 10010;E 21st St
Mofongo Depot;931 Amsterdam Avenue;;931 Amsterdam Ave
Mogador;101 St. Marks Place;New York, NY, 10009;101 St Marks Pl
Moishe's Kosher Bake Shop;504 Grand Street;New York, NY, 10002;504 Grand St
Moishes Kosher Bake Shop;115 2nd Avenue;New York, NY, 10003;115 2nd Ave
Moksha;18 Murray Street;New York, NY, 10007;18 Murray Street
Molly Wee Pub;402 8th Avenue;New York, NY, 10017;402 8th Ave
Mollys Pub & Restaurant;287 3rd Avenue;New York, NY, 10010;287 3rd Ave
Molyvos;871 7th Avenue;New York, NY, 10019;871 7th Ave
Momofuku Noodle Bar;163 1st Avenue;New York, NY, 10003;163 1st Avenue
Momofuku Ssam Bar;207 2nd Avenue;New York, NY, 10003;207 2nd Ave
Momoya;185 7th Avenue;New York, NY, 10011;185 7th Ave
Mon Petit Cafe;801 Lexington Avenue;New York, NY, 10021;801 Lexington Ave
Monaco;421 Amsterdam Avenue;New York, NY, 10024;421 Amsterdam Ave
Monkey Bar;60 East 54th Street (Elysee Hotel);New York, NY, 10022;60 E 54th St
Monster Sushi;22 West 46th Street;New York, NY, 10036;22 W 46th St
Monster Sushi;535 Hudson Street;New York, NY, 10014;535 Hudson St
Monster Sushi;158 West 23rd Street;New York, NY, 10011;158 W 23rd St
Mont Blanc;315 West 48th Street;New York, NY, 10036;315 W 48th St
Montebello Ristorante Italiano;120 East 56th Street;New York, NY, 10022;120 E 56th St
Montes Trattoria;97 MacDougal Street;New York, NY, 10012;97 MacDougal St
Montien;90 3rd Avenue;New York, NY, 10003;90 3rd Ave
Moomia Lounge;157 Lafayette Street;New York, NY, 10013;157 Lafayette St
Moon Pie Pizzeria;31 Avenue C at 3rd Street;New York, NY,;Bayonne
Mooncake Foods;28 Watts Street;New York, NY, 10013;28 Watts St
Moonstruck;449 3rd Avenue;New York, NY, 10013;449 3rd Ave
Moonstruck;244 Madison Avenue;New York, NY, 10022;244 Madison Ave
Moonstruck Diner;250 East 58th Street;New York, NY, 10022;250 E 58th St
Moonstruck East Restaurant;449 3RD Avenue;New York, NY, 10016;449 3rd Ave
Moran's Chelsea;146 10th Avenue;New York, NY, 10011;146 10th Ave
Morandi;211 Waverly Place;New York, NY, 10014;211 Waverly Pl
Morimoto;88 10th Avenue;New York, NY, 10011;88 10th Ave
Morning Star Restaurant;879 9TH Avenue;New York, NY, 10019;879 9th Ave
Morrells;900 Broadway;New York, NY, 10003;900 Broadway
Mosaico;175 Madison Avenue;New York, NY, 10016;175 Madison Ave
Mosco Pizza;105 1/2 Mosco Street;New York, NY, 10013;105 Mosco St
Mosto Osteria;87 2nd Avenue;New York, NY, 10003;87 2nd Ave
Moto Japanese Restaurant;328 West 45TH Street Streete 1;New York, NY, 10036;328 West 45TH Street Streete 1
Moustache;90 Bedford Street;New York, NY, 10014;Apartment Building from the TV Show Friends
Moustache;265 East 10th Street;New York, NY, 10009;265 E 10th St
Mr. Broadway Kosher Deli;1372 Broadway;New York, NY, 10018;1372 Broadway
Mr. K's;570 Lexington Avenue;New York, NY, 10022;General Electric Building
Mr. Tang Seafood Restaurant;50 Mott Street;New York, NY, 10013;50 Mott St
Mud Truck;Astor Place;New York, NY, 10003;Astor Pl
Mud Truck;Corner of Broadway;New York, NY, 10003;Corner of Broadway
Mudville 9;126 Chambers Street;New York, NY, 10007;126 Chambers St
Muggs;406 East 64TH Street;New York, NY, 10021;406 E 64th St
Mughlai;320 Columbus Avenue;New York, NY, 10023;320 Columbus Ave
Mule Cafe;67 4th Avenue;Brooklyn, NY, 11217;67 4th Ave
Murals On 54;63 West 54th Street;New York, NY, 10019;63 W 54th St
Murano Ristorante;207 West 36th Street;New York, NY, 10018;207 W 36th St
Murray Hill Diner;222 Lexington Avenue;New York, NY, 10016;222 Lexington Ave
Murray's Bagels;500 5th Avenue;New York, NY, 10011;500 5th Ave
Murray's Sturgeon;2429 Broadway;New York, NY, 10024;2429 Broadway
Murrays Bagels;500 5th Avenue;New York, NY, 10011;500 5th Ave
Murrays Cheese Shop;257 Bleecker Street at Cornelia Street;New York, NY, 10014;257 Bleecker St
Musette;228 3rd Avenue at 19th Street;New York, NY, 10003;228 3rd Avenue at 19th Street
Myers of Keswick;634 Hudson Street;New York, NY, 10014;634 Hudson St
Métisse;239 West 105th Street;New York, NY, 10025;239 W 105th St
NY Dosas;Corner of West 4th Street and Sullivan Street;New York, NY,;Corner of West 4th Street and Sullivan Street
NYC;75 Greenwich Avenue;New York, NY, 10014;75 Greenwich Ave
Nada Sushi;135 East 50th Street at Lexington Avenue;New York, NY, 10022;135 E 50th St
Nadaman Hakubai;Kitano Hotel, 66 Park Avenue;New York, NY, 10016;66 Park Ave
Nader;48 East 29th Street;New York, NY, 10016;48 E 29th St
Nadine's Restaurant;99 Bank Street;New York, NY, 10014;99 Bank St
Nagomi Japanese Restaurant;179 Prince Street;New York, NY, 10012;179 Prince St
Nagoya Japanese Restaurant;60 BeAvenuer Street;New York, NY, 10004;60 Beaver St
Naima;513 West 27th Street;New York, NY, 10001;513 W 27th St
Naka Naka;458 West 17th Street;New York, NY, 10011;458 W 17th St
Nam;110 Reade Street;New York, NY, 10013;110 Reade St
Naniwa Of Japan Inc;4 East 46TH Street;New York, NY, 10017;4 E 46th St
Nanni;146 East 46th Street;New York, NY, 10017;146 E 46th St
Nataro;635 2nd Avenue;New York, NY, 10016;635 2nd Ave
National Cafe;210 1st Avenue;New York, NY,;210 1st Avenue
Native;101 West 118th Street at Lenox Avenue;New York, NY, 10026;101 W 118th St
Natori;58 St Marks Place;New York, NY, 10003;58 St Marks Pl
Natsumi Restaurant and Lounge;226 West 50th Street;New York, NY, 10019;226 W 50th St
Natural Deli;10 East 23rd Street;New York, NY, 10010;10 E 23rd St
Natural Restaurant;88 Allen Street;New York, NY,;88 Allen St
Natural Tofu;34 West 32ND Street;New York, NY, 10001;34 W 32nd St
Neary's;358 East 57th Street;New York, NY, 10022;358 E 57th St
Nebraska Steak House;15 Stone Street;New York, NY, 10004;15 Stone St
Negril Village;362 West 23rd Street;New York, NY, 10011;362 W 23rd St
Negril Village;70 West 3rd Street;New York, NY, 10012;70 W 3rd St
Nello;696 Madison Avenue;New York, NY, 10021;696 Madison Ave
Nelson Blue;233-235 Front Street;New York, NY, 10038;233 Front St
Nero;46 Gansevoort Street;New York, NY, 10014;46 Gansevoort St
New Bai Wei Gourmet Food Inc.;51 Division Street, Manhattan;New York, NY, 10002;51 Division St
New Big Wong;67 Mott Street;New York, NY, 10013;67 Mott St
New Bo-Ky;80 Bayard Street;New York, NY, 10013;80 Bayard St
New Chao Chow;111 Mott Street;New York, NY,;111 Mott St
New Chuan Garden;9 West 46th Street;New York, NY, 10036;9 W 46th St
New Diamond Cafe;224 West 47th Street;New York, NY, 10036;224 W 47th St
New Green Bo;66 Bayard Street;New York, NY, 10013;66 Bayard St
New Malaysia;46-48 Bowery;New York, NY, 10013;46 Bowery #48
New Manila Foodmart;351 East 14th Street;New York, NY,;351 E 14th St
New Naimat Kada;124 Lexington Avenue;New York, NY, 10016;124 Lexington Ave
New Pasteur;85 Baxter Street at Canal Street;New York, NY, 10013;85 Baxter St
New Wing Wah;60 West 48th Street;New York, NY, 10036;60 W 48th St
New Wing Wong;111 Lafayette ST;New York, NY,;111 Lafayette St
New World Food Market;184 Lexington Avenue;New York, NY, 10016;Lexington Plaza
