restaurant;address;addressFix
Kabul Cafe;Afghan;Afghanistan
Kai Yue Coffee Shop Corp;26 Eldridge St;26 Eldridge St, New York, NY 10002, USA
Kaiking Restaurant;117 E 60th St;117 E 60th St, New York, NY 10022, USA
Kalesmeno Corp;893 9th Ave;893 9th Ave, New York, NY 10019, USA
Kam Chueh Restaurant Inc;40 Bowery # 1;40 Bowery #1, New York, NY 10013, USA
Kam Hing Coffee Shop;119 Baxter St;119 Baxter St, New York, NY 10013, USA
Kam Hong Garden;485 9th Ave;485 9th Ave, New York, NY 10018, USA
Kam Lai Chinese Restaurant;708 Amsterdam Ave;708 Amsterdam Ave, New York, NY 10025, USA
Kam Luang Restaurant;1557 Lexington Ave;1557 Lexington Ave, New York, NY 10029, USA
Kam Wah Chinese Kitchen;301 E 116th St;301 E 116th St
Kam-wei Kitchen;617 9th Ave # 1;617 9th Ave #1, New York, NY 10036, USA
Kameda;University Place;University Place, WA, USA
Kamnin Kitchen;9 Nagle Ave;9 Nagle Ave, Springwood NSW 2777, Australia
Kan Pai Yakitori Sushi;1482 2nd Ave;1482 2nd Ave S, Naples, FL 34102, USA
Kana Restaurant;324 Spring St;324 Spring St, New York, NY 10013, USA
Kang Kee Restaurant;124 Hester St;124 Hester St, New York, NY 10002, USA
Kang Tai Food Corp;15 W 45th St;15 W 45th St, New York, NY 10036, USA
Kaoru Restaurant;310 E 46th St;310 E 46th St, New York, NY 10017, USA
Kaplans At The Delmonico;59 E 59th St;59 E 59th St
Kar Restautant;45 Nassau St Bsmt;45 Nassau St, New York, NY 10005, USA
Karahi Indian Cuisine;508 Broome Street;508 Broome St, New York, NY 10013, USA
Karani Bar & Grill;591 1st Avenue;591 1st Avenue, New York, NY 10016, USA
Karavas Place;108 7th Ave S;108 7th Ave S, Nashville, TN 37203, USA
Karavas Place;162 W 4th St;162 West 4th Street, New York, NY 10014, USA
Kary Restaurant Inc;864 Avenue Of The Americas;864 6th Ave, New York, NY 10001, USA
Kashmir 9;478 9th Ave;478 9th Ave, New York, NY 10018, USA
Kashmir Restaurant;601 8th Ave;601 8th Ave, New York, NY 10018, USA
Kastro Bar Lounge;237 E 5th St;237 E 5th St, New York, NY 10003, USA
Katch & Restaurant Bar;339 E 75th St;339 E 75th St, New York, NY 10021, USA
Kate Kearneys Inc;251 E 50th St # 53;251 E 50th St #53, New York, NY 10022, USA
Kate's Joint;Vegetarian;Vegetarian
Kate's Joint;58 Avenue B;58 Avenue B, New York, NY 10009, USA
Katra;217 Bowery;217 Bowery, New York, NY 10002, USA
Katsuhama;11 E 47th St;11 E 47th St, New York, NY 10017, USA
Katy Gallaghers Inc;1267 1st Ave;1267 1st Avenue, New York, NY 10065, USA
Katzs Delicatessen Inc;Deli/Sandwich/Subs;Deli/Sandwich/Subs
Katzs Delicatessen Inc;205 E Houston St;205 E Houston St, New York, NY 10002, USA
Kava Lounge;605 Hudson St;605 Hudson St, New York, NY 10014, USA
Kawa Inc;18 Maiden Ln;18 Maiden Ln
Keats Restaurant;842 2nd Ave;842 2nd Ave
Kebab House;399 Grand Street;399 Grand St, New York, NY 10002, USA
Kee-wah-yen;50 W 56th St;50 W 56th St
Keenans Bar & Grill;4878 Broadway;4878 Broadway
Keens Steak House;72 W 36th St;72 W 36th St, New York, NY 10018, USA
Keewah Annex;48 W 56th St;48 W 56th St, New York, NY 10019, USA
Kellari Taverna;19 West 44th Street;19 W 44th St, New York, NY 10036, USA
Kellari's Parea;36th East 20th Street;36th East 20th Street
Kennedy Chicken;220 Varick St;220 Varick St, New York, NY 10014, USA
Kennedy Fried Chicken;158 Nagle Ave;158 Nagle Ave, New York, NY 10040, USA
Kennedy Fried Chicken;300 W 145th St;300 W 145th St, New York, NY 10039, USA
Kennedy Fried Chicken;1270 Saint Nicholas Avenue;1270 St Nicholas Ave, New York, NY 10033, USA
Kennedy Fried Chicken;American;American
Kennedy Fried Chicken;1774 Lexington Ave;1774 Lexington Ave, New York, NY 10029, USA
Kennedy Fried Chicken Inc;912 Columbus Ave;912 Columbus Ave, New York, NY 10025, USA
Kennedys;327 W 57th St;327 W 57th St, New York, NY 10019, USA
Kenny Cafe;345 Hudson St;Hudson Street, 345 Hudson St, New York, NY 10014, USA
Kensu Inc;732 7th Ave;732 7th Ave, La Grange, IL 60525, USA
Kentucky Fried Chicken;50 Broad Street;50 Broad St, New York, NY 10004, USA
Kentucky Fried Chicken;301 West 125th Street;301 W 125th St, New York, NY 10027, USA
Kentucky Fried Chicken;2755 Broadway;2755 Broadway St, Dickinson, TX 77539, USA
Kentucky Fried Chicken;242 East 14th Street;242 E 14th St, Chicago, IL 60605, USA
Kentucky Fried Chicken;4076 Broadway;4076 Broadway, New York, NY 10032, USA
Kentucky Fried Chicken;116 West 125th Street;116 W 125th St, New York, NY 10027, USA
Kentucky Fried Chicken;108 Delancey Street;108 Delancey St, New York, NY 10002, USA
Kentucky Fried Chicken;1922 3rd Avenue;1922 3rd Ave, New York, NY 10029, USA
Kettle Restaurant;130 W 3rd St;130 W 3rd St, New York, NY 10012, USA
Key West Diner & Cafe;2532 Broadway;2532 Broadway, New York, NY 10025, USA
Kfc;103 Broadway;103 Broadway, Belfast BT12 6HX, UK
Kfc;3595 Broadway;3595 Broadway, New York, NY 10031, USA
Kfc;48 New St;48 New St, Edison, NJ 08837, USA
Kfc;359 2nd Ave;359 2nd Ave, New York, NY 10010, USA
Kfc;707 Lenox Ave;707 Malcolm X Blvd, New York, NY 10039, USA
Kfc;800 2nd Ave;800 2nd Ave, New York, NY 10017, USA
Kfc;484 Lenox Ave;484 Lenox Ave, New York, NY 10037, USA
Khondoker Luncheonette;58 Kenmare St # 1;58 Kenmare St #1, New York, NY 10012, USA
Khyber Kabob House Inc;207 10th Ave;207 10th Ave, New York, NY 10011, USA
Kiev Restaurant Ltd;117 2nd Ave;117 2nd Ave, New York, NY 10003, USA
Kiiroihana Restaurant;23 W 56th St;23 W 56th St, New York, NY 10019, USA
Kikyoya Restaurant;234 5th Ave;234 5th Ave, New York, NY 10001, USA
Killarney Rose;80 Beaver St;80 Beaver St, New York, NY 10005, USA
Kim Long Kitchen;217 Avenue A;217 Avenue A, New York, NY 10009, USA
Kim Restaurant;657 Lenox Ave;657 Lenox Ave
Kim Tont Restaurant;1722 Amsterdam Ave;1722 Amsterdam Ave, New York, NY 10031, USA
Kin Khao Restaurant;171 Spring St;171 Spring St, New York, NY 10012, USA
Kin Yip Restaurant Inc;11 E 31st St;11 E 31st St, New York, NY 10016, United States
King David Restaurant;1239 1st Ave;1239 1st Avenue, New York, NY 10065, USA
King Deli;221 W 38th St;221 W 38th St, New York, NY 10018, USA
King Dragon Two Inc;107 Dyckman St;107 Dyckman St, New York, NY 10040, USA
King Express Rest;40 W 8th St # 42;40 W 8th St #42, New York, NY 10011, USA
King Foo Chinese Food;2030 2nd Ave;2030 2nd Ave, Sacramento, CA 95818, USA
King Food Restaurant Inc;422 Amsterdam Ave;422 Amsterdam Ave, New York, NY 10024, USA
King Garden;1 W 137th St;1 W 137th St, New York, NY 10037, USA
King Garden Restaurant;231 8th Ave;231 8th Ave, San Francisco, CA 94118, USA
King Garden Restaurant;4316 Broadway;4316 Broadway St, Indianapolis, IN 46205, USA
King Hwa Chinese Food;1272 Amsterdam Ave;1272 Amsterdam Ave, New York, NY 10027, USA
King Wok;222 Varick St;222 Varick St, New York, NY 10014, USA
King Wok Kitchen;1967 7th Ave;1967 7th Ave
Kings Carriage House Rstrnt;251 E 82nd St;251 E 82nd St, New York, NY 10028, USA
Kings Deli;221 W 38th St # 2;221 W 38th St #2, Hialeah, FL 33012, USA
Kings Delight;45 E 34th St;45 E 34th St, New York, NY 10016, USA
Kings Wok Chinese Restaurant;1744 1st Ave;1744 1st Avenue, New York, NY 10128, USA
Kinsale Restaurant;1672 3rd Ave;1672 3rd Ave, New York, NY 10128, USA
Kiosk;1007 Lexington Ave;1007 Lexington Ave, New York, NY 10021, USA
Kiran Continental Indian Cuisine;94 Chambers Street;94 Chambers St, New York, NY 10007, USA
Kiran Indian Cuisine;401 W 53rd Street;401 W 53rd St, New York, NY 10019, USA
Kiran Indian Cuisine;53 9th Ave;53 9th Ave
Kishi Japanese Restaurant;137 E 45th St;137 E 45th St, New York, NY 10017, USA
Kismat Indian Restaurant;603 Fort Washington Ave;603 Fort Washington Ave, New York, NY 10040, USA
Kismoth;326 E 6th St;326 E 6th St, New York, NY 10003, USA
Kitaro Japanese Restaurant Inc;1164 1st Ave;1164 1st Avenue, New York, NY 10065, USA
Kitchen Club Inc;30 Prince St # 1;30 Prince St #1, Rochester, NY 14607, USA
Kitchen Provance;68 W 45th St;68 W 45th St
Kitchenette;80 W Broadway;80 W Broadway
Km Wah Chinese Restaurant;301 E 116th St;301 E 116th St
Knickerbocker Bar & Grill;33 University Pl;33 University Pl Blvd, Jersey City, NJ 07305, USA
Knicks Diner;1732 2nd Ave;1732 2nd Ave, New York, NY 10128, USA
Knot Just Pretzels;1 Penn Plz;1 Pennsylvania Plaza, New York, NY 10119, United States
Ko Sushi;1619 York Avenue;1619 York Ave, New York, NY 10028, USA
Kob Ma Thai;9 Doyers St;9 Doyers St, New York, NY 10038, USA
Kobe Inc;208 3rd Ave;208 3rd Ave N, North Myrtle Beach, SC 29582, USA
Kobma;611 Hudson St;611 Hudson St, New York, NY 10014, USA
Kodama Japanese Restaurant;301 W 45th St;301 W 45th St, New York, NY 10036, USA
Kohinoor Indian Cuisine;342 E 6th St;342 E 6th St, New York, NY 10003, USA
Kokachin Restaurant;21 E 52nd St;21 E 52nd St, New York, NY 10022, USA
Kokura Japanese Restaurant;19 S William St;19 S William St, New York, NY 10004, USA
Kong Kee Food;240 Grand St;240 Grand St
Korea Palace;127 E 54th St;127 E 54th St, New York, NY 10022, USA
Korean Town Club Enterprises;400 2nd Ave;400 2nd Ave, New York, NY 10010, USA
Kosher Delight;1365 Broadway;1365 Broadway
Kosher Delight Inc;1156 Ave Of Americas Ground;1156 6th Ave, New York, NY 10036, USA
Kosher Tea Room;Kosher;Kosher
Kosher Tea Room;193 2nd Ave;193 2nd Ave, New York, NY 10003, USA
Kostas & Angelo Coffee Shop;44 E 32nd St;44 E 32nd St, New York, NY 10016, USA
Koyote Kates;307 W 47th St;307 W 47th St, New York, NY 10036, USA
Kraft Restaurant;460 W 42nd St;460 W 42nd St, New York, NY 10036, USA
Krik Krak;845 Amsterdam Ave;845 Amsterdam Ave, New York, NY 10025, USA
Krour Thai Restaurant;362 8th Ave;362 8th Ave, San Francisco, CA 94118, USA
Kum Gang Inc;49 W 32nd St;49 W 32nd St, New York, NY 10001, USA
Kun Paw Thai Cuisine;39 Greenwich Ave;39 Greenwich Ave, New York, NY 10014, USA
Kura Sushi Japanese Restaurant;67 1st Ave;67 1st Avenue, New York, NY 10003, USA
Kuruma-zushi;7 E 47th St # 2;7 E 47th St #2, New York, NY 10017, USA
Kwoks Food King;56 Market St;56 Market St
Kwong Ming Restaurant;1764 1st Ave;1764 1st Avenue, New York, NY 10128, USA
Kwong Pek Garden;71 Sullivan St;71 Sullivan St, New York, NY 10012, USA
Kwong Yiu Chu No 1 Chin Restaurant;265 1st Ave;265 1st Avenue, New York, NY 10003, USA
L A Cafe;200 5th Ave;Fifth Avenue Hotel, 200 5th Ave, New York, NY 10010, USA
L C Harden Restaurant;43 Canal St;43 Canal St, New York, NY 10002, USA
L Cena Corp;12 E 22nd St;12 E 22nd St, New York, NY 10010, USA
L Express;French Bistro;French Bistro
L Express;249 Park Avenue;249 Park Avenue
L'Espresso;590 Madison Ave;590 Madison Ave
LA Cocina On Third Avenue Inc;158 East 30th Street;158 E 30th St, New York, NY 10016, USA
LA Hacienda;219 East 116th Street;219 E 116th St, New York, NY 10029, USA
La Barca Restaurant;3892 Broadway;38-92 Broadway, New York, NY 10032, USA
La Barca Restaurant;40 Fletcher St;40 Fletcher St
La Bella China Restaurant Inc;2816 Broadway;Broadway, New York, USA
La Belle Epoque;827 Broadway # 2;827 Broadway #2, New York, NY 10003, USA
La Bellezza Pizza;1331 2nd Ave;1331 2nd Ave
La Boheme Restaurant;24 Minetta Ln;24 Minetta Ln, New York, NY 10012, USA
La Bonne Soupe;48 W 55th St;48 W 55th St, New York, NY 10019, USA
La Borsa Di Roma Restaurant;215 Pearl St;215 Pearl St, New York, NY 10038, USA
La Boulangere French Bakery;49 E 21st St;49 E 21st St, New York, NY 10010, USA
La Cabana Fried Chicken;1302 Saint Nicholas Ave;1302 St Nicholas Ave, New York, NY 10033, USA
La Cabana Restaurant;331 W 38th St;331 W 38th St, New York, NY 10018, USA
La Cabana Salvadorena Restaurant;187 Broadway;Broadway & W 187th St, New York, NY 10033, USA
La Caboa Restaurant Ii Inc;3180 Broadway;3180 Broadway, New York, NY 10027, USA
La Cafe;17 W 45thst Frrnt;17 W 45th St, New York, NY 10036, USA
La Cafe Creme Madison Ltd;165 Madison Ave;165 Madison Ave, New York, NY 10016, USA
La Caridad #2 Restaurant;2092 Amsterdam Ave;2092 Amsterdam Ave, New York, NY 10032, USA
La Caridad Restrnt;2184 Amsterdam Ave;2184 Amsterdam Ave, New York, NY 10032, USA
La Casalinga;120 1st Ave;1st Avenue & E 120th St, New York, NY 10035, USA
La Ceiba Restaurant;173 Avenue A;173 Avenue A, New York, NY 10009, USA
La Chandelle Cafe;2231 Broadway;2231 Broadway, Grand Junction, CO 81507, USA
La Chinita Linda Restaurant;166 8th Ave;166 8th Ave, New York, NY 10011, USA
La Cigale Restaurant;231 Mott St # 1;231 Mott St #1, New York, NY 10012, USA
La Cocina;762 8th Ave;762 8th Ave, New York, NY 10036, USA
La Cocina Mexican Cuisine;2608 Broadway;2608 Broadway, San Diego, CA 92102, USA
La Cocina Mexicana;217 W 85th St;217 W 85th St, New York, NY 10024, USA
La Cote Basque;60 W 55th St;60 W 55th St, New York, NY 10019, USA
La Crepe De Bretagne;46 W 56th St;46 W 56th St, New York, NY 10019, USA
La Destinguida Cueva;304 W 38th St;304 W 38th St, Reading, PA 19606, USA
La Dinastia Ii;4059 Broadway;4059 Broadway
La Dinastia Restaurant;145 W 72nd St;145 W 72nd St, New York, NY 10023, USA
La Dolce Vita;195 Spring St;195 Spring St, New York, NY 10012, USA
La Dolce Vita Ristorante;54 W 13th St;54 W 13th St, New York, NY 10011, USA
La Embajada;953 Amsterdam Ave;953 Amsterdam Ave, New York, NY 10025, USA
La Famille Inc;2017 5th Ave;2017 5th Ave, New York, NY 10035, USA
La Famille Restaurant & Jazz Club;485 Central Park W # 6g;485 Central Park West #6g, New York, NY 10025, USA
La Flor De Broadway;3401 Broadway;3401 Broadway Ave, Riviera Beach, FL 33404, USA
La Focaccia;51 Bank St;51 Bank St, New York, NY 10014, USA
La Foccaceria;128 1st Ave # 1;128 1st Ave # 1
La Giara;501 3rd Ave;501 3rd Ave, Brooklyn, NY 11215, USA
La Gioconda;226 E 53rd St;226 E 53rd St, New York, NY 10022, USA
La Goulue Restaurant Inc;746 Madison Ave # 1;746 Madison Ave #1, Council Bluffs, IA 51503, USA
La Granita;1470 2nd Ave # 1;1470 2nd Ave #1, Chula Vista, CA 91911, USA
La Grenouille Restaurant;3 E 52nd St;3 E 52nd St, New York, NY 10022, USA
La Grolla Risoranti;413 Amsterdam Ave;413 Amsterdam Ave, New York, NY 10024, USA
La Isla Restaurant;1883 3rd Ave;1883 3rd Ave, New York, NY 10029, USA
La Linea;15 1st Ave;15 1st Avenue, New York, NY 10003, USA
La Luncheonette-jean Francois;130 10th Ave;130 10th Ave, New York, NY 10011, USA
La Maganette Restaurant;825 3rd Ave;825 3rd Ave, New York, NY 10022, USA
La Maison Dindochine;156 E 64th St;156 E 64th St, New York, NY 10065, USA
La Mangeoite Restaurant;1008 2nd Ave;1008 2nd Ave S, Nashville, TN 37210, USA
La Margarita Restaurant;184 Thompson St;184 Thompson St, New York, NY 10012, USA
La Mediterranee Restaurant Corp;947 2nd Ave;947 2nd Ave, New York, NY 10022, USA
La Mela Ristorante;167 Mulberry St;167 Mulberry St, New York, NY 10013, USA
La Mensa Pizzeria & Restaurant;460 W 34th St;460 W 34th St, New York, NY 10001, USA
La Metairie;189 W 10th St;189 W 10th St, New York, NY 10014, USA
La Mezquita Restaurant;4448 Broadway;4448 Broadway, New York, NY 10040, USA
La Mia Pizza;268 W 23rd St;268 W 23rd St, New York, NY 10011, USA
La Mia Pizza;1568 3rd Ave;1568 3rd Ave, New York, NY 10128, USA
La Mia Pizza Restaurant;44 E 8th St;44 E 8th St
La Mirabelle Restaurant;102 W 86th St;102 W 86th St, New York, NY 10024, USA
La Mola Inc D B A Cambio;108 John St;108 John St, Greenwich, CT 06831, USA
La Nueva Rampa Inc;149 W 14th St;149 W 14th St, New York, NY 10011, USA
La Nueva Victoria Restaurant;2536 Broadway;2536 Broadway, New York, NY 10025, USA
La Paella East;214 E 9th St;214 E 9th St, New York, NY 10003, USA
La Paloma Burritos;359 W 45th St # 1;359 W 45th St #1, New York, NY 10001, USA
La Perla Cafe;16 E 58;16 E 58
La Petit Cafe Ltd;96 Orchard St # 1;96 Orchard St #1, New York, NY 10002, USA
La Petite Auberge Inc;116 Lexington Ave;Lexington Ave & E 116th St, New York, NY 10029, USA
La Piccola Fontaina Restaurant;511 Lexington Ave;511 Lexington Ave, New York, NY 10017, USA
La Plaza;416 Audubon Ave;416 Audubon Ave, New York, NY 10033, USA
La Preciosa;163 E 116th St;163 E 116th St, New York, NY 10029, USA
La Primavera;234 W 48th St # 1;234 W 48th St #1, New York, NY 10036, USA
La Reserve;4 W 49th St;4 W 49th St, New York, NY 10020, USA
La Ribolita;260 Park Ave S;260 Park Ave S, New York, NY 10010, USA
La Ripaille;605 Hudson St;605 Hudson St, New York, NY 10014, USA
La Rivista Palatine Restaurant;313 W 46th St;313 W 46th St, New York, NY 10036, USA
La Rocca Restaurant Inc;710 2nd Ave;710 2nd Ave
La Rosita Restaurant;2809 Broadway;2809 Broadway St, San Antonio, TX 78209, USA
La Simpatia Restaurant;1685 Amsterdam Ave;1685 Amsterdam Ave, New York, NY 10031, USA
La Stanza Verde;338 W 46th St;338 W 46th St, New York, NY 10036, USA
La Strada;134 W 46th St;134 W 46th St, New York, NY 10036, USA
La Tacita De Oro Restaurant;2625 Broadway;2625 Broadway, New York, NY 10025, USA
La Taza Deoro Inc;96 8 Av;96 8 Av
La Traviata;461 W 23rd St # 1;461 W 23rd St #1, New York, NY 10011, USA
La Unica Restaurant;4311 Broadway;4311 Broadway, New York, NY 10033, USA
La Vega Restaurant;452 Greenwich St;452 Greenwich St, New York, NY 10013, USA
La Vela Ristorante;373 Amsterdam Ave;373 Amsterdam Ave, New York, NY 10024, USA
La Veranda West;163 W 47th St;163 W 47th St
La Vigna Restaurant Bar;481 8th Ave;481 8th Ave, New York, NY 10001, USA
La Villa;1330 Broadway;1330 Broadway, Oakland, CA 94612, USA
La Vineria;19 W 55th St;19 W 55th St, New York, NY 10019, USA
La-boite-en-bois;75 W 68th St;75 W 68th St, New York, NY 10023, USA
Lacajou Bar Restaurant;53 W 19th St;53 W 19th St, New York, NY 10011, USA
Lafayette Bar & Grill;5456 Franklin St;5456 Franklin St
Lagares No 1 Restaurant & Bar Inc;434 2nd Ave;434 2nd Ave, Deptford Township, NJ 08096, USA
Lais Village Natural Rstrnt;46 Greenwich Ave # 6;46 Greenwich Ave #6, Central Valley, NY 10917, USA
Lallegria Italian Restaurant;623 9th Ave # 44;623 9th Ave #44, New York, NY 10036, USA
Lamarca Pasta Restaurant;161 E 22nd St;161 E 22nd St, Merced, CA 95340, USA
Lan Japanese Restaurant;56 3rd Ave;56 3rd Ave, New York, NY 10003, USA
Landmarc Restaurant;179 W Broadway;179 W Broadway, New York, NY 10013, USA
Landmark Cafe And Restaurant;158 Grand St;158 Grand St, New York, NY 10013, USA
Landmark Tavern;626 11th Ave;626 11th Ave, New York, NY 10036, USA
Langans Bar & Restaurant;150 W 47th St;150 W 47th St, New York, NY 10036, USA
Lansky Lounge;138 Delancey St;138 Delancey St, New York, NY 10002, USA
Lanza Restaurant;168 1st Ave;168 1st Avenue, New York, NY 10009, USA
Lar-dan Enterprises;225 Liberty St # B;225 Liberty St # B
Lardoise;1207 1st Ave;1207 1st Ave
Lareb Enterprises Inc;313 Columbus Ave;313 Columbus Ave, Stratford, CT 06615, USA
Laredo Grille;684 Lexington Ave;684 Lexington Ave, New York, NY 10022, USA
Las Delicias Restaurant;1004 Saint Nicholas Ave;1004 St Nicholas Ave, New York, NY 10032, USA
Lasagna Restaurant;941 2nd Ave # 1;941 2nd Ave #1, New York, NY 10022, USA
Latakia Restaurant;143 1st Ave;143 1st Avenue, New York, NY 10003, USA
Latin American Restaurant Corp;29 W 25th St;29 W 25th St, New York, NY 10010, USA
Lattanzi Ristorante;361 W 46th St;361 W 46th St, New York, NY 10036, USA
Lau Ching Kwong;36 E Broadway;36 E Broadway, New York, NY 10002, USA
Lava;28 W 20th St # 1;28 W 20th St #1, New York, NY 10011, USA
Lavo Thai Restaurant Corp;90 3rd Ave;90 3rd Ave, New York, NY 10003, USA
Layaly;98 Avenue B;98 Avenue B, New York, NY 10009, USA
Layla Restaurant;211 West Broadway;211 W Broadway, New York, NY 10013, USA
Le Beaujolais;364 W 46th St # 1;364 W 46th St #1, New York, NY 10036, USA
Le Bernardin;155 W 51st St;155 W 51st St, New York, NY 10019, USA
Le Biarritz Restaurant;325 W 57th St;325 W 57th St, New York, NY 10019, USA
Le Boeuf A La Mode;539 E 81st St;539 E 81st St
Le Bouchon Inc;319 W 51st St;319 W 51st St, New York, NY 10019, USA
Le Cafe;1271 Avenue Of The Americas;1271 Avenue Of The Americas
Le Cafe Catering Deli Bread And Bakery I;1 Pennsylvania Plz;1 Pennsylvania Plaza, New York, NY 10119, United States
Le Caire Lounge;189 East 3rd Street;189 E 3rd St, New York, NY 10009, USA
Le Cirque Restaurant;58 E 65th St;58 E 65th St, New York, NY 10065, USA
Le Colonial;149 East 57th St;149 E 57th St, New York, NY 10022, USA
Le Croissant;7 Park Ave # 156;7 Park Ave Apt 156, New York, NY 10016, USA
Le Croissant;210 W 50th St;210 W 50th St, New York, NY 10019, USA
Le Croissant Shop;404 Park Ave S;404 Park Ave S, New York, NY 10016, USA
Le Croissant Shop;599 Lexington Ave;599 Lexington Ave
Le Croissant Shop;227 W 40th St;227 W 40th St, New York, NY 10018, USA
Le Croissant Shop;8 W 40th St;8 W 40th St, New York, NY 10018, USA
Le Croissant Shop;1501 Broadway;1501 Broadway 12th Floor, Manhattan, NY 10036, United States
Le Frite Kot;148 W 4th St;148 West 4th Street, New York, NY 10012, USA
Le Gigot;18 Cornelia St;18 Cornelia St, New York, NY 10014, USA
Le Glacier;60 Wall St;60 Wall St
Le Grenier Restaurant Inc;2264 8th Ave # 122;122 8th Ave, New York, NY 10011, USA
Le Jardin Bistro;25 Cleveland Pl;25 Cleveland Pl, New York, NY 10012, USA
Le Madri;168 W 18th St;168 W 18th St, New York, NY 10011, USA
Le Marais;150 W 46thst Grround;150 W 46th St, New York, NY 10036, USA
Le Marais II;Kosher;Kosher
Le Marais II;15 John Street;15 John Street
Le Max Restaurant Inc;147 W 43rd St;147 W 43rd St, New York, NY 10036, USA
Le Mirage Gourmet Inc;20 W 43rd St;20 W 43rd St, Jacksonville, FL 32208, USA
Le Monde Gourmet Deli;38 W 48th St;38 W 48th St, New York, NY 10036, USA
Le Pain Quotidien;1131 Madison Ave;1131 Madison Ave, New York, NY 10028, USA
Le Perigord;405 E 52nd St # 405;405 E 52nd St #405, New York, NY 10022, USA
Le Petit Chateau;1374 Madison Avenue;1374 Madison Avenue
Le Petit Hulot Restaurant;973 Lexington Ave;973 Lexington Ave, New York, NY 10021, USA
Le Poeme Bakeries;14 Prince St;14 Prince St, New York, NY 10012, USA
Le Quercy;52 W 55th St;52 W 55th St, New York, NY 10019, USA
Le Refuge Restaurant;166 E 82nd St # 1;166 E 82nd St #1, New York, NY 10028, USA
Le Rendez-Vous Cafe;739 8th Ave;739 8 Ave N, Saskatoon, SK S7K 2X1, Canada
Le Rivage;340 W 46th;340 W 46th St, New York, NY 10036, USA
Le Singe Vert;160 7th Ave;160 7th Ave, New York, NY 10011, USA
Le Soleil Restaurant;877 10th Ave;877 10th Ave, New York, NY 10019, USA
Le Souk;47 Avenue B;47 Avenue B, New York, NY 10009, USA
Le Streghe;331 W Broadway;331 W Broadway, New York, NY 10013, USA
Le Tableau;511 E 5th St;511 E 5th St, New York, NY 10009, USA
Le Taxi;37 E 60th St;37 E 60th St, New York, NY 10022, USA
Le Totof Inc;163 E 33rd St;163 E 33rd St, New York, NY 10016, USA
Le Train Blue Restaurant;1000 3rd Ave;1000 3rd Ave, New York, NY 10022, USA
Le Tre Venezie Restaurant;142 W 46th St;142 W 46th St, New York, NY 10036, USA
Le Veau Dor;129 E 60th St;129 E 60th St, New York, NY 10022, USA
Le Zoo;314 W 11th St # 1;314 W 11th St #1, New York, NY 10014, USA
LeRendez-Vous Cafe;178 Lexington Avenue;178 Lexington Ave, New York, NY 10016, USA
Lecole The French Culinary;462 Broadway;462 Broadway
Lees Chinese Fast Food;1204 Saint Nicholas Ave;1204 St Nicholas Ave, New York, NY 10032, USA
Lees Lobby Coffee Shop;150 W 28th St;150 W 28th St, New York, NY 10001, USA
Lemon Lime Restaurant;664 6th Ave;664 6th Ave, New York, NY 10010, USA
Lemon Restaurant;230 Park Ave S;230 Park Ave S, New York, NY 10003, USA
Lemon Tree Cafe;769 9th Ave;769 9th Ave, New York, NY 10019, USA
Lemongrass;80 University Pl;80 University Pl, New York, NY 10003, USA
Lemongrass Grill;200 W 84th St;200 W 84th St, New York, NY 10024, USA
Lemongrass Grill;37 Barrow Street;37 Barrow Street
Lemongrass Grill;110 Liberty St;110 Liberty St, Brockton, MA 02301, USA
Lemongrass Grill;2534 Broadway Frnt;2534 Broadway, New York, NY 10025, USA
Lenge 83 Restaurant;1465 3rd Ave;1465 3rd Ave, New York, NY 10028, USA
Lenge Japanese Restaurant;202 Columbus Ave;202 Columbus Ave, Sandusky, OH 44870, USA
Lennys Bagels;2601 Broadway;2601 Broadway, San Francisco, CA 94115, USA
Lenox Chinese Restaurant;2180 5th Ave;2180 5th Ave, New York, NY 10037, USA
Lenox Hill Restaurant;1105 Lexington Ave;1105 Lexington Ave, New York, NY 10075, USA
Lenox Public Luncheonette;471 Lenox Ave;471 Lenox Ave, New York, NY 10030, USA
Lenox Room Restaurant;1278 3rd Ave;1278 3rd Ave
Lentrecote Inc;1057 1st Ave;1057 1st Avenue, New York, NY 10022, USA
Leopard Restaurant Inc;253 E 50th St # 1;253 E 50th St #1, New York, NY 10022, USA
Les Deux Gamins Le Gamin;170 Waverly Pl;170 Waverly Pl, New York, NY 10014, USA
Les Friandises East;972 Lexington Ave # 1;972 Lexington Ave #1, New York, NY 10021, USA
Les Routiers;568 Amsterdam Ave # 1;568 Amsterdam Ave #1, New York, NY 10024, USA
Les Sans Culottes Restaurant Inc;1085 2nd Ave;1085 2nd Ave, New York, NY 10022, USA
Les Sans Culottes West;347 W 46th St;347 W 46th St, New York, NY 10036, USA
Lespinasse;2 E 55th St;2 E 55th St, New York, NY 10022, USA
Lespresso Svc Inc;767 5th Ave;767 5th Ave
Levana Restaurant;Continental;Continental
Levana Restaurant;141 W 69th St;141 W 69th St, New York, NY 10023, USA
Lexington Avenue Grill;569 Lexington Ave;Double tree Metropolitan, 569 Lexington Ave, New York, NY 10022, USA
Lexington Bar And Books;1020 Lexington Ave;1020 Lexington Ave, New York, NY 10021, USA
Lexington Candy Shop;1226 Lexington Avenue;1226 Lexington Ave, New York, NY 10028, USA
Lexington Fast Food Restaurant;339 Lexington Ave;339 Lexington Ave, New York, NY 10016, USA
