restaurant;address1;address2;addressGoogle1
La Sirene;558 Broome St;Btwn Varick St & 6th Ave;558 Broome St
La Taza De Oro;96 8th Ave;Btwn 14th & 15th St;96 8th Ave
La Traviata;101 W 68th St;At Columbus Ave;101 W 68th St
La Tropezienne Bakery;2131 1st Ave;At 110th St;2131 1st Avenue
La Vela;373 Amsterdam Ave;Btwn 77th St & 78th St;373 Amsterdam Ave
La Vela37;3 Amsterdam Ave;;3 Amsterdam Ave
La Vineria;737 9th Ave;At 50th St;737 9th Ave
La Zarza;166 1st Ave;At 10th St;166 1st Avenue
Label;74 Rivington St;At Allen St;74 Rivington St
Lady M Confections;41 E 78th St;Btwn Madison & Park Ave;41 E 78th St
Lady Mendl's Tea Salon;56 Irving Pl;At E 18th St;56 Irving Pl
Lafayette;1St 1 Btwn Spring & Broome St;;Spring St
Lafayette Grill & Bar;54 Franklin St;Btwn Bway & Lafayette;54 Franklin St
Lafayette St;0 Btwn Spring & Broome St;;0 Btwn Spring & Broome St
Lam's Garden;40 Rivington St;Btwn Forsyth & Eldridge St;40 Rivington St
Lamarca;161 E 22nd St;At 3rd Ave;161 E 22nd St
Lamarca16;1 E 22nd St;;1 E 22nd St
Lamazou;370 3rd Ave;At 27th St;370 3rd Ave
Lamazou37;0 3rd Ave;;3rd Ave
Lan;56 3rd Ave;Btwn 10th & 11th St;56 3rd Ave
Lan Cafe;342 E 6th St;Btwn 1st & 2nd Ave;342 E 6th St
Lan Zhou;144 E Broadway;Btwn Pike & Rutgers St;144 E Broadway
Land Northeast Thai;1565 2nd Ave;Btwn 81st & 82nd St;1565 2nd Ave
Land Thai Kitchen;450 Amsterdam Ave;Btwn 81st & 82nd St;450 Amsterdam Ave
Landmarc;10 Columbus Circle;At 60th St;10 Columbus Cir
Landmarc;179 W Broadway;Btwn Leonard & Worth St;179 W Broadway
Landmark;158 Grand St;Btwn Lafayette & Center St;158 Grand St
Landmark Gourmet;64 Pearl St;At Broad St;64 Pearl St
Lane Cafe;75 Maiden Ln;Btwn William & Gold St;75 Maiden Ln
Langan's;150 W 47th St;Btwn 6th & 7th Ave;150 W 47th St
Lansdowne Road;599 10th Ave;Btwn 43rd & 44th St;599 10th Ave
Lansky's Old World Deli;235 Columbus Ave;Btwn 70th & 71st St;235 Columbus Ave
Lantern Thai;311 2nd Ave;At 18th St;311 2nd Ave
Lanza's;168 1st Ave;Btwn 10th & 11th St;168 1st Avenue
Lanza's16;8 1st Ave;;8 1st Avenue
Las Chicas Locas;160 W 25th St;;160 W 25th St
Las Panteras Negras;2130 2nd Ave;Btwn 109th & 110th St;2130 2nd Ave
Las Poblanitas;302 W 38th St;At 8th Ave;302 W 38th St
Las Ramblas;170 W 4th St;Btwn Cornelia & Jones St;170 West 4th Street
Lasagna Restaurant;785 9th Ave;Btwn 52nd & 53rd St;785 9th Ave
Lasagna Ristorante;196 8th Ave;At 20th St;196 8th Ave
Lasagna Ristorante;941 2nd Ave;At 50th St;941 2nd Ave
Lassi;28 Greenwich Ave;Btwn Charles & W 10th St;28 Greenwich Ave
Last Licks Ice Cream;245 E 93rd St;Btwn 2nd & 3rd Ave;245 E 93rd St
Latin Thing;61 B Lexington Ave;Btwn 25th & 26th St;61 Lexington Ave
Latitude;783 8th Ave;Btwn 47th & 48th St;783 8th Ave
Lattanzi;361 W 46th St;Btwn 8th & 9th Ave;361 W 46th St
Laut;15 E 17th St;Btwn 5th Ave & Broadway;15 E 17th St
Laut15 E;17th St;;E 17th St
Lavagna;545 E 5th St;Btwn Ave A & Ave B;545 E 5th St
Lavagna54;5 E 5th St;;5 E 5th St
Layaly;98 Avenue B;Btwn 6th & 7th St;98 Avenue B
Lazzara's Pizza Cafe;221 W 38th St;Btwn 7th & 8th Ave;221 W 38th St
Lazzara's Pizza Cafe;617 9th Ave;Btwn 43rd & 44th St;617 9th Ave
Lazzat;210 1st Ave;Btwn E 12th & E 13th St;210 1st Avenue
Le Basket;683 Broadway;At Great Jones St;683 Broadway
Le Bateau Ivre;230 E 51st St;Btwn 2nd & 3rd Ave;230 E 51st St
Le Bernardin;155 W 51st St;Btwn 6th & 7th Ave;155 W 51st St
Le Bilboquet;25 E 63rd St;Btwn Madison & Park Ave;25 E 63rd St
Le Boeuf a la Mode;539 E 81st St;At East End Ave;539 E 81st St
Le Caire;189 E 3rd St;Btwn Ave A & Ave B;189 E 3rd St
Le Cirque;151 E 58th St;Btwn Lexington & 3rd Ave;151 E 58th St
Le Colonial;149 E 57th St;Btwn Lexington & 3rd Ave;149 E 57th St
Le Gamin Cafe;132 Houston St;At Sullivan St;132 W Houston St
Le Gamin Cafe;536 E 5th St;Btwn Ave A & Ave B;536 E 5th St
Le Gamin Cafe (CLOSED);132 Houston St;;132 W Houston St
Le Gigot;18 Cornelia St;Btwn W 4th & Bleecker St;18 Cornelia St
Le Grainne Cafe;183 9th Ave;Btwn 21st & 22nd St;183 9th Ave
Le Jardin Bistro;25 Cleveland Pl;Btwn Spring & Kenmare St;25 Cleveland Pl
Le Lupanar;103 Essex St;Btwn Rivington & Delancey St;103 Essex St
Le Marais;150 W 46th St;Btwn 6th & 7th Ave;150 W 46th St
Le Miu;107 Avenue A;Btwn 6th & 7th St;107 Avenue A
Le Miu (CLOSED);107 Avenue A;;107 Avenue A
Le Monde;2885 Broadway;Btwn 112th & 113th St;2885 Broadway
Le Pain Quotidien;124 7th Ave;Btwn 17th & 18th St;124 7th Ave
Le Pain Quotidien;50 W 72nd St;Btwn CPW & Columbus Ave;50 W 72nd St
Le Pain Quotidien;100 Grand St;Btwn Greene & Mercer St;100 Grand St
Le Pain Quotidien;70 W 40th St;At 6th Ave;70 W 40th St
Le Pain Quotidien;1131 Madison Ave;Btwn 84th & 85th St;1131 Madison Ave
Le Pain Quotidien;38 E 19th St;Btwn Bway & Park Ave;38 E 19th St
Le Pain Quotidien;1270 1st Ave;Btwn 68th & 69th St;1270 1st Avenue
Le Pain Quotidien;494 Amsterdam Ave;At 84th St;494 Amsterdam Ave
Le Pain Quotidien;60 W 65th St;Btwn CPW & Columbus Ave;60 W 65th St
Le Pain Quotidien;922 7th Ave;At W 58th St;922 7th Ave
Le Pain Quotidien;833 Lexington Ave;At 64th St;833 Lexington Ave
Le Pain Quotidien;252 E 77th St;Btwn 2nd & 3rd Ave;252 E 77th St
Le Pere Pinard;175 Ludlow St;Btwn Houston & Stanton St;175 Ludlow St
Le Perigord;405 E 52nd St;At 1st Ave;405 E 52nd St
Le Petit Belge;22 E 14th St;Btwn 5th Ave & Union Sq W;22 E 14th St
Le Petit Canard;228 3rd Ave;Btwn 19th & 20th St;228 3rd Ave
Le Petit Un Deux Trois;403 W 43rd St;At 9th Ave;403 W 43rd St
Le Poisson Rouge;158 Bleecker;Btwn Thompson & Sullivan St;158 Bleecker St
Le Refuge;166 E 82nd St;Btwn Lexington & 3rd Ave;166 E 82nd St
Le Rivage;340 W 46th St;Btwn 8th & 9th Ave;340 W 46th St
Le Singe Vert;160 7th Ave;Btwn 19th & 20th St;160 7th Ave
Le Soleil;877 10th Ave;Btwn 57th & 58th St;877 10th Ave
Le Souk;47 Avenue B;Btwn 3rd & 4th St;47 Avenue B
Le Veau D'or;129 E 60th St;Btwn Park & Lexington Ave;129 E 60th St
Le Zie;172 7th Ave;Btwn 20th & 21st St;172 7th Ave
Le Zie172;7th Ave;;7th Ave
LeAn;583 6th Ave;Btwn 16th & 17th St;583 6th Ave
Lea;230 Park Ave;Btwn 45th & 46th St;The Helmsley Building
Lederhosen;39 Grove St;At Bleecker St;39 Grove St
Leela Lounge;1 W 3rd St;Btwn Bway & Mercer St;1 W 3rd St
Legends;6 W 33rd St;;6 W 33rd St
Legends6 W;33rd St;;W 33rd St
Lelabar;422 Hudson St;Btwn Leroy & Morton St;422 Hudson St
Lelabar42;2 Hudson St;;2 Hudson St
Lemongrass;1571 2nd Ave;Btwn 81st & 82nd St;1571 2nd Ave
Lemongrass Grill;84 William St;At Maiden Ln;84 William St
Lemongrass Grill;138 E 34th St;At Lexington Ave;138 E 34th St
Lemongrass Grill;2534 Broadway;Btwn 94th & 95th St;2534 Broadway
Lenny's;108 John St;At Cliff St;108 John St
Lenny's;489 Columbus Ave;Btwn 83rd & 84th St;489 Columbus Ave
Lenny's;613 9th Ave;Btwn 43rd & 44th St;613 9th Ave
Lenny's;60 W 48th St;Btwn 5th & 6th Ave;60 W 48th St
Lenny's;1024 2nd Ave;At 54th St;1024 2nd Ave
Lenny's;1269 1st Ave;At 68th St;1269 1st Avenue
Lenny's;1481 2nd Ave;At 77th St;1481 2nd Ave
Lenny's;302 Columbus Ave;Btwn 74th & 75th St;302 Columbus Ave
Lenny's;66 W 9th St;At 6th Ave;66 W 9th St
Lenny's;16 W 23rd St;Btwn 5th & 6th Ave;16 W 23rd St
Lenny's Bagels;2601 Broadway;At 98th St;2601 Broadway
Lenny's10;8 John St;;8 John St
Lenny's10;24 2nd Ave;;24 2nd Ave
Lenny's12;69 1st Ave;;69 1st Avenue
Lenny's14;81 2nd Ave;;81 2nd Ave
Lenny's16 W;23rd St;;W 23rd St
Lenny's30;2 Columbus Ave;;2 Columbus Ave
Lenny's48;9 Columbus Ave;;9 Columbus Ave
Lenny's60 W;48th St;;W 48th St
Lenny's61;3 9th Ave;;3 9th Ave
Lenny's66 W;9th St;;W 9th St
Lenox Hill Grill;1105 Lexington Ave;Btwn 77th & 78th St;1105 Lexington Ave
Lenox Hill Pizza;1107 Lexington Ave;Btwn 77th & 78th St;1107 Lexington Ave
Lenox Lounge;288 Lenox Ave;Btwn 124th & 125th St;288 Lenox Ave
Leo's Bagels;3 Hanover Sq;At Stone St;3 Hanover Square
Leocadia Milanes;29 W 26th St;Btwn 6th Ave & Bway;29 W 26th St
Leone Pizza & Pasta;1674 Broadway;Btwn 52nd & 53rd St;1674 Broadway
Leone Pizza & Pasta (CLOSED);1674 Broadway;;1674 Broadway
Les Enfants Terribles;37 Canal St;At Ludlow St;37 Canal St
Les Halles;411 Park Ave S;Btwn 28th & 29th St;411 Park Ave S
Les Halles;15 John St;Btwn Bway & Nassau St;15 John St
Les Sans Culottes East;1085 2nd Ave;At 57th St;1085 2nd Ave
Levain Bakery;167 W 74th St;Btwn Columbus & Amsterdam Ave;167 W 74th St
Levana;141 W 69th St;Btwn Bway & Columbus;141 W 69th St
Levana141 W;69th St;;E 69th St
Lever House;390 Park Ave;At 53rd St;390 Park Ave
Lex Restaurant;1370 Lexington Ave;Btwn 90th & 91st St;1370 Lexington Ave
Lexington Deli;660 Lexington Ave;At 55th St;660 Lexington Ave
Lexington Grill;1332 Lexington Ave;Btwn 88th & 89th St;1332 Lexington Ave
Li Hua;171 Grand St;At Baxter St;171 Grand St
Li's Restaurant;102 Avenue C;Btwn 6th & 7th St;102 Loisaida Ave
Libation;137 Ludlow St;Btwn Rivington & Stanton St;137 Ludlow St
Liberatos Pizza;17 Cedar St;Btwn Pearl & William St;17 Cedar St
Liberty;22 E 49th St;Btwn Madison & 5th Ave;22 E 49th St
Liberty Bagel & Deli;876 6th Ave;Corner of 31st St;876 6th Ave
Liberty Cafe;829 3rd Ave;Btwn 50th & 51st St;829 3rd Ave
Liberty View;21 S End Ave;At W Thames St;21 South End Ave
Liberty22 E;49th St;;W 49th St
Libretto's Pizzeria & Restaurant;546 3rd Ave;Btwn 36th & 37th St;546 3rd Ave
Life Cafe;343 E 10th St;At Ave B;343 E 10th St
LifeThyme Natural Market;410 6th Ave;Btwn 8th & 9th St;410 6th Ave
Lil' Frankie's;19 1st Ave;Btwn 1st & 2nd St;19 1st Avenue
Lili's;102 N End Ave;At Vesey St;102 North End Ave
Lili's;57200 W 57th St;At 7th Ave;W 57th St
Lili's;1500 3rd Ave;Btwn 84th & 85th St;1500 3rd Ave
Lili's 57;200 W 57th St;;200 W 57th St
Lili's150;0 3rd Ave;;3rd Ave
Lilly O'Brien's;67 Murray St;Btwn W Broadway & Greenwich St;67 Murray Street
Lily's;31 Oliver St;Btwn Henry & Madison St;31 Oliver St
Lily's Restaurant;501 Lexington Ave;Btwn 47th & 48th St;501 Lexington Ave
Lima's Taste;122 Christopher St;At Bedford St;122 Christopher St
Lime Jungle;803 9th Ave;Btwn 53rd & 54th St;803 9th Ave
Lime Leaf Grill;157 E 33rd St;Btwn Lex & 3rd Ave;157 E 33rd St
Limerick House;69 W 23rd St;Btwn 5th & 6th Ave;69 W 23rd St
Limon;238 E 24th St;Btwn 2nd & 3rd Ave;238 E 24th St
Limon238 E;24th St;;W 24th St
Lin's Chinese Restaurant;32 E 23rd St;Btwn Madison & Park Ave;32 E 23rd St
Lin's Flavor House;3783 Broadway;At 157th St;3783 Broadway
Lincoln Park;867 9th Ave;Btwn 56th & 57th St;867 9th Ave
Lindy's;825 7th Ave;Btwn 53rd & 54th St;825 7th Ave
Lindy's82;5 7th Ave;;5 7th Ave
Lion's Head Tavern;995 Amsterdam Ave;Btwn 108th & 109th;995 Amsterdam Ave
Lips;2 Bank St;At Greenwich Ave;2 Bank St
Liquiteria;170 2nd Ave;At 11th St;170 2nd Ave
Lisa's;76 Fulton St;At Gold St;76 Fulton St
Lisca;660 Amsterdam Ave;At 92nd St;660 Amsterdam Ave
Lite Bites;111 E 55th St;Btwn Park & Lexington Ave;111 E 55th St
Lite Delight;532 Columbus Ave;Btwn 85th & 86th St;532 Columbus Ave
Lite Delights;51 E Houston St;Btwn Mott & Mulberry St;51 E Houston St
Lite Delights;456 3rd Ave;Btwn 31st & 32nd St;456 3rd Ave
Little Atlas;6 W 4th St;Btwn Bway & Mercer St;6 West 4th Street
Little Basil;153 E 26th St;Btwn 3rd Ave & Lexington;153 E 26th St
Little Giant;85 Orchard St;At Broome St;85 Orchard St
Little Havana;30 Cornelia St;Btwn Bleecker & W 4th St;30 Cornelia St
Little Italy Pizza;1 E 43rd St;At Vanderbilt Ave;1 E 43rd St
Little Italy Pizza;55 W 45th St;At 6th Ave;55 W 45th St
Little Italy Pizza;333 5th Ave;At 33rd St;333 5th Ave
Little Italy Pizza;11 Park Pl;Btwn Broadway & Church St;11 Park Pl
Little Lad's Basket;120 Broadway;At Cedar St;Equitable Life Building
Little Lili's;2058 Lexington Ave;Btwn 124th & 125th St;2058 Lexington Ave
Little Pie Company;424 W 43rd St;Btwn 9th & 10th Ave;424 W 43rd St
Little Pie Company;Grand Central Terminal;Lower Level Dining Concourse;89 E 42nd St
Little Pie Company;1Grand Central Terminal 1 Lower Level Dining Concourse;;1Grand Central Terminal 1 Lower Level Dining Concourse
Little Pie Company;0Grand Central Terminal;Lower Level Dining Concourse;89 E 42nd St
Little Pie Company;0grand central terminal;;89 E 42nd St
Little Poland Restaurant;200 2nd Ave;Btwn 12th & 13th St;200 2nd Ave
Little Slice of Italy;1163 2nd Ave;;1163 2nd Ave
Little Thai Kitchen;231 E 53rd St;Btwn 2nd & 3rd Ave;231 E 53rd St
Little Veselka;75 E 1st St;At Houston St;75 E 1st St
Little Vincent's Pizza Restaurant;1399 2nd Ave;At 73rd St;1399 2nd Ave
Live Bait;14 E 23rd St;Btwn Madison Ave & Bway;14 E 23rd St
Living Earth;0(fka Vitality Health Food)1412 1st Ave;Btwn 74th & 75th S;1412 1st Avenue
Living Earth;1(fka Vitality Health Food)1412 1st Ave 1 Btwn 74th & 75th S;;1(fka Vitality Health Food)1412 1st Ave 1 Btwn 74th & 75th S
Lobby Lounge;80 Columbus Circle;At 60th St;80 Columbus Cir
Local West;1 Penn Plaza;At 33rd St & 8th Ave;1 Pennsylvania Plaza
Lola Restaurant;15 Watts St;At Thompson St;15 Watts St
Lola Restaurant (CLOSED);15 Watts St;;15 Watts St
Lolita's;57 Lenox Ave;At 113th St;57 Lenox Ave
Lombardi's;32 Spring St;At Mott St;32 Spring St
Lomito;300 Spring St;Btwn Hudson & Remwick St;300 Spring St
Lomito (CLOSED);300 Spring St;Btwn Hudson & Remwick St;300 Spring St
Londel's;2620 8th Ave;Btwn 139th & 140th St;2620 Frederick Douglass Blvd
Longwood Gourmet;500 Lexington Ave;Corner of 48th St;500 Lexington Ave
Loreley;7 Rivington St;Btwn Bowery & Chrystie St;7 Rivington St
Lorenzo & Maria Kitchen;1418 3rd Ave;;1418 3rd Ave
Los Dados;73 Gansevoort St;At Washington St;73 Gansevoort St
Los Dos Molinos;119 E 18th St;Btwn Irving Pl & Park Ave;119 E 18th St
Lou G Siegel;240 W 14th St;Btwn 7th & 8th Ave;240 W 14th St
Lou's Cafe;1301 6th Ave;At 53rd St;1301 6th Ave
Lounge;62 Thomas St;;62 Thomas St
Lounge Roger Williams;131 Madison Ave;At 31st St;131 Madison Ave
Lovely Day;196 Elizabeth St;Btwn Prince & Spring St;196 Elizabeth St
Lowe's Eatery;101 W 136th St;At Lenox Ave;101 W 136th St
Lowe's Eatery;164 W 116th St;Btwn Adam Clayton Blvd & Lenox Ave;164 W 116th St
Luca Bar;119 Saint Marks Pl;Btwn 1st Ave & Ave A;119 St Marks Pl
Luca Lounge;220 Avenue B;Btwn 13th & 14th St;220 Avenue B
Luciano's;18 W 56th St;Btwn 5th & 6th Ave;18 W 56th St
Lucien;14 1st Ave;Btwn 1st & 2nd St;14 1st Avenue
Lucien14;1st Ave;;1st Avenue
Lucille's Grill;237 W 42nd St;Btwn 7th & 8th Ave;237 W 42nd St
Luck Star;2200 Amsterdam Ave;Btwn 169th & 170th;2200 Amsterdam Ave
Lucky Cheng's;24 1st Ave;Btwn Houston & 2nd St;24 1st Avenue
Lucky Chicken;377 1st Ave;At 22nd St;377 1st Avenue
Lucky Joy;2657 8th Ave;At 142nd St;2657 Frederick Douglass Blvd
Lucky Star Cafe;250 W 43rd St;Btwn 7th & 8th Ave;250 W 43rd St
Lucky Strike;59 Grand St;Btwn W Bway & Wooster St;59 Grand St
Lucky Sunday;858 8th Ave;Btwn W 51st & W 52nd St;858 8th Ave
Lucky Zhang's Family;94 E Broadway;Btwn Allen & Forsyth St;94 E Broadway
Luckys Famous;370 W 52nd St;Btwn 8th & 9th Ave;370 W 52nd St
Lucy;35 E 18th St;Btwn Bway & Park Ave S;35 E 18th St
Lucy35 E;18th St;;W 18th St
Lugo Caffe;1 Penn Plaza;Btwn 7th & 8th Ave;1 Pennsylvania Plaza
Luigi's;1701 1st Ave;At 88th St;1701 1st Avenue
Luigi's;936 8th Ave;Btwn 55th & 56th St;936 8th Ave
Luigi's Restaurant;304 8th Ave;Btwn 25th & 26th St;304 8th Ave
Luigi's17;01 1st Ave;;1 1st Avenue
Luigi's93;6 8th Ave;;6 8th Ave
Luke's Bar & Grill;1394 3rd Ave;Btwn 79th & 80th St;1394 3rd Ave
Lula's;516 E 6th St;Btwn Ave A & Ave B;516 E 6th St
Lula's516 E;6th St;;E 6th St
Lulu';235 Mulberry St;At Spring St;235 Mulberry St
Lumi;963 Lexington Ave;At 70th St;963 Lexington Ave
Luna Piena;243 E 53rd St;Btwn 2nd & 3rd Ave;243 E 53rd St
Lunasa;126 1st Ave;Btwn 7th St & St Marks Pl;126 1st Avenue
Lunasa126;1st Ave;;1st Avenue
Lunch Box;886 9th Ave;Btwn 57th & 58th St;886 9th Ave
Lunch Box Buffet;257 W 34th St;Btwn 7th & 8th Ave;257 W 34th St
Lunchbox;234 E 23rd St;Btwn 2nd & 3rd Ave;234 E 23rd St
Lunetta;920 Broadway;At 21st St;920 Broadway
Lunetta (CLOSED);920 Broadway;;920 Broadway
Lupa;170 Thompson St;Btwn Houston & Bleecker St;170 Thompson St
Lupe's;110 6th Ave;At Watts St;110 6th Ave
Lupe's110;6th Ave;;6th Ave
Lure Fishbar;142 Mercer St;At Prince St;142 Mercer St
Lusardi's;1494 2nd Ave;At 78th St;1494 2nd Ave
Luscious Thai;1099 1st Ave;Btwn 60th & 61st St;1099 1st Avenue
Lusso;331 W Broadway;;331 W Broadway
Luxe Restaurant & Bar;235 W 35th St;Btwn 7th & 8th Ave;235 W 35th St
Luxee;6 Clinton St;At E Houston St;6 Clinton St
Luzia's;429 Amsterdam Ave;Btwn 80th & 81st St;429 Amsterdam Ave
Luzia's42;9 Amsterdam Ave;;9 Amsterdam Ave
Luzzo's;211 1st Ave;Btwn 12th & 13th St;211 1st Avenue
Luzzo's21;1 1st Ave;;1 1st Avenue
Lyla's Cafe Creperie;1270 Amsterdam Ave;;1270 Amsterdam Ave
Lyric Diner;283 3rd Ave;At 22nd St;283 3rd Ave
M;1-552 Walker St;Btwn Chruch St & Bway;1 Walker St
M;2M - Morning To Midnight2935 Broadway;Btwn 114th & 115th S;2M - Morning To Midnight2935 Broadway
M & M Market Deli;529 Broome St;At 6th Ave;529 Broome St
M Lounge;62 Thomas St;Btwn W Broadway & Church St;62 Thomas St
M Star Cafe;19 Division St;Btwn Catherine & Market St;19 Division St
M. T. Carmel Pizza;345 E 115th St;Btwn 1st & 2nd Ave;345 E 115th St
M.J. Armstrong's;329 1st Ave;At 19th St;329 1st Avenue
MEE Noodle Shop;795 9th Ave;At 53rd St;795 9th Ave
Ma Cuisine;1701 Amsterdam Ave;Btwn 144th & 145st St;1701 Amsterdam Ave
MaMa Buddha & Empire Szechuan;1Greenwich15 Greenwich Ave 1 Btwn 10th St & 6th Ave;;1Greenwich15 Greenwich Ave 1 Btwn 10th St & 6th Ave
MaMa Buddha & Empire Szechuan;0Greenwich15 Greenwich Ave;Btwn 10th St & 6th Ave;Greenwich Ave
Macao Trading Co.;311 Church St;Btwn Walker & Lispenard St;311 Church St
Macaron Cafe;161 W 36th St;Btwn 7th Ave & Broadway;161 W 36th St
Macchiato Espresso Bar;141 E 44th St;Btwn Lexington & 3rd Ave;141 E 44th St
Macelleria;48 Gansevoort St;Btwn Greenwich & Washington St;48 Gansevoort St
Macondo;157 E Houston St;Btwn Allen & Eldridge St;157 E Houston St
Macondo15;7 E Houston St;;7 E Houston St
Mad;4645 E 45th St;At Madison Ave & 46th St;E 45th St
Mad Dog & Beans;83 Pearl St;Btwn Hanover Sq & Coenties Slip;83 Pearl St
Mad River;1442 3rd Ave;At 82nd St;1442 3rd Ave
Mad4645 E;45th St;;W 45th St
Madaleine Mae;461 Columbus Ave;At 82nd St;461 Columbus Ave
Madaleine Mae (CLOSED);461 Columbus Ave;At 82nd St;461 Columbus Ave
Madangsui;35 W 35th St;Btwn 5th & 6th Ave;35 W 35th St
Madeleine Patisserie;128 W 23rd St;Btwn 6th & 7th Ave;128 W 23rd St
Madeline's Cafe;141 E 56th St;At Lexington Ave;141 E 56th St
Madison & Vine;299 Madison Ave;At 41st St;299 Madison Ave
Madison Bistro;238 Madison Ave;Btwn 37th & 38th St;238 Madison Ave
Madison Restaurant;965 1st Ave;At 53rd St;965 1st Avenue
Madras Mahal;104 Lexington Ave;Btwn 27th & 28th St;104 Lexington Ave
Madrit's Pronto Pizza;55 W 55th St;Btwn 5th & 6th Ave;55 W 55th St
Mae Mae Cafe;68 Vandam St;;68 Vandam St
Maffei Pizza;688 6th Ave;At 22nd St;688 6th Ave
Maggie's Cajun Grill;12 John St;Btwn Bway & Nassau St;12 John St
Maggie's Place;21 E 47th St;At Madison Ave;21 E 47th St
Magnolia Bakery;401 Bleecker St;At 11th St;401 Bleecker St
Magnolia Bakery;200 Columbus Ave;At 69th St;200 Columbus Ave
Magnolia Bakery;1240 6th Ave;At 49th St;1240 6th Ave
Maharaja;133 E 45th St;Btwn Lexington & 3rd Ave;133 E 45th St
Mai House;186 Franklin St;Btwn Greenwich & Hudson St;186 Franklin St
Maiden Heaven;9 Maiden Ln;Btwn Bway & Nassau St;9 Maiden Ln
Main Noodle House;1011 6th Ave;At W 38th St;1011 6th Ave
Maison;1700 Broadway;At 53rd St & 7th Ave;1700 Broadway
Maison170;0 Broadway;;0 Broadway
Majestic Delicatessen;200 W 50th St;At 7th Ave;200 W 50th St
Majestic Pizza;8 Cortlandt St;Btwn Church St & Bway;8 Cortlandt St
Make My Cake;121 St Nicholas Ave;At 116th St;121 St Nicholas Ave
Make My Cake;2380 7th Ave;At 139th St;2380 7th Ave
Malaga;406 E 73rd St;Btwn 1st & York Ave;406 E 73rd St
Malaga406 E;73rd St;;E 73rd St
Malatesta Trattoria;649 Washington St;At Christopher St;649 Washington St
Malaysia Grill;224 W 104th St;Btwn Broadway & Amsterdam Ave;224 W 104th St
Malecon No.;14141 Broadway;At 175th St;Broadway
Malecon No.;2764 Amsterdam Ave;Btwn 97th & 98th St;2764 Amsterdam Ave
Malibu Diner;163 W 23rd St;Btwn 6th & 7th Ave;163 W 23rd St
Malika;210 E 43rd St;Btwn 2nd & 3rd Ave;210 E 43rd St
Malika210 E;43rd St;;W 43rd St
Maloney & Porcelli;37 E 50th St;Btwn Madison & Park Ave;37 E 50th St
Mama Cafe;46 Mulberry St;Btwn Mosco & Bayard St;46 Mulberry St
Mama Mexico;2672 Broadway;At 102nd St;2672 Broadway
Mama Mexico;214 E 49th St;At 3rd Ave;214 E 49th St
Mama Tina's;2649 8th Ave;Btwn 141st & 142nd St;2649 Frederick Douglass Blvd
Mama's Food Shop;200 E 3rd St;Btwn Ave A & Ave B;200 E 3rd St
MamaSushi;237 Dyckman St;Btwn Broadway & Riverside Dr;237 Dyckman St
Mamajuana Cafe;247 Dyckman St;Btwn Payson & Seaman Ave;247 Dyckman St
Mamani;151 Avenue A;Btwn 9th & 10th St;151 Avenue A
Mambi;4181 Broadway Ave;At 177th St;4181 Broadway
Mambo Italiano Xpress;944 1st Ave;At 52nd St;944 1st Avenue
Mamoun's Falafel;119 MacDougal St;Btwn Bleecker & W 3rd St;119 MacDougal St
Mamoun's Falafel;22 Saint Marks Pl;Btwn 2nd & 3rd Ave;22 St Marks Pl
Mana;646 Amsterdam Ave;Btwn 91st & 92nd St;646 Amsterdam Ave
Manana;27 E 61st St;Btwn Madison & Park Ave;27 E 61st St
Manana27 E;61st St;;E 61st St
Manatus;340 Bleecker St;Btwn 10th St & Christopher St;340 Bleecker St
Manatus34;0 Bleecker St;;0 Bleecker St
Manchester Pub;920 2nd Ave;Btwn 48th & 49th St;920 2nd Ave
Mancora;99 1st Ave;At 6th St;99 1st Avenue
Mancora99;1st Ave;;1st Avenue
Mandarin Court;61 Mott St;Btwn Bayard & Canal St;61 Mott St
Mandoo Bar;2 W 32nd St;Btwn Bway & 5th Ave;2 W 32nd St
Manganaro's HeroBoy;494 9th Ave;Btwn 37th & 38th St;494 9th Ave
Manganaros Italian Groceria & Trattoria;488 9th Ave 1 Btwn 37th & 38th St;;488 9th Ave 1 Btwn 37th & 38th St
Manganaros Italian Groceria & Trattoria;488 9th Ave;Btwn 37th & 38th St;488 9th Ave
Mangez Avec Moi;71 W Broadway;Btwn Murray & Warren St;71 W Broadway
Mangez Express;71-73 W Broadway;Btwn Murray & Warren St;71 W Broadway
Mangia;22 W 23rd St;Btwn 5th & 6th Ave;22 W 23rd St
Mangia;40 Wall St;Btwn William & Nassau St;40 Wall St
Mangia;16 E 48th St;Btwn 5th & Madison Ave;16 E 48th St
Mangia;50 W 57th St;Btwn 5th & 6th Ave;50 W 57th St
Mangia (CLOSED);40 Wall St;;40 Wall St
Mangia E Bevi;800 9th Ave;At 53rd St;800 9th Ave
Mangia16 E;48th St;;W 48th St
Mangia22 W;23rd St;;W 23rd St
Mangia50 W;57th St;;W 57th St
Mangiami;9 Stanton St;Btwn Bowery & Christie St;9 Stanton St
Manhattan Bistro;129 Spring St;Btwn Wooster & Greene St;129 Spring St
Manhattan Brick Oven & Grill;300 E 72nd St;At 2nd Ave;300 E 72nd St
Manhattan Brick Oven & Grill;1159 3rd Ave;Btwn 67th & 68th St;1159 3rd Ave
Manhattan Center Market;514 3rd Ave;Btwn 34th & 35th St;514 3rd Ave
Manhattan Chili Co.;Grand Central Terminal;At 42nd St;89 E 42nd St
