restaurant;address;country;country_code;neighborhood;type;cost;addressGoogle
Mara's Homemade;342 E Sixth St;New York;NY;East Village;Creole-Cajun;$$;342 E 6th St
Mare;198 Eighth Ave;New York;NY;Chelsea;Seafood;$$;198 8th Ave
Maremma;228 W 10th St;New York;NY;West Village;Italian;$$$;228 W 10th St
MarkJoseph Steakhouse;261 Water St;New York;NY;Financial District;Steakhouse;$$$$;261 Water St
Market Table;54 Carmine St;New York;NY;;American;$$$$;54 Carmine St
Markt;676 6th Avenue;New York;NY;Flatiron;Belgian;$$$;676 6th Ave
Maroons;244 W 16th St;New York;NY;Chelsea;Southern;$$;244 W 16th St
Marseille;630 Ninth Ave;New York;NY;Midtown West;French;$$$;630 9th Ave
Mary Anns Mexican Restaurant;1503 2nd Ave;New York;NY;;;;1503 2nd Ave
Mary's Fish Camp;64 Charles St;New York;NY;West Village;Seafood;$$;64 Charles St
Mas (farmhouse);39 Downing St;New York;NY;Greenwich Village;American;$$$$;39 Downing St
Masa;10 Columbus Circle;New York;NY;Upper West Side;Japanese;$$$$$;10 Columbus Cir
Matsuri;369 W 16th St;New York;NY;;;;369 W 16th St
Max;1274 Amsterdam Ave;New York;NY;East Village;Italian;$;1274 Amsterdam Ave
Maya;1191 First Avenue;New York;NY;Midtown East;Mexican;$$$$;1191 1st Avenue
Mccormick & Schmick's;1285 Sixth Ave;New York;NY;Midtown West;Seafood;$$$;1285 6th Ave
Mediterraneo;1260 Second Ave;New York;NY;Upper East Side;Italian;$$;1260 2nd Ave
Megu;62 Thomas St;New York;NY;TriBeCa;Japanese;$$$$$;62 Thomas St
Megu Midtown;845 United Nations Plaza;New York;NY;Midtown East;Japanese;$$$$$;845 United Nations Plaza
Meltemi;905 First Ave;New York;NY;Midtown East;Greek;$$$;905 1st Avenue
Mercadito;179 Ave B;New York;NY;East Village;Mexican;$$;179 Avenue B
Mercadito Grove;100 Seventh Ave S;New York;NY;West Village;Mexican;$$;100 7th Ave S
Mercat;45 Bond Street;New York;NY;SOHO;Spanish;$$$$;45 Bond St
Mercer Kitchen;99 Prince Street;New York;NY;SOHO;American;$$$$;99 Prince St
Mermaid Inn;96 Second Ave;New York;NY;East Village;Seafood;$$$;96 2nd Ave
Mesa Grill;102 5th Ave;New York;NY;Flatiron;Southwestern;$$$$;102 5th Ave
Meskerem;468 W. 47th St.;New York;NY;;Ethiopian;;468 W 47th St
Metisse;239 W 105th St;New York;NY;Upper West Side;French;$$$;239 W 105th St
Metropol;234 W Fourth St;New York;NY;Greenwich Village;French;$$$;234 West 4th Street
Mexican Radio;250 Mulberry St;New York;NY;NoLita;Mexican;$$;250 Mulberry St
Mexicana Mama;525 Hudson St;New York;NY;West Village;Mexican;$$;525 Hudson St
Mezzaluna;1295 3rd Ave;New York;NY;Upper East Side;American;$$;1295 3rd Ave
Mi Cocina;57 Jane St;New York;NY;West Village;Mexican;$$$;57 Jane St
Michael Jordan's The Steakhouse N.Y.C.;23 Vanderbilt Ave - Grand Central Staion;New York;NY;Midtown East;Steakhouse;$$$;89 E 42nd St
Michael's;24 W 55th St;New York;NY;Midtown West;Californian;$$$$;24 W 55th St
Mickey Mantle's;42 Central Park South;New York;NY;Midtown East;American;$$$;42 Central Park S
Midtown;155 E 55th Street;New York;NY;Midtown East;American;$;155 E 55th St
Mill Korean;2895 Broadway;New York;NY;Harlem;Korean;$;2895 Broadway
Minetta Tavern;113 Macdougal Street;New York;NY;Greenwich Village;Italian;$$$;113 MacDougal St
Mingala Burmese;21-23 E Seventh St;New York;NY;East Village;Southeast Asian;$;21 E 7th St #23
Miracle Bar & Grill;415 Bleecker St;New York;NY;West Village;Southwestern;$$;415 Bleecker St
Miss Maude's Spoonbread Too;547 Lenox Ave;New York;NY;Harlem;Southern;$;547 Lenox Ave
Mo Pitkin's;34 Ave A;New York;NY;East Village;Jewish;$$;34 Avenue A
Mobay Uptown Restaurant & Barbecue;17 W 125th St;New York;NY;Harlem;Caribbean;$;17 W 125th St
Mofongo Depot;931 Amsterdam Ave;New York;NY;Upper West Side;Nuevo Latino;$$;931 Amsterdam Ave
Molyvos;871 7th Avenue;New York;NY;Midtown West;Greek;$$$;871 7th Ave
Momofuku Ko;163 First Ave;New York;NY;East Village;Chinese;$$$$;163 1st Avenue
Momofuku Noodle Bar;171 First Ave.;New York;NY;East Village;Chinese;$$$;171 1st Avenue
Momofuku Ssam Bar;207 2nd Ave;New York;NY;East Village;Asian;$$$;207 2nd Ave
Momoya;185 Seventh Ave;New York;NY;;;;185 7th Ave
Mon Petit Cafe;801 Lexington Ave;New York;NY;Upper East Side;French;$$;801 Lexington Ave
Monkey Bar;60 E 54th Street;New York;NY;Midtown East;American;$$$$;60 E 54th St
Monster Sushi;158 West 23rd St;New York;NY;;;;158 W 23rd St
Montebello;120 E 56th St;New York;NY;Midtown East;Italian;$$$;120 E 56th St
Montrachet - CLOSED;239 W Broadway;New York;NY;West Village;French;$$$$;239 W Broadway
Moran's;146 Tenth Ave;New York;NY;Chelsea;Seafood;$$$;146 Amsterdam Ave
Morandi;211 Waverly Place;New York;NY;Greenwich Village;Italian;$$$;211 Waverly Pl
Morimoto;88 10th Ave;New York;NY;Chelsea;Japanese;$$$$;88 10th Ave
Morrell Wine Bar & Cafe;1 Rockefeller Plaza;New York;NY;Midtown West;American;$$$;1 Rockefeller Plaza 48Th and
Morton's;The Steakhouse, 551 Fifth Ave;New York;NY;Midtown East;Seafood;$$$$;The Steakhouse, 551 Fifth Ave
Moustache;90 Bedford Street;New York;NY;West Village;Middle Eastern;$;90 Bedford St
Mr. Chow;324 E 57th St;New York;NY;Midtown East;Chinese;$$$$;324 E 57th St
Mr. K's;570 Lexington Ave;New York;NY;Midtown East;Chinese;$$$;570 Lexington Ave
Mrs Lee & Shabu Shabu Wok;121 University Pl;New York;NY;West Village;Asian;$;121 University Pl
Mughlai;320 Columbus Ave;New York;NY;Upper West Side;Indian;$$;320 Columbus Ave
Mustang Sally's;324 Seventh Avenue;New York;NY;Chelsea;American;$$;324 7th Ave
Nebraska Beef;15 Stone St;New York;NY;Wall Street;Steakhouse;$$$$;15 Stone St
Nelson Blue;233 Front Street;New York;NY;Financial District;British;$$;233 Front St
Neo Sushi;2298 Broadway;New York;NY;Upper West Side;Sushi;$$$$;2298 Broadway
Neptune Room;511 Amsterdam Ave;New York;NY;Upper West Side;Seafood;$$$$;511 Amsterdam Ave
Nero;46 Gansevoort St;New York;NY;Meatpacking District;Italian;$$$;46 Gansevoort St
New Bo-Ky;80 Bayard St;New York;NY;Chinatown;Asian;$;80 Bayard St
New York Noodle Town;28 Bowery at Bayard Street;New York;NY;SOHO;Asian;$;28 Bowery
Nha Trang;87 Baxter St;New York;NY;Chinatown;Asian;$;87 Baxter St
Nice;35 E Broadway;New York;NY;Chinatown;Chinese;$;35 E Broadway
Nick's;1814 Second Ave;New York;NY;Upper East Side;Italian;$;1814 2nd Ave
Nicky's Vietnamese Sandwiches;150 E 2nd St;New York;NY;East Village;American;$;150 E 2nd St
Nicole's;10 East 60th Street;New York;NY;Midtown East;British;$$;10 E 60th St
Niko's Mediterranean Grill;2161 Broadway;New York;NY;Upper West Side;Greek;$;2161 Broadway
Nino's Bellissima Pizza;890 Second Ave.;New York;NY;Midtown East;Italian;$$$;890 2nd Ave
Noble Food & Wine;7 Spring Street;New York;NY;NoLita;American;$$$;7 Spring St
Nobu Fifty Seven;40 W 57th St;New York;NY;Midtown West;Japanese;$$$$$;40 W 57th St
Nobu New York;105 Hudson St;New York;NY;TriBeCa;Japanese;$$$$;105 Hudson St
Nobu Next Door;105 Hudson St;New York;NY;TriBeCa;Sushi;$$$$;105 Hudson St
Nocello;257 West 55th St;New York;NY;Midtown West;Italian;$$$;257 W 55th St
Nocello;257 West 55th Street;New York;NY;Theater;Italian;$$$$;257 W 55th St
Nonna;520 Columbus Ave;New York;NY;;;;520 Columbus Ave
Norma's;118 West 57th Street;New York;NY;Midtown West;American;$$;118 W 57th St
North Square Restaurant and Lounge;103 Waverly Place;New York;NY;Greenwich Village;American;$$$$;103 Waverly Pl
Nougatine;1 Central Park West;New York;NY;;American;$$$$;1 Central Park West
Novecento;343 W Broadway;New York;NY;SOHO;South American;$$$;343 W Broadway
Novita;102 E 22nd Street;New York;NY;Gramercy Park;Italian;$$$;102 E 22nd St
Nyonya;194 Grand Street;New York;NY;Little Italy;Malaysian;$;194 Grand St
Ocean Grill;384 Columbus Ave;New York;NY;Upper West Side;Seafood;$$$;384 Columbus Ave
Oceana;55 E 54th St;New York;NY;Midtown East;Seafood;$$$$;55 E 54th St
Odeon;145 W Broadway;New York;NY;TriBeCa;French;$$$;145 W Broadway
Old Devil Moon;511 E 12th St;New York;NY;East Village;Southern;$;511 E 12th St
Old Homestead;56 9th Ave;New York;NY;Meatpacking District;Steakhouse;$$$$;56 9th Ave
Oliva;161 East Houston Street;New York;NY;Lower East Side;American;$$;161 E Houston St
Olives;201 Park Ave S - W Hotel;New York;NY;Union Square;Mediterranean;$$$;201 Park Ave S
Ollie's Restaurant;1991 Broadway;New York;NY;Upper West Side;Chinese;$;1991 Broadway
Omen;113 Thompson Street;New York;NY;SOHO;Japanese;$$$;113 Thompson St
Once Upon a Tart;135 Sullivan Street;New York;NY;SOHO;American;$;135 Sullivan St
One;1 Little West 12th St;New York;NY;Meatpacking District;American;$$$;1 Little W 12th St
One If by Land;Two If by Sea, 17 Barrow St;New York;NY;Greenwich Village;American;$$$$;17 Barrow St
One Little West 12;1 Little West 12th St.;New York;NY;Meatpacking District;American;$$;1 Little W 12th St
Onieal's Grand Street;174 Grand St;New York;NY;SOHO;American;$$$;174 Grand St
Ono;18 Ninth Ave;New York;NY;Meatpacking District;Sushi;$$$$;18 9th Ave
Open the Sesame;198A Orchard St.;New York;NY;Lower East Side;Thai;$;198 Orchard St
Oriental Garden;14 Elizabeth St;New York;NY;Chinatown;Chinese;$;14 Elizabeth St
Osteria Al Doge;142 West 44th St;New York;NY;Midtown West;Italian;$$$;142 W 44th St
Osteria Del Circo;120 W 55th St;New York;NY;Midtown West;Italian;$$$$;120 W 55th St
Osteria Gelsi;507 Ninth Ave;New York;NY;Midtown West;Italian;$$$;507 9th Ave
Ostia Tapeo;113 Seventh Ave. S.;New York;NY;Greenwich Village;Small Plates;$$;113 7th Ave S
Otto;1 Fifth Ave;New York;NY;Greenwich Village;Italian;$$$$;1 5th Ave
Ouest;2315 Broadway;New York;NY;Upper West Side;American;$$$$;2315 Broadway
Outback Steakhouse;60 W 23rd St;New York;NY;Flatiron;Steakhouse;$$;60 W 23rd St
P.J. Clarke's;915 Third Ave;New York;NY;;;;915 3rd Ave
P.J. Clarke's;44 W. 63rd Street;New York;NY;;;;44 W 63rd St.
Paladar;161 Ludlow St;New York;NY;Lower East Side;Nuevo Latino;$$;161 Ludlow St
Pam Real Thai Food;404 W 49th St;New York;NY;Midtown West;Asian;$;404 W 49th St
Pampa;768 Amsterdam Avenue;New York;NY;Upper West Side;South American;$$;768 Amsterdam Ave
Pampano;209 E 49th St;New York;NY;Midtown East;Mexican;$$$;209 E 49th St
Paradou;8 Little W 12th St;New York;NY;Meatpacking District;French;$$;8 Little W 12th St
Paris Commune;99 Bank St;New York;NY;West Village;Continental;$$;99 Bank St
Park;The, 118 10th Ave;New York;NY;Chelsea;Mediterranean;$$$;118 10th Ave
Park Avenue Cafe;100 East 63rd St (@ Park Avenue);New York;NY;Upper East Side;American;$$$$;100 E 63rd St
Park Bistro;414 Park Ave South;New York;NY;SOHO;French;$$$;414 Park Ave S
Park East Grill;1564 2nd Avenue;New York;NY;Upper East Side;Jewish;$;1564 2nd Ave
Parlor Steakhouse;1600 3rd Ave;New York;NY;Upper East Side;Steakhouse;$$$$;1600 3rd Ave
Pasha;70 W 71st St;New York;NY;Upper West Side;Middle Eastern;$$$;70 W 71st St
Pastis;9 Ninth Ave;New York;NY;Meatpacking District;French;$$$;9 9th Ave
Patsy's;236 W 56th St;New York;NY;Midtown West;Italian;$$$;236 W 56th St
Paul's Da Burger Joint;131 2nd avenue;New York;NY;East Village;American;$$;131 2nd Ave
Payard Bistro;1032 Lexington Avenue;New York;NY;Upper East Side;French;$$$;1032 Lexington Ave
Peanut Butter & Co.;240 Sullivan St;New York;NY;;;;240 Sullivan Pl
Pearl Oyster Bar;18 Cornelia Street;New York;NY;Greenwich Village;Seafood;$$$;18 Cornelia St
Peasant;194 Elizabeth St;New York;NY;NoLita;Italian;$$$;194 Elizabeth St
Peep;177 Prince St;New York;NY;SOHO;Asian;$$;177 Prince St
Penelope;159 Lexington Ave;New York;NY;Murray Hill;American;$;159 Lexington Ave
Pepe Giallo;253 10th Ave;New York;NY;;;;253 10th Ave
Pepe Rosso;149 Sullivan St;New York;NY;SOHO;Italian;$;149 Sullivan St
Per Se;10 Columbus Circle, 4th Fl (60th St);New York;NY;Upper West Side;American;$$$$$;10 Columbus Circle, 4th Fl (60th St)
Pera;303 Madison Avenue;New York;NY;Midtown East;Mediterranean;$$$$;303 Madison Ave
Perbacco;234 E Fourth St;New York;NY;East Village;Italian;$$$;234 E 4th St
Peri Ela;1361 Lexington Avenue;New York;NY;Upper East Side;Turkish;$$;1361 Lexington Ave
Perilla;9 Jones Street;New York;NY;Greenwich Village;American;$$$$;9 Jones St
Periyali;35 W 20th St;New York;NY;Flatiron;Greek;$$$$;35 W 20th St
Perry St.;176 Perry St;New York;NY;West Village;French;$$$$;176 Perry St
Persimmon;277 E 10th St;New York;NY;;Korean;$$$$;277 E 10th St
Pescatore;955-957 2nd Ave;New York;NY;Midtown East;Indian;$$$;955 2nd Ave
Petite Abeille;400 West 14th St;New York;NY;Chelsea;Belgian;$;400 W 14th St
Petrossian;182 W 58th St;New York;NY;Midtown West;Continental;$$$$;182 W 58th St
Philip Marie;569 Hudson St;New York;NY;West Village;American;$$$;569 Hudson St
Pho Bang Restaurant Inc;St Pike St;New York;NY;Chinatown;Asian;$;Pike St
Piadina;57 W 10th St;New York;NY;Greenwich Village;Italian;$$;57 W 10th St
Piano Due;151 W 51st St;New York;NY;Midtown West;Italian;$$$$;151 W 51st St
Piccolo Angolo;621 Hudson St;New York;NY;West Village;Italian;$$;621 Hudson St
Piccolo Ristorante;226 Third Ave;New York;NY;Chelsea;Mediterranean;$$;226 3rd Ave
Picholine;35 W 64th St;New York;NY;Upper West Side;Mediterranean;$$$$;35 W 64th St
Pig Heaven;1540 Second Ave;New York;NY;Midtown West;Chinese;$$;1540 2nd Ave
Pinch;416 Park Ave S;New York;NY;Gramercy Park;Pizza;$;416 Park Ave S
Ping's Seafood;22 Mott St;New York;NY;Chinatown;Chinese;$;22 Mott St
Pinkberry Frozen Yogurt;240 E 82nd St;New York;NY;;Dessert;;240 E 82nd St
Pipa;38 E 19th Street;New York;NY;;Flatiron;$$$;38 E 19th St
Pisticci;125 La Salle St;New York;NY;Harlem;Italian;$;125 La Salle St
Pizza 33;171 W 23rd St;New York;NY;Chelsea;Pizza;$;171 W 23rd St
Pizzeria de Santo;173 Ludlow St.;New York;NY;Lower East Side;Pizza;$;173 Ludlow St
Po;31 Cornelia St;New York;NY;Greenwich Village;Italian;$$$;31 Cornelia St
Poke;343 E. 85th St.;New York;NY;;Sushi;$$;343 E 85th St
Pomme Frites;123 2nd Ave;New York;NY;;Belgian;$;123 2nd Ave
Pongal;110 Lexington Ave.;New York;NY;Murray Hill;Indian;$$;110 Lexington Ave
Popover Cafe;551 Amsterdam Ave;New York;NY;Upper West Side;American;$;551 Amsterdam Ave
Porchetta;110 East 7th Street;New York;NY;East Village;Italian;$$$;110 E 7th St
Porters New York;216 Seventh Avenue;New York;NY;Chelsea;American;$$;216 7th Ave
Positano;122 Mulberry St;New York;NY;Little Italy;Italian;$$;122 Mulberry St
Post House;28 E 63rd St (Between Park Ave & Madison Ave);New York;NY;Upper East Side;Steakhouse;$$$$;28 E 63rd St
Prem-On Thai;138 W Houston St;New York;NY;Greenwich Village;Thai;$$;138 W Houston St
Prime Grill;60 E 49th St;New York;NY;Midtown East;Jewish;$$$$;60 E 49th St
Primitivo Osteria;202 West 14th Street;New York;NY;West Village;Italian;$$$;202 W 14th St
Provence;38 Macdougal Street;New York;NY;SOHO;French;$$;38 MacDougal St
Prune;54 E First St;New York;NY;East Village;American;$$$;54 E 1st St
Public;210 Elizabeth St;New York;NY;NoLita;International;$$$;210 Elizabeth St
Pukk;71 First Ave;New York;NY;East Village;Thai;$;71 1st Avenue
Pump Energy Food;40 West 55th Street;New York;NY;Midtown West;International;$;40 W 55th St
Pure Food and Wine;54 Irving Pl;New York;NY;Gramercy Park;Vegetarian;$$$$;54 Irving Pl
Puttanesca;859 9th Avenue;New York;NY;Midtown West;Italian;$$;859 9th Ave
Pylos;128 E Seventh St;New York;NY;East Village;Greek;$$;128 E 7th St
P’ONG;150 W 10th St;New York;NY;;Continental;$$$;150 W 10th St
Quality Meats;57 W 58th St;New York;NY;Midtown West;Steakhouse;$$$$;57 W 58th St
Quartino;21 Peck Slip;New York;NY;;;;21 Peck Slip
Rack and Soul;2818 Broadway;New York;NY;Upper West Side;Barbecue;$$;2818 Broadway
Radio Perfecto;190 Ave B;New York;NY;East Village;American;$$;190 Avenue B
Rain West - CLOSED;100 West 82nd Street;New York;NY;Upper West Side;Asian;$$;100 W 82nd St
Rainbow Room;30 Rockefeller Plaza65th Floor;New York;NY;Midtown West;Italian;$$$$;30 Rockefeller Plaza 65th floor
Rao's;455 East 114th St;New York;NY;Harlem;Italian;$$$$;455 E 114th St
Raoul's;180 Prince St;New York;NY;SOHO;French;$$$;180 Prince St
Red Cat;227 Tenth Avenue;New York;NY;Chelsea;American;$$$;227 Amsterdam Ave
Redeye Grill;890 Seventh Ave;New York;NY;Midtown West;American;$$$;890 7th Ave
Remi;145 W 53rd St;New York;NY;Midtown West;Italian;$$$;145 W 53rd St
Republic;37 Union Square W;New York;NY;Union Square;Asian;$;37 Union Square W
Resto;111 E. 29th Street;New York;NY;Gramercy Park;Belgian;$$;111 E 29th St
Revel;10 Little W. 12th Street;New York;NY;Meatpacking District;International;$$$$;10 Little W 12th St
Revival;2367 Frederick Douglass Blvd;New York;NY;Harlem;Caribbean;$$;2367 Frederick Douglass Blvd
Ribot;780 Third Ave;New York;NY;;;;780 3rd Ave
Rice;277 Mott Street;New York;NY;NoLita;International;$;277 Mott St
Rice 'N' Beans;744 9th Ave;New York;NY;Midtown West;South American;$;744 9th Ave
Riingo;205 E. 45th St;New York;NY;Midtown East;Japanese;$$$$;205 E 45th St
Risotteria;270 Bleecker St;New York;NY;;;;270 Bleecker St
Roberto Passon;741 Ninth Ave;New York;NY;Midtown West;Italian;$$$;741 9th Ave
Rocco Restaurant;181 Thompson St;New York;NY;Greenwich Village;Italian;$$;181 Thompson St
Rock Center Cafe;2 W 50th St;New York;NY;Midtown West;American;$$$;2 W 50th St
Rocking Horse;182 Eighth Ave;New York;NY;Chelsea;Mexican;$$;182 8th Ave
Rolf's;281 Third Ave.;New York;NY;;German;$$;281 3rd Ave
Roppongi Restaurant;200 W 81st St;New York;NY;Upper West Side;Sushi;$$;200 W 81st St
Rosa Mexicano;61 Columbus Avenue;New York;NY;Upper West Side;Mexican;$$$;61 Columbus Ave
Rosa Mexicano;9 E 18th St;New York;NY;Flatiron;Mexican;$$$;9 E 18th St
Rosa Mexicano - First Avenue;1063 First Ave;New York;NY;Midtown East;Mexican;$$$;1063 1st Avenue
Roy's;130 Washington St;New York;NY;TriBeCa;Fusion;$$$;130 Washington St
Rub Bbq;208 W 23rd St;New York;NY;;;;208 W 23rd St
Ruby Foo's Times Square;1626 Broadway;New York;NY;Midtown West;Pan-Asian;$$$;1626 Broadway
Ruby Foo's Uptown;2182 Broadway;New York;NY;Upper West Side;Pan-Asian;$$$;2182 Broadway
Rue 57;60 West 57th Street;New York;NY;;;;60 W 57th St
Russian Samovar;256 W 52nd St;New York;NY;Midtown West;Continental;$$$;256 W 52nd St
Ruth's Chris Steak House;148 West 51st Street;New York;NY;Midtown West;Steakhouse;$$$$;148 W 51st St
S.O.B.'s;200 Varick St;New York;NY;SOHO;Brazilian;$;200 Varick St
Sachiko's On 25 Clinton;25 Clinton St;New York;NY;Lower East Side;Japanese;$$$;25 Clinton St
Sacred Chow;227 Sullivan Street;New York;NY;Greenwich Village;Vegetarian;$;227 Sullivan St
Sal Anthony's S.P.Q.R.;133 Mulberry St;New York;NY;Little Italy;Italian;$$;133 Mulberry St
Sala;344 Bowery;New York;NY;NoLita;Spanish;$$;344 Bowery
Salaam Bombay;319 Greenwich St;New York;NY;TriBeCa;Indian;$$;319 Greenwich St
Salmon River;3 East 40th Street;New York;NY;Murray Hill;Seafood;$$;3 E 40th St
Salt;58 Macdougal St;New York;NY;SOHO;American;$$$;58 MacDougal St
Salt Bar;29 Clinton St;New York;NY;Lower East Side;American;$$$;29 Clinton St
Salud Restaurant and Bar;142 Beekman Street;New York;NY;;;;142 Beekman St
Salute;270 Madison Ave;New York;NY;Murray Hill;Italian;$;270 Madison Ave
Sambuca;20 W 72nd St;New York;NY;Upper West Side;Italian;$$;20 W 72nd St
Sammy's Roumanian;157 Chrystie St;New York;NY;Lower East Side;European;$$$;157 Chrystie St
San Domenico;240 Central Park South;New York;NY;Midtown West;Italian;$$$$;240 Central Park S
Sanctuary T;337 West Broadway;New York;NY;SOHO;Continental;$$$;337 W Broadway
Sant Ambroeus;259 W Fourth St;New York;NY;West Village;Italian;$$$;259 West 4th Street
Santa Fe;73 W 71st St;New York;NY;Upper West Side;Southwestern;$$;73 W 71st St
Sapa;43 West 24th Street;New York;NY;Chelsea;Asian;$$$;43 W 24th St
Sapphire;1845 Broadway;New York;NY;Upper West Side;Indian;$$$;1845 Broadway
Sardi's;234 West 44th Street;New York;NY;Midtown West;Continental;$$$;234 W 44th St
Sarge's Deli;548 Third Avenue;New York;NY;Murray Hill;Deli;$;548 3rd Ave
Saucy;1409 York Avenue;New York;NY;Upper East Side;International;$$;1409 York Ave
Savann;414 Amsterdam Ave;New York;NY;Upper West Side;French;$$;414 Amsterdam Ave
Savoy;70 Prince St;New York;NY;SOHO;American;$$$;70 Prince St
Scaletta;50 W 77th St;New York;NY;Midtown West;Italian;$$$;50 W 77th St
Scalinatella;201 East 61st Street;New York;NY;Upper East Side;Italian;$$$$;201 E 61st St
Scalini Fedeli;165 Duane St;New York;NY;TriBeCa;Italian;$$$$;165 Duane St
Scarlatto;250 W 47th St;New York;NY;Midtown West;Italian;$$;250 W 47th St
Scarpetta;355 W 14th St;New York;NY;Meatpacking District;Italian;$$$$;355 W 14th St
Schiller's Restaurant;131 Rivington St;New York;NY;Lower East Side;International;$$;131 Rivington St
Sea;75 Second Ave;New York;NY;East Village;Asian;$;75 2nd Ave
Sea Grill;19 West 49th Street;New York;NY;Midtown West;Seafood;$$$$;19 W 49th St
Sequoia;Pier 17;New York;NY;Wall Street;Seafood;$$;89 South St
Serendipity 3;225 E 60th St;New York;NY;Upper East Side;American;$;225 E 60th St
Sevilla Restaurant and Bar;62 Charles St& West 4th St;New York;NY;West Village;Spanish;$$;62 Charles St
Sezz Medi';1260 Amsterdam Ave;New York;NY;Harlem;Mediterranean;$$;1260 Amsterdam Ave
Sfoglia;1402 Lexington Avenue;New York;NY;Upper East Side;Italian;$$$$;1402 Lexington Ave
Shaburi;125 E 39th St;New York;NY;Murray Hill;Japanese;$$$;125 E 39th St
Shaffer City Oyster Bar & Grill;5 W 21st St;New York;NY;Flatiron;Seafood;$$$;5 W 21st St
Shake Shack;366 Columbus Ave;New York;NY;Upper West Side;American;$$;366 Columbus Ave
Shake Shack;11 Madison Ave;New York;NY;Flatiron;American;$$;11 Madison Ave
Shula's Steak House;270 W 43rd St;New York;NY;Midtown West;American;$$$$;270 W 43rd St
Shun Lee Cafe;43 W 65th St;New York;NY;;;;43 W 65th St
Shun Lee Palace;155 E 55th Street;New York;NY;Midtown East;Chinese;$$$;155 E 55th St
Shun Lee West;43 W. 65th St.;New York;NY;;Chinese;$$$;43 W 65th St
Sip Sak;928 Second Ave;New York;NY;Midtown East;Middle Eastern;$;928 2nd Ave
Slane;102 MacDougal St;New York;NY;West Village;Irish;$$;102 MacDougal St
Smith & Wollensky;797 Third Ave;New York;NY;Midtown East;Steakhouse;$$$;797 3rd Ave
Smorgas Chef;283 W. 12th St.;New York;NY;;Scandinavian;;283 W 12th St
Snack;105 Thompson St;New York;NY;SOHO;Greek;$;105 Thompson St
Snack Taverna;63 Bedford St;New York;NY;West Village;Greek;$$;63 Bedford St
Soba-Ya;229 E Ninth St;New York;NY;East Village;Asian;$;229 E 9th St
Sofrito;400 E. 57th St.;New York;NY;;Nuevo Latino;$$;400 E 57th St
Sol Y Sombra;462 Amsterdam Ave;New York;NY;Upper West Side;Spanish;$;462 Amsterdam Ave
Solera;216 E 53rd St;New York;NY;Midtown East;Spanish;$$$;216 E 53rd St
Son Cubano;361 Greenwich St;New York;NY;Meatpacking District;Cuban;$$$;361 Greenwich St
Soto;357 Sixth;New York;NY;Greenwich Village;Sushi;$$$;357 6th Ave
Soto;357 Sixth Avenue;New York;NY;Greenwich Village;Sushi;$$$$;357 6th Ave
Southside Cafe;252 W 47th Street;New York;NY;Theater;Italian;$$;252 W 47th St
Sparks Steak House;210 E 46th Street;New York;NY;Midtown East;Steakhouse;$$$;210 E 46th St
Spice;1411 Second Ave;New York;NY;Upper East Side;Asian;$;1411 2nd Ave
Spice;104 Second Ave.;New York;NY;East Village;Thai;$$;104 2nd Ave
Spice Market;403 W 13th St;New York;NY;Meatpacking District;Malaysian;$$$;403 W 13th St
Spigolo;1561 Second Ave;New York;NY;Upper East Side;Italian;$$$;1561 2nd Ave
Spotlight Live;1604 Broadway;New York;NY;Theater;American;$$$$;1604 Broadway
Spotted Pig;The, 314 W 11th St;New York;NY;West Village;British;$$$;314 W 11th St
Spring St Natural Restaurant;62 Spring St;New York;NY;NoLita;Vegetarian;$;62 Spring St
Stage Deli;834 Seventh Avenue;New York;NY;Midtown West;Deli;$;834 7th Ave
Stand;24 E. 12th Street;New York;NY;Greenwich Village;American;$;24 E 12th St
Stanton Social;99 Stanton St;New York;NY;Lower East Side;International;$$$;99 Stanton St
Stanton Social Club;99 Stanton Street;New York;NY;;Small Plates;$$$;99 Stanton St
Steak Frites;9 East 16th Street;New York;NY;Union Square;French;$$;9 E 16th St
Stella Di Mare;346 Lexington Avenue;New York;NY;Murray Hill;Italian;$$$;346 Lexington Ave
Stella Maris;213 Front St.;New York;NY;Financial District;European;$$;213 Front St
Strip House;13 E 12th St;New York;NY;Greenwich Village;Steakhouse;$$$;13 E 12th St
Suba;109 Ludlow St;New York;NY;Lower East Side;Spanish;$$$;109 Ludlow St
Suenos;311 W 17th St;New York;NY;Chelsea;Mexican;$$$;311 W 17th St
Sugiyama;251 W 55th St;New York;NY;Midtown West;Japanese;$$$$;251 W 55th St
Sui;54 Spring Street;New York;NY;Lower East Side;Japanese;$$$;54 Spring St
Supper;156 E Second St;New York;NY;East Village;Italian;$$;156 E 2nd St
Surya;302 Bleecker St;New York;NY;West Village;Indian;$$;302 Bleecker St
Sushi Of Gari;402 E 78th St;New York;NY;Upper East Side;Sushi;$$$$;402 E 78th St
Sushi Samba;245 Park Ave South;New York;NY;Flatiron;Sushi;$$$;245 Park Ave S
Sushi Seki;1143 1st Ave;New York;NY;Upper East Side;Sushi;$$$;1143 1st Avenue
Sushi Yasuda;204 E 43rd St;New York;NY;Midtown East;Japanese;$$$$$;204 E 43rd St
Sushi Zen;108 W 44th St;New York;NY;Midtown West;Sushi;$$$;108 W 44th St
Sushisamba 7;87 Seventh Ave South;New York;NY;Greenwich Village;Sushi;$$$;87 7th Ave S
Swagat Indian Cuisine;411a Amsterdam Ave;New York;NY;;;;411A Amsterdam Ave
