restaurant;address;neighborhood;addressGoogle
Luzzo's;211-213 First Ave at 13th St;East Village;211-213 First Ave at 13th St
Macaron;16 W 36 St btwn Broadway and 7th Aves;Midtown West;16 W 36 St btwn Broadway and 7th Aves
Macondo;157 E Houston St btwn Eldridge and...;Lower East Side;157 E Houston St
Madaleine Mae (CLOSED);461 Columbus Ave at 82nd St;Upper West Side;461 Columbus Ave
Madison and Vine;299 Madison Ave at 41st St;Midtown East;299 Madison Ave
Maia;98 Ave B btwn 6th and 7th Sts;East Village;98 Ave B btwn 6th and 7th Sts
Maison;1700 Broadway btwn 53rd and 54th Sts;Midtown West;1700 Broadway
Malatesta Trattoria;;Greenwich Village;
Maloney and Porcelli;;Midtown East;
Mama Mexico;;Midtown East;
Mama Mexico;;Upper West Side;
Mama's Food Shop;200 E 3rd St btwn Aves A and B;East Village;200 E 3rd St btwn Aves A and B
Mamlouk;;East Village;
Mamoun's Falafel;;Greenwich Village;
Mamoun's Falafel;;East Village;
Mandoo Bar;2 W 32nd St btwn Fifth Ave and Broadway;Midtown West;17 W 32nd St
Mangia e Bevi;800 Ninth Ave at 53rd St;Midtown West;800 9th Ave
Mangiarini;;Upper East Side;
Manhattan Bistro;129 Spring St btwn Greene and Wooster...;SoHo;129 Spring St btwn Greene and Wooster...
Mara's Homemade;342 E 6th St btwn First and Second Aves;East Village;342 E 6th St
Maracas Mexican Bar and Grill;33 Greenwich Ave btwn Sixth and Seventh...;Greenwich Village;33 Greenwich Ave
Mare;;Chelsea;
Marfa;;East Village;
Margon;136 W 46th St btwn Sixth and Seventh...;Midtown West;136 W 46th St
Maria's Mexican Bistro;669 Union St btwn Fourth and Fifth Aves...;Park Slope;5th Ave
Marinella;49 Carmine St at Bedford St;Greenwich Village;Centric
Marion's Continental Restaurant and Lounge (CLOSED);354 Bowery btwn Great Jones and E 4th...;East Village;Great Jones St
Market Cafe;496 Ninth Ave btwn 37th and 38th Sts;Midtown West;496 Ninth Ave btwn 37th and 38th Sts
Market Table;54 Carmine St at Bedford St;Greenwich Village;54 Carmine St
Markt;;Chelsea;
Maroons;244 W 16th St btwn Seventh and Eighth...;Chelsea;244 W 16th St btwn Seventh and Eighth...
Maroons (CLOSED);;Chelsea;
Marseille;;Midtown West;
Maruzzella;;Upper East Side;
Mary's Fish Camp;64 Charles St at 4th St;Greenwich Village;64 Charles St #4th
Mas (Farmhouse);;Greenwich Village;
Masa;10 Columbus Circle at 60th St;Midtown West;10 Columbus Cir
Matador;57 Greenwich Ave btwn Perry and Charles...;Greenwich Village;57 Greenwich Ave btwn Perry and Charles...
Matador (CLOSED);;Greenwich Village;
Match 65;29 E 65th St btwn Madison and Park Aves;Upper East Side;29 E 65th St
Matilda;647 E 11th St btwn Aves B and C;East Village;647 E 11th St
Matsuri;369 W 16th St btwn 8th and 9th Aves;Chelsea;369 W 16th St
Max;;East Village;
Maya;1191 First Ave btwn 64th and 65th Sts;Upper East Side;1191 First Ave btwn 64th and 65th Sts
Maz Mezcal;316 E 86th St btwn First and Second A;Upper East Side;444 East 86th St
Maze;;Midtown West;
McCormick and Schmick's;1285 Sixth Ave at 51st St;Midtown West;1285 6th Ave
Medina;;Chelsea;
Megu Midtown;845 United Nations Plaza at E 47th St;Midtown East;845 United Nations Plaza
Mekong (CLOSED);16 King St at Sixth Ave;SoHo;18 King St
Melt;440 Bergen St btwn Flatbush and Fifth...;Park Slope;440 Bergen St
Men Kui Tei;60 W 56th St btwn 5th and 6th Aves;Midtown East;6th Ave
Men Kui Tei;60 W 56th St btwn 5th and 6th Aves;East Village;6th Ave
Mercadito;;East Village;
Mercadito Cantina;172 Ave B btwn 10th and 11th Sts;East Village;172 Ave B btwn 10th and 11th Sts
Mercadito Grove;100 Seventh Ave So at Grove St;Greenwich Village;100 7th Ave S
Mercat;45 Bond St btwn Lafayette St and Bowery;East Village;45 Bond St btwn Lafayette St and Bowery
Mercer Kitchen;147 Mercer St at Mercer St;SoHo;147 Mercer St
Meskel;199 E 3rd St btwn Aves A and B;East Village;199 E 3rd St
Metisse;239 W 105th St btwn Amsterdam Ave and...;Upper West Side;239 W 105th St
Metrazur;404 Grand Central Terminal at Park Ave;Midtown East;89 E 42nd St
Metro Marche;;Midtown West;
Metsovo (CLOSED);65 W 70th St at Columbus Ave;Upper West Side;65 W 70th St
Mexicana Mama;;Greenwich Village;
Mezzaluna;;Upper East Side;
Mezzogiorno;;SoHo;
Mi Cocina;57 Jane St at Hudson St;Greenwich Village;57 Jane St #5131
Mia Dona;;Midtown East;
Michael Jordan's the Steakhouse N.Y.C.;23 Vanderbilt Ave at 42nd St;Midtown East;23 Vanderbilt Ave
Michael's;24 West 55th St btwn 5th and 6th Aves;Midtown West;6th Ave
Minca;536 E 5th St btwn Aves A and B;East Village;536 E 5th St
Minetta Tavern;;Greenwich Village;
Mingala Burmese;;Upper East Side;
Mint;150 E 50th St btwn Lexington and Third...;Midtown East;150 East 50th Street Between lexington &
Miracle Grill;222 Seventh Ave at 3rd St;Park Slope;222 Seventh Ave at 3rd St
Miracle Grill;222 Seventh Ave at 3rd St;Greenwich Village;222 Seventh Ave at 3rd St
Miriam;79 5th Ave at Prospect Place;Park Slope;Albert and Vera List Academic Center
Mishima;164 Lexington Ave btwn 30th and 31st Sts;Midtown East;164 Lexington Ave btwn 30th and 31st Sts
Miss Mamie's Spoonbread Too;366 W 110th St btwn Manhattan and...;Upper West Side;366 W 110th St
Miss Saigon (CLOSED);1425 Third Ave btwn 80th and 81st Sts;Upper East Side;1425 Third Ave btwn 80th and 81st Sts
Miyagi;220 W 13th St btwn Seventh and...;Greenwich Village;220 W 13th St
Moim;;Park Slope;
Molyvos;;Midtown West;
Momofuku Bakery and Milk Bar;;East Village;
Momofuku Ko;;East Village;
Momofuku Noodle Bar;163 1st Ave btwn 10th and 11th Sts;East Village;163 1st Ave btwn 10th and 11th Sts
Momofuku Ssam Bar;207 2nd Ave at E 13th St.;East Village;207 2nd Ave
Momoya;187 7th Ave at 21st St;Chelsea;187 7th Ave
Monte's Trattoria;97 MacDougal St btwn W 3rd and Bleecker...;Greenwich Village;97 MacDougal St
Montebello;120 E 56th St btwn Park and Lexington...;Midtown East;120 E 56th St Ste #610
Montparnasse;;Midtown East;
Mooncake Foods;28 Watts St btwn Sixth Ave and Thompson...;SoHo;28 Watts St btwn Sixth Ave and Thompson...
Moran's Chelsea;146 Tenth Ave at 19th St;Chelsea;146 Amsterdam Ave
Morandi;;Greenwich Village;
Morimoto;;Chelsea;
Morrell Wine Bar and Cafe;1 Rockefeller Plaza btwn 5th and 6th...;Midtown West;1 Rockefeller Plaza 48Th and
Morton's of Chicago;551 Fifth Ave at 45th St;Midtown West;551 5th Ave
Moustache;265 E 10th St btwn First Ave and Ave A;East Village;265 E 10th St btwn First Ave and Ave A
Moustache;265 E 10th St btwn First Ave and Ave A;Greenwich Village;265 E 10th St btwn First Ave and Ave A
Moutarde;239 Fifth Ave at Carroll St;Park Slope;239 Fifth Ave at Carroll St
Mr Jones;;East Village;
Mr. Chow;;Midtown East;
Mr. Falafel;;Park Slope;
Mr. K's;;Midtown East;
Mr. Skewer and Company;;Greenwich Village;
My Befana (CLOSED);116 West Houston St btwn Sullivan and...;SoHo;116 W Houston St
Naima;;Chelsea;
Naka Naka;;Chelsea;
Nana;;Park Slope;
Naples 45;;Midtown East;
Natsumi;226 W 50th St btwn 8th Ave and Broadway;Midtown West;226 W 50th St
Naya Mezze and Grill;1057 Second Ave btwn 55th and 56th St;Midtown East;1057 Second Ave btwn 55th and 56th St
Negril;362 W 23rd St btwn Eighth and Ninth Aves;Chelsea;362 W 23rd St
Negril Village;70 W 3rd St btwn La Guardia Pl and...;Greenwich Village;Queens
Nello;;Upper East Side;
Neo Sushi;;Upper West Side;
Nice Matin;;Upper West Side;
Nick and Stef's Steakhouse;9 Penn Plaza at 33rd St;Midtown West;9 Pennsylvania Plaza
Nick and Toni's;;Upper West Side;
Nick's Pizza;1814 Second Ave at 94st St;Upper East Side;1814 2nd Ave
Nicky's Vietnamese Sandwiches;150 E 2nd St btwn Aves A and B;East Village;150 E 2nd St btwn Aves A and B
Nino's;1354 First Ave btwn 72nd and 73rd Sts;Upper East Side;1354 First Ave btwn 72nd and 73rd Sts
Nino's 208;208 E 58th St btwn Second and Third Aves;Midtown East;208 E 58th St btwn Second and Third Aves
Nino's Bellissima Pizza;;Midtown East;
Nino's Positano (CLOSED);;Midtown East;
Nino's Tuscany;;Midtown West;
Nippon;;Midtown East;
Nizza;;Midtown West;
NoNO Kitchen;;Park Slope;
Noah's Ark;;Lower East Side;
Nobu 57;;Midtown West;
Noche Mexicana;852 Amsterdam Ave btwn 101st and 102nd...;Upper West Side;852 Amsterdam Ave
Nomad;78 Second Ave btwn 4th and 5th Sts;East Village;5th Ave
Nonna;;Upper West Side;
Noodle Bar;172 Orchard St at Stanton St;Lower East Side;172 Orchard St
Noodle Bar;172 Orchard St at Stanton St;Greenwich Village;172 Orchard St
Nook;;Midtown West;
Norma's;;Midtown West;
Notaro;;Midtown East;
Nougatine;;Midtown West;
Novecento;343 W Broadway btwn Broome and Grand Sts;SoHo;343 W Broadway btwn Broome and Grand Sts
Novo (CLOSED);290 Hudson St btwn Dominick and Spring...;SoHo;246 Spring St
O.G.;;East Village;
Obika;;Midtown East;
Ocean Grill;384 Columbus Ave btwn 78th and 79th Sts;Upper West Side;384 Columbus Ave btwn 78th and 79th Sts
Oceana;;Midtown East;
Old Devil Moon;511 E 12th St btwn Aves A and B;East Village;511 E 12th St
Old Devil Moon (CLOSED);;East Village;
Old San Juan;;Midtown West;
Oliva;161 E Houston St at Allen St;Lower East Side;161 E Houston St
Olive Vine Cafe;;Park Slope;
Omai;;Chelsea;
Omen;;SoHo;
Omido;;Midtown West;
Oms/b;156 E 45th St btwn Lexington and Third...;Midtown East;156 E 45th St
One If By Land, Two If By Sea;;Greenwich Village;
Orsay;;Upper East Side;
Orso;322 W 46th St btwn Eighth and Ninth Aves;Midtown West;322 W 46th St btwn Eighth and Ninth Aves
Osteria Gelsi;;Midtown West;
Osteria Laguna;;Midtown East;
Osteria Serafina;38 E 58th St btwn Park and Madison Aves;Midtown East;38 E 58th St
Osteria al Doge;;Midtown West;
Osteria del Circo;;Midtown West;
Ostia;;Greenwich Village;
Otafuku;;East Village;
Otto Enoteca Pizzeria;;Greenwich Village;
Ouest;;Upper West Side;
Ozu;566 Amsterdam Ave btwn 87th and 88th Sts;Upper West Side;566 Amsterdam Avenue Ave Bet 87st and
P*Ong;;Greenwich Village;
PDT;113 St Marks Pl btwn First Ave and Ave A;East Village;113 St Marks Pl
PJ Clarke's;;Midtown East;
PJ Clarkes at Lincoln Square;;Upper West Side;
Padre Figlio;;Midtown East;
Paladar;161 Ludlow St btwn Houston and Stanton...;Lower East Side;161 Ludlow St btwn Houston and Stanton...
Palm Court;1 Central Park South;Midtown East;1 Central Park S
Palm Court (CLOSED);;Midtown East;
Palma;;Greenwich Village;
Palo Santo;;Park Slope;
Pam Real Thai Food;404 W 49th St btwn Ninth and Tenth Aves;Midtown West;540 W 49th St
Pampano;;Midtown East;
Pampano Taqueria;805 Third Ave btwn 49th and 50th Sts;Midtown East;805 Third Ave btwn 49th and 50th Sts
Panca;;East Village;
Panificio (CLOSED);175 Ave B at E 11th St;East Village;175 Ave B at E 11th St
Paola's;245 E 84th St btwn Second and Third Aves;Upper East Side;245 E 84th St
Papatzul;;SoHo;
Papillon Bistro;22 E 54th St btwn 5th and Madison Aves;Midtown East;22 E 54th St
Paradiso;;East Village;
Paris Commune;99 Bank St at Greenwich St;Greenwich Village;99 Bank St at Greenwich St
Park Avenue Autumn;100 E 63rd St at Park Ave;Upper East Side;100 E 63rd St
Park Blue;;Midtown West;
Parlor Steakhouse;;Upper East Side;
Parma;;Upper East Side;
Pasha;70 W 71st St btwn Central Park West and...;Upper West Side;31 W 71st St
Pasita;;Greenwich Village;
Pata Negra;345 East 12th St btwn 1st and 2nd Aves;East Village;345 East 12th St btwn 1st and 2nd Aves
Patisserie des Ambassades;161 W 22nd St btwn Sixth and Seventh...;Chelsea;161 W 22nd St
Patsy's Italian Restaurant;;Midtown West;
Patsy's Pizzeria;;Upper East Side;
Patsy's Pizzeria;;Greenwich Village;
Patsy's Pizzeria;;Midtown East;
Patsy's Pizzeria;;Upper West Side;
Payard Patisserie and Bistro;1032 Lexington Ave btwn 73rd and 74th...;Upper East Side;1032 Lexington Ave
Peacock Alley;301 Park Ave at 49th St;Midtown East;301 Park Ave
Peanut Butter and Co.;240 Sullivan St btwn Bleecker and W 3rd...;Greenwich Village;240 Sullivan St
Pearl Oyster Bar;18 Cornelia St btwn Bleecker and W 4th...;Greenwich Village;18-20 Cornelia St
Peep;;SoHo;
Pegu Club;77 W Houston St btwn W Broadway and...;SoHo;77 W Houston St
Pepe Rosso to Go;;SoHo;
Peperoncino;72 Fifth Ave at St Marks Pl;Park Slope;72 Fifth Ave at St Marks Pl
Per Lei;;Upper East Side;
Pera Mediterranean Brasserie;;Midtown East;
Perbacco;234 E 4th St btwn Aves A and B;East Village;234 E 4th St btwn Aves A and B
Perch;;Park Slope;
Peri Ela;;Upper East Side;
Perilla;9 Jones St btwn Bleecker and W 4th Sts;Greenwich Village;9 Jones St btwn Bleecker and W 4th Sts
Perry Street;176 Perry St at West Side Highway;Greenwich Village;176 Perry St
Persephone;115 E 60th St btwn Park and Lexington...;Upper East Side;115 E 60th St
Persepolis;1407 Second Ave btwn 73rd and 74th Sts;Upper East Side;1407 Second Ave btwn 73rd and 74th Sts
Pershing Square;;Midtown East;
Persimmon;277 E 10th St btwn 1st Ave and Ave A;East Village;277 E 10th St btwn 1st Ave and Ave A
Pescatore;;Midtown East;
PetalBelle;158 Sullivan Street corner of Houston St;SoHo;158 Sullivan St
Petite Abeille;466 Hudson St btwn Barrow and Grove Sts;Greenwich Village;466 Hudson St
Petite Abeille;466 Hudson St btwn Barrow and Grove Sts;Chelsea;466 Hudson St
Petrie Court Cafe and Wine Bar;;Upper East Side;
Petrossian;;Midtown West;
Philip Marie;569 Hudson St at 11th St;Greenwich Village;569 Hudson St
Philippe;35 E 60th St at Madison Ave;Upper East Side;35 E 60th St at Madison Ave
Philly Slim's Cheesesteaks;789 Ninth Ave btwn 52nd and 53rd Sts;Midtown West;789 Ninth Ave btwn 52nd and 53rd Sts
Phoenix Garden;242 E 40th St btwn Second and Third Aves;Midtown East;242 E 40th St
Piadina;57 W 10th St btwn Fifth and Sixth Aves;Greenwich Village;57 W 10th St
Piano Due;;Midtown West;
PicNic Market and Cafe;2665 Broadway btwn 101st and 102nd Sts;Upper East Side;230 W 101st St
Picasso;303 E 56th St btwn First and Second Aves;Midtown East;303 E 56th St
Piccolo Angelo;621 Hudson St btwn Jane and W 12th Sts;Greenwich Village;621 Hudson St btwn Jane and W 12th Sts
Picholine;;Upper West Side;
Pietrasanta;683 Ninth Ave at 47th St;Midtown West;683 9th Ave
Pietro's;242 E 43rd St btwn 2nd and 3rd Aves;Midtown East;225 East 43rd Street Between 2nd Ave &
Pig Heaven;;Upper East Side;
Pigalle;790 Eighth Ave at 48th St;Midtown West;790 8th Ave
Pinch and S'MAC;474 Columbus Ave btwn 82nd and 83rd Sts;Upper West Side;474 Columbus Ave btwn 82nd and 83rd Sts
Pinche Taqueria;;Greenwich Village;
Pink Pony;176 Ludlow St btwn Houston and Stanton...;Lower East Side;176 Ludlow St btwn Houston and Stanton...
Pio Maya (CLOSED);;Greenwich Village;
Pio Pio;1746 First Ave btwn 90th and 91st Sts;Upper East Side;E 91st St
Pio Pio Salon;702 Amsterdam at 94th St;Upper West Side;702 Amsterdam Ave
Piola;48 E 12th St btwn Broadway and...;East Village;48 E 12th St
Pizza Gruppo;186 Ave B btwn 11th and 12th Sts;East Village;186 Ave B btwn 11th and 12th Sts
Pizzeria de Santo (CLOSED);173 Ludlow St btwn Houston and Stanton...;Lower East Side;173 Ludlow St btwn Houston and Stanton...
Planethailand 212;;Chelsea;
Po;31 Cornelia St btwn Bleecker and W 4th...;Greenwich Village;31 Cornelia St
Pomaire;371 W 46th St btwn 8th and 9th Aves;Midtown West;371 W 46th St
Pop Burger;14 E 58th St btwn Madison and 5th Aves;Midtown East;42 E 58th St
Porchetta;110 E 7th St btwn 1st Ave and Ave A;East Village;110 E 7th St btwn 1st Ave and Ave A
Porter House New York;10 Columbus Circle at 59th St;Midtown West;10 Columbus Circle at 59th St
Pre:Post;547 W 27th St btwn 10th and 11th Aves;Chelsea;547 W 27th St #300
Prem-on Thai;;Greenwich Village;
Primo Atto;;Park Slope;
Prune;;East Village;
Public House;140 E 41st St btwn Lexington and Third...;Midtown East;140 E 41st St
Pukk;71 First Ave btwn 4th and 5th Sts;East Village;5th Ave
Purnima;75 Ninth Ave btwn 15th and 16th Sts;Chelsea;75 Ninth Ave btwn 15th and 16th Sts
Puttanesca;859 Ninth Ave at 56th St;Midtown West;859 9th Ave
Pylos;128 E 7th St btwn Ave A and 1st Ave;East Village;128 E 7th St
Pyramida;401 E 78th St at First Ave;Upper East Side;401 E 78th St at First Ave
Quality Meats;57 W 58th St btwn 5th and 6th Aves;Midtown West;6th Ave
Quatorze Bis;;Upper East Side;
Queen of Sheba;;Midtown West;
Quintessence (CLOSED);;East Village;
R.U.B.;208 W 23rd St btwn Seventh and Eighth...;Chelsea;208 W 23rd St
Rack and Soul;2818 Broadway at 109th St;Upper West Side;2818 Broadway
Radio Perfecto;190 Ave B btwn 11th and 12th Sts;East Village;190 Ave B btwn 11th and 12th Sts
Rai Rai Ken;214 E 10th St btwn First and Second Aves;East Village;214 E 10th St
Rainbow Room;;Midtown West;
Rainbow Room (CLOSED);30 Rockefeller Plaza;Midtown West;30 Rockefeller Plaza
Rainbow Room Grill;30 Rockefeller Plaza;Midtown West;30 Rockefeller Plaza
Rainbow Room Grill (CLOSED);;Midtown West;
Ramen Setagaya;141 First Ave btwn 9th St and St Marks...;East Village;141 First Ave btwn 9th St and St Marks...
Raoul's;180 Prince St btwn Sullivan and...;SoHo;180 Prince St
Rare Bar and Grill;;Greenwich Village;
Ravagh Persian Grill;;Upper East Side;
Rayuela;;Lower East Side;
Re Sette;;Midtown West;
Rectangles;;Upper East Side;
Red Bamboo;140 W 4th St btwn MacDougal St and...;Greenwich Village;140 West 4th Street
Redeye Grill;;Midtown West;
Regional;2607 Broadway btwn 98th and 99th Sts;Upper West Side;2607 Broadway
Remi;;Midtown West;
Restaurant Ichimura;1026 Second Ave btwn 54th and 55th Sts;Midtown East;W 55th St
Restaurant Seo;;Midtown East;
Resto Leon;351 E 12th St btwn First and Second Aves;East Village;351 E 12th St btwn First and Second Aves
Retsina;;Midtown East;
Rhong Tiam;541 LaGuardia Pl btwn W 3rd and...;Greenwich Village;541 LaGuardia Pl btwn W 3rd and...
Riingo;;Midtown East;
Risotteria;270 Bleecker St at Morton St;Greenwich Village;270 Bleecker St
Ritz Asia;;Greenwich Village;
Robert's Steakhouse;;Midtown West;
Roberto Passon;741 9th Ave at 50th St;Midtown West;741 9th Ave
Rocco's;;Greenwich Village;
Rock Center Cafe;;Midtown West;
Rocking Horse Cafe;;Chelsea;
Roots and Vines;;Lower East Side;
Rosa Mexicano First Avenue;1063 1st Ave at 58h St;Midtown East;1063 1st Avenue
Rosa Mexicano Lincoln Center;61 Columbus Ave at 62nd St;Upper West Side;61 Columbus Ave
Rose Club;;Midtown West;
Rose Water;787 Union St at 6th Ave;Park Slope;787 Union St at 6th Ave
Rothmann's Steakhouse and Grill;;Midtown East;
Rouge Tomate;10 E 60th St btwn Madison and 5th Aves;Midtown East;14 E 60th St
Ruby Foo's;1626 Broadway at 49th St;Midtown West;1626 Broadway
Ruby Foo's (CLOSED);2182 Broadway at 77th St;Upper West Side;2182 Broadway
Rue 57;60 W 57th St at Sixth Ave;Midtown West;60 W 57th St
Russian Samovar;256 W 52nd St btwn Broadway and Eighth...;Midtown West;256 W 52nd St
Rusty Knot;425 West St at 11th St;Greenwich Village;W 11th St
S'Mac;345 E 12th St btwn First and Second Aves;East Village;345 E 12th St btwn First and Second Aves
Sachiko's on Clinton;25 Clinton St btwn Houston and Stanton...;Lower East Side;25 Clinton St btwn Houston and Stanton...
Sacred Chow;;Greenwich Village;
Safran;88 Seventh Ave btwn 15th and 16th Sts;Chelsea;88 Seventh Ave btwn 15th and 16th Sts
Sahara East;184 First Ave btwn 11th and 12th Sts;East Village;184 First Ave btwn 11th and 12th Sts
Saigon 48;;Midtown West;
Saigon Grill;620 Amsterdam Ave at 90th St;Upper West Side;620 Amsterdam Ave
Saigon Grill;620 Amsterdam Ave at 90th St;Greenwich Village;620 Amsterdam Ave
Saju;120 W 44th St btwn Sixth Ave and...;Midtown West;120 W 44th St
Sakae Sushi;135 W 3rd St btwn Sixth Ave and...;Greenwich Village;135 W 3rd St btwn Sixth Ave and...
Sakae Sushi (CLOSED);405 Lexington Ave btwn 42nd and 43rd Sts;Midtown East;405 Lexington Avenue
Sakagura;211 E 43rd St btwn 2nd and 3rd Aves;Midtown East;3rd Ave
Sake Hana;466 Amsterdam Ave btwn 82nd and 83rd Sts;Upper West Side;466 Amsterdam Ave btwn 82nd and 83rd Sts
Sakura Cafe;388 Fifth Ave btwn 6th and 7th Sts;Park Slope;388 Fifth Ave btwn 6th and 7th Sts
Sala;;East Village;
Salmon River;3 E 40th St btwn Fifth and Madison Aves;Midtown East;3 E 40th St
Salsa y Salsa;206 Seventh Ave btwn 21st and 22nd Sts;Chelsea;206 Seventh Ave btwn 21st and 22nd Sts
Salt;58 MacDougal St btwn Houston and Prince...;SoHo;58 MacDougal St btwn Houston and Prince...
Salt Bar;29A Clinton St btwn Houston and Stanton...;Lower East Side;29A Clinton St btwn Houston and Stanton...
Salumeria Rosi;;Upper West Side;
Sammy's Roumanian Steakhouse;157 Chrystie St;Lower East Side;157 Chrystie St
San Marzano;;Lower East Side;
San Pietro;18 E 54th St btwn Fifth and Madison Aves;Midtown East;18 E 54th St
Sanctuary Tea;;SoHo;
Sandro's;;Upper East Side;
Sangria 46;;Midtown West;
Sant Ambroeus;259 W 4th St at Perry St;Greenwich Village;259 West 4th Street
Sant Ambroeus;259 W 4th St at Perry St;Upper East Side;259 West 4th Street
Sapa;;Chelsea;
Sapa (CLOSED);;Chelsea;
Sapphire;;Upper West Side;
Sarabeth's;423 Amsterdam Ave btwn 80th and 81st Sts;Upper West Side;E 81st St
Sarabeth's;423 Amsterdam Ave btwn 80th and 81st Sts;Upper East Side;E 81st St
Sarabeth's Central Park South;40 Central Park So btwn Fifth and Sixth...;Midtown West;New York
Sardi's;;Midtown West;
Sarge's Deli;;Midtown East;
Sasabune;;Upper East Side;
Satsko;;Lower East Side;
Saucy;1409 York Ave;Upper East Side;1409 York Ave
Savann;;Upper West Side;
Savore;;SoHo;
Savoy;70 Prince St btwn Broadway and Crosby St;SoHo;70 Prince St
Scalinatella;201 E 61st St btwn Second and Third Aves;Upper East Side;201 E 61st St
Scarlatto;;Midtown West;
Schiller's Liquor Bar;131 Rivington St at Norfolk St;Lower East Side;131 Rivington St
Schnipper's Quality Kitchen;;Midtown West;
Seasonal;132 W 58th St btwn 6th & 7th Aves;Midtown West;132 W 58th St
Sel et Poivre;853 Lexington Ave btwn 64th and 65th Sts;Upper East Side;853 Lexington Avenue between 64th and
Seoul Station;81 St Marks Pl btwn 1st and 2nd Aves;East Village;81 St Marks Pl btwn 1st and 2nd Aves
Seppi's;;Midtown West;
Serafina Broadway;;Midtown West;
Serafina Fabulous Grill;29 E 61st St btwn Park and Madison Aves;Upper East Side;29 E 61st St
Serafina Fabulous Pizza;1022 Madison Ave at 79th St;Upper East Side;1022 Madison Ave
Serafina Lafayette;;East Village;
Serendipity 3;225 E 60th St btwn Second and Third Aves;Upper East Side;225 E 60th St
Setacci;420 Hudson St at Leroy St;Greenwich Village;420 Hudson St
Sette Enoteca e Cucina;207 7th Ave at 3rd St;Park Slope;207 7th Ave at 3rd St
Sette Mezzo;969 Lexington Ave btwn 70th and 71st Sts;Upper East Side;969 Lexington Ave btwn 70th and 71st Sts
Seven;350 Seventh Ave btwn 29th and 30th Sts;Chelsea;350 Seventh Ave btwn 29th and 30th Sts
Sevilla;62 Charles St at W 4th St;Greenwich Village;62 Charles St
Sfoglia;1402 Lexington Ave at 92nd St;Upper East Side;1402 Lexington Ave
Shabu-Shabu 70;;Upper East Side;
Shaburi;125 E 39th St btwn Park and Lexington...;Midtown East;125 E 39th St
Shaffer City Oyster Bar and Grill;5 W 21st St btwn Fifth and Sixth Aves;Chelsea;7 W 21st St
Shake Shack;;Upper West Side;
Shalizar;1420 Third Ave btwn 80th and 81st Sts;Upper East Side;E 81st St
Shang;187 Orchard St btwn Stanton and Houston...;Lower East Side;187 Orchard St
Shanghai Mong;;Midtown West;
Shanghai Pavilion;1378 Third Ave btwn 78th and 79th Sts;Upper East Side;1378 Third Ave btwn 78th and 79th Sts
Sheep Station;149 4th Ave at Douglass St;Park Slope;149 4th Ave
Shelly's New York;;Midtown West;
Shimizu;;Midtown West;
Shopsin's;;Lower East Side;
Shorty's;576 Ninth Ave at 41st St;Midtown West;576 9th Ave
Shorty's.32;;SoHo;
Shula's;;Midtown West;
Shun Lee Cafe;43 W 65th St btwn Central Park West and...;Upper West Side;43 W 65th St
Shun Lee Palace;;Midtown East;
Shun Lee West;43 W 65th St btwn Central Park West and...;Upper West Side;43 W 65th St
Sidecar;560 Fifth Ave btwn 15th and 16th Sts;Park Slope;560 Fifth Ave btwn 15th and 16th Sts
Sidecar at P.J. Clarke's;;Midtown East;
Sigiri;91 First Ave btwn 5th and 6th Sts;East Village;6th Ave
Silverleaf Tavern;70 Park Ave at 38th St;Midtown East;70 Park Ave
Simon Sips;;East Village;
Singas Famous Pizza;;East Village;
Sip Sak;928 Second Ave btwn 49th and 50th Sts;Midtown East;50th Ave
Sistina;1555 Second Ave btwn 80th and 81st Sts;Upper East Side;1555 Second Ave btwn 80th and 81st Sts
Slice;1413 Second Ave btwn 73rd and 74th Sts;Upper East Side;1413 Second Ave btwn 73rd and 74th Sts
Slurp;84 Stanton St at Orchard St;Lower East Side;84 Stanton St
Smith and Wollensky;797 Third Ave at 49th St;Midtown East;797 3rd Ave
Smith's;79 MacDougal St btwn Bleecker and W...;Greenwich Village;79 MacDougal St
Smokin' Q;;Upper East Side;
Smokin' Q (CLOSED);;Upper East Side;
Smorgas Chef;;Midtown East;
Smorgas Chef;;Greenwich Village;
Snack;;SoHo;
Snack Taverna;;Greenwich Village;
Soba Totto;;Midtown East;
SobaKoh;;East Village;
Sobaya;229 E 9th St btwn Second and Third Aves;East Village;60E W 9th St
Socarrat Paella Bar;259 W 19th St btwn Seventh and Eighth...;Chelsea;259 W 19th St
Socialista (CLOSED);505 West St at Jane St;Greenwich Village;505 W 19th St
Sofrito;400 E 57th St btwn First Ave and Sutton...;Midtown East;400 E 57th St
Solera;;Midtown East;
Solex;103 First Ave btwn 6th and 7th Sts;East Village;103 First Ave btwn 6th and 7th Sts
Solo;550 Madison Ave btwn 55th and 56th Sts;Midtown East;550 Madison Ave btwn 55th and 56th Sts
Song 7.2;;East Village;
Sonia Rose;;Lower East Side;
Sookk;;Upper West Side;
Sorella;;Lower East Side;
Sosa Borella;;Midtown West;
Soto;;Greenwich Village;
Sotto Voce;;Park Slope;
Souen;28 E 13th St btwn Fifth Ave and...;Greenwich Village;28 E 13th St
Souen;28 E 13th St btwn Fifth Ave and...;SoHo;28 E 13th St
Souen Ramen;;East Village;
Soul Fixins;371 W 34th St btwn Eighth and Ninth Aves;Midtown West;371 W 34th St
Soup Burg;1095 Lexington Ave at 77th St;Upper East Side;1095 Lexington Ave
Soup Burg (CLOSED);;Upper East Side;
