0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_neighborhood;1_address;1_addressGoogle;1_country;1_country_code;1_type;1_cost;1_type_r
Doughnut Plant;Lower E. Side;;;;;;;;Doughnut Plant;Lower East Side; 379 Grand St-at Norfolk St;379 Grand St;New York;NY;Cafés & diners;;
Downtown Cipriani;SoHo;;376 W Broadway;;;;;;Downtown Cipriani;Soho; 376 West Broadway-between Broome and Spring Sts;376 W Broadway;New York;NY;Italian;;
F&B;Chelsea;;;;;;;;F&B;Chelsea; 269 W 23rd St-between Seventh and Eighth Aves;269 W 23rd St;New York;NY;Belgian;;
Goodburger;Midtown East;;;;;;;;Goodburger;Midtown East; 800 Second Ave-at 43rd St;800 2nd Ave;New York;NY;American;;
J.G. Melon;Upper E. Side;;;;;;;;J.G. Melon;Upper East Side; 1291 Third Ave-at 74th St;1291 3rd Ave;New York;NY;American;;
Kashkaval;Midtown West;;;;;;;;Kashkaval;Midtown West; 856 Ninth Ave-between 55th & 56th Sts;856 9th Ave;New York;NY;Mediterranean;;
Kashmir;Midtown West;;;;;;;;Kashmir;Midtown West; 601 Eighth Ave-at 39th St;601 8th Ave;New York;NY;Indian;;
Kong Kee Food;Chinatown;;;;;;;;Kong Kee Food;Chinatown/Little Italy;240 Grand St;240 Grand St;New York;NY;;;Chinese
La Rosita;Upper W. Side;;;;;;;;La Rosita;Upper West Side;2809 Broadway;2809 Broadway;New York;NY;;;Caribbean
Lattanzi Ristorante;Midtown West;;;;;;;;Lattanzi Ristorante;Midtown West;361 W 46th St;361 W 46th St;New York;NY;;;Italian
Lederhosen;W. Village;;;;;;;;Lederhosen;West Village; 39 Grove St-between Bedford and Bleecker Sts;39 Grove St;New York;NY;German;;
Lobster Place;Chelsea;;;;;;;;Lobster Place;Chelsea;Chelsea Market -75 Ninth Aveat 16th St;;New York;NY;Seafood;;
Lola;SoHo;;nan;;;;;;Lola;Soho; 15 Watts St-between Thompson St and West Broadway;15 Watts St;New York;NY;French;;
Lombardi's;Nolita;32 Spring St;32 Spring St;New York;NY;;$;Pizza;Lombardi's;nan;32 Spring St-At Mott St;32 Spring St;New York;NY;;;nan
Los Dos Molinos;Gramercy;119 E 18th St;119 E 18th St;New York;NY;;$$;Southwestern;Los Dos Molinos;Gramercy/Flatiron; 119 E 18th St-between Park Ave South and Irving Pl;119 E 18th St;New York;NY;American Regional;;
Lucky Strike;SoHo;;nan;;;;;;Lucky Strike;Soho; 59 Grand St-between West Broadway and Wooster St;59 Grand St;New York;NY;French;;
Lure Fishbar;SoHo;;nan;;;;;;Lure Fishbar;Soho; 142 Mercer St-at Prince St;142 Mercer St;New York;NY;Seafood;;
Madras Cafe;E. Village;;;;;;;;Madras Cafe;East Village;79 2nd Ave;79 2nd Ave;New York;NY;;;Indian
Maison;Midtown West;;;;;;;;Maison;Midtown West; 1700 Broadway-between 53rd and 54th Sts;1700 Broadway;New York;NY;French;;
Mana;Upper W. Side;;;;;;;;Mana;Upper West Side; 646 Amsterdam Ave-between 91st and 92nd Sts;646 Amsterdam Ave;New York;NY;Vegetarian & Organic;;
MarkJoseph Steakhouse;Financial/Battery Pk;261 Water St;261 Water St;New York;NY;;$$$$;Steakhouse;MarkJoseph Steakhouse;Financial District; 261 Water St-at Peck Slip;261 Water St;New York;NY;Steakhouses;;
Mas;W. Village;;;;;;;;Mas;West Village; 39 Downing St-between Seventh Ave South and Bedford St;39 Downing St;New York;NY;French;;
Mezzogiorno;SoHo;;nan;;;;;;Mezzogiorno;Soho; 195 Spring St-at Sullivan St;195 Spring St;New York;NY;Italian;;
Moda;Midtown West;;;;;;;;Moda;Midtown West;Flatotel -135 W 52nd Stbetween Sixth and Seventh Aves;;New York;NY;Italian;;
Nice Restaurant;Chinatown;;;;;;;;Nice Restaurant;Chinatown/Little Italy; 30 East Broadway-between Catherine and Market Sts;30 E Broadway;New York;NY;Chinese;;
Nick And Toni's Cafe;Upper W. Side;;;;;;;;Nick And Toni's Cafe;Upper West Side;100 West 67th Street;100 W 67th St;New York;NY;;;Mediterranean
O Mai;Chelsea;;;;;;;;O Mai;Chelsea; 158 Ninth Ave-between 19th and 20th Sts;158 9th Ave;New York;NY;Vietnamese;;
Odessa;E. Village;;;;;;;;Odessa;East Village; 119 Ave A-between St. Marks Pl and E 7th St;119 Avenue A;New York;NY;Eastern European;;
One if by Land, Two if by Sea;Greenwich Village;;;;;;;;One if by Land, Two if by Sea;Greenwich Village;17 Barrow St.;17 Barrow St;New York;NY;;;Two if by Sea
Pangea;E. Village;;;;;;;;Pangea;East Village; 178 Second Ave-between 11th and 12th Sts;178 2nd Ave;New York;NY;Mediterranean;;
Pearl on the Sushi;Midtown West;;;;;;;;Pearl on the Sushi;Midtown West; 695 Ninth Ave-at 48th St;695 9th Ave;New York;NY;Japanese;;
Peasant;Nolita;194 Elizabeth St;194 Elizabeth St;New York;NY;;$$$;Italian;Peasant;Chinatown/Little Italy; 194 Elizabeth St-between Prince and Spring Sts;194 Elizabeth St;New York;NY;Italian;;
Public;Nolita;210 Elizabeth St;210 Elizabeth St;New York;NY;;$$$;International;Public;Chinatown/Little Italy; 210 Elizabeth St-between Prince and Spring Sts;210 Elizabeth St;New York;NY;Eclectic;;
Royale;E. Village;;;;;;;;Royale;East Village; 157 Ave C-between 9th and 10th Sts;157 Loisaida Ave;New York;NY;American;;
Russ & Daughters;Lower E. Side;;;;;;;;Russ & Daughters;Lower East Side; 179 E Houston St-between Allen and Orchard Sts;179 E Houston St;New York;NY;Food or Beverage Shop;;
Saigon 48;Midtown West;;;;;;;;Saigon 48;Midtown West; 234 W 48th St-between Broadway and Eighth Ave;234 W 48th St;New York;NY;Vietnamese;;
Sandobe;E. Village;;;;;;;;Sandobe;East Village;167 1st Avenue;167 1st Avenue;New York;NY;;;Japanese
Santa Fe;Upper W. Side;73 W 71st St;73 W 71st St;New York;NY;;$$;Southwestern;Santa Fe;;73 W 71st St-Btwn Columbus Ave & CPW;73 W 71st St;;NY;;;
Sharaku Japanese Restaurant;E. Village;;;;;;;;Sharaku Japanese Restaurant;East Village;14 Stuyvesant St;14 Stuyvesant St;New York;NY;;;Japanese
Silver Moon Bakery;Upper W. Side;;;;;;;;Silver Moon Bakery;Upper East Side; 2740 Broadway-at 105th St;2740 Broadway;New York;NY;Cafés & diners;;
Solo;Midtown East;;;;;;;;Solo;Midtown East; 550 Madison Ave-between 55th and 56th Sts;550 Madison Ave;New York;NY;Kosher;;
Sosa Borella;Midtown West;;;;;;;;Sosa Borella;Midtown West; 832 Eighth Ave-between 50th and 51st Sts;832 8th Ave;New York;NY;Italian;;
St. Dymphna's;E. Village;;;;;;;;St. Dymphna's;East Village;118 St Marks Pl-Btwn Ave A & 1st Av;118 St Marks Pl;New York;NY;;;British & Irish
Sullivan Street Bakery;Midtown West;;;;;;;;Sullivan Street Bakery;Midtown West; 533 W 47th St-between Tenth and Eleventh Aves;533 W 47th St;New York;NY;Food or Beverage Shop;;
Tatany 52 Inc;Midtown East;;;;;;;;Tatany 52 Inc;Midtown East;250 E 52nd St;250 E 52nd St;New York;NY;;;Japanese
The Little Owl;W. Village;;;;;;;;The Little Owl;West Village; 90 Bedford St-at Grove St;Apartment Building from the TV Show Friends;New York;NY;Mediterranean;;
Typhoon Lounge;E. Village;;;;;;;;Typhoon Lounge;East Village; 79 St. Marks Pl-between First and Second Aves;79 St Marks Pl;New York;NY;Japanese;;
Uguale;W. Village;;;;;;;;Uguale;West Village; 396 West St-at 10th St;396 West St;New York;NY;Italian;;
Umbertos Clam House;Chinatown;;;;;;;;Umbertos Clam House;Chinatown/Little Italy;386 Broome St-Btwn Mott & Mulberry St;386 Broome St;New York;NY;;;Italian
Wu Liang Ye;Midtown East;;nan;;;;;;Wu Liang Ye;Midtown West; 36 W 48th St-between Fifth and Sixth Aves;36 W 48th St;New York;NY;Chinese;;
Aja;Midtown East;;;;;;;;Aja;Midtown East; 1066 First Ave-at 58th St;1066 1st Avenue;New York;NY;Asian: Pan-Asian;;
Al Diwan;East Village;;;;;;;;Al Diwan;East Village; 210 Ave A-at 13th St;210 Avenue A;New York;NY;Middle Eastern;;
Asiate;Midtown West;;;;;;;;Asiate;Midtown West;Mandarin Oriental Hotel in the Time Warner Center -80 Columbus Circleat 60th St;;New York;NY;Asian: Pan-Asian;;
Bar Baresco;Chelsea;;;;;;;;Bar Baresco;Chelsea; 191 Seventh Ave-between 21st and 22nd Sts;191 7th Ave;New York;NY;Italian;;
Bar Boulud;Upper West Side;100 W 82nd Street;100 W 82nd St;New York;NY;;$$$$;Vietnamese;Bar Boulud;Upper West Side; 1900 Broadway-at 64th St;1900 Broadway;New York;NY;French;;
Barbounia;Gramercy / Flatiron;;;;;;;;Barbounia;Gramercy/Flatiron; 250 Park Ave South-at 20th St;250 Park Ave S;New York;NY;Mediterranean;;
Barbounia;Flatiron/U. Sq.;250 Park Ave South;250 Park Ave S;New York;NY;;$$$$;Mediterranean;Barbounia;Gramercy/Flatiron; 250 Park Ave South-at 20th St;250 Park Ave S;New York;NY;Mediterranean;;
Battery Gardens;Financial/Battery Pk;Inside Battery Parkacross From 17 State St;17 State St;New York;NY;;$$$;American;Battery Gardens;Financial District;Battery Park -across from 17 State Stat Pearl St;;New York;NY;American;;
Bistro Milano;Midtown West;;;;;;;;Bistro Milano;Midtown West; 1350 Sixth Ave-at 55th St;1350 6th Ave;New York;NY;Italian;;
Black Duck;Gramercy / Flatiron;;;;;;;;Black Duck;Gramercy/Flatiron;Park South Hotel -122 E 28th Stbetween Park Ave South and Lexington Ave;;New York;NY;Seafood;;
Borgo Antico;West Village;22 E 13th St;22 E 13th St;New York;NY;;$$$;Italian;Borgo Antico;Greenwich Village; 22 E 13th St-at Fifth Ave and University Pl;22 E 13th St;New York;NY;Italian;;
Borgo Antico;E. Village;22 E 13th St;22 E 13th St;New York;NY;;$$$;Italian;Borgo Antico;Greenwich Village; 22 E 13th St-at Fifth Ave and University Pl;22 E 13th St;New York;NY;Italian;;
Braai;Midtown West;329 West 51st St btwn 8th and 9th Aves;329 W 51st St;;;;;;Braai;;329 West 51st Street;329 W 51st St;;NY;;;
Brasserie Ruhlmann;Midtown West;;nan;;;;;;Brasserie Ruhlmann;Midtown West; 45 Rockefeller Plaza-between 50th and 51st Sts;45 Rockefeller Plaza;New York;NY;French;;
Butter;E. Village;415 Lafayette St;415 Lafayette St;New York;NY;;$$$;American;Butter;East Village; 415 Lafayette St-between Astor Pl and E 4th St;415 Lafayette St;New York;NY;American;;
Cafe Luxembourg;Upper West Side;;200 W 70th St;;;;;;Cafe Luxembourg;Upper West Side; 200 W 70th St-between Amsterdam and West End Aves;200 W 70th St;New York;NY;French;;
Cafe Luxembourg;Upper West Side;;200 W 70th St;;;;;;Cafe Luxembourg;Upper West Side; 200 W 70th St-between Amsterdam and West End Aves;200 W 70th St;New York;NY;French;;
Cafe Luxembourg;Upper W. Side;;nan;;;;;;Cafe Luxembourg;Upper West Side; 200 W 70th St-between Amsterdam and West End Aves;200 W 70th St;New York;NY;French;;
Cafe Notte;Upper East Side;;;;;;;;Cafe Notte;Upper East Side; 1626 Second Ave-between 84th and 85th Sts;1626 2nd Ave;New York;NY;Cafés & diners;;
Cafe des Artistes;Upper West Side;1 W 67th St at Central Park West;1 W 67th St;;;;;;Cafe des Artistes;;1 W 67th St-Btwn Columbus Ave & CPW;1 W 67th St;;NY;;;
Crispo;Greenwich Village;240 W 14th St btwn 7th and 8th Aves;240 W 14th St;;;;;;Crispo;West Village; 240 W 14th St-between Seventh and Eighth Aves;240 W 14th St;New York;NY;Italian;;
Crispo;W. Village;240 W 14th St;240 W 14th St;New York;NY;;$$$;Italian;Crispo;West Village; 240 W 14th St-between Seventh and Eighth Aves;240 W 14th St;New York;NY;Italian;;
Devi;Flatiron/U. Sq.;8 E 18th St;8 E 18th St;New York;NY;;$$$$;Indian;Devi;;8 E 18th St-Btwn 5th Ave & Bway;8 E 18th St;;NY;;;
Earth NYC;Chelsea;;;;;;;;Earth NYC;Chelsea; 116A Tenth Ave-between 17th and 18th Sts;116 Amsterdam Ave;New York;NY;Indian;;
Fleur de Sel;Gramercy / Flatiron;;;;;;;;Fleur de Sel;Gramercy/Flatiron; 5 E 20th St-between Fifth Ave and Broadway;5 E 20th St;New York;NY;French;;
Fleur de Sel;Flatiron/U. Sq.;5 E 20th St;5 E 20th St;New York;NY;;$$$$$;French;Fleur de Sel;Gramercy/Flatiron; 5 E 20th St-between Fifth Ave and Broadway;5 E 20th St;New York;NY;French;;
Fleur de Sel;Flatiron;5 E 20th St;5 E 20th St;New York;NY;;$$$$$;French;Fleur de Sel;Gramercy/Flatiron; 5 E 20th St-between Fifth Ave and Broadway;5 E 20th St;New York;NY;French;;
Fulton;Upper East Side;;;;;;;;Fulton;Upper East Side; 205 E 75th St-between Second and Third Aves;205 E 75th St;New York;NY;Seafood;;
Gonzo;W. Village;;nan;;;;;;Gonzo;West Village; 140 W 13th St-between Sixth and Seventh Aves;140 W 13th St;New York;NY;Italian;;
Hakata Tonton;West Village;;;;;;;;Hakata Tonton;West Village; 61 Grove St-between Bleecker St and Seventh Ave South;61 Grove St;New York;NY;Japanese;;
Il Corso;Midtown West;;;;;;;;Il Corso;Midtown West; 19 W 55th St-between Fifth and Sixth Aves;19 W 55th St;New York;NY;Italian;;
Indochine;Greenwich Village;;;;;;;;Indochine;Greenwich Village; 430 Lafayette St-between Astor Pl and E 4th St;430 Lafayette St;New York;NY;Vietnamese;;
Indochine;E. Village;430 Lafayette St;430 Lafayette St;New York;NY;;$$$;French;Indochine;Greenwich Village; 430 Lafayette St-between Astor Pl and E 4th St;430 Lafayette St;New York;NY;Vietnamese;;
Jean Georges;Upper W. Side;1 Central Park W;1 Central Park West;New York;NY;;$$$$$;French;Jean Georges;Upper West Side;Trump International Hotel & Tower -1 Central Park Westat Columbus Circle;;New York;NY;French;;
Josephina;Upper West Side;;nan;;;;;;Josephina;Upper West Side; 1900 Broadway-between 63rd and 64th Sts;1900 Broadway;New York;NY;American;;
Mercat;East Village;100 Seventh Ave S;100 7th Ave S;New York;NY;;$$;Mexican;Mercat;East Village; 45 Bond St-between Bowery and Lafayette St;45 Bond St;New York;NY;Spanish;;
Mercer Kitchen;SOHO;45 Bond Street;99 Prince St;New York;NY;;$$$$;Spanish;Mercer Kitchen;;99 Prince Street;99 Prince St;;NY;;;
Metro Marche;Midtown West;;nan;;;;;;Metro Marche;Midtown West;625 8th Ave-At 41st St;625 8th Ave;New York;NY;;;French
Morrell Wine Bar & Cafe;Midtown East;1 Rockefeller Plaza;1 Rockefeller Plaza 48Th and;New York;NY;;$$$;American;Morrell Wine Bar & Cafe;Midtown West;1 Rockefeller Plaza-Btwn 5th & 6th Ave at 49th St;1 Rockefeller Plaza 48Th and;New York;NY;;;Italian
Perle;Financial District;;;;;;;;Perle;Financial District; 62 Pearl St-between Broad St and Coenties Slip;62 Pearl St;New York;NY;French;;
Picholine;Upper W. Side;35 W 64th St;35 W 64th St;New York;NY;;$$$$;Mediterranean;Picholine;Upper West Side; 35 W 64th St-between Central Park West and Broadway;35 W 64th St;New York;NY;French;;
Red Egg;Chinatown;;;;;;;;Red Egg;Chinatown/Little Italy; 202 Centre St-at Howard St;202 Centre St;New York;NY;Eclectic;;
Sangria 46;Midtown West;;;;;;;;Sangria 46;Midtown West; 338 W 46th St-between Eighth and Ninth Aves;338 W 46th St;New York;NY;Spanish;;
Satsko;Lower East Side;;;;;;;;Satsko;Lower East Side; 245 Eldridge St-between Houston and Stanton Sts;245 Eldridge St;New York;NY;Asian: Pan-Asian;;
Sonia Rose;Lower East Side;;;;;;;;Sonia Rose;Lower East Side; 74 Orchard St-at Grand St;74 Orchard St;New York;NY;French;;
Staghorn Steakhouse;Midtown West;;;;;;;;Staghorn Steakhouse;Midtown West; 315 W 36th St-between Eighth and Ninth Aves;315 W 36th St;New York;NY;Steakhouses;;
Sushi of Gari 46;Midtown West;;;;;;;;Sushi of Gari 46;Midtown West; 347 W 46th St-between Eighth and Ninth Aves;347 W 46th St;New York;NY;Japanese;;
The West Branch;Upper West Side;;;;;;;;The West Branch;Upper West Side; 2178 Broadway-at 77th St;2178 Broadway;New York;NY;Eclectic;;
Tre;Lower East Side;;;;;;;;Tre;Lower East Side; 173 Ludlow St-between Houston and Stanton Sts;173 Ludlow St;New York;NY;Italian;;
Trinity Place;Financial District;;;;;;;;Trinity Place;Financial District; 115 Broadway (entrance on Cedar St-between Broadway and Trinity Pl;115 Broadway Street;New York;NY;American;;
ViceVersa;Midtown West;;;;;;;;ViceVersa;Midtown West; 325 W 51st St-between Eighth and Ninth Aves;325 W 51st St;New York;NY;Italian;;
Alma Grill;Midtown East;134 E 48th St at Lexington Ave;134 E 48th St at Lexington Ave;;;;;;Alma Grill;Midtown East; 134 E 48th St-at Lexington Ave;134 E 48th St;New York;NY;American Creative;;
Arte;Greenwich Village;21 E 9th St btwn Fifth Ave and...;21 E 9th St;;;;;;Arte;;21 East 9th Street;21 E 9th St;New York, NY, 10003;NY;;;
August;Greenwich Village;359 Bleecker St btwn Charles and W 10th...;359 Bleecker St;;;;;;August;West Village; 359 Bleecker St-between Charles and W 10th Sts;359 Bleecker St;New York;NY;Eclectic;;
August;W. Village;359 Bleecker St;359 Bleecker St;New York;NY;;$$$;European;August;West Village; 359 Bleecker St-between Charles and W 10th Sts;359 Bleecker St;New York;NY;Eclectic;;
BB Sandwich Bar;Greenwich Village;;;;;;;;BB Sandwich Bar;Greenwich Village; 120 W 3rd St-between MacDougal St and Sixth Ave;120 W 3rd St;New York;NY;American;;
BLT Burger;Greenwich Village;;;;;;;;BLT Burger;Greenwich Village; 470 Sixth Ave-between 11th and 12th Aves;470 6th Ave;New York;NY;American;;
Bar Carrera;East Village;;;;;;;;Bar Carrera;East Village; 175 Second Ave-between 11th and 12th Sts;175 2nd Ave;New York;NY;Spanish;;
Barcibo Enoteca;Upper West Side;;;;;;;;Barcibo Enoteca;Upper West Side; 2020 Broadway-between 69th and 70th Sts;2020 Broadway;New York;NY;Italian;;
Batch;Greenwich Village;150B W. 10th Street btwn Greenwich Ave...;150B W 10th St;;;;;;Batch;West Village; 150B W 10th St-at Waverly Pl;150B W 10th St;New York;NY;Asian: Pan-Asian;;
Better Burger;Midtown East;561 Third Ave at 37th St;561 3rd Ave;;;;;;Better Burger;Midtown East; 561 Third Ave-at 37th St;561 3rd Ave;New York;NY;American;;
Better Burger (CLOSED);Upper East Side;;;;;;;;Better Burger (CLOSED);Upper East Side; 1612 Second Ave at? 84th St-;1612 2nd Ave;New York;NY;American;;
Big John;Lower East Side;;;;;;;;Big John;Lower East Side; 199 Orchard St-between Houston and Stanton Sts;199 Orchard St;New York;NY;American;;
Birdbath;East Village;145 Seventh Ave So at Charles St;145 7th Ave S;;;;;;Birdbath;West Village;Neighborhood Green Bakery -145 Seventh Ave Southat Charles St;;New York;NY;Cafés;;
Bistro les Amis;SoHo;;;;;;;;Bistro les Amis;Soho; 180 Spring St-at Thompson St;180 Spring St;New York;NY;French;;
Boka;East Village;;;;;;;;Boka;East Village; 9 St. Marks Pl-between Second and Third Aves;9 St Marks Pl;New York;NY;Korean;;
Bombay Frankie;Upper West Side;994 Amsterdam Ave btwn 109th and 110th...;994 Amsterdam Ave btwn 109th and 110th...;;;;;;Bombay Frankie;Upper West Side; 994 Amsterdam Ave-between 109th and 110th Sts;994 Amsterdam Ave;New York;NY;Indian;;
Boutique Del Vino;SoHo;;;;;;;;Boutique Del Vino;Soho; 200 Spring St-at Sullivan St;200 Spring St;New York;NY;Italian;;
Bread and Olive;Midtown West;24 W 45th St btwn Fifth and Sixth Aves;24 W 45th St;;;;;;Bread and Olive;West 40s;24 W 45th St.;24 W 45th St;New York;NY;;;
Butterfield 8;Midtown East;5 E 38th St btwn Fifth and Madison Aves;5 E 38th St btwn Fifth and Madison Aves;;;;;;Butterfield 8;Midtown East; 5 E 38th St-between Fifth and Madison Aves;5 E 38th St;New York;NY;American;;
Cafe Katja;Lower East Side;;;;;;;;Cafe Katja;Lower East Side; 79 Orchard St-between Broome and Grand Sts;79 Orchard St;New York;NY;Eastern European;;
Cafe d'Alsace;Upper East Side;1695 2nd Ave at 88th St;1695 2nd Ave;;;;;;Cafe d'Alsace;;1695 2nd Ave-At 88th St;1695 2nd Ave;;NY;;;
Caffe Emilia;East Village;;;;;;;;Caffe Emilia;East Village; 139 First Ave-between St. Marks Pl and E 9th St;139 1st Avenue;New York;NY;Italian;;
Carne Vale;East Village;;;;;;;;Carne Vale;East Village; 46 Ave B-between 3rd and 4th Sts;46 Avenue B;New York;NY;Brazilian;;
Casa;Greenwich Village;72 Bedford St at Commerce St;72 Bedford St;;;;;;Casa;West Village; 72 Bedford St-at Commerce St;72 Bedford St;New York;NY;Brazilian;;
Casa;W. Village;72 Bedford St;72 Bedford St;New York;NY;;$$;South American;Casa;West Village; 72 Bedford St-at Commerce St;72 Bedford St;New York;NY;Brazilian;;
Centro Vinoteca;W. Village;;nan;;;;;;Centro Vinoteca;West Village; 74 Seventh Ave South-at Barrow St;74 7th Ave S;New York;NY;Italian;;
Chat Noir;Upper East Side;;;;;;;;Chat Noir;Upper East Side; 22 E 66th St-between Fifth and Madison Aves;22 E 66th St;New York;NY;French;;
Cho Cho San;Greenwich Village;;;;;;;;Cho Cho San;Greenwich Village; 15 W 8th St-between Fifth and Sixth Aves;15 W 8th St;New York;NY;Japanese;;
Choga;Greenwich Village;;;;;;;;Choga;Greenwich Village;145 Bleecker St -between La Guardia Pl and Thompson Stsecond floor;;New York;NY;Korean;;
Chop Suey;Midtown West;;;;;;;;Chop Suey;Midtown West;714 Seventh Avenue;714 7th Ave;New York;NY;;;Korean
Cipolla Rossa;Upper East Side;1762 1st Ave btwn 91st and 92nd Sts;1762 1st Avenue;;;;;;Cipolla Rossa;Upper East Side; 1762 First Ave-between 91st and 92nd Sts;1762 1st Avenue;New York;NY;Italian;;
City Lobster and Crab Company;Midtown West;;;;;;;;City Lobster and Crab Company;Midtown West; 121 W 49th St-between Sixth and Seventh Aves;121 W 49th St;New York;NY;Seafood;;
Clubhouse Cafe;Midtown West;155 West 46th St btwn 6th and 7th Aves;155 West 46th St btwn 6th and 7th Aves;;;;;;Clubhouse Cafe;Midtown West; 155 W 46th St-between Sixth and Seventh Aves;155 W 46th St;New York;NY;Kosher;;
Corner Bistro;W. Village;331 W 4th St;331 West 4th Street;New York;NY;;$;American;Corner Bistro;West Village; 331 W 4th St-at Jane St;331 West 4th Street;New York;NY;American;;
Cosette;Midtown East;163 E 33rd St btwn Lexington and Third...;163 E 33rd St;;;;;;Cosette;Midtown East; 163 E 33rd St-between Lexington and Third Aves;163 E 33rd St;New York;NY;French;;
Cosette;Murray Hill/Kips Bay;163 E 33rd St;163 E 33rd St;New York;NY;;$$;French;Cosette;Midtown East; 163 E 33rd St-between Lexington and Third Aves;163 E 33rd St;New York;NY;French;;
Delicatessen;SoHo;54 Prince St at Lafayette St;54 Prince St at Lafayette St;;;;;;Delicatessen;Soho; 54 Prince St-at Lafayette St;54 Prince St;New York;NY;Eclectic;;
Diablo Royale;Greenwich Village;189 W 10th Street btwn W 4th and...;189 W 10th St;;;;;;Diablo Royale;West Village; 189 W 10th Street-between W 4th and Bleecker;189 W 10th St;New York;NY;Mexican;;
Diablo Royale;W. Village;;nan;;;;;;Diablo Royale;West Village; 189 W 10th Street-between W 4th and Bleecker;189 W 10th St;New York;NY;Mexican;;
Earthen Oven;Upper West Side;;;;;;;;Earthen Oven;Upper West Side; 53 W 72nd St-at Columbus Ave;53 W 72nd St;New York;NY;Indian;;
El Paso;Greenwich Village;134 W Houston St btwn MacDougal and...;134 W Houston St;;;;;;El Paso;Greenwich Village; 134 W Houston St-between MacDougal and Sullivan Sts;134 W Houston St;New York;NY;Mexican;;
El Rey del Sol;Greenwich Village;232 W 14th St btwn Seventh and Eighth...;232 W 14th St;;;;;;El Rey del Sol;West Village; 232 W 14th St-between Seventh and Eighth Aves;232 W 14th St;New York;NY;Mexican;;
Elyssa Dido;Lower East Side;85 Orchard St at Broome St;85 Orchard St;;;;;;Elyssa Dido;Lower East Side; 85 Orchard St-between Broome and Grand Sts;85 Orchard St;New York;NY;Middle Eastern;;
Extra Virgin;W. Village;259 W 4th St;259 West 4th Street;New York;NY;;$$;Mediterranean;Extra Virgin;West Village; 259 W 4th St-between Charles and Perry Sts;259 West 4th Street;New York;NY;Mediterranean;;
Fabio Piccolo Fiore;Midtown East;230 E 44th St at Second Ave;230 E 44th St # 1;;;;;;Fabio Piccolo Fiore;Midtown East; 230 E. 44th St-at Second Ave;230 E 44th St;New York;NY;Eclectic;;
Fanelli's Cafe;SoHo;;;;;;;;Fanelli's Cafe;Soho;94 Prince Street at Mercer Street;94 Prince St;New York;NY;;;American
Gradisca;Greenwich Village;126 W 13th St btwn Sixth and Seventh...;126 W 13th St;;;;;;Gradisca;West Village; 126 W 13th St-between Sixth and Seventh Aves;126 W 13th St;New York;NY;Italian;;
Gradisca;W. Village;;nan;;;;;;Gradisca;West Village; 126 W 13th St-between Sixth and Seventh Aves;126 W 13th St;New York;NY;Italian;;
Gusto Ristorante e Bar Americano;W. Village;;nan;;;;;;Gusto Ristorante e Bar Americano;West Village; 60 Greenwich Ave-at Perry St;60 Greenwich Ave;New York;NY;Italian;;
Iron Sushi;Upper East Side;355 E 78th St btwn First and Second...;355 E 78th St;;;;;;Iron Sushi;Upper East Side; 355 E 78th St-between First and Second Aves;355 E 78th St;New York;NY;Japanese;;
JoeDoe;East Village;45 East 1st St btwn 1st and 2nd Aves;45 East 1st St btwn 1st and 2nd Aves;;;;;;JoeDoe;East Village; 45 E 1st St-between First and Second Aves;45 E 1st St;New York;NY;American;;
Jojo;Upper East Side;160 E 64th St btwn Lexington and 3rd...;160 E 64th St;;;;;;Jojo;;160 East 64th Street;160 E 64th St;;NY;;;
Kafana;East Village;116 Ave C btwn E 7th and 8th Sts;116 Loisaida Ave;;;;;;Kafana;East Village; 116 Ave C-between 7th and 8th Sts;116 Loisaida Ave;New York;NY;Eastern European;;
Kambi Ramen House;East Village;;;;;;;;Kambi Ramen House;East Village; 351 E 14th St-between First and Second Aves;351 E 14th St;New York;NY;Japanese;;
L.E.S. Sandwicherie;Lower East Side;;;;;;;;L.E.S. Sandwicherie;Lower East Side; 65 Rivington St-between Allen and Eldridge Sts;65 Rivington St;New York;NY;Cafés;;
Las Ramblas;W. Village;;nan;;;;;;Las Ramblas;West Village; 170 W 4th St-between Jones and Cornelia Sts;170 West 4th Street;New York;NY;Spanish;;
Le Pain Quotidien;SoHo;50 W 72nd St btwn Central Park West and...;50 W 72nd St btwn Central Park West and...;;;;;;Le Pain Quotidien;Soho; 100 Grand St-at Mercer St;100 Grand St;New York;NY;Belgian;;
Luxee;Lower East Side;;;;;;;;Luxee;Lower East Side; 6 Clinton St-between E Houston and Stanton Sts;6 Clinton St;New York;NY;Japanese;;
Madaleine Mae (CLOSED);Upper West Side;461 Columbus Ave at 82nd St;461 Columbus Ave;;;;;;Madaleine Mae (CLOSED);Upper West Side; 461 Columbus Ave-at 82nd St;461 Columbus Ave;New York;NY;;;American
Maia;East Village;98 Ave B btwn 6th and 7th Sts;98 Ave B btwn 6th and 7th Sts;;;;;;Maia;East Village; 98 Ave B-between 6th and 7th Sts;98 Avenue B;New York;NY;Turkish;;
Mamoun's Falafel;Greenwich Village;;;;;;;;Mamoun's Falafel;Greenwich Village;119 MacDougal St-Btwn Bleecker & W 3rd St;119 MacDougal St;New York;NY;;;Middle Eastern
