0_restaurant;0_neighborhood;0_address;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_country;1_neighborhood;1_type;1_phone;1_type_r
Pig Heaven;Upper E. Side;;;;;;;Pig Heaven; 1540 Second Ave-at 80th St;New York;Upper East Side;Chinese;(212-744-4333);
Ping's Seafood;Chinatown;22 Mott St;New York;NY;Chinese;$;;Ping's Seafood;22 Mott Street;New York, NY, 10013;;;;
Po;Greenwich Village;31 Cornelia St;New York;NY;Italian;$$$;;Po;31 Cornelia Street;New York, NY, 10014;;;;
Poke;;343 E. 85th St.;New York;NY;Sushi;$$;;Poke;305 East 85th Street;New York, NY, 10028;;;;
Popover Cafe;Upper West Side;551 Amsterdam Ave;New York;NY;American;$;;Popover Cafe;551 Amsterdam Ave;New York;;;;
Porchetta;East Village;110 East 7th Street;New York;NY;Italian;$$$;;Porchetta; 110 E 7th St-between First Ave and Ave A;New York;East Village;Italian;(212-777-2151);
Positano;Little Italy;122 Mulberry St;New York;NY;Italian;$$;;Positano;122 Mulberry Street;New York, NY, 10013;;;;
Post House;Upper East Side;28 E 63rd St (Between Park Ave & Madison Ave);New York;NY;Steakhouse;$$$$;;Post House;Lowell Hotel -28 E 63rd Stbetween Madison and Park Aves;New York;Upper East Side;Steakhouses;(212-935-2888);
Post House;Upper E. Side;;;;;;;Post House;Lowell Hotel -28 E 63rd Stbetween Madison and Park Aves;New York;Upper East Side;Steakhouses;(212-935-2888);
Primitivo Osteria;West Village;202 West 14th Street;New York;NY;Italian;$$$;;Primitivo Osteria;202 West 14th Street (7th Avenue);New York;;;;
Provence;SOHO;38 Macdougal Street;New York;NY;French;$$;;Provence;38 MacDougal Street;New York, NY, 10012;;;;
Prune;East Village;54 E First St;New York;NY;American;$$$;;Prune; 54 E 1st St-between First and Second Aves;New York;East Village;American Creative;(212-677-6221);
Prune;E. Village;;;;;;;Prune; 54 E 1st St-between First and Second Aves;New York;East Village;American Creative;(212-677-6221);
Pukk;East Village;71 First Ave;New York;NY;Thai;$;;Pukk; 71 First Ave-between 4th and 5th Sts;New York;East Village;Thai;(212-253-2741);
Pump Energy Food;Midtown West;40 West 55th Street;New York;NY;International;$;;Pump Energy Food;31 East 21st Street;New York, NY, 10010;;;;
Pure Food and Wine;Gramercy Park;54 Irving Pl;New York;NY;Vegetarian;$$$$;;Pure Food and Wine; 54 Irving Pl-between 17th and 18th Sts;New York;Gramercy/Flatiron;Vegetarian & Organic;(212-477-1010);
Pure Food and Wine;Gramercy / Flatiron;;;;;;;Pure Food and Wine; 54 Irving Pl-between 17th and 18th Sts;New York;Gramercy/Flatiron;Vegetarian & Organic;(212-477-1010);
Puttanesca;Midtown West;859 9th Avenue;New York;NY;Italian;$$;;Puttanesca; 859 Ninth Ave-at 56th St;New York;Midtown West;Italian;(212-581-4177);
Pylos;East Village;128 E Seventh St;New York;NY;Greek;$$;;Pylos; 128 E 7th St-between First Ave and Ave A;New York;East Village;Greek;(212-473-0220);
Pylos;E. Village;;;;;;;Pylos; 128 E 7th St-between First Ave and Ave A;New York;East Village;Greek;(212-473-0220);
Quality Meats;Midtown West;57 W 58th St;New York;NY;Steakhouse;$$$$;;Quality Meats; 57 W 58th St-between Fifth and Sixth Aves;New York;Midtown West;Steakhouses;(212-371-7777);
Radio Perfecto;East Village;190 Ave B;New York;NY;American;$$;;Radio Perfecto; 190 Ave B-between 11th and 12th Sts;New York;East Village;American;(212-477-3366);
Radio Perfecto;E. Village;;;;;;;Radio Perfecto; 190 Ave B-between 11th and 12th Sts;New York;East Village;American;(212-477-3366);
Rainbow Room;Midtown West;30 Rockefeller Plaza65th Floor;New York;NY;Italian;$$$$;;Rainbow Room;30 Rockefeller Plaza -between 49th and 50th Sts65th floor;New York;Midtown West;Italian;(212-632-5000);
Rao's;Harlem;455 East 114th St;New York;NY;Italian;$$$$;;Rao's;455 East 114th Street;New York, NY, 10029;;;;
Redeye Grill;Midtown West;890 Seventh Ave;New York;NY;American;$$$;;Redeye Grill; 890 Seventh Ave-at 56th St;New York;Midtown West;Seafood;(212-541-9000);
Remi;Midtown West;145 W 53rd St;New York;NY;Italian;$$$;;Remi; 145 W 53rd St-between Sixth and Seventh Aves;New York;Midtown West;Italian;(212-581-4242);
Resto;Gramercy Park;111 E. 29th Street;New York;NY;Belgian;$$;;Resto; 111 E 29th St-between Park and Lexington Aves;New York;Gramercy/Flatiron;Belgian;(212-685-5585);
Resto;Gramercy / Flatiron;;;;;;;Resto; 111 E 29th St-between Park and Lexington Aves;New York;Gramercy/Flatiron;Belgian;(212-685-5585);
Revival;Harlem;2367 Frederick Douglass Blvd;New York;NY;Caribbean;$$;;Revival; 2367 Frederick Douglass Blvd (Eighth Ave)-at 127th St;New York;Harlem;American;(212-222-8338);
Ribot;;780 Third Ave;New York;NY;;;;Ribot;780 3rd Avenue;New York, NY, 10017;;;;
Riingo;Midtown East;205 E. 45th St;New York;NY;Japanese;$$$$;;Riingo;The Alex Hotel -205 E 45th Stat Third Ave;New York;Midtown East;Japanese;(212-867-4200);
Risotteria;;270 Bleecker St;New York;NY;;;;Risotteria; 270 Bleecker St-at Morton St;New York;West Village;Italian;(212-924-6664);
Risotteria;West Village;;;;;;;Risotteria; 270 Bleecker St-at Morton St;New York;West Village;Italian;(212-924-6664);
Risotteria;W. Village;;;;;;;Risotteria; 270 Bleecker St-at Morton St;New York;West Village;Italian;(212-924-6664);
Risotteria;Greenwich Village;270 Bleecker St at Morton St;;;;;;Risotteria; 270 Bleecker St-at Morton St;New York;West Village;Italian;(212-924-6664);
Roberto Passon;Midtown West;741 Ninth Ave;New York;NY;Italian;$$$;;Roberto Passon; 741 Ninth Ave-at 50th St;New York;Midtown West;Italian;(212-582-5599);
Rocco Restaurant;Greenwich Village;181 Thompson St;New York;NY;Italian;$$;;Rocco Restaurant;181 Thompson St;New York;;;;
Rocking Horse;Chelsea;182 Eighth Ave;New York;NY;Mexican;$$;;Rocking Horse;182 8th Avenue;New York, NY, 10011;;;;
Rolf's;;281 Third Ave.;New York;NY;German;$$;;Rolf's;281 3rd Avenue;New York, NY, 10010;;;;
Rosa Mexicano;Upper West Side;61 Columbus Avenue;New York;NY;Mexican;$$$;;Rosa Mexicano; 61 Columbus Ave-at 62nd St;New York;Upper West Side;Mexican;(212-977-7700);
Rub Bbq;;208 W 23rd St;New York;NY;;;;Rub Bbq;208 West 23rd Street;New York, NY, 10011;;;;
Rue 57;Midtown West;;;;;;;Rue 57; 60 W 57th St-at Sixth Ave;New York;Midtown West;French;(212-307-5656);
Russian Samovar;Midtown West;256 W 52nd St;New York;NY;Continental;$$$;;Russian Samovar; 256 W 52nd St-between Broadway and Eighth Ave;New York;Midtown West;Russian;(212-757-0168);
Ruth's Chris Steak House;Midtown West;148 West 51st Street;New York;NY;Steakhouse;$$$$;;Ruth's Chris Steak House;148 West 51st Street;;;;;
Sacred Chow;Greenwich Village;227 Sullivan Street;New York;NY;Vegetarian;$;;Sacred Chow; 227 Sullivan St-between Bleecker and W 3rd Sts;New York;Greenwich Village;Vegetarian & Organic;(212-337-0863);
Sacred Chow;West Village;;;;;;;Sacred Chow; 227 Sullivan St-between Bleecker and W 3rd Sts;New York;Greenwich Village;Vegetarian & Organic;(212-337-0863);
Sala;East Village;;;;;;;Sala; 344 Bowery-at Great Jones St;New York;East Village;Spanish;(212-979-6606);
Sala;E. Village;;;;;;;Sala; 344 Bowery-at Great Jones St;New York;East Village;Spanish;(212-979-6606);
Salaam Bombay;TriBeCa;319 Greenwich St;New York;NY;Indian;$$;;Salaam Bombay; 317 Greenwich St-between Duane and Reade Sts;New York;Tribeca;Indian;(212-226-9400);
Salaam Bombay;Tribeca;;;;;;;Salaam Bombay; 317 Greenwich St-between Duane and Reade Sts;New York;Tribeca;Indian;(212-226-9400);
Salmon River;Midtown West;;;;;;;Salmon River; 3 E 40th St-between Fifth and Madison Aves;New York;Midtown East;Seafood;(212-481-7887);
Salmon River;Midtown East;;;;;;;Salmon River; 3 E 40th St-between Fifth and Madison Aves;New York;Midtown East;Seafood;(212-481-7887);
Salt;SoHo;;;;;;;Salt; 58 MacDougal St-between Houston and Prince Sts;New York;Soho;American;(212-674-4968);
Salt Bar;Lower East Side;29 Clinton St;New York;NY;American;$$$;;Salt Bar; 29A Clinton St-between Houston and Stanton Sts;New York;Lower East Side;American;(212-979-8471);
Sammy's Roumanian;Lower East Side;157 Chrystie St;New York;NY;European;$$$;;Sammy's Roumanian;157 Chrystie St-At Delancey St;;;;;
Sanctuary T;SOHO;337 West Broadway;New York;NY;Continental;$$$;;Sanctuary T; 337B West Broadway-at Grand St;New York;Soho;Cafés & diners;(212-941-7832);
Sanctuary T;SoHo;;;;;;;Sanctuary T; 337B West Broadway-at Grand St;New York;Soho;Cafés & diners;(212-941-7832);
Sant Ambroeus;Upper E. Side;;;;;;;Sant Ambroeus; 1000 Madison Ave-at 77th St;New York;Upper East Side;Italian;(212-570-2211);
Sant Ambroeus;Upper East Side;;;;;;;Sant Ambroeus; 1000 Madison Ave-at 77th St;New York;Upper East Side;Italian;(212-570-2211);
Sapa;Chelsea;43 West 24th Street;New York;NY;Asian;$$$;;Sapa; 43 W 24th St-between Fifth and Sixth Aves;New York;Chelsea;Vietnamese;(212-929-1800);
Sapphire;Upper West Side;1845 Broadway;New York;NY;Indian;$$$;;Sapphire; 1845 Broadway-between 60th and 61st Sts;New York;Upper West Side;Indian;(212-245-4444);
Sapphire;Upper W. Side;;;;;;;Sapphire; 1845 Broadway-between 60th and 61st Sts;New York;Upper West Side;Indian;(212-245-4444);
Sardi's;Midtown West;234 West 44th Street;New York;NY;Continental;$$$;;Sardi's; 234 W 44th St-between Broadway and Eighth Ave;New York;Midtown West;American;(212-221-8444);
Sarge's Deli;Murray Hill;548 Third Avenue;New York;NY;Deli;$;;Sarge's Deli;548 3rd Avenue;New York, NY, 10016;;;;
Saucy;Upper East Side;1409 York Avenue;New York;NY;International;$$;;Saucy; 1409 York Ave-at 75th St;New York;Upper East Side;Eclectic;(212-249-3700);
Savann;Upper West Side;414 Amsterdam Ave;New York;NY;French;$$;;Savann; 414 Amsterdam Ave-between 79th and 80th Sts;New York;Upper West Side;French;(212-580-0202);
Savann;Upper W. Side;;;;;;;Savann; 414 Amsterdam Ave-between 79th and 80th Sts;New York;Upper West Side;French;(212-580-0202);
Savoy;Soho;;;;;;;Savoy; 70 Prince St-at Crosby St;New York;Soho;American Creative;(212-219-8570);
Savoy;SoHo;;;;;;;Savoy; 70 Prince St-at Crosby St;New York;Soho;American Creative;(212-219-8570);
Scalinatella;Upper East Side;201 East 61st Street;New York;NY;Italian;$$$$;;Scalinatella; 201 E 61st St-between Second and Third Aves;New York;Upper East Side;Italian;(212-207-8280);
Scalini Fedeli;TriBeCa;165 Duane St;New York;NY;Italian;$$$$;;Scalini Fedeli; 165 Duane St-between Greenwich and Hudson Sts;New York;Tribeca;Italian;(212-528-0400);
Scalini Fedeli;Tribeca;;;;;;;Scalini Fedeli; 165 Duane St-between Greenwich and Hudson Sts;New York;Tribeca;Italian;(212-528-0400);
Scarlatto;Midtown West;250 W 47th St;New York;NY;Italian;$$;;Scarlatto; 250 W 47th St-between Broadway and Eighth Ave;New York;Midtown West;Italian;(212-730-4535);
Scarpetta;Meatpacking District;355 W 14th St;New York;NY;Italian;$$$$;;Scarpetta; 355 W 14th St-at Ninth Ave;New York;Meatpacking District;Italian;(212-691-0555);
Sea Grill;Midtown West;19 West 49th Street;New York;NY;Seafood;$$$$;;Sea Grill;19 West 49th Street;;;;;
Serendipity 3;Upper East Side;225 E 60th St;New York;NY;American;$;;Serendipity 3; 225 E 60th St-between Second and Third Aves;New York;Upper East Side;American;(212-838-3531);
Sezz Medi';Harlem;1260 Amsterdam Ave;New York;NY;Mediterranean;$$;;Sezz Medi';1260 Amsterdam Avenue;New York, NY, 10027;;;;
Sfoglia;Upper East Side;1402 Lexington Avenue;New York;NY;Italian;$$$$;;Sfoglia;1402 Lexington Ave-At 92nd St;;;;;
Shaburi;Midtown East;125 E 39th St btwn Park and Lexington...;;;;;;Shaburi; 125 E 39th St-between Park and Lexington Aves;New York;Midtown East;Japanese;(212-867-6999);
Shake Shack;Upper West Side;366 Columbus Ave;New York;NY;American;$$;;Shake Shack; 366 Columbus Ave-at 77th St;New York;Upper West Side;American;(no phone yet);
Shun Lee Cafe;Upper W. Side;;;;;;;Shun Lee Cafe; 43 W 65th St-between Central Park West and Columbus Ave;New York;Upper West Side;Chinese;(212-769-3888);
Shun Lee Cafe;Upper West Side;43 W 65th St btwn Central Park West and...;;;;;;Shun Lee Cafe; 43 W 65th St-between Central Park West and Columbus Ave;New York;Upper West Side;Chinese;(212-769-3888);
Shun Lee Palace;Midtown East;155 E 55th Street;New York;NY;Chinese;$$$;;Shun Lee Palace; 155 E 55th St-between Lexington and Third Aves;New York;Midtown East;Chinese;(212-371-8844);
Shun Lee West;Upper West Side;43 W 65th St btwn Central Park West and...;;;;;;Shun Lee West; 43 W 65th St-between Central Park West and Columbus Ave;New York;Upper West Side;Chinese;(212-595-8895);
Sip Sak;Midtown East;928 Second Ave;New York;NY;Middle Eastern;$;;Sip Sak; 928 Second Ave-between 49th and 50th Sts;New York;Midtown East;Turkish;(212-583-1900);
Slane;West Village;102 MacDougal St;New York;NY;Irish;$$;;Slane;102 MacDougal St-At Bleecker St;;;;;
Smith & Wollensky;Midtown East;797 Third Ave;New York;NY;Steakhouse;$$$;;Smith & Wollensky; 797 Third Ave-at 49th St;New York;Midtown East;Steakhouses;(212-753-1530);
Smorgas Chef;Midtown East;;;;;;;Smorgas Chef; 924 Second Ave-at 49th St;New York;Midtown East;Scandinavian;(212-486-1411);
Snack;Soho;;;;;;;Snack; 105 Thompson St-between Prince and Spring Sts;New York;Soho;Greek;(212-925-1040);
Snack;SoHo;;;;;;;Snack; 105 Thompson St-between Prince and Spring Sts;New York;Soho;Greek;(212-925-1040);
Snack Taverna;West Village;63 Bedford St;New York;NY;Greek;$$;;Snack Taverna; 63 Bedford St-at Morton St;New York;West Village;Greek;(212-929-3499);
Snack Taverna;W. Village;;;;;;;Snack Taverna; 63 Bedford St-at Morton St;New York;West Village;Greek;(212-929-3499);
Snack Taverna;Greenwich Village;;;;;;;Snack Taverna; 63 Bedford St-at Morton St;New York;West Village;Greek;(212-929-3499);
Soba-Ya;East Village;229 E Ninth St;New York;NY;Asian;$;;Soba-Ya;229 East 9th Street;New York, NY, 10003;;;;
Sofrito;Midtown East;;;;;;;Sofrito; 400 E 57th St-between First Ave and Sutton Pl;New York;Midtown East;Caribbean: Puerto Rican;(212-754-5999);
Sol Y Sombra;Upper West Side;462 Amsterdam Ave;New York;NY;Spanish;$;;Sol Y Sombra;462 Amsterdam Avenue;New York;;;;
Solera;Midtown East;216 E 53rd St;New York;NY;Spanish;$$$;;Solera; 216 E 53rd St-between Second and Third Aves;New York;Midtown East;Spanish;(212-644-1166);
Son Cubano;Meatpacking District;361 Greenwich St;New York;NY;Cuban;$$$;;Son Cubano; 405 W 14th St-between Ninth and Tenth Aves;New York;Meatpacking District;Caribbean: Cuban;(212-366-1640);
Soto;Greenwich Village;357 Sixth;New York;NY;Sushi;$$$;;Soto; 357 Sixth Ave-at Washington Pl;New York;West Village;Japanese;(212-414-3088);
Soto;West Village;;;;;;;Soto; 357 Sixth Ave-at Washington Pl;New York;West Village;Japanese;(212-414-3088);
Southside Cafe;Theater;252 W 47th Street;New York;NY;Italian;$$;;Southside Cafe;252 W 47th St;New York;;;;
Spice;Greenwich Village;;;;;;;Spice; 60 University Pl-between 10th and 11th Sts;New York;Greenwich Village;Thai;(212-982-3758);
Spice Market;Meatpacking District;403 W 13th St;New York;NY;Malaysian;$$$;;Spice Market; 403 W 13th St-at Ninth Ave;New York;Meatpacking District;Indian;(212-675-2322);
Spigolo;Upper East Side;1561 Second Ave;New York;NY;Italian;$$$;;Spigolo; 1561 Second Ave-at 81st St;New York;Upper East Side;Italian;(212-744-1100);
Spigolo;Upper E. Side;;;;;;;Spigolo; 1561 Second Ave-at 81st St;New York;Upper East Side;Italian;(212-744-1100);
Spotlight Live;Midtown West;;;;;;;Spotlight Live; 1604 Broadway-between 48th and 49th Sts;New York;Midtown West;American;(212-262-1111);
Spotted Pig;West Village;The, 314 W 11th St;New York;NY;British;$$$;;Spotted Pig;314 W 11th St.;New York;West Village;;;
Stage Deli;Midtown West;834 Seventh Avenue;New York;NY;Deli;$;;Stage Deli; 834 Seventh Ave-between 53rd and 54th Sts;New York;Midtown West;American;(212-245-7850);
Stand;Greenwich Village;24 E. 12th Street;New York;NY;American;$;;Stand; 24 E 12th St-between Fifth Ave and University Pl;New York;Greenwich Village;American;(212-488-5900);
Stand;West Village;;;;;;;Stand; 24 E 12th St-between Fifth Ave and University Pl;New York;Greenwich Village;American;(212-488-5900);
Stanton Social;Lower East Side;99 Stanton St;New York;NY;International;$$$;;Stanton Social;99 Stanton Street;New York, NY, 10002;;;;
Stella Maris;Financial District;213 Front St.;New York;NY;European;$$;;Stella Maris; 213 Front St-between Beekman St and Peck Slip;New York;Financial District;French;(212-233-2417);
Stella Maris;Financial/Battery Pk;;;;;;;Stella Maris; 213 Front St-between Beekman St and Peck Slip;New York;Financial District;French;(212-233-2417);
Strip House;Greenwich Village;13 E 12th St;New York;NY;Steakhouse;$$$;;Strip House; 13 E 12th St-between Fifth Ave and University Pl;New York;Greenwich Village;Steakhouses;(212-328-0000);
Strip House;West Village;;;;;;;Strip House; 13 E 12th St-between Fifth Ave and University Pl;New York;Greenwich Village;Steakhouses;(212-328-0000);
Suba;Lower East Side;109 Ludlow St;New York;NY;Spanish;$$$;;Suba; 109 Ludlow St-between Delancey and Rivington Sts;New York;Lower East Side;Spanish;(212-982-5714);
Suba;Lower E. Side;;;;;;;Suba; 109 Ludlow St-between Delancey and Rivington Sts;New York;Lower East Side;Spanish;(212-982-5714);
Sugiyama;Midtown West;251 W 55th St;New York;NY;Japanese;$$$$;;Sugiyama; 251 W 55th St-between Broadway and Eighth Ave;New York;Midtown West;Japanese;(212-956-0670);
Supper;East Village;156 E Second St;New York;NY;Italian;$$;;Supper; 156 E 2nd St-between Aves A and B;New York;East Village;Italian;(212-477-7600);
Supper;E. Village;;;;;;;Supper; 156 E 2nd St-between Aves A and B;New York;East Village;Italian;(212-477-7600);
Surya;West Village;302 Bleecker St;New York;NY;Indian;$$;;Surya; 302 Bleecker St-between Seventh Ave South and Grove St;New York;West Village;Indian;(212-807-7770);
Surya;W. Village;;;;;;;Surya; 302 Bleecker St-between Seventh Ave South and Grove St;New York;West Village;Indian;(212-807-7770);
Surya;Greenwich Village;302 Bleecker St btwn Seventh Ave South...;;;;;;Surya; 302 Bleecker St-between Seventh Ave South and Grove St;New York;West Village;Indian;(212-807-7770);
Sushi Seki;Upper East Side;1143 1st Ave;New York;NY;Sushi;$$$;;Sushi Seki; 1143 First Ave-between 62nd and 63rd Sts;New York;Upper East Side;Japanese;(212-371-0238);
Sushi Seki;Upper E. Side;;;;;;;Sushi Seki; 1143 First Ave-between 62nd and 63rd Sts;New York;Upper East Side;Japanese;(212-371-0238);
Sushi Yasuda;Midtown East;204 E 43rd St;New York;NY;Japanese;$$$$$;;Sushi Yasuda; 204 E 43rd St-between Second and Third Aves;New York;Midtown East;Japanese;(212-972-1001);
Sushi Zen;Midtown West;108 W 44th St;New York;NY;Sushi;$$$;;Sushi Zen; 108 W 44th St-between Sixth Ave and Broadway;New York;Midtown West;Japanese;(212-302-0707);
Swagat Indian Cuisine;;411a Amsterdam Ave;New York;NY;;;;Swagat Indian Cuisine;411A Amsterdam Avenue;New York, NY, 10024;;;;
Swizz;Midtown West;310 W 53rd St;New York;NY;Swiss;$$;;Swizz;310 W 53rd St-At 8th Ave;;;;;
Tabla;Gramercy Park;11 Madison Ave;New York;NY;Indian;$$$$;;Tabla; 11 Madison Ave-at 25th St;New York;Gramercy/Flatiron;Indian;(212-889-0667);
Tabla;Gramercy / Flatiron;;;;;;;Tabla; 11 Madison Ave-at 25th St;New York;Gramercy/Flatiron;Indian;(212-889-0667);
Taboon;Midtown West;773 10th Ave;New York;NY;Mediterranean;$$$;;Taboon; 773 Tenth Ave-at 52nd St;New York;Midtown West;Middle Eastern;(212-713-0271);
Tailor;Soho;;;;;;;Tailor; 525 Broome St-between Thompson and Sullivan Sts;New York;Soho;Cafés & diners;(212-334-5182);
Tailor;SoHo;525 Broome St btwn Thompson and...;;;;;;Tailor; 525 Broome St-between Thompson and Sullivan Sts;New York;Soho;Cafés & diners;(212-334-5182);
Takahachi Tribeca;TriBeCa;145 Duane St;New York;NY;Japanese;$$;;Takahachi Tribeca; 145 Duane St-between Church St and West Broadway;New York;Tribeca;Japanese;(212-571-1830);
Talay;Harlem;701 W 135th St;New York;NY;Thai;$$$;;Talay; 701 W 135th St-at Twelfth Ave;New York;Harlem;Asian: Pan-Asian;(212-491-8300);
Tang Pavilion;Midtown West;65 W 55th St;New York;NY;Chinese;$$;;Tang Pavilion; 65 W 55th St-between Fifth and Sixth Aves;New York;Midtown West;Chinese;(212-956-6888);
Tao;Midtown East;42 E 58th Street;New York;NY;Asian;$$$;;Tao; 42 E 58th St-between Madison and Park Aves;New York;Midtown East;Asian: Pan-Asian;(212-888-2288);
Taormina;Little Italy;147 Mulberry St;New York;NY;Italian;$$;;Taormina;147 Mulberry Street;New York, NY, 10013;;;;
Tartine;West Village;253 W 11th St;New York;NY;French;$;;Tartine; 253 W 11th St-at 4th St;New York;West Village;French;(212-229-2611);
Tartine;W. Village;;;;;;;Tartine; 253 W 11th St-at 4th St;New York;West Village;French;(212-229-2611);
Tartine;Greenwich Village;253 W 11th St at 4th St;;;;;;Tartine; 253 W 11th St-at 4th St;New York;West Village;French;(212-229-2611);
Tavern on the Green;Upper W. Side;;;;;;;Tavern on the Green; Central Park West-at 67th St;New York;Upper West Side;American;(212-873-3200);
Tavern on the Green;Upper West Side;;;;;;;Tavern on the Green; Central Park West-at 67th St;New York;Upper West Side;American;(212-873-3200);
Tea & Sympathy;West Village;108 Greenwich Ave;New York;NY;British;$;;Tea & Sympathy; 108–110 Greenwich Ave-between 12th and 13th Sts;New York;West Village;British & Irish;(212-989-9735);
Tea & Sympathy;W. Village;;;;;;;Tea & Sympathy; 108–110 Greenwich Ave-between 12th and 13th Sts;New York;West Village;British & Irish;(212-989-9735);
Telepan;Upper West Side;;;;;;;Telepan; 72 W 69th St-at Columbus Ave;New York;Upper West Side;American;(212-580-4300);
Telepan;Upper W. Side;;;;;;;Telepan; 72 W 69th St-at Columbus Ave;New York;Upper West Side;American;(212-580-4300);
The American;NoLita;235 Mulberry St.;New York;NY;American;$;;The American;235 Mulberry Street;New York, NY, 10012;;;;
The Cafe Carlyle;;35 E 76 St;New York;NY;;;;The Cafe Carlyle;35 East 76th Street;;;;;
The Cupping Room Cafe;;359 West Broadway;New York;NY;;;;The Cupping Room Cafe;359 West Broadway;New York;;;;
The Harrison;TriBeCa;355 Greenwich St;New York;NY;American;$$$;;The Harrison; 355 Greenwich St-at Harrison St;New York;Tribeca;American;(212-274-9310);
The Harrison;Tribeca;;;;;;;The Harrison; 355 Greenwich St-at Harrison St;New York;Tribeca;American;(212-274-9310);
The House;Gramercy Park;121 E. 17th Street;New York;NY;Mediterranean;$$$$;;The House; 121 E 17th St-between Park Ave South and Irving Pl;New York;Gramercy/Flatiron;Eclectic;(212-353-2121);
The House;Gramercy / Flatiron;;;;;;;The House; 121 E 17th St-between Park Ave South and Irving Pl;New York;Gramercy/Flatiron;Eclectic;(212-353-2121);
The Modern;Midtown West;9 W 53rd St;New York;NY;American;$$$$;;The Modern; 9 W 53rd St-between Fifth and Sixth Aves;New York;Midtown West;American Creative;(212-333-1220);
The New French;Greenwich Village;522 Hudson St;New York;NY;French;$$$;;The New French; 522 Hudson St-at 10th St;New York;West Village;Eclectic;(212-807-7357);
The New French;West Village;;;;;;;The New French; 522 Hudson St-at 10th St;New York;West Village;Eclectic;(212-807-7357);
The Pink Tea Cup;West Village;42 Grove St;New York;NY;Southern;$;;The Pink Tea Cup; 42 Grove St-between Bedford and Bleecker Sts;New York;West Village;American Regional;(212-807-6755);
The Place;West Village;310 W Fourth St;New York;NY;American;$$$;;The Place; 310 W 4th St-between Bank and W 12th Sts;New York;West Village;Mediterranean;(212-924-2711);
The Place;W. Village;;;;;;;The Place; 310 W 4th St-between Bank and W 12th Sts;New York;West Village;Mediterranean;(212-924-2711);
The Place;Greenwich Village;310 W 4th St btwn Bank and W 12th Sts;;;;;;The Place; 310 W 4th St-between Bank and W 12th Sts;New York;West Village;Mediterranean;(212-924-2711);
The Redhead;East Village;349 E. 13th Street;New York;NY;American;$$$;;The Redhead; 349 E 13th St-between First and Second Aves;New York;East Village;American;(212-533-6212);
The Sunburnt Cow;East Village;137 Avenue C;New York;NY;Australian;$;;The Sunburnt Cow; 137 Ave C-between 8th and 9th Sts;New York;East Village;Australian & New Zealand;(212-529-0005);
Thor;Lower East Side;Hotel on Rivington;New York;NY;American;$$$$;;Thor;Hotel on Rivington -107 Rivington Stbetween Essex and Ludlow Sts;New York;Lower East Side;American;(646-253-6700);
Thor;Lower E. Side;;;;;;;Thor;Hotel on Rivington -107 Rivington Stbetween Essex and Ludlow Sts;New York;Lower East Side;American;(646-253-6700);
Three Of Cups;East Village;83 First Ave;New York;NY;Italian;$;;Three Of Cups;83 1st Ave;New York;;;;
Tia Pol;Chelsea;205 Tenth Ave;New York;NY;Spanish;$$;;Tia Pol; 205 Tenth Ave-between 22nd and 23rd Sts;New York;Chelsea;Spanish;(212-675-8805);
Tomo;Harlem;2850 Broadway;New York;NY;Sushi;$;;Tomo; 2850 Broadway-at 111th St;New York;Upper West Side;Japanese;(212-665-2915);
Tomoe Sushi;Greenwich Village;172 Thompson St;New York;NY;Sushi;$$;;Tomoe Sushi; 172 Thompson St-between Bleecker and Houston Sts;New York;Greenwich Village;Japanese;(212-777-9346);
Tomoe Sushi;West Village;;;;;;;Tomoe Sushi; 172 Thompson St-between Bleecker and Houston Sts;New York;Greenwich Village;Japanese;(212-777-9346);
Tony's Di Napoli;Midtown West;;;;;;;Tony's Di Napoli; 147 W 43rd St-between Sixth Ave and Broadway;New York;Midtown West;Italian;(212-221-0100);
Town;Midtown West;Chambers Hotel, 15 West 56th St;New York;NY;American;$$$$;;Town;Chambers Hotel -15 W 56th Stbetween Fifth and Sixth Aves;New York;Midtown West;American Creative;(212-582-4445);
Tribeca Grill;TriBeCa;375 Greenwich St;New York;NY;American;$$$;;Tribeca Grill; 375 Greenwich St-at Franklin St;New York;Tribeca;American;(212-941-3900);
Tribeca Grill;Tribeca;;;;;;;Tribeca Grill; 375 Greenwich St-at Franklin St;New York;Tribeca;American;(212-941-3900);
Triomphe;Midtown West;49 West 44th Street;New York;NY;French;$$$$;;Triomphe;The Iroquois -49 W 44th Stbetween Fifth and Sixth Aves;New York;Midtown West;French;(212-453-4233);
Troy Turkish Grill;Midtown West;539 9th Ave;New York;NY;Turkish;$;;Troy Turkish Grill;539 9th Ave-At 40th St;;;;;
Tsampa;East Village;212 E Ninth St;New York;NY;Southeast Asian;$;;Tsampa; 212 E 9th St-between Second and Third Aves;New York;East Village;Asian: Tibetan;(212-614-3226);
Tsampa;E. Village;;;;;;;Tsampa; 212 E 9th St-between Second and Third Aves;New York;East Village;Asian: Tibetan;(212-614-3226);
Tse Yang;Midtown East;34 East 51st Street;New York;NY;Chinese;$$$;;Tse Yang; 34 E 51st St-between Madison and Park Aves;New York;Midtown East;Chinese;(212-688-5447);
Turkish Cuisine;Midtown West;631 9th Ave;New York;NY;Middle Eastern;$$;;Turkish Cuisine;631 9th Avenue Frnt;New York;;;;
