0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r
Rice to Riches;Chinatown;;;;;;;
Rickshaw Dumpling Bar;Chelsea;;;;;;;
Rico's Restaurant;Flatiron/U. Sq.;;;;;;;
Rikyu Japanese Restaurant;Upper W. Side;;;;;;;
Rinconcito Mexicano;Midtown West;;;;;;;
Riss;Chelsea;;;;;;;
River Diner Inc;Midtown West;;;;;;;
Riverview;Murray Hill;;;;;;;
Rocky's Restaurant;TriBeCa/SoHo;;;;;;;
Rodriguez;Lower E. Side;;;;;;;
Rolf's Bar & Restaurant;Flatiron/U. Sq.;;;;;;;
Roma Pizza & Pasta;Lower E. Side;;;;;;;
Room With a View;Midtown West;;;;;;;
Rosa's Place Restaurant;Midtown West;;;;;;;
Rose Hall;W. Village;;;;;;;
Rosemarie's;TriBeCa/SoHo;;;;;;;
Rosie O'grady's Midtown;Midtown West;;;;;;;
Rosie O'grady's Pub;TriBeCa/SoHo;;;;;;;
Route 66 Cafe;Midtown West;;;;;;;
Roxy Coffee Shop;Lower Manhattan;;;;;;;
Roy's New York;Lower Manhattan;;;;;;;
Royal Canadian Pancake House;Flatiron/U. Sq.;;;;;;;
Royal Canadian Pancake House;Midtown East;;;;;;;
Royal Canadian Pancake House;Upper W. Side;;;;;;;
Royal Chinese Restaurant;Midtown West;;;;;;;
Royal Indian Cuisine;Flatiron/U. Sq.;;;;;;;
Royal Kebab and Curry House;Upper W. Side;;;;;;;
Royale;E. Village;;;;;;;
Rubellino Inc;Upper W. Side;;;;;;;
Ruben's Empanadas;Lower Manhattan;;;;;;;
Ruby Fruit Bar & Grill;W. Village;;;;;;;
Ruby's Tap House;Upper E. Side;;;;;;;
Rungsit II Thai Food & Noodles;Murray Hill;;;;;;;
Runyon's Of 50th;Midtown East;;;;;;;
Russ & Daughters;Lower E. Side;;;;;;;
S P Restaurant Corp;TriBeCa/SoHo;;;;;;;
S.G.S. Donuts;Chelsea;;;;;;;
SQC;Upper W. Side;;;;;;;
STK;W. Village;;;;;;;
Sa Woy;Upper E. Side;;;;;;;
Sabarro Italian Eat;Midtown West;;;;;;;
Saber Coffee Shop;Flatiron/U. Sq.;;;;;;;
Sable's;Upper E. Side;;;;;;;
Saffron;Flatiron/U. Sq.;;;;;;;
Sag Harbor;Midtown West;;;;;;;
Saigon 48;Midtown West;;;;;;;
Saigon Banh Mi;Chinatown;;;;;;;
Saigon River;Flatiron/U. Sq.;;;;;;;
Saint Marks Pizza;E. Village;;;;;;;
Sakagura;Midtown East;;;;;;;
Sake Bar Hagi;Midtown West;;;;;;;
Saki Restaurant Corp;E. Village;;;;;;;
Sakura;Murray Hill;;;;;;;
Sal Anthony's Spqr Rstrnt;Chinatown;;;;;;;
Sal's Pizzeria;Murray Hill;;;;;;;
Sal's Pizzeria & Restaurant;Chinatown;;;;;;;
Sal's and Carmine's Pizza;Upper W. Side;;;;;;;
Salad Works;Midtown West;;;;;;;
Salam Cafe And Restaurant;W. Village;;;;;;;
Salt;Upper W. Side;;;;;;;
Salt;W. Village;;;;;;;
Sam's 263 Resaturant;Midtown West;;;;;;;
San Francisco Plum;Chelsea;;;;;;;
San Japanese Restaurant;Lower Manhattan;;;;;;;
San Locos;E. Village;;;;;;;
San Pietro;Midtown East;;;;;;;
Sandbox;Murray Hill;;;;;;;
Sandbox;Midtown West;;;;;;;
Sandia;Chelsea;;;;;;;
Sandobe;E. Village;;;;;;;
Sandro's;Chelsea;;;;;;;
Sandwich Planet;Midtown West;;;;;;;
Sandwiches;W. Village;;;;;;;
Santa Fe;Flatiron/U. Sq.;;;;;;;
Sapori Pizzeria;Upper E. Side;;;;;;;
Sappora Village Japanese;E. Village;;;;;;;
Saravanaas;Murray Hill;;;;;;;
Sassy's Sliders;Upper E. Side;;;;;;;
Sawaki Japenese Restaurant;W. Village;;;;;;;
Scalinatella;Midtown East;;;;;;;
Scalini's;Upper E. Side;;;;;;;
Scotch Bonnet;Midtown West;;;;;;;
Scotty's Diner;Murray Hill;;;;;;;
Seagrill Of The Aegean;Upper E. Side;;;;;;;
Second Avenue Deli;Murray Hill;;;;;;;
Secret Harbor Bistro;Murray Hill;;;;;;;
Seeda Thai 2;Midtown West;;;;;;;
Seh Ja Meh;Lower Manhattan;;;;;;;
Sekku Restaurant;Murray Hill;;;;;;;
Sen-nin;Murray Hill;;;;;;;
Sequoia;Lower Manhattan;;;;;;;
Serena;Chelsea;;;;;;;
Serendipity 3;Midtown East;;;;;;;
Seven;Chelsea;;;;;;;
Shabu Tatsu;Upper W. Side;;;;;;;
Shabu-shabu 70;Upper E. Side;;;;;;;
Shalel;Upper W. Side;;;;;;;
Shallots NY;Midtown East;;;;;;;
Shapla Indian Restaurant;E. Village;;;;;;;
Sharaku Japanese Restaurant;E. Village;;;;;;;
Shark Bar;Upper W. Side;;;;;;;
Shelly's New York;Midtown West;;;;;;;
Sheng-wah;Lower Manhattan;;;;;;;
Sherman's Bar-b-q Inc;Harlem;;;;;;;
Shih Lee Co;Midtown East;;;;;;;
Shiki's Restaurant Inc;W. Village;;;;;;;
Shing Lung Chinese Restaurant;E. Village;;;;;;;
Shining Star;Upper W. Side;;;;;;;
Ship Of Fools;Upper E. Side;;;;;;;
Shoebox Cafe;Midtown East;;;;;;;
Shorty Long's;Upper E. Side;;;;;;;
Shun Cheong Chinese Kitchen;Harlem;;;;;;;
Shutters Bar & Cafe Inc;Midtown West;;;;;;;
Siam City Thai Restaurant;Upper E. Side;;;;;;;
Siam Grill Restaurant;Midtown West;;;;;;;
Siam Inn;Midtown West;;;;;;;
Siam Square;E. Village;;;;;;;
Sichuan Palace;Midtown East;;;;;;;
Sidewalk-bar Restaurant;E. Village;;;;;;;
Siegels Kosher Delicatessen;Upper E. Side;;;;;;;
Silk Road Palace;Upper W. Side;;;;;;;
Silver Moon Bakery;Upper W. Side;;;;;;;
Simla Indian Restaurant;Upper E. Side;;;;;;;
Simons Noodle Shop & Grill;Upper E. Side;;;;;;;
Simply Caribbean;W. Village;;;;;;;
Singleton's;Harlem;;;;;;;
Sirabella's Restaurant;Upper E. Side;;;;;;;
Sirocco;TriBeCa/SoHo;;;;;;;
Skylight Diner;Midtown West;;;;;;;
Skyline Restaurant Cafe;Upper E. Side;;;;;;;
Snack;TriBeCa/SoHo;;;;;;;
Snack Bar;Flatiron/U. Sq.;;;;;;;
Snowpea Cafe;Midtown West;;;;;;;
SoHo Cantina;TriBeCa/SoHo;;;;;;;
SoHo SoHo;TriBeCa/SoHo;;;;;;;
Socrates Restaurant;Lower Manhattan;;;;;;;
Sofia Il Valletto;Midtown East;;;;;;;
Sofia On Bleecker;W. Village;;;;;;;
Sofia's;Midtown West;;;;;;;
Solace Cafe Corp;Lower Manhattan;;;;;;;
Solo;Midtown East;;;;;;;
Soma Soup;Upper W. Side;;;;;;;
Son Cubano;W. Village;;;;;;;
Sosa Borella;TriBeCa/SoHo;;;;;;;
Sotto Cinque Restaurant;Murray Hill;;;;;;;
Soup Nutsy;Midtown West;;;;;;;
Souperman;Lower Manhattan;;;;;;;
Southside Cafe;Midtown West;;;;;;;
Southwest NY;Lower Manhattan;;;;;;;
Spada;Upper E. Side;;;;;;;
Spanish Taverna;Midtown West;;;;;;;
Spice Market;W. Village;;;;;;;
Spoons Squared Inc;Midtown East;;;;;;;
Spring Joy;Chelsea;;;;;;;
Spring Street Natural Restaurant;TriBeCa/SoHo;;;;;;;
Square Diner Corp;Lower Manhattan;;;;;;;
St Charlie's Restaurant;Lower Manhattan;;;;;;;
St. Andrew's;Midtown West;;;;;;;
St. Dymphna's;E. Village;;;;;;;
St. Maggie's Cafe;Lower Manhattan;;;;;;;
Stanton Social;E. Village;;;;;;;
Star Diner Restaurant Inc;Midtown West;;;;;;;
Star Fried Chicken;Upper E. Side;;;;;;;
Stardust Chinese;TriBeCa/SoHo;;;;;;;
Stardust Diner;Midtown West;;;;;;;
Stargate Restaurant;Upper E. Side;;;;;;;
Starlight Restaurant & Deli;Midtown East;;;;;;;
Starlite Diner Cafe;Upper E. Side;;;;;;;
Starwich;Midtown West;;;;;;;
Steak Frites;Flatiron/U. Sq.;;;;;;;
Steamer's Landing;Lower Manhattan;;;;;;;
Stella;TriBeCa/SoHo;;;;;;;
Stepmama;E. Village;;;;;;;
Streetcar Cafe;Midtown West;;;;;;;
Stringfellows Of New York Ltd;Flatiron/U. Sq.;;;;;;;
Stromboli Pizza Inc;E. Village;;;;;;;
Studio Coffee Shop;Midtown West;;;;;;;
Success Chinese Restaurant;Chelsea;;;;;;;
Sud;W. Village;;;;;;;
Sugar Hill Bistro;Harlem;;;;;;;
Suibi Japanese Restaurant;Midtown East;;;;;;;
Sullivan Street Bakery;TriBeCa/SoHo;;;;;;;
Sullivan Street Bakery;Midtown West;;;;;;;
Sultan II;Flatiron/U. Sq.;;;;;;;
Sumou Japanese Restaurant Inc;Lower Manhattan;;;;;;;
Sun Golden Island;Chinatown;;;;;;;
Sun Lok Kee Rice Shop;Chinatown;;;;;;;
Sun Say Gay Restaurant Inc;Chinatown;;;;;;;
Sun Tin Yick;Chinatown;;;;;;;
Sung Lin;TriBeCa/SoHo;;;;;;;
Sungarden;Midtown East;;;;;;;
Sunny East Restaurant;Midtown West;;;;;;;
Sunrise 27;Chinatown;;;;;;;
Super Tacos;Upper W. Side;;;;;;;
Sushi Desse;Flatiron/U. Sq.;;;;;;;
Sushi On Hudson;W. Village;;;;;;;
Sushi Samba 7;W. Village;;;;;;;
Sushi-q Japanese Take Out;Upper E. Side;;;;;;;
Swift;E. Village;;;;;;;
Swim Market;Upper E. Side;;;;;;;
Swing Street;Midtown East;;;;;;;
Swissing Restaurant;Midtown West;;;;;;;
Syrah;Upper E. Side;;;;;;;
T G Whitneys';Midtown East;;;;;;;
T J's Southern Gourmet;Lower Manhattan;;;;;;;
T Salon and T Emporium;Flatiron/U. Sq.;;;;;;;
T.S. Ma;Midtown West;;;;;;;
Tachigui Soba;Midtown West;;;;;;;
Tacos & Burritos Place Express;Lower Manhattan;;;;;;;
Tai Hong Lau;Chinatown;;;;;;;
Take;Lower Manhattan;;;;;;;
Tam-tam Bar;Midtown East;;;;;;;
Tamura;Lower Manhattan;;;;;;;
Tandoor Palace Inc;Lower Manhattan;;;;;;;
Tang Tang;Flatiron/U. Sq.;;;;;;;
Tano;Upper E. Side;;;;;;;
Tapastry;W. Village;;;;;;;
Tara;E. Village;;;;;;;
Taron Sushi;Midtown East;;;;;;;
Taste Good Chinese Kitchen;Harlem;;;;;;;
Tatany 52 Inc;Midtown East;;;;;;;
Tatany Japanese Restaurant;Murray Hill;;;;;;;
Tea Cafe;W. Village;;;;;;;
Tea Den Chinese Restaurant In;Midtown West;;;;;;;
Teatro Grill;Midtown West;;;;;;;
Ten Pell Restaurant;Chinatown;;;;;;;
Tennessee Mountain;TriBeCa/SoHo;;;;;;;
Tennessee Mountain;Midtown West;;;;;;;
Tequila's;Upper W. Side;;;;;;;
Tequilas Mexican Grill Rstrnt;W. Village;;;;;;;
Tequilaville;Murray Hill;;;;;;;
Teresa Mimmo's;Chinatown;;;;;;;
Teresa's;Midtown West;;;;;;;
Teresa's Of Mulberry St;Chinatown;;;;;;;
Teriyaki Boy;Lower Manhattan;;;;;;;
Teriyaki Boy;Midtown West;;;;;;;
Teriyaki Boy;Lower E. Side;;;;;;;
Teriyaki Boy Inc;Flatiron/U. Sq.;;;;;;;
Tevere 84 Italian Glatt Kosher;Upper E. Side;;;;;;;
Texas Rotisserie & Grill;Upper W. Side;;;;;;;
Texas Rotisserie Chicken & Rib;E. Village;;;;;;;
Texas Rotisserie Chicken & Rib;Lower Manhattan;;;;;;;
Texas Smokehouse BBQ and Bourbon Bar;Flatiron/U. Sq.;;;;;;;
Thai Basile Ltd;Midtown West;;;;;;;
Thai Orchid;Midtown East;;;;;;;
Thai Spice Restaurant;W. Village;;;;;;;
Thai Village;W. Village;;;;;;;
Thailand Restaurant;Chinatown;;;;;;;
Thau Restaurant Inc;Upper E. Side;;;;;;;
The Adore;E. Village;;;;;;;
The Bistro At Candy Bar;Chelsea;;;;;;;
The Black Duck;Flatiron/U. Sq.;;;;;;;
The Commons;Upper E. Side;;;;;;;
The Delta Grill;Midtown West;;;;;;;
The French Butcher;Flatiron/U. Sq.;;;;;;;
The Garrick;Midtown West;;;;;;;
The James Beard Foundation;W. Village;;;;;;;
The Kosher Marketplace;Upper W. Side;;;;;;;
The Little Owl;W. Village;;;;;;;
The Little Place;TriBeCa/SoHo;;;;;;;
The Mercer Kitchen;TriBeCa/SoHo;;;;;;;
The Oven;E. Village;;;;;;;
The Secret Palace;E. Village;;;;;;;
The Tapas Lounge;Midtown East;;;;;;;
The Terrace;Upper W. Side;;;;;;;
Third & Long;Murray Hill;;;;;;;
Tibet Shambala;Upper W. Side;;;;;;;
Tibet on Houston;W. Village;;;;;;;
Tibetan Kitchen;Murray Hill;;;;;;;
Tick Tock Diner;Midtown West;;;;;;;
Tiemann Oasis;Upper W. Side;;;;;;;
Tien Garden Inc;E. Village;;;;;;;
Tiffin;TriBeCa/SoHo;;;;;;;
Timothy's Coffees Of The World;Upper E. Side;;;;;;;
Tindo Restaurant Inc;Chinatown;;;;;;;
Tintol;Midtown West;;;;;;;
Tir Na Nog;Midtown West;;;;;;;
Tivoli Restaurant;Murray Hill;;;;;;;
Toast;Harlem;;;;;;;
Todaro Bros.;Murray Hill;;;;;;;
Tokubei 86;Upper E. Side;;;;;;;
Tokyo Lunch;Lower Manhattan;;;;;;;
Tom's Restaurant;Upper W. Side;;;;;;;
Tomotachi Sushi Take Out;TriBeCa/SoHo;;;;;;;
Toon's;TriBeCa/SoHo;;;;;;;
Top Broccoli Restaurant;Midtown West;;;;;;;
Torch;E. Village;;;;;;;
Torremolinos;Midtown East;;;;;;;
Tortilla Flats;W. Village;;;;;;;
Tossed;Flatiron/U. Sq.;;;;;;;
Totoya Restaurant;Upper E. Side;;;;;;;
Tout Va Bien;Midtown West;;;;;;;
Tracy's on the Side;Chelsea;;;;;;;
Trattoria Rustica;Upper E. Side;;;;;;;
Trattoria i Pagliacci;Flatiron/U. Sq.;;;;;;;
Tre Pomodori Restaurant;Murray Hill;;;;;;;
Tre Pomodoro Restaurant;Upper E. Side;;;;;;;
Treaty Stone Restaurant;Chelsea;;;;;;;
Treehouse;W. Village;;;;;;;
Tres Aztecas;Lower E. Side;;;;;;;
Trevi Coffee Shop;Flatiron/U. Sq.;;;;;;;
Triad Restaurant & Theater;Upper W. Side;;;;;;;
Tribeca Diner;Lower Manhattan;;;;;;;
Triple A Restaurant;Harlem;;;;;;;
Trippletail;Upper E. Side;;;;;;;
Triumph Restaurant Corp;W. Village;;;;;;;
Trois Marches;Upper E. Side;;;;;;;
Trolley's Deli & Pizza;Midtown West;;;;;;;
Tu Do Restaurant Corp;Chinatown;;;;;;;
Tung Cheung;Midtown East;;;;;;;
Tupelo Grill;Midtown West;;;;;;;
Turkish Grill;W. Village;;;;;;;
Turkish Kitchen;Murray Hill;;;;;;;
Two Boots;Midtown East;;;;;;;
Two Boots;E. Village;;;;;;;
Two Rancheros Restaurant;Midtown West;;;;;;;
Typhoon Asian Restaurant;Chelsea;;;;;;;
Typhoon Lounge;E. Village;;;;;;;
UKNEWYORK;TriBeCa/SoHo;;;;;;;
Uguale;W. Village;;;;;;;
Umbertos Clam House;Chinatown;;;;;;;
Uminoie;E. Village;;;;;;;
Under The Stairs Restaurant;Upper W. Side;;;;;;;
Underground Pizzeria;Lower Manhattan;;;;;;;
Unicorn Restaurant;Harlem;;;;;;;
Union Square;Flatiron/U. Sq.;;;;;;;
Union Square Cafe;Flatiron/U. Sq.;;;;;;;
University Place Restaurant;E. Village;;;;;;;
Upstairs at Bouley Bakery and Market;TriBeCa/SoHo;;;;;;;
Urban Hero;Midtown West;;;;;;;
Urena's Restaurant;Harlem;;;;;;;
Usküdar;Upper E. Side;;;;;;;
Utopia;Upper W. Side;;;;;;;
V & T Pizzeria;Upper W. Side;;;;;;;
Va Tutto;TriBeCa/SoHo;;;;;;;
Vago;Midtown West;;;;;;;
Vani Coffee Shop Inc;Chelsea;;;;;;;
Vazacs Horseshoe Bar;E. Village;;;;;;;
Vege Vege Ii;Murray Hill;;;;;;;
Vegetable Garden;Murray Hill;;;;;;;
Velli;W. Village;;;;;;;
Velvet 51;E. Village;;;;;;;
Velvet Restaurant And Lounge;TriBeCa/SoHo;;;;;;;
Vento Trattoria;W. Village;;;;;;;
Venus Coffee Shop;Midtown East;;;;;;;
Verdi's Food Enterprises;Midtown West;;;;;;;
Vesuvio Bakery;TriBeCa/SoHo;;;;;;;
Victoria Restaurant;Midtown East;;;;;;;
Victory Cafe;Upper E. Side;;;;;;;
VietCafe;Lower Manhattan;;;;;;;
View Restaurant;Midtown West;;;;;;;
Vigneti;Midtown East;;;;;;;
Vincent's Restaurant;Chinatown;;;;;;;
Vinegar Factory Restaurant;Upper E. Side;;;;;;;
Vintage;Midtown West;;;;;;;
Vintage New York WineBar;TriBeCa/SoHo;;;;;;;
Virage;E. Village;;;;;;;
Virgil's Real BBQ;Midtown West;;;;;;;
Vittorio Restaurant;W. Village;;;;;;;
Viva Brasil;Upper W. Side;;;;;;;
Viva Pancho West 44th Street;Midtown West;;;;;;;
Volare Restaurant Corp;W. Village;;;;;;;
Vuli Restaurant;Midtown East;;;;;;;
W K Restaurant Inc;Chinatown;;;;;;;
WD-50;Lower E. Side;;;;;;;
Washington Place Restaurant;W. Village;;;;;;;
Wave Japanese Restaurant;Lower Manhattan;;;;;;;
West 79 Restaurant;Upper W. Side;;;;;;;
Western Seaworld;Chelsea;;;;;;;
Westside Restaurant;Upper W. Side;;;;;;;
Westway Diner Inc;Midtown West;;;;;;;
Wheeltapper;Midtown East;;;;;;;
White Horse Tavern;W. Village;;;;;;;
Who's On First;Upper E. Side;;;;;;;
Wichcraft;Midtown West;;;;;;;
Wicked Wolf Restaurant;Upper E. Side;;;;;;;
Wilkinson's Seafood Restaurant;Upper E. Side;;;;;;;
Williams Bar-b-cue Poultry;Upper W. Side;;;;;;;
Win Hop Restaurant Inc;Chinatown;;;;;;;
Win49;Lower E. Side;;;;;;;
Windows On India Restaurant;E. Village;;;;;;;
Wing Dong;Harlem;;;;;;;
Wing Hing;Midtown West;;;;;;;
Wing Wah Restaurant;Harlem;;;;;;;
Wing Wong Chinese Restaurant;Chinatown;;;;;;;
Wing Yuan Kitchen Restaurant;Flatiron/U. Sq.;;;;;;;
Wings Of Westwood;Lower Manhattan;;;;;;;
Wok 'n Roll;Upper E. Side;;;;;;;
Wok 63;Upper E. Side;;;;;;;
Woo Lae Oak;TriBeCa/SoHo;;;;;;;
World Yacht Dining Cruises;Midtown West;;;;;;;
Wu Liang Ye;Murray Hill;;;;;;;
Xando - Broadway;Upper W. Side;;;;;;;
Xando Cosi;Murray Hill;;;;;;;
Yaffa's T-Room;TriBeCa/SoHo;;;;;;;
Yakiniku Juju;Flatiron/U. Sq.;;;;;;;
Yakko Co;Murray Hill;;;;;;;
Yama Japanese;Flatiron/U. Sq.;;;;;;;
Yamaguchi Restaurant Corp;Midtown West;;;;;;;
Yankee Clipper Restaurant;Lower Manhattan;;;;;;;
Yazmin's Express;Upper W. Side;;;;;;;
Yeman & Somalia Restaurant;Harlem;;;;;;;
Yet Jip;Midtown West;;;;;;;
Yetang Corp;Midtown East;;;;;;;
Yip's Restaurant;Lower Manhattan;;;;;;;
Yippie Yi Yo Cafe;Upper W. Side;;;;;;;
Yips;Midtown West;;;;;;;
Yodo Restaurant Of Japan;Midtown East;;;;;;;
Yonah Schimmel's Knishes;Lower E. Side;;;;;;;
Yonehama;Midtown East;;;;;;;
York Indian Cuisine;Upper E. Side;;;;;;;
York Pizza & Pita Cafe;Upper E. Side;;;;;;;
York Villa Pizzeria;Upper E. Side;;;;;;;
Yorkville Inn;Upper E. Side;;;;;;;
Yoshi;Midtown West;;;;;;;
You-Chun;Midtown West;;;;;;;
Yue Wah Chinese Restaurant;Midtown West;;;;;;;
Yura & Co.;Upper E. Side;;;;;;;
Zafis Luncheonette;Lower E. Side;;;;;;;
Zanzibar;Midtown West;;;;;;;
Zen;Lower Manhattan;;;;;;;
Zen Palate;Midtown West;;;;;;;
Zen Restaurant;E. Village;;;;;;;
Zenith Vegetarian Cuisine;Midtown West;;;;;;;
Zephyr Grill;Midtown East;;;;;;;
Zi Teresa Of Chelsea;Midtown West;;;;;;;
Zia Tonia/Buon Italia;Chelsea;;;;;;;
Zido's Coffee & Espresso Bar;Flatiron/U. Sq.;;;;;;;
Zig K Corp;E. Village;;;;;;;
Zoe;TriBeCa/SoHo;;;;;;;
Zula;Upper W. Side;;;;;;;
Zuni;Midtown West;;;;;;;
ino;W. Village;;;;;;;
Ñ 33 Crosby;TriBeCa/SoHo;;;;;;;
'inoteca;Gramercy / Flatiron;;;;;;;
1 Nocello;Theater District;;;;;;;
5's at The Peninsula New York;Midtown West;;;;;;;
508 Restaurant & Bar;TriBeCa - Downtown;;;;;;;
57 - Four Seasons Hotel New York;Midtown East;;;;;;;
AJ Maxwell's - Steakhouse;Theater District;;;;;;;
AMA;SoHo;;;;;;;
Above;Theater District;;;;;;;
Ago;TriBeCa - Downtown;;;;;;;
Aja;Midtown East;;;;;;;
Aja Asian Bistro & Lounge;Greenwich Village;;;;;;;
Al Diwan;East Village;;;;;;;
Aleo;Gramercy / Flatiron;;;;;;;
Alfredo of Rome;Rockefeller Center Midtown;;;;;;;
Allegretti;Gramercy / Flatiron;;;;;;;
Almond;Gramercy / Flatiron;;;;;;;
Amber - 3rd Avenue;Gramercy / Flatiron;;;;;;;
Amber - West;Upper West Side;;;;;;;
Amber Gramercy;Gramercy / Flatiron;;;;;;;
Amor Cubano;Harlem;;;;;;;
Aquavit Dining Room;Midtown East;;;;;;;
Arabelle at the Hotel Plaza Athenee;Upper East Side;;;;;;;
Asiate;Columbus Circle;;;;;;;
Aspen;Gramercy / Flatiron;;;;;;;
Aspen Social Club;Times Square;;;;;;;
B. Smith's Restaurant Row;Theater District;;;;;;;
BELLAVITAE;Greenwich Village;;;;;;;
BG - Bergdorf Goodman;Midtown West;;;;;;;
BLT Fish Bistro Laurent Tourondel;Gramercy / Flatiron;;;;;;;
BLT Prime Bistro Laurent Tourondel;Gramercy / Flatiron;;;;;;;
BONDST;NoHo;;;;;;;
Bar Baresco;Chelsea;;;;;;;
Bar Boulud;Lincoln Center;;;;;;;
Bar Breton;Chelsea;;;;;;;
Bar Stuzzichini;Gramercy / Flatiron;;;;;;;
Barbao;Upper West Side;;;;;;;
Barbetta Restaurant;Theater District;;;;;;;
Barbounia;Gramercy / Flatiron;;;;;;;
Barbuto;Meatpacking District;;;;;;;
Barclay Bar and Grill;Midtown East;;;;;;;
Barna;Murray Hill;;;;;;;
Battery Gardens;Battery Park;;;;;;;
Becco;Theater District;;;;;;;
Big Daddy's;Upper East Side;;;;;;;
Bistecca Fiorentina;Theater District;;;;;;;
Bistro Milano;Midtown West;;;;;;;
Black Duck;Gramercy / Flatiron;;;;;;;
Bobby Van's Grill - 50th Street;Theater District;;;;;;;
Bobby Van's Grill - Broad Street;Financial District;;;;;;;
Bobby Van's Steakhouse - Broad Street;Financial District;;;;;;;
Bocca Restaurant;Gramercy / Flatiron;;;;;;;
Body Restaurant & Lounge;Harlem;;;;;;;
Borgo Antico;Union Square;;;;;;;
Bossa Nova Brazil;Hell's Kitchen;;;;;;;
Boucarou;Lower East Side;;;;;;;
Bourbon Street Bar & Grill;Theater District;;;;;;;
Braai;Hell's Kitchen;;;;;;;
Braeburn Restaurant;West Village;;;;;;;
Brasserie 1605 at the Crowne Plaza Times Square;Times Square;;;;;;;
Brasserie Athenee;Theater District;;;;;;;
Brasserie Ruhlmann;Rockefeller Center Midtown;;;;;;;
Breakfast at Four Seasons Hotel New York;Midtown East;;;;;;;
Bricklane Curry House;East Village;;;;;;;
Butai;Union Square;;;;;;;
Butter;NoHo;;;;;;;
COLORS;NoHo;;;;;;;
COMMERCE;West Village;;;;;;;
Cafe Luxembourg;Lincoln Center;;;;;;;
Cafe Notte;Upper East Side;;;;;;;
Cafe des Artistes;Lincoln Center;;;;;;;
Café Centro;Midtown East;;;;;;;
Cascina;Theater District;;;;;;;
Center Cut;Lincoln Center;;;;;;;
Central Park BoatHouse;Midtown East;;;;;;;
Cesca;Upper West Side;;;;;;;
Charlotte;Theater District;;;;;;;
Chez Lucienne;Harlem;;;;;;;
China 1;Lower East Side;;;;;;;
Chinatown Brasserie;NoHo;;;;;;;
Ciaobella;Upper East Side;;;;;;;
Cinema - The Brasserie;Midtown East;;;;;;;
Ciro Trattoria;Theater District;;;;;;;
City Lobster & Steakhouse;Theater District;;;;;;;
City Winery;West Village;;;;;;;
Club A Steakhouse;Midtown East;;;;;;;
Commodore Grill;Midtown East;;;;;;;
Cooper's Tavern;Midtown West;;;;;;;
Corton;TriBeCa - Downtown;;;;;;;
Crispo;Chelsea;;;;;;;
Da Marino;Theater District;;;;;;;
Dardanel Mediterranean Seafood;Upper East Side;;;;;;;
Del Posto;Meatpacking District;;;;;;;
Dervish Mediterranean Restaurant;Theater District;;;;;;;
Devi;Gramercy / Flatiron;;;;;;;
Dhaba;Midtown East;;;;;;;
Dinosaur Bar B Que;Upper West Side;;;;;;;
Diva;SoHo;;;;;;;
Dizzy's Club Coca Cola;Columbus Circle;;;;;;;
Dopo Teatro - Trattoria;Theater District;;;;;;;
Dos Caminos - Third Avenue;Midtown East;;;;;;;
Double Crown;NoHo;;;;;;;
Duke's - Gramercy Park;Gramercy / Flatiron;;;;;;;
Duke's - Murray Hill;Murray Hill;;;;;;;
Earth NYC;Chelsea;;;;;;;
Elizabeth;NoLita;;;;;;;
Emperor Japanese Tapas Shabu;SoHo;;;;;;;
Esca;Theater District;;;;;;;
Ethos - Manhattan;Gramercy / Flatiron;;;;;;;
Ethos - U.N.;Midtown East;;;;;;;
FORGE;TriBeCa - Downtown;;;;;;;
Faces and Names;Midtown West;;;;;;;
Fig & Olive - Meatpacking;Meatpacking District;;;;;;;
Firebird Russian Restaurant;Theater District;;;;;;;
Fishtail by David Burke;Upper East Side;;;;;;;
Five Points;NoHo;;;;;;;
Fleur de Sel;Gramercy / Flatiron;;;;;;;
Flor de Sol;TriBeCa - Downtown;;;;;;;
Forbidden City Bistro;Middletown, CT;;;;;;;
Fragolino Trattoria;Hell's Kitchen;;;;;;;
Fulton;Upper East Side;;;;;;;
Fusha West;Upper West Side;;;;;;;
Gallagher's Steak House;Theater District;;;;;;;
Garage Restaurant and Cafe;Greenwich Village;;;;;;;
Gente;Midtown East;;;;;;;
Giorgio's of Gramercy;Gramercy / Flatiron;;;;;;;
Gobo - Upper East Side;Upper East Side;;;;;;;
Gonzo;Greenwich Village;;;;;;;
Good Restaurant;West Village;;;;;;;
Gotham Bar and Grill;Union Square;;;;;;;
Gramercy Tavern;Gramercy / Flatiron;;;;;;;
Grand Tier Met Opera;Lincoln Center;;;;;;;
Gyu-Kaku - Mid Town;Midtown East;;;;;;;
Hakata Tonton;West Village;;;;;;;
Hanratty's;Upper East Side;;;;;;;
Haru Sushi - Wall Street;Financial District;;;;;;;
Havana Central at The West End;Upper West Side;;;;;;;
Heartland Brewery Chophouse;Times Square;;;;;;;
Hurley's;Theater District;;;;;;;
Il Buco;NoHo;;;;;;;
Il Corso;Midtown West;;;;;;;
Inakaya;Times Square;;;;;;;
Indochine;NoHo;;;;;;;
Japonais - NYC;Union Square;;;;;;;
Jazz Standard;Gramercy / Flatiron;;;;;;;
Jean Georges;Midtown West;;;;;;;
Johnny Utah's;Rockefeller Center Midtown;;;;;;;
Josephina;Lincoln Center;;;;;;;
Josies East;Murray Hill;;;;;;;
