restaurant;address;addressGoogle;country;neighborhood;type;phone;type_r
Fort Tryon Park Cafe;(914) 923-2233;(914) 923-2233;New York;;;;
Fortuna Valentino;422 W Broadway;422 W Broadway;New York;;;;
Fortune Garden;845 2nd Ave;845 2nd Ave;New York;;;;
Four Brothers Food Inc;1 W 137th St;1 W 137th St;New York;;;;
Four Seasons Banquet Dept;99 E 52nd St;99 E 52nd St;New York;;;;
Foxhounds;320 S End Ave;320 South End Ave;New York;;;;
Francesca Pizzeria & Restaurant;1811 1st Ave;1811 1st Avenue;New York;;;;
Francisco's;159 W 23rd St;159 W 23rd St;New York;;;;
Francos San Remo Itlian;393 8th Ave # 1;393 8th Ave #1;New York;;;;
Franda Restaurant;538 W 207th St;538 W 207th St;New York;;;;
Franklin Station Cafe;222 West Broadway;222 W Broadway;New York;;;;
Franks Restaurant;85 10th Ave;US-NYC-8510;New York;;;;
Franks Trattoria;371 1st Ave;371 1st Avenue;New York;;;;
Fratelli Restaurant;115 Mulberry St;115 Mulberry St;New York;;;;
Frazier Foods Inc;52 Fulton;52 Fulton St;New York;;;;
Frazier Foods West Inc;167 Chambers St;167 Chambers St;New York;;;;
Frederick's Downtown;637 Hudson Street;637 Hudson St;New York;;;;
Freds Restaurant;476 Amsterdam Ave;476 Amsterdam Ave;New York;;;;
Fresco Tortilla Grill;253 8th Ave;253 8th Ave;New York;;;;
Fresco Tortilla Plus;143 Fulton St;143 Fulton St;New York;;;;
Fresco Tortillas;766 9th Ave;766 9th Ave;New York;;;;
Fresco Tortillas Bakery;719 2nd Ave # 1;719 2nd Ave #1;New York;;;;
Fresco Tortillas Inc;980 2nd Ave;980 2nd Ave;New York;;;;
Fresh Basils;663 Lexington Ave # 1;663 Lexington Ave #1;New York;;;;
Fresh Grill Tortilla;411 Amsterdam Ave;411 Amsterdam Ave;New York;;;;
Fresh Tortilla;328 E 14th St # 1;328 E 14th St #1;New York;;;;
Fresh Tortilla Grill;1280 1st Ave;1280 1st Avenue;New York;;;;
Fresh Tortillas;1739 2nd Ave;1739 2nd Ave;New York;;;;
Friars Coffee Shop;303 E 46th St;303 E 46th St;New York;;;;
Friars National Assn Inc;57 E 55th St;57 E 55th St;New York;;;;
Frico Bar;402 W 43rd St;402 W 43rd St;New York;;;;
Frisbee;36 West 46th Street;36 W 46th St;New York;;;;
Frontier Restaurant;593 3rd Ave # 1;593 3rd Ave #1;New York;;;;
Frontiere Restaurant;199 Prince St;199 Prince St;New York;;;;
Frozena Fish And Chips House;116 Hamilton Pl;116 Hamilton Pl;New York;;;;
Fu Chow Restaurant;137 E Broadway;137 E Broadway;New York;;;;
Fu Kee Chinese Restaurant;128 Lafayette St;128 Lafayette St;New York;;;;
Fu On Kitchen;2419 7th Ave;2419 7th Ave;New York;;;;
Fu Wah Restaurants;1407 Amsterdam Avenue;1407 Amsterdam Ave;New York;;;;
Fu Ying Chinese Restaurant;748 E 9th St;748 E 9th St;New York;;;;
Fu Ying Chinese Take Out;811 8th Ave;811 8th Ave;New York;;;;
Fuentes Restaurant;107 Clinton St;107 Clinton St;New York;;;;
Fuji Restaurant;238 W 56th St;238 W 56th St;New York;;;;
Fuji Sushi & Teriyaki;146 E 55th St;146 E 55th St;New York;;;;
Fujii;62 Greenwich Ave;62 Greenwich Ave;New York;;;;
Fujiyama-Mama Restrnt;467 Colmbs Av;467 Columbus Ave;New York;;;;
Full Moon Saloon;735 8th Ave;735 8th Ave;New York;;;;
Fumei;305 E 115th St;305 E 115th St;New York;;;;
Funda Cibaena;605 W 142nd St;605 W 142nd St;New York;;;;
Fung Doo Restaurant;103 E Broadway;103 E Broadway;New York;;;;
Fus House;972 2nd Ave;972 2nd Ave;New York;;;;
G;223 W 19th St;223 W 19th St;New York;;;;
G & B Franks;567 9th Ave;567 9th Ave;New York;;;;
G & J Pizza Restaurants;3340 Broadway;3340 Broadway;New York;;;;
G & W Restaurant;274 W 145th St;274 W 145th St;New York;;;;
G B Shaws;90 Fulton St;90 Fulton St;New York;;;;
Gabari Restaurant;770 Fort Washington Ave;770 Fort Washington Ave;New York;;;;
Gabriela Mexican Restaurant;685 Amsterdam Avenue;685 Amsterdam Ave;New York;;;;
Gaetana's Cucina Italiana;143 Christopher Street;143 Christopher St;New York;;;;
Galaxy Cafe;665 9th Ave # 46;665 9th Ave #46;New York;;;;
Galaxy Deli Restaurant;2244 Broadway;2244 Broadway;New York;;;;
Galicia Restaurant;212 West 14th Street;212 W 14th St;New York;;;;
Galicia Restaurant & Bakery;1506 Saint Nicholas Ave;1506 St Nicholas Ave;New York;;;;
Galil Restaurant Inc;1252 Lexington Ave # 1;1252 Lexington Ave #1;New York;;;;
Galleria Babou Cafe;160 E 56th St;160 E 56th St;New York;;;;
Gammeeok Restaurant;43 W 32nd St # 1;43 W 32nd St #1;New York;;;;
Gan-eden Restaurant;74 W 47th St # 3;74 W 47th St #3;New York;;;;
Gandhi Indian Restaurant;345 E 6th St;345 E 6th St;New York;;;;
Garcia Jose;47 West 47th Street;47 W 47th St;New York;;;;
Garden American Health Bar Inc;49 Ann St;49 Ann St;New York;;;;
Garden Cafe;147 E 60th St;147 E 60th St;New York;;;;
Garden Diner;301 South End Avenue;301 South End Ave;New York;;;;
Garden Tavern Restaurant;407 8th Ave;407 8th Ave;New York;;;;
Gardenia Restaurant;797 Madison Ave;797 Madison Ave;New York;;;;
Garlic Bob's Italian Restaurant & Pizzeria;508 Columbus Ave;508 Columbus Ave;New York;;;;
Garlic Bobs Pizza Bar;1325 3rd Ave;1325 3rd Ave;New York;;;;
Gascogne Restaurant;158 8th Ave # 158;158 8th Ave #158;New York;;;;
Gayoung Inc;53 W 35th St;53 W 35th St;New York;;;;
Gelateria Siracusa;65 4th Ave;65 4th Ave;New York;;;;
Gemelli;4 World Trade Ctr;4 World Trade Center;New York;;;;
Gemini Restaurant;641 2nd Ave # 1;641 2nd Ave #1;New York;;;;
Genes Coffee Shop;26 E 60th St;26 E 60th St;New York;;;;
Genia Deli Coffee Shop Inc;224 Lafayette St;224 Lafayette St;New York;;;;
Genie;69 New St;69 New St;New York;;;;
Genki Sushi;565 5th Ave;565 5th Ave;New York;;;;
Gennaro Restaurant;665 Amsterdam Ave;665 Amsterdam Ave;New York;;;;
Gente;153 E 45th St;153 E 45th St;New York;;;;
George & Ginas Restaurant;169 E 106th St;169 E 106th St;New York;;;;
Georges & Sons;89 Greenwich St;89 Greenwich St;New York;;;;
Gerardis Restaurant;83 Pearl St;83 Pearl St;New York;;;;
Gershwin Cafe;5 E 27th St;5 E 27th St;New York;;;;
Gertrudes;33 E 61st St;33 E 61st St;New York;;;;
Ghenet Restaurant;284 Mulberry St;284 Mulberry St;New York;;;;
Ghion Ethiopian;668 Amsterdam;668 Amsterdam Ave;New York;;;;
Giambelli Fiftieth;46 E 50th St;46 E 50th St;New York;;;;
Giambone Restaurant;42 Mulberry St;42 Mulberry St;New York;;;;
Giggles Restaurant;115 W 40th St;115 W 40th St;New York;;;;
Gin Lane;355 West 14th Street;355 W 14th St;New York;;;;
Gin Mill;442 Amsterdam Ave;442 Amsterdam Ave;New York;;;;
Ginga Chinese Restaurant;370 8th Ave;370 8th Ave;New York;;;;
Gingertoon Corp;417 Bleecker St;417 Bleecker St;New York;;;;
Gingerty Corp;367 Greenwich St;367 Greenwich St;New York;;;;
Ginji Japanese Restaurant;165 Front St;165 Front St;New York;;;;
Gino Corp;81 Catherine St;81 Catherine St;New York;;;;
Gino Restaurant;780 Lexington Ave # 1;780 Lexington Ave #1;New York;;;;
Gino The Italian Cuisine;780 Lexington Ave;780 Lexington Ave;New York;;;;
Ginseng Chinese Restaurant;104 E 125th St;104 E 125th St;New York;;;;
Gioie Restaurant Corp;243 E 53rd St;243 E 53rd St;New York;;;;
Giorgio's Of Gramercy;27 East 21st Street;27 E 21st St;New York;;;;
Giorgios Trattoria;354 E 84th St;354 E 84th St;New York;;;;
Giovanni Restaurants;47 W 55th St;47 W 55th St;New York;;;;
Giovanni's Italian Restaurant & Pizzeria;1011 Columbus Ave;1011 Columbus Ave;New York;;;;
Giovannis Atrium;100 Washington St # 1;100 Washington St #1;New York;;;;
Girasole Restaurant;151 E 82nd St;151 E 82nd St;New York;;;;
Girl From Ipanema;252 W 14th St;252 W 14th St;New York;;;;
Giuliano Gourmet Pizza & Deli;88 Broad St;88 Broad St;New York;;;;
Glatt China Express Inc;1468 2nd Ave;1468 2nd Ave;New York;;;;
Glatt Dynasty;1049 2nd Ave;1049 2nd Ave;New York;;;;
Gli Food Svc;625 8th Ave;625 8th Ave;New York;;;;
Global 33;93 2nd Ave;93 2nd Ave;New York;;;;
Glocca Morra;304 3rd Ave;304 3rd Ave;New York;;;;
Gloria's Restaurant;107 West Broadway;2787 Broadway;New York;;;;
Go Sushi Inc;3 Greenwich Ave;3 Greenwich Ave;New York;;;;
Gold Dish Chinese Latin;1848 2nd Ave;1848 2nd Ave;New York;;;;
Gold Rush Bar & Grill;499 10th Ave;499 10th Ave;New York;;;;
Gold Star Driving Ctr Inc;6 Allen St;6 Allen St;New York;;;;
Gold Vin Cafe;110 William St;110 William St;New York;;;;
Goldbergs Famous Snack Shop;152 W 31st St;152 W 31st St;New York;;;;
Golden Chicken & Ribs;604 9th Ave;604 9th Ave;New York;;;;
Golden China Buffet;227 Lexington Ave;227 Lexington Ave;New York;;;;
Golden Chopstick Chinese Rstnt;77 Pearl St;77 Pearl St;New York;;;;
Golden Chopstick Noodle House;1619 York Ave;1619 York Ave;New York;;;;
Golden City Chinese Restaurant;2545 Amsterdam Ave;2545 Amsterdam Ave;New York;;;;
Golden Dragon Restaurant Of Ny;51 Division St;51 Division St;New York;;;;
Golden Eagle Restaurant Inc;270 W 38th St;270 W 38th St;New York;;;;
Golden Garden;92 3rd Ave;92 3rd Ave;New York;;;;
Golden Group Kitchen;379 1st Ave;379 1st Avenue;New York;;;;
Golden House Restaurant Inc;277 Bleecker St;277 Bleecker St;New York;;;;
Golden Krust Caribbean Bakery;111 E 23rd St;111 E 23rd St;New York;;;;
Golden Malaysian Rest;95 Chrystie St;95 Chrystie St;New York;;;;
Golden Sands Group Ii Inc;355 E 86th St # 1659;355 East 86th St #1659;New York;;;;
Golden Star Restaurant;51 E Broadway;51 E Broadway;New York;;;;
Golden Wok;1667 1st Ave;1667 1st Avenue;New York;;;;
Goldfern Foods Inc;186 5th Ave # 6;186 5th Ave #6;New York;;;;
Good Chinese Restaurant;178 W Houston St;178 W Houston St;New York;;;;
Good Enough To Eat;424 Amsterdam Ave;424 Amsterdam Ave;New York;;;;
Good Fortune Chinese Rstrnt;1156 1st Ave;1156 1st Avenue;New York;;;;
Good Friend Kitchen;587 Lenox Ave;587 Lenox Ave;New York;;;;
Good Health Cafe & Natural Food Gr;324 E 86th St;324 East 86th St;New York;;;;
Good Morning Deli;940 3rd Ave;940 3rd Ave;New York;;;;
Good Morning New York;2 Lafayette St;2 Lafayette St;New York;;;;
Good Noodle Shop;157 E 33rd St # 3;157 E 33rd St #3;New York;;;;
Good Restaurant;89 Greenwich Avenue (between 7th & 8;89 Greenwich Avenue (between 7th & 8;New York;;;;
Good Taste;280 Lenox Ave;280 Lenox Ave;New York;;;;
Good Taste Ii Chinese Rstrnt;1974 2nd Ave # A;1974 2nd Ave A;New York;;;;
Goodfellas Kitchen;91 Christopher St;91 Christopher St;New York;;;;
Googies;237 Sullivan St;237 Sullivan St;New York;;;;
Googies Luncheonette;1491 2nd Ave # 1;1491 2nd Ave #1;New York;;;;
Gourmet Taste;1367 1st Ave;1367 1st Avenue;New York;;;;
Gourmet Wok;597 10th Ave;597 10th Ave;New York;;;;
Govas Bar & Restaurant;94 Greenwich St;94 Greenwich St;New York;;;;
Grace Chinese Restaurant;8 E 37th St;8 E 37th St;New York;;;;
Grace Deli;391 2nd Ave;391 2nd Ave;New York;;;;
Grace Restaurant;114 Franklin St;114 Franklin St;New York;;;;
Graces Trattoria Cafe & Grill;201 E 71st St;201 E 71st St;New York;;;;
Grads Foods Inc;500 8th Ave;500 8th Ave;New York;;;;
Grafi Restrnt;47 E 29th St;47 E 29th St;New York;;;;
Gramercy Restaurant;184 3rd Ave;184 3rd Ave;New York;;;;
Grand Center Inc;202 Centre St;202 Centre St;New York;;;;
Grand Saloon;158 E 23rd St;158 E 23rd St;New York;;;;
Grand Sea Palace Restaurant;346 W 46th St;346 W 46th St;New York;;;;
Grand Ticino Restaurant;228 Thompson St;228 Thompson St;New York;;;;
Grand Tier Restaurant;1 Lincoln Center Plz;1 Lincoln Center Plaza;New York;;;;
Grange Hall;50 Commerce St;50 Commerce St;New York;;;;
Grannys Kitchen;110 Saint Marks Pl;110 St Marks Pl;New York;;;;
Grat City;1680 1st Ave # 1;1680 1st Avenue #1;New York;;;;
Gray Papaya;402 6th Ave;402 6th Ave;New York;;;;
Grays Papaya;2090 Broadway # 1;2090 Broadway #1;New York;;;;
Graziella Ristorante;41 Greenwich Ave;41 Greenwich Ave;New York;;;;
Great American Health Bar;35 W 57th St;35 W 57th St;New York;;;;
Great Eastern Restaurant;2085 Lexington Ave;2085 Lex;New York;;;;
Great Health Bar Kosher Pizza;Pizzeria;Pizzeria;New York;;;;
Great India Restaurant;1586 2nd Ave # 5086;1586 2nd Ave #5086;New York;;;;
Great Shang Hai Restrnts;27 Division St;27 Division St;New York;;;;
Great Steak & Fry Co;901 Ave Of The Americas # 7;901 6th Ave #7;New York;;;;
Great Wall;1631 Lexington Ave;1631 Lexington Ave;New York;;;;
Great Wall Chinese Food Corp;800 W 181st St;800 W 181st St;New York;;;;
Great Wall Kitchen;2238 7th Ave;2238 7th Ave;New York;;;;
Great Wall On Wall;88 Fulton St;88 Fulton St;New York;;;;
Great Wall Restaurant;1588 Amsterdam Ave;1588 Amsterdam Ave;New York;;;;
Great Wall The;920 Columbus Ave;920 Columbus Ave;New York;;;;
Great World Chinese Restaurant;239 9th Ave;239 9th Ave;New York;;;;
Greek Corner;322 7th Ave;322 7th Ave;New York;;;;
Greeks Coffee Shop;347 Madison Ave;347 Madison Ave;New York;;;;
Green Garden Chinese Restaurant;174 Lexington Ave;174 Lexington Ave;New York;;;;
Green Grocer;30 Rockefeller Plz # Conc13;30 Rockefeller Plaza;New York;;;;
Green House;37 E 29th St;37 E 29th St;New York;;;;
Green House 36;341 W. 36th Street;341 W 36th St;New York;;;;
Green Jade Chinese Restaurant;19 Saint Nicholas Ave;19-25 St Nicholas Ave;New York;;;;
Green Park Restaurant;22 E 29thst Lbbby;22 E 29th St;New York;;;;
Greentree Cafe Restaurant;350 W 14th St;350 W 14th St;New York;;;;
Greenwich 103;103 Greenwich Ave;103 Greenwich Ave;New York;;;;
Greenwich Cafe;75 Greenwich Ave;75 Greenwich Ave;New York;;;;
Greenwich Pizza & Brewing Co;418 Avenue Of The Americas;418 6th Ave;New York;;;;
Grifone Restaurant Corp;244 E 46th St;244 E 46th St;New York;;;;
Grill 53;111 W 53rd St;111 W 53rd St;New York;;;;
Grill Cheese CO;168 Ludlow Street;168 Ludlow St;New York;;;;
Grill On The Corner;327 Greenwich St;327 Greenwich St;New York;;;;
Grill Room;2 World Financial Ctr;2 World Financial Ctr;New York;;;;
Grotto Pizzeria & Restaurant Inc;69 New St;69 New St;New York;;;;
Grove Street Cafe;53 Grove St;53 Grove St;New York;;;;
Gubbio;223 W Broadway;223 W Broadway;New York;;;;
Gulshan Restaurant;326 East 6th Street;326 E 6th St;New York;;;;
Guo's Garden;1685 First Ave.;1685 1st Avenue;New York;;;;
Guru Foods & Snowballs;371 Lafayette St;371 Lafayette St;New York;;;;
Gus Place;149 Waverly Place;149 Waverly Pl;New York;;;;
Gus's Figs Bistro & Bar;250 West 27th Street;250 W 27th St;New York;;;;
Gusmack Restaurant Corp;750 8th Ave;750 8th Ave;New York;;;;
Gypsy Caravan;146 W 34th St;146 W 34th St;New York;;;;
Gyro Cart;1 Penn Plz;1 Pennsylvania Plaza;New York;;;;
Gyro Ii;427 7th Ave;427 7th Ave;New York;;;;
H & J Giant Fried Chicken;189 Church St;189 Church St;New York;;;;
H K Inc;125 W 43rd St;125 W 43rd St;New York;;;;
H2O Bar & Grill;15 Water Side Plaza;15 Waterside Plaza;New York;;;;
HK Restaurant;523 9th Avenue;523 9th Ave;New York;;;;
Ha Hava;81 Saint Marks Pl;81 St Marks Pl;New York;;;;
Hadleighs;1900 Broadway # 1;1900 Broadway #1;New York;;;;
Haikara Grill;1016 2nd Ave;1016 2nd Ave;New York;;;;
Hakata Grill;230 W 48th St;230 W 48th St;New York;;;;
Hakata Japanese Restaurant;37 E 60th St;37 E 60th St;New York;;;;
Halal Restaurant;2127 2nd Ave;2127 2nd Ave;New York;;;;
Hale Hearty Soups;55 W 56th St;55 W 56th St;New York;;;;
Hamaya Inc;152 E 46th St;152 E 46th St;New York;;;;
Hamburger Harrys;145 W 45th St;145 W 45th St;New York;;;;
Hamid Tariq;540 9th Ave;540 9th Ave;New York;;;;
Han-sung Garden Restaurant;42 W 35th St;42 W 35th St;New York;;;;
Hana Restauarant;675 9th Ave;675 9th Ave;New York;;;;
Hanami Restaurant;213 E 45th St;213 E 45th St;New York;;;;
Hanbat Restaurant;53 W 35th St;53 W 35th St;New York;;;;
Hang Cheng Restaurant;1703 Lexington Ave;1703 Lexington Ave;New York;;;;
Hang Lee Chinese Restaurant;666 W 204th St # 1;666 W 204th St #1;New York;;;;
Hannas Kitchen Inc;524 W 36th St;524 W 36th St;New York;;;;
Hao Cheng Chinese Restaurant;130 9th Ave;130 9th Ave;New York;;;;
Hao Tong Chinese Restaurant;493 2nd Ave;493 2nd Ave;New York;;;;
Happy Burger Ii Inc;2489 Broadway 92 St;2489 Broadway;New York;;;;
Happy Face Chinese & Mexican Restaurant;216 3rd Avenue Frnt;216 3rd Ave;New York;;;;
Happy Family;500 W 43rd St;500 W 43rd St;New York;;;;
Happy Garden;301 Pleasant Ave;301 Pleasant Ave;New York;;;;
Happy Garden Chinese Restrnt;1514 Madison Ave;1514 Madison Ave;New York;;;;
Happy Joy Kitchen;760 10th Ave;760 10th Ave;New York;;;;
Happy Joy Restaurant;25 Canal St;25 Canal St;New York;;;;
Happy Taco;1167 2nd Ave;1167 2nd Ave;New York;;;;
Happy Wok Restaurant;158 Delancey St;158 Delancey St;New York;;;;
Happy World Restaurant;1309 Saint Nicholas Ave;1309 St Nicholas Ave;New York;;;;
Harbour Lights;89 South St # 17;89 South St #17;New York;;;;
Hard Rock Cafe;221 W 57th St # 2;221 W 57th St #2;New York;;;;
Harglos Cafe Restaurant Bar;974 2nd Ave;974 2nd Ave;New York;;;;
Harlem Fried Chicken;341 Lenox Ave;341 Lenox Ave;New York;;;;
Harley Davidson Cafe;1370 Avenue Of The Americas;1370 6th Ave;New York;;;;
Harmony Palace Restaurant;94 Mott St;94 Mott St;New York;;;;
Harp Bar & Restaurant;132 W 32nd St;132 W 32nd St;New York;;;;
Harries Coffee Shop;1407 Broadway;1407 Broadway;New York;;;;
Harry International Inc;1193 1st Ave;1193 1st Avenue;New York;;;;
Harrys At Hanover Square;1 Hanover Sq;1 Hanover Square;New York;;;;
Harrys At Woolworth Bldg;233 Broadway;233 Broadway;New York;;;;
Harrys Burritos;76 W 3rd St;76 W 3rd St;New York;;;;
Haru Food Svc;433 Amsterdam Ave;433 Amsterdam Ave;New York;;;;
Haru Restaurant Inc;165 W 72nd St;165 W 72nd St;New York;;;;
Haruko Restaurant Inc;519 3rd Ave;519 3rd Ave;New York;;;;
Hasaki Restaurant;210 E 9th St;210 E 9th St;New York;;;;
Hasta La Pasta Restaurant;418 Avenue Of The Americas;418 6th Ave;New York;;;;
Hat Restaurant;108 Stanton St;108 Stanton St;New York;;;;
Hatsuhana Restaurant Inc;17 E 48th St # 3;17 E 48th St #3;New York;;;;
Hatsune Inc;401 E 73rd St;401 E 73rd St;New York;;;;
Haveli Restaurant Inc;100 2nd Ave;100 2nd Ave;New York;;;;
Hawaii Sushi;1477 2nd Avenue Between 76th & 77th;1477 2nd Avenue Between 76th & 77th;New York;;;;
Hay Wun Loy Restaurant;28 Pell St;28 Pell St;New York;;;;
Health Stop;700 3rd Ave;700 3rd Ave;New York;;;;
Health Youth Foods;102 8th Ave;102 8th Ave;New York;;;;
Healthy Bagel & Things Inc;1355 2nd Ave;1355 2nd Ave;New York;;;;
Healthy Choice Gourmet Deli Pizza;341 7th Ave;341 7th Ave;New York;;;;
Heartland Brewery And Restaurants;35 Union Sq W;35 Union Square W;New York;;;;
Heartland Brewery Radio City;1285 6th Avenue at 51 St.;1285 6th Ave;New York;;;;
Hectors Place Restaurant;44 Little West 12th St;44 Little W 12th St;New York;;;;
Heidelberg Restaurant;1648 2nd Ave;1648 2nd Ave;New York;;;;
Heights Bar & Grill;2867 Broadway;2867 Broadway;New York;;;;
Heights Restaurant;654 W 181st St;654 W 181st St;New York;;;;
Helenas;432 Lafayette St;432 Lafayette St;New York;;;;
Helianthus Inc;48 Macdougal St;48 MacDougal St;New York;;;;
Helmsley Enterprises Inc;60 E 42nd St # 53;60 E 42nd St #53;New York;;;;
Heng Da Express Kitchen Inc;61 Reade St;61 Reade St;New York;;;;
Henry's;Broadway @ 105st.;Broadway & W 105th St;New York;;;;
Henry's Evergreen;1288 1 Ave;1288 1st Avenue;New York;;;;
Herban Kitchen;290 Hudson Street;290 Hudson St;New York;;;;
Heroes Plus;5 W 46th St;5 W 46th St;New York;;;;
Heroic Sandwich Inc;36 E 4th St;36 E 4th St;New York;;;;
Hi Life Bar & Grill;477 Amsterdam Ave;477 Amsterdam Ave;New York;;;;
Hi Life Restaurant & Lounge;1340 1st Ave;1340 1st Avenue;New York;;;;
Hickory Foods Inc;205 W 29th St;205 W 29th St;New York;;;;
Highlands Cafe Restaurant;1505 3rd Ave;1505 3rd Ave;New York;;;;
Hilton;1335 Avenue Of The Americas;1335 6th Ave;New York;;;;
Hing Lung Restaurant;108 W 145th St;108 W 145th St;New York;;;;
Hing Shing Seafood Store;67 Eldridge St;67 Eldridge St;New York;;;;
Hing Wong House Inc;271 Grand St;271 Grand St;New York;;;;
Hispanic American Restaurant;351 E 13th St # 313;351 E 13th St #313;New York;;;;
Hizen Japanese Restaurant;203 E 45th St;203 E 45th St;New York;;;;
Ho Ban Restaurant;34 W 35th St;34 W 35th St;New York;;;;
Ho Lee Restaurant;2493 7th Ave;2493 7th Ave;New York;;;;
Ho Wong Coffee House;146 Hester St;146 Hester St;New York;;;;
Ho Yip Restaurant;189 Broadway;189 Broadway;New York;;;;
Hoboken Ferry;162 11th Ave;162 11th Ave;New York;;;;
Hog Pit;22 9th Ave;22 9th Ave;New York;;;;
Hoihow Lunch Corp;108 Saint Nicholas Ave;108 St Nicholas Ave;New York;;;;
Hok Corp;913 2nd Ave;913 2nd Ave;New York;;;;
Hole In One Restaurant;1003 2nd Ave;1003 2nd Ave;New York;;;;
Holiday Cocktail Lng & Restaurant;75 Saint Marks Pl;75 St Marks Pl;New York;;;;
Holidays;333 W 57th St;333 W 57th St;New York;;;;
Home Front Inc;236 W 54th St;236 W 54th St;New York;;;;
Home Restaurant;20 Cornelia St;20 Cornelia St;New York;;;;
Homer Restaurant;121 W 10th St;121 W 10th St;New York;;;;
Homes Kitchen;22 E 21st St # 1;22 E 21st St #1;New York;;;;
Hometowen Buffet;Buffet;Buffet;New York;;;;
Honey Bee Cafe;71 W 55th St # 1;71 W 55th St #1;New York;;;;
Hong Am Restaurant;3668 Broadway;3668 Broadway;New York;;;;
Hong Cheong Kitchen;2393 8th Ave;2393 Frederick Douglass Blvd;New York;;;;
Hong Fat Restaurant;1799 Lexington Ave;1799 Lexington Ave;New York;;;;
Hong Kong Kitchen;62 Bleecker St;62 Bleecker St;New York;;;;
Hong Kong Noodle Inc;288 8th Ave;288 8th Ave;New York;;;;
Hong Kong Restaurant;2262 8th Ave # Main;2262 Frederick Douglass Blvd;New York;;;;
Hong On;28 Market St;28 Market St;New York;;;;
Hong Win;4 E 28th St;4 E 28th St;New York;;;;
Hong Ying Rice Shop;11 Mott St;11 Mott St;New York;;;;
Honmura An Inc;170 Mercer St;170 Mercer St;New York;;;;
Honolulu Steamshop Co;270 W 45th St;270 W 45th St;New York;;;;
Hooters Restaurant;211 W 56th St;211 W 56th St;New York;;;;
Hop Fat Chinese Restaurant;175 Avenue C;175 Loisaida Ave;New York;;;;
Hop Kee Restaurant;21 Mott St;21 Mott St;New York;;;;
Hop Won Restaurant;139 E 45th St;139 E 45th St;New York;;;;
Hoppin Jalapenos Bar & Grill;597 W 207th St;597 W 207th St;New York;;;;
Horus Kebab House;93 Avenue B (6th Street);93 Avenue B (6th Street);New York;;;;
Horus Lounge II;510 La Guardia Place;510 LaGuardia Pl;New York;;;;
Hos Kitchen;793 6th Ave;793 6th Ave;New York;;;;
Hos Wok Restaurant;455 Hudson St;455 Hudson St;New York;;;;
Hosteria Florella Italian Seafd;Italian;Little Italy;New York;;;;
Hot & Crusty Bagel Cafe;1707 Broadway;1707 Broadway;New York;;;;
Hot & Tasty Corp;509 3rd Ave # 34;509 3rd Ave #34;New York;;;;
Hot Tomato;676 6th Ave;676 6th Ave;New York;;;;
Hotel Parker Meridien;118 W 57th St;118 W 57th St;New York;;;;
Houlihan's - Riese Restaurant;1900 Broadway Lbby;1900 Broadway;New York;;;;
Houlihans;196 Broadway;196 Broadway;New York;;;;
Hour Glass Tavern;373 W 46th St;373 W 46th St;New York;;;;
House Of Pita;32 W 48th St;32 W 48th St;New York;;;;
House Of Seafood;2349 8th Ave Corner 126th St;2349 Frederick Douglass Blvd;New York;;;;
Houstons Restaurant;53 East 53rd Street;53W53;New York;;;;
Howard Johnson Restaurants;1551 Broadway;1551 Broadway;New York;;;;
Hsf Restaurant;46 Bowery;46 Bowery;New York;;;;
Hsin Yu Restaurant;862 2nd Ave;862 2nd Ave;New York;;;;
Hudson Bar And Books;636 Hudson St;636 Hudson St;New York;;;;
Hudson Caterers Cafe;145 Hudson St # 1;145 Hudson St #1;New York;;;;
Hudson River Club;250 Vesey St;250 Vesey St;New York;;;;
Hudson Variety;350 Hudson St;350 Hudson St;New York;;;;
Hudson View Restaurant;3362 Broadway;3362 Broadway;New York;;;;
Hudsons Place;538 3rd Ave;538 3rd Ave;New York;;;;
Hudsons Square Food Court;333 Hudson St;333 Hudson St;New York;;;;
Hughes Bar & Restaurant;1682 1st Ave;1682 1st Avenue;New York;;;;
Hunan 5th;323 5th Ave;323 5th Ave;New York;;;;
Hunan Balcony;2596 Broadway;2596 Broadway;New York;;;;
Hunan Balcony Gourment;1417 2nd Ave # 1;1417 2nd Ave #1;New York;;;;
Hunan Chef;360 W 46th St;360 W 46th St;New York;;;;
Hunan City Chinese Restaurant;343 2nd Ave;343 2nd Ave;New York;;;;
Hunan Delight;1469 York Ave;1469 York Ave;New York;;;;
Hunan Delight Ii;1074 2nd Ave # 1;1074 2nd Ave #1;New York;;;;
Hunan East;308 3rd Ave # 1;308 3rd Ave #1;New York;;;;
Hunan Garden Restaurant;1 Mott St;1 Mott St;New York;;;;
Hunan Inn Inc;857 9th Ave;857 9th Ave;New York;;;;
Hunan K Restaurant;1612 3rd Ave;1612 3rd Ave;New York;;;;
Hunan Lake Restaurant;399 E 23rd St # 1;399 E 23rd St #1;New York;;;;
Hunan Pan Restaurant;550 Hudson St;550 Hudson St;New York;;;;
Hunan Park Restaurant;235 Columbus Ave;235 Columbus Ave;New York;;;;
Hunan Wok Jimmys House;340 3rd Ave;340 3rd Ave;New York;;;;
Hung Cuong Seafood Inc;17 Catherine St # B;17 Catherine St B;New York;;;;
Hung Hing Coffee Shop;246 Grand St;246 Grand St;New York;;;;
Hung Sun Noodle Shop Inc;115 Mott St;115 Mott St;New York;;;;
Hunters;1387 3rd Ave;1387 3rd Ave;New York;;;;
