0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_addressGoogle;1_country;1_neighborhood;1_type;1_phone;1_type_r
Brasserie 52;Midtown West;772 Ninth Ave btwn 51st and 52nd Sts;772 Ninth Ave btwn 51st and 52nd Sts;;;;;;Brasserie 52; 772 Ninth Ave-between 51st and 52nd Sts;772 9th Ave;New York;Midtown West;French;(212-586-5005);
Brasserie Ruhlmann;Midtown West;;;;;;;;Brasserie Ruhlmann; 45 Rockefeller Plaza-between 50th and 51st Sts;45 Rockefeller Plaza;New York;Midtown West;French;(212-974-2020);
Bravo Gianni;Upper East Side;;;;;;;;Bravo Gianni; 230 E 63rd St-between Second and Third Aves;230 E 63rd St;New York;Upper East Side;Italian;(212-752-7272);
Bread Tribeca;Tribeca;;;;;;;;Bread Tribeca; 301 Church St-between Walker and White Sts;301 Church St;New York;Tribeca;Italian;(212-334-8282);
Bricco;Midtown West;;;;;;;;Bricco; 304 W 56th St-between Eighth and Ninth Aves;304 W 56th St;New York;Midtown West;Italian;(212-245-7160);
Brick Lane Curry House;East Village;;;;;;;;Brick Lane Curry House; 306–308 E 6th St-between First and Second Aves;306-308 E 6th St;New York;East Village;Indian;(212-979-2900);
Brio;Upper East Side;;;;;;;;Brio; 786 Lexington Ave-between 61st and 62nd Sts;786 Lexington Ave;New York;Upper East Side;Italian;(212-980-2300);
Bruno Jamais Restaurant Club;Upper East Side;;;;;;;;Bruno Jamais Restaurant Club; 24 E 81st St-at Madison Ave;24 E 81st St;New York;Upper East Side;French;(212-396-3444);
Bruschetteria;Lower East Side;;;;;;;;Bruschetteria; 92 Rivington St-between Ludlow and Orchard Sts;92 Rivington St;New York;Lower East Side;Cafés;(646-415-8681);
Bubby’s;Tribeca;;;;;;;;Bubby’s; 120 Hudson St-at North Moore St;120 Hudson St;New York;Tribeca;American;(212-219-0666);
Bull & Bear;Midtown East;;;;;;;;Bull & Bear;Waldorf=Astoria -570 Lexington Aveat 49th St;;New York;Midtown East;Steakhouses;(212-872-4900);
Bun;Soho;;;;;;;;Bun; 143 Grand St-at Lafayette St;143 Grand St;New York;Soho;Vietnamese;(212-431-7999);
Butcher Bay;East Village;511 E 5th St btwn Avenues A and B;511 E 5th St btwn Avenues A and B;;;;;;Butcher Bay; 511E 5th St-between Aves A and B;511E 5th St;New York;East Village;American Regional;(212-260-1333);
Buzina Pop;Upper East Side;;;;;;;;Buzina Pop; 1022A Lexington Ave-at 73rd St;1022A Lexington Ave;New York;Upper East Side;Brazilian;(212-879-6190);
Byblos;Midtown East;;;;;;;;Byblos; 200 E 39th St-at Third Ave;200 E 39th St;New York;Midtown East;Middle Eastern;(212-687-0808);
Cabo Rojo;Chelsea;;;;;;;;Cabo Rojo; 254 Tenth Ave-between 24th and 25th Sts;254 10th Ave;New York;Chelsea;Caribbean: Puerto Rican;(212-929-9752);
Cacio e Vino;East Village;;;;;;;;Cacio e Vino; 80 Second Ave-between 4th and 5th Sts;80 2nd Ave;New York;East Village;Italian;(212-228-3269);
Cafe Edison;Midtown West;;;;;;;;Cafe Edison;Hotel Edison -228 W 47th Stbetween Broadway and Eighth Ave;;New York;Midtown West;American;(212-840-5000);
Cafetasia;Greenwich Village;;;;;;;;Cafetasia; 38 E 8th St-between Greene St and University Pl;38 E 8th St;New York;Greenwich Village;Asian: Pan-Asian;(212-529-2363);
Café Condesa;West Village;;;;;;;;Café Condesa; 183 W 10th St-at W 4th St;183 W 10th St;New York;West Village;American Creative;(212-352-0050);
Café Grumpy;Chelsea;;;;;;;;Café Grumpy; 224 W 20th St-between Seventh and Eighth Aves;224 W 20th St;New York;Chelsea;Cafés & diners;(212-255-5511);
Café Loup;West Village;;;;;;;;Café Loup;105 W 13th St.;105 W 13th St;New York;West Village;;;
Café Luxembourg;Upper West Side;;;;;;;;Café Luxembourg; 200 W 70th St-between Amsterdam and West End Aves;200 W 70th St;New York;Upper West Side;French;(212-873-7411);
Café Noir;Soho;;;;;;;;Café Noir; 32 Grand St-at Thompson St;32 Grand St;New York;Soho;Mediterranean;(212-431-7910);
Café Select;Soho;;;;;;;;Café Select; 212 Lafayette St-between Broome and Spring Sts;212 Lafayette St;New York;Soho;Eclectic;(212-925-9322);
Café d'Alsace;Upper East Side;;;;;;;;Café d'Alsace; 1695 Second Ave-at 88th St;1695 2nd Ave;New York;Upper East Side;French;(212-722-5133);
Café de Bruxelles;West Village;;;;;;;;Café de Bruxelles; 118 Greenwich Ave-at 13th St;118 Greenwich Ave;New York;West Village;Belgian;(212-206-1830);
Café des Artistes;Upper West Side;;;;;;;;Café des Artistes; 1 W 67th St-between Central Park West and Columbus Ave;1 W 67th St;New York;Upper West Side;French;(212-877-3500);
Café du Soleil;Upper West Side;;;;;;;;Café du Soleil; 2723 Broadway-between 104th and 105th Sts;2723 Broadway;New York;Upper West Side;French;(212-316-5000);
Calexico;Soho;;;;;;;;Calexico; Wooster St-at Prince St;Wooster St;New York;Soho;Mexican;;
Campo;Upper West Side;;;;;;;;Campo; 2888 Broadway-between 112th and 113th Sts;2888 Broadway;New York;Upper West Side;Italian;(212-864-1143);
Capsouto Frères;Tribeca;;;;;;;;Capsouto Frères; 451 Washington St-at Watts St;451 Washington St;New York;Tribeca;French;(212-966-4900);
Casa Adela;East Village;;;;;;;;Casa Adela; 66 Ave C-between 4th and 5th Sts;66 Loisaida Ave;New York;East Village;Caribbean: Puerto Rican;(212-473-1882);
Casa Havana;Chelsea;;;;;;;;Casa Havana; 188 Eighth Ave-between 19th and 20th Sts;188 8th Ave;New York;Chelsea;Caribbean: Cuban;(212-243-9421);
Casanis;Lower East Side;;;;;;;;Casanis; 81 Ludlow St-at Broome St;81 Ludlow St;New York;Lower East Side;French;(212-677-9383);
Cascina;Midtown West;;;;;;;;Cascina; 647 Ninth Ave-between 45th and 46th Sts;647 9th Ave;New York;Midtown West;Italian;(212-245-4422);
Caviar Russe;Midtown East;;;;;;;;Caviar Russe; 538 Madison Ave-between 54th and 55th Sts;538 Madison Ave;New York;Midtown East;Russian;(212-980-5908);
Centolire;Upper East Side;;;;;;;;Centolire; 1167 Madison Ave-between 85th and 86th Sts;1167 Madison Ave;New York;Upper East Side;Italian;(212-734-7711);
Centrico;Tribeca;;;;;;;;Centrico; 211 West Broadway-at Franklin St;211 W Broadway;New York;Tribeca;Latin American;(212-431-0700);
Centro Vinoteca;West Village;;;;;;;;Centro Vinoteca; 74 Seventh Ave South-at Barrow St;74 7th Ave S;New York;West Village;Italian;(212-367-7470);
Chez Josephine;Midtown West;;;;;;;;Chez Josephine; 414 W 42nd St-between Ninth and Tenth Aves;414 W 42nd St;New York;Midtown West;French;(212-594-1925);
Chickpea;East Village;;;;;;;;Chickpea; 23 Third Ave-at St. Mark?s Pl;23 3rd Ave;New York;East Village;Kosher;(212-254-9500);
ChikaLicious;East Village;;;;;;;;ChikaLicious; 203 E 10th St-between First and Second Aves;203 E 10th St;New York;East Village;Cafés & diners;(212-995-9511);
China 1;East Village;;;;;;;;China 1; 50 Ave B-between 3rd and 4th Sts;50 Avenue B;New York;East Village;Chinese;(212-375-0665);
Choga;Greenwich Village;;;;;;;;Choga;145 Bleecker St -between La Guardia Pl and Thompson Stsecond floor;;New York;Greenwich Village;Korean;(212-598-5946);
Churrascaria Plataforma;Midtown West;316 W 49th Street;316 W 49th St;New York;NY;;$$$;South American;Churrascaria Plataforma;Belvedere Hotel -316 W 49th Stbetween Eighth and Ninth Aves;;New York;Midtown West;Brazilian;(212-245-0505);
Churrascaria Tribeca;Tribeca;;;;;;;;Churrascaria Tribeca; 221 W Broadway-between Franklin and White Sts;221 W Broadway;New York;Tribeca;Brazilian;(212-925-6969);
Cipriani Le Specialita;Midtown East;;;;;;;;Cipriani Le Specialita;110 E 42nd St-Btwn Lexington & Park Ave;110 E 42nd St;New York;Midtown East;;(212-557-5088);Italian
City Crab & Seafood Company;Gramercy / Flatiron;;;;;;;;City Crab & Seafood Company;235 Park Ave South;235 Park Ave S;New York;Gramercy/Flatiron;;(212-529-3800);Seafood
Co.;Chelsea;230 9th Ave btwn 24th and 25th Sts;230 9th Ave btwn 24th and 25th Sts;;;;;;Co.; 230 Ninth Ave-at 24th St;230 9th Ave;New York;Chelsea;Italian;(212-243-1105);
Col Legno;East Village;;;;;;;;Col Legno; 231 E 9th St-between Second and Third Aves;231 E 9th St;New York;East Village;Italian;(212-777-4650);
Commerce;West Village;;;;;;;;Commerce; 50 Commerce St-at Barrow St;50 Commerce St;New York;West Village;American;(212-524-2301);
Cong Ly;Lower East Side;;;;;;;;Cong Ly; 124 Hester St-at Chrystie St;124 Hester St;New York;Lower East Side;Vietnamese;(212-343-1111);
Congee;Lower East Side;;;;;;;;Congee; 98 Bowery-between Grand and Hester Sts;98 Bowery;New York;Lower East Side;Chinese;(212-965-5028);
Corio;Soho;;;;;;;;Corio; 337A West Broadway-at Grand St;337 W Broadway;New York;Soho;Mediterranean;(212-966-3901);
Corton;Tribeca;;;;;;;;Corton; 239 West Broadway-between Walker and White Sts;239 W Broadway;New York;Tribeca;French;(212-219-2777);
Country Café;Soho;;;;;;;;Country Café; 69 Thompson St-between Broome and Spring Sts;69 Thompson St;New York;Soho;French;(212-966-5417);
Crave Ceviche Bar;Midtown East;;;;;;;;Crave Ceviche Bar; 946 Second Ave-between 50thand 51st Sts;946 2nd Ave;New York;Midtown East;Peruvian;(212-355-6565);
Crif Dogs;East Village;;;;;;;;Crif Dogs; 113 St. Marks Pl-between First Ave and Ave A;113 St Marks Pl;New York;East Village;American;(212-614-2728);
Curly's Vegetarian Lunch;East Village;;;;;;;;Curly's Vegetarian Lunch;328 E 14th St-Btwn 1st & 2nd Ave;328 E 14th St;New York;East Village;;(212-598-9998);Vegetarian & Organic
Curry-Ya;East Village;214 East 10th St btwn 1st and 2nd Aves;214 East 10th St btwn 1st and 2nd Aves;;;;;;Curry-Ya; 214 E 10th St-between First and Second Aves;214 E 10th St;New York;East Village;Japanese;(866-602-8779);
DB Bistro Moderne;Midtown West;;;;;;;;DB Bistro Moderne; 55 W 44th St-between Fifth and Sixth Aves;55 W 44th St;New York;Midtown West;French;(212-391-2400);
Danku;Midtown West;;;;;;;;Danku; 47 W 57th St-between Fifth and Sixth Aves;47 W 57th St;New York;Midtown West;Eclectic;(212-888-3777);
Darbar;Midtown East;;;;;;;;Darbar; 152 E 46th St-between Lexington and Third Aves;152 E 46th St;New York;Midtown East;Indian;(212-681-4500);
Darbar Grill;Midtown East;;;;;;;;Darbar Grill; 157 E 55th St-between Lexington and Third Aves;157 E 55th St;New York;Midtown East;Indian;(212-751-4600);
De Santos;Greenwich Village;139 W 10th St btwn 5th and 6th Aves;6th Ave;;;;;;De Santos; 139 W 10th St-between Greenwich Ave and Waverly Pl;139 W 10th St;New York;Greenwich Village;Italian;(212-206-9229);
Degustation Wine & Tasting Bar;East Village;;;;;;;;Degustation Wine & Tasting Bar;239 E 5th St.;239 E 5th St;New York;East Village;;;
Delicia Brazil;West Village;;;;;;;;Delicia Brazil; 322 W 11th St-at Hudson St;322 W 11th St;New York;West Village;Brazilian;(212-242-2002);
Dennis Foy;Tribeca;;;;;;;;Dennis Foy; 313 Church St-between Lispenard and Walker Sts;313 Church St;New York;Tribeca;American;(212-625-1007);
Diablo Royale;West Village;;;;;;;;Diablo Royale; 189 W 10th Street-between W 4th and Bleecker;189 W 10th St;New York;West Village;Mexican;(212-620-0223);
Dirt Candy;East Village;;;;;;;;Dirt Candy; 430 E 9th St-between First Ave and Ave A;430 E 9th St;New York;East Village;Vegetarian & Organic;(212-228-7732);
District;Midtown West;;;;;;;;District;The Muse -130 W 46th Stbetween Sixth and Seventh Aves;;New York;Midtown West;American;(212-485-2999);
DoSirak;Greenwich Village;30 E 13th St btwn Fifth Ave and...;30 E 13th St;;;;;;DoSirak; 30 E 13th St-between Fifth Ave and University Pl;30 E 13th St;New York;Greenwich Village;Korean;(646-336-1685);
Docks Oyster Bar & Seafood Grill;Upper West Side;;;;;;;;Docks Oyster Bar & Seafood Grill; 2427 Broadway-between 89th and 90th Sts;2427 Broadway;New York;Upper West Side;Seafood;(212-724-5588);
Dok Suni's;East Village;;;;;;;;Dok Suni's;119 First Ave.;119 1st Avenue;New York;East Village;;;
Donut Pub;Chelsea;;;;;;;;Donut Pub; 203 W 14th St-at Seventh Ave;203 W 14th St;New York;Chelsea;Cafés & diners;(212-929-0126);
Double Crown;East Village;;;;;;;;Double Crown; 316 Bowery-at Bleecker St;316 Bowery;New York;East Village;Australian & New Zealand;(212-254-0350);
Dovetail;Upper West Side;;;;;;;;Dovetail; 103 W 77th St-at Columbus Ave;103 W 77th St;New York;Upper West Side;American;(212-362-3800);
Downtown Cipriani;Soho;;;;;;;;Downtown Cipriani; 376 West Broadway-between Broome and Spring Sts;376 W Broadway;New York;Soho;Italian;(212-343-0999);
Druids;Midtown West;;;;;;;;Druids; 736 Tenth Ave-between 50th and 51st Sts;736 Amsterdam Ave;New York;Midtown West;American;(212-307-6410);
Dumpling Man;East Village;;;;;;;;Dumpling Man; 100 St Marks Pl-between First Ave and Ave A;100 St Marks Pl;New York;East Village;Asian: Pan-Asian;(212-505-2121);
EN Japanese Brasserie;West Village;;;;;;;;EN Japanese Brasserie; 435 Hudson St-at Leroy St;435 Hudson St;New York;West Village;Japanese;(212-647-9196);
East of Eighth;Chelsea;;;;;;;;East of Eighth; 254 W 23rd St-between Seventh and Eighth Aves;254 W 23rd St;New York;Chelsea;American;(212-352-0075);
Eat-pisode;Lower East Side;;;;;;;;Eat-pisode; 123 Ludlow St-between Delancey and Rivington Sts;123 Ludlow St;New York;Lower East Side;Thai;(212-677-7624);
Edward's;Tribeca;;;;;;;;Edward's;136 W Broadway-Btwn Thomas & Duane St;136 W Broadway;New York;Tribeca;;(212-233-6436);American
El Centro;Midtown West;;;;;;;;El Centro; 824 Ninth Ave-at 54th St;824 9th Ave;New York;Midtown West;Mexican;(646-763-6585);
El Cocotero;Chelsea;;;;;;;;El Cocotero; 228 W 18th St-between Seventh and Eighth Aves;228 W 18th St;New York;Chelsea;Latin American: Venezuelan;(212-206-8930);
El Paso;Greenwich Village;134 W Houston St btwn MacDougal and...;134 W Houston St;;;;;;El Paso; 134 W Houston St-between MacDougal and Sullivan Sts;134 W Houston St;New York;Greenwich Village;Mexican;(212-673-0828);
El Paso Taqueria;Upper East Side;1642 Lexington Ave btwn 103rd and 104th...;W 104th St;;;;;;El Paso Taqueria; 64 E 97th St-between Madison and Park Aves;64 E 97th St;New York;Upper East Side;Mexican;(212-996-1739);
El Quinto Pino;Chelsea;;;;;;;;El Quinto Pino; 401 W 24th St-at Ninth Ave;401 W 24th St;New York;Chelsea;Spanish;(212-206-6900);
Elephant & Castle;West Village;;;;;;;;Elephant & Castle; 68 Greenwich Ave-between Sixth Ave and Seventh Ave South;68 Greenwich Ave;New York;West Village;American;(212-243-1400);
Elettaria;Greenwich Village;33 W 8th St at MacDougal St;33 W 8th St;;;;;;Elettaria; 33 W 8th St-between Fifth and Sixth Aves;33 W 8th St;New York;Greenwich Village;Eclectic;(212-677-3833);
Empanada Mama;Midtown West;;;;;;;;Empanada Mama; 793 Ninth Ave-at 51st St;793 9th Ave;New York;Midtown West;Latin American;(212-698-9008);
Empire Diner;Chelsea;;;;;;;;Empire Diner; 210 Tenth Ave-at 22nd St;210 Amsterdam Ave;New York;Chelsea;Cafés & diners;(212-243-2736);
Epices du Traiteur;Upper West Side;;;;;;;;Epices du Traiteur; 103 W 70th St-between Columbus Ave and Broadway;103 W 70th St;New York;Upper West Side;Mediterranean;(212-579-5904);
Ethos;Midtown East;495 Third Ave btwn 33rd and 34th Sts;W 34th St;;;;;;Ethos; 495 Third Ave-between 33rd and 34th Sts;495 3rd Ave;New York;Midtown East;Greek;(212-252-1972);
Etrusca;Midtown West;;;;;;;;Etrusca;Hilton Towers -125 W 53rd Stbetween Sixth and Seventh Aves;;New York;Midtown West;Italian;(212-261-5750);
Evergreen Shanghai;Midtown East;10 E 38th St btwn Fifth and Madison Aves;10 E 38th St;;;;;;Evergreen Shanghai; 10 E 38th St-between Fifth and Madison Aves;10 E 38th St;New York;Midtown East;Chinese;(212-448-1199);
Falai Panetteria;Lower East Side;;;;;;;;Falai Panetteria; 79 Clinton St-at Rivington St;79 Clinton St;New York;Lower East Side;Cafés & diners;(212-777-8956);
Fig & Olive;Midtown East;;;;;;;;Fig & Olive; 10 E 52nd St-between Fifth and Madison Aves;10 E 52nd St;New York;Midtown East;Mediterranean;(212-319-2002);
Fiorini;Midtown East;;;;;;;;Fiorini; 209 E 56th St-between Second and Third Aves;209 E 56th St;New York;Midtown East;Italian;(212-308-0830);
Fireside;Midtown East;;;;;;;;Fireside; 19 E 52nd St-at Madison Ave;19 E 52nd St;New York;Midtown East;American Creative;(212-754-5017);
First Hungarian Literary Society;Upper East Side;;;;;;;;First Hungarian Literary Society;323 E 79th St -between First and Second Avessecond floor;;New York;Upper East Side;Eastern European;(212-288-5002);
Fishtail by David Burke;Upper East Side;;;;;;;;Fishtail by David Burke; 135 E 62nd St-between Park and Lexington Aves;135 E 62nd St;New York;Upper East Side;American Creative;(212-754-1300);
Fives;Midtown East;;;;;;;;Fives;Peninsula Hotel -700 Fifth Aveat 55th St;;New York;Midtown East;American Creative;(212-903-3918);
Flex Mussels;Upper East Side;;;;;;;;Flex Mussels; 174 E 82nd St-between Lexington and Third Aves;174 E 82nd St;New York;Upper East Side;Eclectic;(212-717-7772);
Flor de Sol;Tribeca;;;;;;;;Flor de Sol; 361 Greenwich St-between Franklin and Harrison Sts;361 Greenwich St;New York;Tribeca;Spanish;(212-334-8087);
Franchia;Midtown East;;;;;;;;Franchia; 12 Park Ave-between 34th and 35th Sts;12 Park Ave;New York;Midtown East;Korean;(212-213-1001);
Frank;East Village;;;;;;;;Frank; 88 Second Ave-between 5th and 6th Sts;88 2nd Ave;New York;East Village;Italian;(212-420-0202);
Frankies Spuntino 17 Clinton Street;Lower East Side;;;;;;;;Frankies Spuntino 17 Clinton Street; 17 Clinton St-between Houston and Stanton Sts;17 Clinton St;New York;Lower East Side;Italian;(212-253-2303);
FreeFoods NYC;Midtown West;;;;;;;;FreeFoods NYC; 18 W 45th St-between Fifth and Sixth Aves;18 W 45th St;New York;Midtown West;Cafés & diners;(212-249-4529);
Friend House 2;East Village;;nan;;;;;;Friend House 2; 225 E 14th St-between Second and Third Aves;225 E 14th St;New York;East Village;Thai;(212-614-8814);
Funayama;West Village;;;;;;;;Funayama; 24 Greenwich Ave-between Charles and W 10th Sts;24 Greenwich Ave;New York;West Village;Japanese;(212-989-2500);
Galanga;Greenwich Village;;;;;;;;Galanga; 149 W 4th St-between Sixth Ave and MacDougal St;149 West 4th Street;New York;Greenwich Village;Thai;(212-228-4267);
Gemma;East Village;;;;;;;;Gemma;The Bowery Hotel -335 Boweryat 3rd St;;New York;East Village;Italian;(212-505-9100);
Georgia's Eastside BBQ;Lower East Side;;;;;;;;Georgia's Eastside BBQ;192 Orchard St-Btwn Houston & Stanton St;192 Orchard St;New York;Lower East Side;;(212-253-6280);Barbeque
Giano;East Village;;;;;;;;Giano; 126 E 7th St-between First Ave and Ave A;126 E 7th St;New York;East Village;Italian;(212-673-7200);
Gigino Trattoria;Tribeca;;;;;;;;Gigino Trattoria; 323 Greenwich St-between Duane and Reade Sts;323 Greenwich St;New York;Tribeca;Italian;(212-431-1112);
Gilt;Midtown East;;;;;;;;Gilt; 455 Madison Ave-between 50th and 51st Sts;455 Madison Ave;New York;Midtown East;Eclectic;(212-891-8100);
Gino;Upper East Side;;;;;;;;Gino; 780 Lexington Ave-between 60th and 61st Sts;780 Lexington Ave;New York;Upper East Side;Italian;(212-758-4466);
Giorgione;Soho;;;;;;;;Giorgione; 307 Spring St-at Hudson St;307 Spring St;New York;Soho;Italian;(212-352-2269);
Girasole;Upper East Side;;;;;;;;Girasole; 151 E 82nd St-between Lexington and Third Aves;151 E 82nd St;New York;Upper East Side;Italian;(212-772-6690);
Gonzo;West Village;;;;;;;;Gonzo; 140 W 13th St-between Sixth and Seventh Aves;140 W 13th St;New York;West Village;Italian;(212-645-4606);
Gottino;West Village;;;;;;;;Gottino; 52 Greenwich Ave-between Charles and Perry Sts;52 Greenwich Ave;New York;West Village;Italian;(212-633-2590);
Gradisca;West Village;;;;;;;;Gradisca; 126 W 13th St-between Sixth and Seventh Aves;126 W 13th St;New York;West Village;Italian;(212-691-4886);
Graffiti;East Village;;;;;;;;Graffiti; 224 E 10th St-between First and Second Aves;224 E 10th St;New York;East Village;Eclectic;(212-464-7743);
Grano Trattoria;West Village;;;;;;;;Grano Trattoria; 21 Greenwich Ave-at 10th St;21 Greenwich Ave;New York;West Village;Italian;(212-645-2121);
Grom;Upper West Side;;;;;;;;Grom; 2165 Broadway-between 76th and 77th Sts;2165 Broadway;New York;Upper West Side;Italian;(646-290-7233);
Grotto;Lower East Side;;;;;;;;Grotto; 100 Forsyth St-between Broome and Grand Sts;100 Forsyth St;New York;Lower East Side;Italian;(212-625-3444);
Guantanamera;Midtown West;;;;;;;;Guantanamera; 939 Eighth Ave-between 55th and 56 Sts;939 8th Ave;New York;Midtown West;Latin American;(212-262-5354);
Gusto Ristorante e Bar Americano;West Village;;;;;;;;Gusto Ristorante e Bar Americano; 60 Greenwich Ave-at Perry St;60 Greenwich Ave;New York;West Village;Italian;(212-924-8000);
Hacienda de Argentina;Upper East Side;;;;;;;;Hacienda de Argentina; 339 E 75th St-between First and Second Aves;339 E 75th St;New York;Upper East Side;Argentine;(212-472-5300);
Han Bat;Midtown West;;;;;;;;Han Bat; 53 W 35th St-between Fifth and Sixth Aves;53 W 35th St;New York;Midtown West;Korean;(212-629-5588);
Harry Cipriani;Midtown East;;;;;;;;Harry Cipriani;Sherry Netherland -781 Fifth Avebetween 59th and 60th Sts;;New York;Midtown East;Italian;(212-753-5566);
Haru;Upper East Side;433 Amsterdam Ave;433 Amsterdam Ave;New York;NY;;$$;Japanese;Haru; 1329 Third Ave-at 76th St;1329 3rd Ave;New York;Upper East Side;Japanese;(212-452-2230);
Hawaiian Tropic Zone;Midtown West;;;;;;;;Hawaiian Tropic Zone; 729 Seventh Ave-between 48th and 49th Sts;729 7th Ave;New York;Midtown West;American Creative;(212-626-7316);
Heartbeat;Midtown East;;;;;;;;Heartbeat;W New York -149 E 49th Stbetween Lexington and Third Aves;;New York;Midtown East;Vegetarian & Organic;(212-407-2900);
Hi-Life Restaurant & Lounge;Upper East Side;;;;;;;;Hi-Life Restaurant & Lounge; 1503 Second Ave-at 78th St;1503 2nd Ave;New York;Upper East Side;American;(212-628-5433);
Hoi An;Tribeca;;;;;;;;Hoi An; 135 West Broadway-between Duane and Thomas Sts;135 W Broadway;New York;Tribeca;Vietnamese;(212-233-1339);
Horus Café;East Village;;;;;;;;Horus Café; 293 E 10th St-at Ave A;293 E 10th St;New York;East Village;Mediterranean;(212-228-4774);
Hundred Acres;Soho;;;;;;;;Hundred Acres; 38 MacDougal St-between W Houston and Prince Sts;38 MacDougal St;New York;Soho;American;(212-475-7500);
I Tre Merli Bistro;West Village;;;;;;;;I Tre Merli Bistro; 183 W 10th St-at W 4th St;183 W 10th St;New York;West Village;Italian;(212-929-2221);
Il Nido;Midtown East;;;;;;;;Il Nido; 251 E 53rd St-between Second and Third Aves;251 E 53rd St;New York;Midtown East;Italian;(212-753-8450);
Il Postino;Midtown East;;;;;;;;Il Postino; 337 E 49th St-between First and Second Aves;337 E 49th St;New York;Midtown East;Italian;(212-688-0033);
Il Vagabondo;Upper East Side;;;;;;;;Il Vagabondo; 351 E 62nd St-between First and Second Aves;351 E 62nd St;New York;Upper East Side;Italian;(212-832-9221);
In Vino;East Village;;;;;;;;In Vino; 215 E 4th St-between Aves A and B;215 E 4th St;New York;East Village;Italian;(212-539-1011);
Indigo Indian Bistro;Midtown East;;;;;;;;Indigo Indian Bistro; 357 E 50th St-between First and Second Aves;357 E 50th St;New York;Midtown East;Indian;(212-421-1919);
Ippudo NY;East Village;;;;;;;;Ippudo NY; 65 Fourth Ave-between 9th and 10th Sts;65 4th Ave;New York;East Village;Japanese;(212-388-0088);
Islero;Midtown East;;;;;;;;Islero; 247 E 50th St-between Second and Third Aves;247 E 50th St;New York;Midtown East;Spanish;(212-752-1414);
Itzocan Bistro;Upper East Side;1575 Lexington Ave at 101st St;1575 Lexington Ave;;;;;;Itzocan Bistro; 1575 Lexington Ave-at 101st St;1575 Lexington Ave;New York;Upper East Side;Mexican;(212-423-0255);
Itzocan Cafe;East Village;;;;;;;;Itzocan Cafe;438 E 9th St-Btwn 1st Ave & Ave A;438 E 9th St;New York;East Village;;(212-677-5856);Mexican
Izakaya Ten;Chelsea;;;;;;;;Izakaya Ten; 207 Tenth Ave-between 22nd and 23rd Sts;207 10th Ave;New York;Chelsea;Japanese;(212-627-7777);
Jack’s Luxury Oyster Bar;East Village;;;;;;;;Jack’s Luxury Oyster Bar; 101 Second Ave-at 6th St;101 2nd Ave;New York;East Village;Seafood;(212-253-7848);
Jean Claude;Soho;;;;;;;;Jean Claude; 137 Sullivan St-between Houston and Prince Sts;137 Sullivan St;New York;Soho;French;(212-475-9232);
Jeollado;East Village;;;;;;;;Jeollado; 116 E 4th St-between First and Second Aves;116 E 4th St;New York;East Village;Japanese;(212-260-7696);
Jewel Bako;East Village;;;;;;;;Jewel Bako; 239 E 5th St-between Second and Third Aves;239 E 5th St;New York;East Village;Japanese;(212-979-1012);
Jimmy's No. 43;East Village;;;;;;;;Jimmy's No. 43;43 E 7th St.;43 E 7th St;New York;East Village;;;
Juan Valdez Café;Midtown East;;;;;;;;Juan Valdez Café; 1451 Broadway-at W 41st St;1451 Broadway;New York;Midtown East;Cafés;(212-871-7515);
Jubilee;Midtown East;;;;;;;;Jubilee; 347 E 54th St-between First and Second Aves;347 E 54th St;New York;Midtown East;French;(212-888-3569);
Kasadela;East Village;;;;;;;;Kasadela; 647 E 11th St-at Ave C;647 E 11th St;New York;East Village;Japanese;(212-777-1582);
Kenka;East Village;;;;;;;;Kenka; 25 St. Marks Pl-between Second and Third Aves;25 St Marks Pl;New York;East Village;Japanese;(212-254-6363);
Khyber Pass;East Village;;;;;;;;Khyber Pass; 34 St. Marks Pl-between Second and Third Aves;34 St Marks Pl;New York;East Village;Afghan;(212-473-0989);
Kingswood;Greenwich Village;121 W 10th St btwn Greenwich and 6th...;121 W 10th St;;;;;;Kingswood; 121 W 10th St-between Greenwich and Sixth Aves;121 W 10th St;New York;Greenwich Village;Australian & New Zealand;(212-645-0018);
Kitchen Club;Nolita;;;;;;;;Kitchen Club;30 Prince St.;Little Cupcake Bakeshop (Meeting Place);New York;Nolita;;;
Kión;East Village;;;;;;;;Kión; 509 E 6th St-between Aves A and B;509 E 6th St;New York;East Village;Eclectic;(212-529-5200);
Ko Sushi;Upper East Side;;;;;;;;Ko Sushi; 1329 Second Ave-at 70th St;1329 2nd Ave;New York;Upper East Side;Japanese;(212-439-1678);
Kobe Club;Midtown West;;;;;;;;Kobe Club; 68 W 58th St-between Fifth and Sixth Ave;68 W 58th St;New York;Midtown West;Steakhouses;(212-644-5623);
Kobma Thai;West Village;;;;;;;;Kobma Thai; 611 Hudson St-between Jane and W 12th Sts;611 Hudson St;New York;West Village;Japanese;(212-645-8622);
Korea Palace;Midtown East;;;;;;;;Korea Palace; 127 E 54th St-between Park and Lexington Aves;127 E 54th St;New York;Midtown East;Korean;(212-832-2350);
Korean Temple Cuisine;East Village;;;;;;;;Korean Temple Cuisine;81 St. Marks Pl.;81 St Marks Pl;New York;East Village;;;
