0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_neighborhood;1_address;1_addressGoogle;1_country;1_country_code;1_type;1_cost;1_type_r;1_phone
;;;;;;;;;Fresco34 E;;52nd St-;E 52nd St;;NY;;;;
;;;;;;;;;Fresh Bagels;;1070 2nd Ave-Btwn 56th & 57th St;1070 2nd Ave;;NY;;;;
;;;;;;;;;Fresh Basil's Trattoria;;663 Lexington Ave-Btwn 55th & 56th St;663 Lexington Ave;;NY;;;;
;;;;;;;;;Fresh Food Kitchen;;401 E 68th St-At 1st Ave;401 E 68th St;;NY;;;;
;;;;;;;;;Fresh Taco Express;;225 7th Ave-At 23rd St;225 7th Ave;;NY;;;;
;;;;;;;;;Fresh Tortilla Express;;206 Varick St-At Houston St;206 Varick St;;NY;;;;
;;;;;;;;;Fresh Tortilla's;;595 W 207th St-Btwn Broadway & Vermilyea Ave;595 W 207th St;;NY;;;;
;;;;;;;;;Fresh Tortillas Grill;;573 2nd Ave-Btwn 31st & 32nd St;573 2nd Ave;;NY;;;;
;;;;;;;;;Fried Dumpling;;99 Allen St-Btwn Delancey & Broome St;99 Allen St;;NY;;;;
;;;;;;;;;Friend House Asian Bistro;;99 3rd Ave-Btwn 12th & 13th St;99 3rd Ave;;NY;;;;
;;;;;;;;;Friendly Pizzeria;;59 Nassau St-At Maiden Ln;59 Nassau St;;NY;;;;
;;;;;;;;;Frontier;;593 3rd Ave-Btwn 38th & 39th St;593 3rd Ave;;NY;;;;
;;;;;;;;;Fu Sing;;4156 Broadway-At 176th St;4156 Broadway;;NY;;;;
;;;;;;;;;Fu Sing41;;56 Broadway-;56 Broadway;;NY;;;;
;;;;;;;;;Fu Wing;;153 E 106th St-Btwn Lexington & 3rd Ave;153 E 106th St;;NY;;;;
;;;;;;;;;Fu Wing15;;3 E 106th St-;3 E 106th St;;NY;;;;
;;;;;;;;;Fu Ying;;811 8th Ave-Btwn 48th & 49th St;811 8th Ave;;NY;;;;
;;;;;;;;;Fu Ying81;;1 8th Ave-;1 8th Ave;;NY;;;;
;;;;;;;;;Fu Zhow;;84 Eldridge St-Btwn Hester & Grand St;84 Eldridge St;;NY;;;;
;;;;;;;;;Fu's House;;972 2nd Ave-Btwn 51st & 52nd St;972 2nd Ave;;NY;;;;
;;;;;;;;;Fuji;;238 W 56th St-Btwn Bway & 8th Ave;238 W 56th St;;NY;;;;
;;;;;;;;;Fuji Bakery;;224 W 35th St-Btwn 7th & 8th Ave;224 W 35th St;;NY;;;;
;;;;;;;;;Fuji Yama;;1466 1st Ave-Btwn 76th & 77th St;1466 1st Avenue;;NY;;;;
;;;;;;;;;Fuji238 W;;56th St-;W 56th St;;NY;;;;
;;;;;;;;;Fukumatsu;;212 E 52nd St-Btwn 2nd & 3rd Ave;212 E 52nd St;;NY;;;;
;;;;;;;;;Fulton Chef;;64 Fulton St-At Gold St;64 Fulton St;;NY;;;;
;;;;;;;;;Fulton205 E;;75th St-;E 75th St;;NY;;;;
;;;;;;;;;Fusha1065;;1st Ave-;1st Avenue;;NY;;;;
;;;;;;;;;Fusia Asian Cuisine;;677 Lexington Ave-At 56th St;677 Lexington Ave;;NY;;;;
;;;;;;;;;Fusia972;;2nd Ave-;2nd Ave;;NY;;;;
;;;;;;;;;Fusion Grills;;875 3rd Ave-At 52nd St;875 3rd Ave;;NY;;;;
;;;;;;;;;G. Eastern;;2085 Lexington Ave-At 126th St;2085 Lex;;NY;;;;
;;;;;;;;;G. K. Triple A Diner;;2061 2nd Ave-At 106th St;2061 2nd Ave;;NY;;;;
;;;;;;;;;GB - Garlic Bob's;;528 Columbus Ave-Btwn 85th & 86th St;528 Columbus Ave;;NY;;;;
;;;;;;;;;GFC Gourmet Deli;;271 1st Ave-Btwn 15th & 16th St;271 1st Avenue;;NY;;;;
;;;;;;;;;Gabby O'Haras;;123 W 39th St-At Broadway;123 W 39th St;;NY;;;;
;;;;;;;;;Gabriel's;;11 W 60th St-Btwn 9th Ave & Bway;11 W 60th St;;NY;;;;
;;;;;;;;;Gaby44 W;;45th St-;W 45th St;;NY;;;;
;;;;;;;;;Galaxy;;2.01200 Lexington Ave-Btwn 81st & 82nd St;Lexington Ave;;NY;;;;
;;;;;;;;;Galaxy 2.;;01200 Lexington Ave-;1200 Lexington Ave;;NY;;;;
;;;;;;;;;Galaxy Cafe (CLOSED);;174 8th Ave-;174 8th Ave;;NY;;;;
;;;;;;;;;Galaxy Diner;;665 9th Ave-At 46th St;665 9th Ave;;NY;;;;
;;;;;;;;;Galicia No;;24083 Broadway-Btwn 172nd St & 173rd St;Broadway;;NY;;;;
;;;;;;;;;GalleryBar;;120 Orchard St-Btwn Delancey & Rivington St;120 Orchard St;;NY;;;;
;;;;;;;;;Galway Hooker;;7 E 36th St-Btwn 5th & Madison Ave;7 E 36th St;;NY;;;;
;;;;;;;;;Gan Asia;;691 Amsterdam Ave-Btwn 93rd & 94th St;691 Amsterdam Ave;;NY;;;;
;;;;;;;;;Gandhi345 E;;6th St-;E 6th St;;NY;;;;
;;;;;;;;;Garage99;;7th Ave S-;7th Ave S;;NY;;;;
;;;;;;;;;Garden Court Cafe;;725 Park Ave-Btwn 70th & 71st St;725 Park Ave;;NY;;;;
;;;;;;;;;Garden of Eden;;7 E 14th St-Btwn 5th Ave & Union Sq W;The Victoria;;NY;;;;
;;;;;;;;;Gardenia;;404 8th Ave-Btwn 30th & 31st St;404 8th Ave;;NY;;;;
;;;;;;;;;Gatsby's;;53 Spring St-Btwn Lafayette & Mulberry St;53 Spring St;;NY;;;;
;;;;;;;;;Geisha33 E;;61st St-;E 61st St;;NY;;;;
;;;;;;;;;Gemini Diner;;641 2nd Ave-At 35th St;641 2nd Ave;;NY;;;;
;;;;;;;;;Gena's Grill;;210 1st Ave-Btwn 12th & 13th St;210 1st Avenue;;NY;;;;
;;;;;;;;;Gene's Coffee Shop;;26 E 60th St-Btwn Madison & Park Ave;26 E 60th St;;NY;;;;
;;;;;;;;;Gene's Restaurant;;73 W 11th St-Btwn 5th & 6th Ave;73 W 11th St;;NY;;;;
;;;;;;;;;Genesis;;1708 2nd Ave-Btwn 88th & 89th St;1708 2nd Ave;;NY;;;;
;;;;;;;;;Genesis17;;08 2nd Ave-;8 2nd Ave;;NY;;;;
;;;;;;;;;Genji;;270 Greenwich St-At Murray St;270 Greenwich St;;NY;;;;
;;;;;;;;;Gennaro66;;5 Amsterdam Ave-;5 Amsterdam Ave;;NY;;;;
;;;;;;;;;Gente153 E;;45th St-;W 45th St;;NY;;;;
;;;;;;;;;George's;;726 W 181st St-Btwn Fort Washinton & Bennett Ave;726 W 181st St;;NY;;;;
;;;;;;;;;George's Cafe;;88 Greenwich St-At Rector St;88 Greenwich St;;NY;;;;
;;;;;;;;;George's Coffee Shop;;3915 Broadway-At 164th St;3915 Broadway;;NY;;;;
;;;;;;;;;Georgia's Cafe & Bake Shop;;2418 Broadway-At 89th St;2418 Broadway;;NY;;;;
;;;;;;;;;Georgio's;;4275 Broadway Ave-At 182nd St;4275 Broadway;;NY;;;;
;;;;;;;;;Georgio's Country Grill;;801 9th Ave-At 53rd St;801 9th Ave;;NY;;;;
;;;;;;;;;Georgios Pizzeria;;20 Beaver St-Btwn Whitehall & Broad St;20 Beaver St;;NY;;;;
;;;;;;;;;Ghandi Cafe;;283 Bleecker St-Btwn 7th Ave S & Jones St;283 Bleecker St;;NY;;;;
;;;;;;;;;Giambelli;;50th46th E 50th St-Btwn Park & Madison Ave;E 50th St;;NY;;;;
;;;;;;;;;Giano126 E;;7th St-;E 7th St;;NY;;;;
;;;;;;;;;Ging;;1564 3rd Ave-Btwn 87th & 88th St;1564 3rd Ave;;NY;;;;
;;;;;;;;;Ging1564;;3rd Ave-;3rd Ave;;NY;;;;
;;;;;;;;;Ginger;;109 1st Ave-Btwn 6th & 7th St;109 1st Avenue;;NY;;;;
;;;;;;;;;Ginger House;;330 7th Ave-Btwn 28th & 29th St;330 7th Ave;;NY;;;;
;;;;;;;;;Ginger's;;512 7th Ave-At 38th St;512 7th Ave;;NY;;;;
;;;;;;;;;Ginger109;;1st Ave-;1st Avenue;;NY;;;;
;;;;;;;;;Ginger146 E;;55th St-;W 55th St;;NY;;;;
;;;;;;;;;Gino's;;81 Catherine St-Btwn Cherry & Monroe St;81 Catherine St;;NY;;;;
;;;;;;;;;Gino's345 E;;83rd St-;W 83rd St;;NY;;;;
;;;;;;;;;Ginza;;251 E 35th St-Btwn 2nd & 3rd Ave;251 E 35th St;;NY;;;;
;;;;;;;;;Ginza Japanese Restaurant;;800 Lexington Ave-At 62nd St;800 Lexington Ave;;NY;;;;
;;;;;;;;;Ginza251 E;;35th St-;W 35th St;;NY;;;;
;;;;;;;;;Giorgio's Pizza;;1343 2nd Ave-Btwn 70th & 71st St;1343 2nd Ave;;NY;;;;
;;;;;;;;;Giorgio's of Gramercy;;27 E 21st St-Btwn Bway & Park Ave S;27 E 21st St;;NY;;;;
;;;;;;;;;Giovanna's;;128 Mulberry St-At Hester St;128 Mulberry St;;NY;;;;
;;;;;;;;;Giovanni's;;1011 Columbus Ave-At 110th St;1011 Columbus Ave;;NY;;;;
;;;;;;;;;Giovanni's Atrium;;100 Washington St-Btwn Rector & Carlisle St;100 Washington St;;NY;;;;
;;;;;;;;;Giuseppe's Pizzeria;;341 Lexington Ave-At 39th St;341 Lexington Ave;;NY;;;;
;;;;;;;;;Gnocco337 E;;10th St-;W 10th St;;NY;;;;
;;;;;;;;;Go Go Curry;;273 W 38th St-Btwn 7th & 8th Ave;273 W 38th St;;NY;;;;
;;;;;;;;;Go Noodle;;1069 1st Ave-Btwn 58th & 59th St;1069 1st Avenue;;NY;;;;
;;;;;;;;;Gobo1426;;3rd Ave-;3rd Ave;;NY;;;;
;;;;;;;;;GoldBar;;389 Broome St-At Mulberry St;389 Broome St;;NY;;;;
;;;;;;;;;GoldBar38;;9 Broome St-;9 Broome St;;NY;;;;
;;;;;;;;;Golden China;;2180 5th Ave-Btwn 132nd & 135th St;2180 5th Ave;;NY;;;;
;;;;;;;;;Golden City;;423 9th Ave-At 34th St;423 9th Ave;;NY;;;;
;;;;;;;;;Golden Empire Restaurant;;757 St. Nicholas Ave-At 148th St;757 St Nicholas Ave;;NY;;;;
;;;;;;;;;Golden Forest;;353 Grand St-Btwn Essex & Ludlow St;353 Grand St;;NY;;;;
;;;;;;;;;Golden Krust;;18 E 33rd St-Btwn Madison & 5th Ave;18 E 33rd St;;NY;;;;
;;;;;;;;;Golden Star;;4247 Broadway Ave-Btwn 180th & 181st St;4247 Broadway;;NY;;;;
;;;;;;;;;Gonzalez y Gonzalez;;625 Broadway-Btwn Houston & Bleecker St;625 Broadway;;NY;;;;
;;;;;;;;;Gonzo140 W;;13th St-;E 13th St;;NY;;;;
;;;;;;;;;Good & Plenty To Go;;410 W 43rd St-Btwn 9th & 10th Ave;410 W 43rd St;;NY;;;;
;;;;;;;;;Good Chinese Cuisine;;157 E 33rd St-Btwn Lexington & 3rd Ave;157 E 33rd St;;NY;;;;
;;;;;;;;;Good Dumpling House;;214 Grand St-;214 Grand St;;NY;;;;
;;;;;;;;;Good Health;;1435 1st Ave-Btwn 74th & 75th St;1435 1st Avenue;;NY;;;;
;;;;;;;;;Good Health Burger;;237 E 53rd St-Btwn 2nd & 3rd Ave;237 E 53rd St;;NY;;;;
;;;;;;;;;Good Time;;1571 Lexington Ave-At 100th St;1571 Lexington Ave;;NY;;;;
;;;;;;;;;Good157 E;;33rd St-;W 33rd St;;NY;;;;
;;;;;;;;;Goodman's Cafe;;754 5th Ave-Btwn 57th & 58th St;754 5th Ave;;NY;;;;
;;;;;;;;;Gordon Chen's Kitchen;;231 E 53rd St-Btwn 2nd & 3rd Ave;231 E 53rd St;;NY;;;;
;;;;;;;;;Gordon Ramsay at the London;;151 W 54th St-Btwn 6th & 7th Ave;151 W 54th St;;NY;;;;
;;;;;;;;;Gotham Coffee House;;1298 2nd Ave-At 68th St;1298 2nd Ave;;NY;;;;
;;;;;;;;;Gotham Pizza;;1443 York Ave-Btwn 76th & 77th St;1443 York Ave;;NY;;;;
;;;;;;;;;Gourmet Deli;;696 3rd Ave-Btwn 43rd & 44th St;696 3rd Ave;;NY;;;;
;;;;;;;;;Gourmet Park;;119 E 60th St-Btwn Park & Lexington Ave;119 E 60th St;;NY;;;;
;;;;;;;;;Grace's Trattoria;;201 E 71st St-At 3rd Ave;201 E 71st St;;NY;;;;
;;;;;;;;;Gracefully;;28 Avenue A-Btwn 2nd & 3rd St;28 Avenue A;;NY;;;;
;;;;;;;;;Gramercy Bagels;;246 3rd Ave-Btwn 20th & 21st St;246 3rd Ave;;NY;;;;
;;;;;;;;;Grand Central Gourmet Place;;100 Park Ave-Corner of 41st St;100 Park Ave;;NY;;;;
;;;;;;;;;Grand Eastern;;1509 Lexington Ave-At 97th St;1509 Lexington Ave;;NY;;;;
;;;;;;;;;Grand Great Wall;;1588 Amsterdam Ave-Btwn 138th & 139th St;1588 Amsterdam Ave;;NY;;;;
;;;;;;;;;Grand Sichuan Eastern;;1049 2nd Ave-Btwn 55th & 56th St;1049 2nd Ave;;NY;;;;
;;;;;;;;;Grand Sichuan International;;229 9th Ave-At 24th St;229 9th Ave;;NY;;;;
;;;;;;;;;Grand Sichuan NY;;227 Lexington Ave-Btwn 33rd & 34th St;227 Lexington Ave;;NY;;;;
;;;;;;;;;Grand Sichuan St. Marks;;21 Saint Marks Pl-Btwn 2nd & 3rd Ave;21 St Marks Pl;;NY;;;;
;;;;;;;;;Grand Street Deli & Mini Market;;42 Grand St-Btwn Thompson St & W Bway;42 Grand St;;NY;;;;
;;;;;;;;;Grand Street Gourmet;;213 Grand St-Btwn Mott & Elizabeth St;213 Grand St;;NY;;;;
;;;;;;;;;Grandpa's Brick Oven Pizza;;4973 Broadway-At 211th St;4973 Broadway;;NY;;;;
;;;;;;;;;Grape and Grain;;620 E 6th St-Btwn Ave B & Ave C;620 E 6th St;;NY;;;;
;;;;;;;;;Gray's Papaya;;539 8th Ave-At 37th St;539 8th Ave;;NY;;;;
;;;;;;;;;Great Burrito;;100 W 23rd St-At 6th Ave;100 W 23rd St;;NY;;;;
;;;;;;;;;Great NY Noodletown;;28 Bowery-At Bayard St;28 Bowery;;NY;;;;
;;;;;;;;;Great Wok;;1631 Lexington Ave-At 103rd St;1631 Lexington Ave;;NY;;;;
;;;;;;;;;Greek Kitchen;;889 10th Ave-At 58th St;889 10th Ave;;NY;;;;
;;;;;;;;;Green Apple BBQ;;362 E 112th St-At Manhattan Ave;362 E 112th St;;NY;;;;
;;;;;;;;;Green Beans;;14 E 44th St-Btwn 5th & Madison Ave;14 E 44th St;;NY;;;;
;;;;;;;;;Green Cafe;;21 W 58th St-;21 W 58th St;;NY;;;;
;;;;;;;;;Green Pea;;435 5th Ave-Btwn 38th & 39th St;435 5th Ave;;NY;;;;
;;;;;;;;;Greenwich Avenue;;41 Greenwich Ave-At Charles St;41 Greenwich Ave;;NY;;;;
;;;;;;;;;Greenwich St;;0 Btwn Washington & Spring St-;0 Btwn Washington & Spring St;;NY;;;;
;;;;;;;;;Greenwich Street Tavern;;399 Greenwich St-At N Moore St;399 Greenwich St;;NY;;;;
;;;;;;;;;Greenwich Treehouse;;46 Greenwich Ave-Btwn Perry & Charles St;46 Greenwich Ave;;NY;;;;
;;;;;;;;;Grill;;21346 E 21st St-Btwn 1st & 2nd Ave;E 21st St;;NY;;;;
;;;;;;;;;Grill 213;;46 E 21st St-;46 E 21st St;;NY;;;;
;;;;;;;;;Grill 441;;60 E 44th St-;60 E 44th St;;NY;;;;
;;;;;;;;;Grotta Azzurra;;177 Mulberry St-At Broome St;177 Mulberry St;;NY;;;;
;;;;;;;;;Guest House;;542 W 27th St-Btwn 10th & 11th Ave;542 W 27th St;;NY;;;;
;;;;;;;;;Gus' Place;;192 Bleecker St-At Macdougal St;192 Bleecker St;;NY;;;;
;;;;;;;;;GustOrganics;;519 6th Ave-Btwn 13th & 14th St;519 6th Ave;;NY;;;;
;;;;;;;;;Gusto Va Mare;;237 E 53rd St-Btwn 2nd & 3rd Ave;237 E 53rd St;;NY;;;;
;;;;;;;;;Guy & Gallard;;245 W 38th St-Btwn W 37th & W 38th Sts;245 W 38th St;;NY;;;;
;;;;;;;;;Guys Restaurant;;960 Madison Ave-Btwn 75th & 76th St;960 Madison Ave;;NY;;;;
;;;;;;;;;Gyro II;;425 7th Ave-Btwn 33rd & 34th St;425 7th Ave;;NY;;;;
;;;;;;;;;Gyro II42;;5 7th Ave-;5 7th Ave;;NY;;;;
;;;;;;;;;H;;2O15 Waterside Plz-Btwn 25th & 26th St;2 Waterside Plaza;;NY;;;;
;;;;;;;;;H&H Bagels;;2239 Broadway-At 80th St;2239 Broadway;;NY;;;;
;;;;;;;;;H&H Midtown Bagels East;;1551 2nd Ave-Btwn 80th & 81st St;1551 2nd Ave;;NY;;;;
;;;;;;;;;HK;;523 9th Ave-At 39th St;523 9th Ave;;NY;;;;
;;;;;;;;;Halal J. F. K.;;1998 2nd Ave-At 103rd St;1998 2nd Ave;;NY;;;;
;;;;;;;;;Halal Kitchen;;2135 2nd Ave-At 110th St;2135 2nd Ave;;NY;;;;
;;;;;;;;;Hale and Hearty Soups;;466 Lexington Ave-At 45th St;466 Lexington Ave;;NY;;;;
;;;;;;;;;Hamachi34 E;;20th St-;W 20th St;;NY;;;;
;;;;;;;;;Hamilton Deli;;1129 Amsterdam Ave-Btwn 115th & 116th St;1129 Amsterdam Ave;;NY;;;;
;;;;;;;;;Hamptons Gourmet;;755 9th Ave-At 51st St;755 9th Ave;;NY;;;;
;;;;;;;;;Han Bat53 W;;35th St-;W 35th St;;NY;;;;
;;;;;;;;;Hana;;59 Nassau St-Btwn John St & Maiden Ln;59 Nassau St;;NY;;;;
;;;;;;;;;Hana Sushi;;211 7th Ave-Btwn 22nd & 23rd St;211 7th Ave;;NY;;;;
;;;;;;;;;Hana's Pizza;;1376 Lexington Ave-Btwn 90th & 91st St;1376 Lexington Ave;;NY;;;;
;;;;;;;;;Hanafin's;;2286 Broadway-Btwn 82nd & 83rd St;2286 Broadway;;NY;;;;
;;;;;;;;;Hanami;;525 6th Ave-Btwn 13th & 14th St;525 6th Ave;;NY;;;;
;;;;;;;;;Hanami525;;6th Ave-;6th Ave;;NY;;;;
;;;;;;;;;Handles;;153 2nd Ave-Btwn 9th & 10th St;153 2nd Ave;;NY;;;;
;;;;;;;;;Handles15;;3 2nd Ave-;3 2nd Ave;;NY;;;;
;;;;;;;;;Hane Sushi;;581 3rd Ave-At 38th St;581 3rd Ave;;NY;;;;
;;;;;;;;;Hang Chou;;2266 3rd Ave-Btwn 123rd & 124th St;2266 3rd Ave;;NY;;;;
;;;;;;;;;Hangang;;34 W 32nd St-Btwn 5th Ave & Bway;34 W 32nd St;;NY;;;;
;;;;;;;;;Hangang34 W;;32nd St-;W 32nd St;;NY;;;;
;;;;;;;;;Hangawi12 E;;32nd St-;W 32nd St;;NY;;;;
;;;;;;;;;Hanover Gourmet Deli;;3 Hanover Sq-At Pearl St;3 Hanover Square;;NY;;;;
;;;;;;;;;Happy Delicatessen;;24 W 38th St-Btwn 5th & 6th Ave;24 W 38th St;;NY;;;;
;;;;;;;;;Happy Family Restaurant;;1 Eldridge St-At Berry St;1 Eldridge St;;NY;;;;
;;;;;;;;;Happy Palace;;216 3rd Ave-Btwn 18th & 19th St;216 3rd Ave;;NY;;;;
;;;;;;;;;Happy Taco Burrito;;235 Sullivan St-Btwn W 3rd St & Bleecker St;235 Sullivan St;;NY;;;;
;;;;;;;;;Happy Wok;;2033 1st Ave-At 105th St;2033 1st Avenue;;NY;;;;
;;;;;;;;;Harlem Blues Cafe;;125 W 116th St-Btwn 7th & Lenox Ave;125 W 116th St;;NY;;;;
;;;;;;;;;Harlem Lanes;;2116 Adam Clayton Powell Blvd-At 126th St;2116 Adam Clayton Powell Jr Blvd;;NY;;;;
;;;;;;;;;Harrington's;;370 7th Ave-;370 7th Ave;;NY;;;;
;;;;;;;;;Harry's Cafe;;1 Hanover Sq-At Pearl St;1 Hanover Square;;NY;;;;
;;;;;;;;;Harry's Steak;;97 Pearl St-At Hanover Sq;97 Pearl St;;NY;;;;
;;;;;;;;;Haru Sake Bar;;1327 3rd Ave-At 76th St;1327 3rd Ave;;NY;;;;
;;;;;;;;;Haru1329;;3rd Ave-;3rd Ave;;NY;;;;
;;;;;;;;;Haru205 W;;43rd St-;W 43rd St;;NY;;;;
;;;;;;;;;Hasaki210 E;;9th St-;W 9th St;;NY;;;;
;;;;;;;;;Hatsuhana Park;;237 Park Ave-At 46th St;237 Park Ave;;NY;;;;
;;;;;;;;;Havana Central Union Square;;22 E 17th St-Btwn Bway & 5th Ave;22 E 17th St;;NY;;;;
;;;;;;;;;Haveli100;;2nd Ave-;2nd Ave;;NY;;;;
;;;;;;;;;Haven;;244 E 51st St-Btwn 2nd & 3rd Ave;244 E 51st St;;NY;;;;
;;;;;;;;;Haven244 E;;51st St-;W 51st St;;NY;;;;
;;;;;;;;;Hayashi Ya;;857 9th Ave-Btwn W 55th & W 56th St;857 9th Ave;;NY;;;;
;;;;;;;;;Hea145 E;;13th St-;E 13th St;;NY;;;;
;;;;;;;;;Health King;;642 Lexington Ave-;642 Lexington Ave;;NY;;;;
;;;;;;;;;Healthalicious;;1594 2nd Ave-Btwn 82nd & 83rd St;1594 2nd Ave;;NY;;;;
;;;;;;;;;Heart New York Pizza;;900 St Nicholas Ave-;900 St Nicholas Ave;;NY;;;;
;;;;;;;;;Heartbeat at W New York;;541 Lexington Ave-At 49th St;541 Lexington Ave;;NY;;;;
;;;;;;;;;Hearth403 E;;12th St-;W 12th St;;NY;;;;
;;;;;;;;;Heartland Brewery Chop House;;127 W 43rd St-Btwn Bway & 6th Ave;127 W 43rd St;;NY;;;;
;;;;;;;;;Hello Deli;;213 W 53rd St-Btwn Bway & 8th Ave;213 W 53rd St;;NY;;;;
;;;;;;;;;Hells Kitchen Pizza;;691 10th Ave-;691 10th Ave;;NY;;;;
;;;;;;;;;Heng;;2 Thai Bistro752 10th Ave-Btwn 51st & 52nd St;2 Thai Bistro752 10th Ave;;NY;;;;
;;;;;;;;;Henry's27;;45 Broadway-;45 Broadway;;NY;;;;
;;;;;;;;;Hermanos Ecuatorianos;;2105 1st Ave-At 108th St;2105 1st Avenue;;NY;;;;
;;;;;;;;;Hi Life15;;03 2nd Ave-;3 2nd Ave;;NY;;;;
;;;;;;;;;Hi Life47;;7 Amsterdam Ave-;7 Amsterdam Ave;;NY;;;;
;;;;;;;;;Hibernia;;401 W 50th St-At 9th Ave;401 W 50th St;;NY;;;;
;;;;;;;;;Hidden City Cafe;;132 E 24th St-Btwn Park & Lexington Ave;132 E 24th St;;NY;;;;
;;;;;;;;;HighBar;;251 W 48th St-Btwn 8th Ave & Bway;251 W 48th St;;NY;;;;
;;;;;;;;;HighBar25;;1 W 48th St-;1 W 48th St;;NY;;;;
;;;;;;;;;Highline Cafe;;360 9th Ave-Btwn W 30th & W 31st St;360 9th Ave;;NY;;;;
;;;;;;;;;Hiro;;84 E 10th St-Btwn 3rd & 4th Ave;84 E 10th St;;NY;;;;
;;;;;;;;;Hiro84 E;;10th St-;W 10th St;;NY;;;;
;;;;;;;;;Hiroshi58;;5 3rd Ave-;5 3rd Ave;;NY;;;;
;;;;;;;;;Ho Lee;;2493 7th Ave-Btwn 144th & 145th St;2493 7th Ave;;NY;;;;
;;;;;;;;;Ho Lee II;;3750 Broadway-Btwn 155th & 156th St;3750 Broadway;;NY;;;;
;;;;;;;;;Ho Lee249;;3 7th Ave-;3 7th Ave;;NY;;;;
;;;;;;;;;Hokkaido;;1817 2nd Ave-At 94th St;1817 2nd Ave;;NY;;;;
;;;;;;;;;Home on;;8th391 8th Ave-Btwn 29th & 30th St;8th Ave;;NY;;;;
;;;;;;;;;Home's Kitchen;;22 E 21st St-At Bway;22 E 21st St;;NY;;;;
;;;;;;;;;Home532 W;;27th St-;W 27th St;;NY;;;;
;;;;;;;;;Homer's;;487 Amsterdam Ave-Btwn 83rd & 84th St;487 Amsterdam Ave;;NY;;;;
;;;;;;;;;Homer's48;;7 Amsterdam Ave-;7 Amsterdam Ave;;NY;;;;
;;;;;;;;;Homestyle Deli;;1142 1st Ave-Btwn 62nd & 63rd St;1142 1st Avenue;;NY;;;;
;;;;;;;;;Hon Cafe;;70 Mott St-Btwn Canal & Bayard St;70 Mott St;;NY;;;;
;;;;;;;;;Honey;;243 W 14th St-Btwn 7th & 8th Ave;243 W 14th St;;NY;;;;
;;;;;;;;;Honey243 W;;14th St-;E 14th St;;NY;;;;
;;;;;;;;;Hong Garden;;2515 7th Ave-Btwn 145th & 146th St;2515 7th Ave;;NY;;;;
;;;;;;;;;Hong Kong;;1703 Lexington Ave-At 107th St;1703 Lexington Ave;;NY;;;;
;;;;;;;;;Hong Kong Noodle ll;;174 Lexington Ave-Btwn 30th & 31st St;174 Lexington Ave;;NY;;;;
;;;;;;;;;Hong Kong Station;;128 Hester St-Btwn Bowery & Chrystie St;128 Hester St;;NY;;;;
;;;;;;;;;Hong Wong;;300 Grand St-Btwn Eldridge & Allen St;300 Grand St;;NY;;;;
;;;;;;;;;Hooters21;;1 W 56th St-;1 W 56th St;;NY;;;;
;;;;;;;;;Hop Won13;;9 E 45th St-;9 E 45th St;;NY;;;;
;;;;;;;;;Hot & Crusty;;1276 Lexington Ave-Btwn 85th & 86th St;1276 Lexington Ave;;NY;;;;
;;;;;;;;;Hourglass Tavern;;375 W 46th St-Btwn 8th & 9th Ave;375 W 46th St;;NY;;;;
;;;;;;;;;Houston Village Farm;;61 1st Ave-At 4th St;61 1st Avenue;;NY;;;;
;;;;;;;;;Houston's;;153 E 53rd St-At 3rd Ave;153 E 53rd St;;NY;;;;
;;;;;;;;;Houston's Bagel & Grill;;283 E Houston St-Btwn Suffolk & Clinton St;283 E Houston St;;NY;;;;
;;;;;;;;;Hoy Wong Restaurant;;81 Mott St-Btwn Bayard & Canal St;81 Mott St;;NY;;;;
;;;;;;;;;Hua Du;;31 Division St-Btwn Catherine & Market St;31 Division St;;NY;;;;
;;;;;;;;;Hua Yung Kitchen;;4131 Broadway Ave-Btwn 174th & 175th;4131 Broadway;;NY;;;;
;;;;;;;;;Huan Ji Food Court;;114 Eldridge St-Btwn Broome St & Grand St;114 Eldridge St;;NY;;;;
;;;;;;;;;Huan's Kitchen;;1003 Columbus Ave-Btwn 109th & 110th St;1003 Columbus Ave;;NY;;;;
;;;;;;;;;Hudson Coffee Bar;;350 Hudson St-Btwn Charlton & King St;350 Hudson St;;NY;;;;
;;;;;;;;;Hudson Diner;;468 Hudson St-At Barrow St;468 Hudson St;;NY;;;;
;;;;;;;;;Hudson Falafel;;516 Hudson St-Btwn W 10th & Christopher St;516 Hudson St;;NY;;;;
;;;;;;;;;Hudson Place;;538 3rd Ave-At 36th St;538 3rd Ave;;NY;;;;
;;;;;;;;;Hudson Square Cafe;;480 Canal St-At Hudson St;480 Canal St;;NY;;;;
;;;;;;;;;Hudson's Square Food Court;;333 Hudson St-At Charlton St;333 Hudson St;;NY;;;;
;;;;;;;;;Hunan Delight Matsuya Sushi;;1467 York Ave-At 78th St;1467 York Ave;;NY;;;;
;;;;;;;;;Hunan Lake;;493 2nd Ave-Btwn 27th & 28th St;493 2nd Ave;;NY;;;;
;;;;;;;;;Hunter Deli;;966 Lexington Ave-Btwn 70th & 71st St;966 Lexington Ave;;NY;;;;
;;;;;;;;;III L's Pizzeria;;1(fka Downtown Pizza)315 Broadway 1 Btwn Thomas & Duane St-;1(fka Downtown Pizza)315 Broadway 1 Btwn Thomas & Duane St;;NY;;;;
