;0_restaurant;0_address;0_country
4463;Nothing Heavy Inc;210 10th Ave;New York
4464;Novecento;343 W Broadway;New York
4465;Novitas Restaurant;102 E 22nd St;New York
4466;Nrma;604 5th Ave;New York
4467;Nuff Niceness Restaurants Corp;429 Lenox Ave - B;New York
4468;Number 1 Chinese Kitchen;480 9th Ave;New York
4469;Number 1 Restaurant;3821 Broadway Lbby;New York
4470;Number 18;18 W 56th St;New York
4471;Number One Chinese Restaurant;2294 8th Ave # 2294;New York
4472;Number One Restaurant;66 W 116th St;New York
4473;Number One Restaurant;1743 Lexington Ave;New York
4474;Number One Restaurant Inc;10 S William St;New York
4475;Number One Son Noodle Shop;496 Laguardia Pl;New York
4476;Nw3;242 E 10th St;New York
4477;Nyonya Cuisine Penang;194 Grand St;New York
4478;Nysaila Contract Board;2 World Trade Ctr # 20;New York
4479;O'Neals' Lincoln Center Restaurant;49 West 64th Street;New York
4480;Oak Room Supper Club;59 West 44th Street;
4481;Oaks;49 Grove St;New York
4482;Oasis Restaurant & Grill;2234 7th Ave;New York
4483;Obaa Koryoe Restaurant;3143 Broadway;New York
4484;Obeca Li Restaurant;62 Thomas St;New York
4485;Obento Delight;210 W 94th St;New York
4486;Obento Delight;152 7th Ave S;New York
4487;Ocaseys;22 E 41st St # 1;New York
4488;Ocean;384 Columbus Ave;New York
4489;Ocean City;4926 Broadway # 10034;New York
4490;Ocean Terrace;251 Church St;New York
4491;Oceana Restaurant;55 E 54th St;New York
4492;Oceans Eleven Pizzeria;961 2nd Ave;New York
4493;Oceans Eleven Pizzeria;849 2nd Ave;New York
4494;Odeon;145 W Broadway # 1;New York
4495;Odessa Restaurant;119 Avenue A;New York
4496;Odessas Restaurant Inc;117 Avenue A;New York
4497;Ofarrels;413 10th Ave;New York
4498;Official All Star Cafe;1540 Broadway;New York
4499;Oflahertys Ale House;334 W 46th St;New York
4500;Oflanagans;1215 1st Ave;New York
4501;Ogden Services;2 Penn Plz # 25;New York
4502;Oharas Restaurant & Pub;120 Cedar St # 4;New York
4503;Oikawa Restaurant;805 3rd Ave # 2;New York
4504;Okada International Corp;551 Madison Ave # 12;New York
4505;Oke-doke Restaurant;307 E 84th St;New York
4506;Oks Place;111 W 42nd St;New York
4507;Okura Japanese Restaurant Inc;173 3rd Ave;New York
4508;Ola Restaurant;3892 Broadway;New York
4509;Ola Restaurant;E 304 48;New York
4510;Olbel Enterprises Inc;1049 Saint Nicholas Ave;New York
4511;Old Antwerp Tavern;245 W 16th St;New York
4512;Old Castle Pub & Restaurant;160 W. 54th street;New York
4513;Old Country Kitchen Restaurant;44 9th Ave;New York
4514;Old Devil Moon;511 East 12th Street;New York
4515;Old Homestead Gourmet Shop;56 9th Ave;New York
4516;Old Homestead Restaurant Inc;56 9th Ave;New York
4517;Old San Juan;765 9th Ave # 119;New York
4518;Old Stand;914 3rd Ave;New York
4519;Old Town Bar & Restaurant Corp;45 E 18th St;New York
4520;Ole Restaurant;434 2nd Ave;New York
4521;Olimpic Diner;809 8th Ave;New York
4522;Olive Garden;2 Times Square;New York
4523;Olive Garden Cafe 5451;201 W 47th St;New York
4524;Olive Garden Italian Restaurant;201 W 47th St;New York
4525;Olive Tree Cafe;117 Macdougal St;New York
4526;Olivero Associates Inc;638 Columbus Ave;New York
4527;Olives at W New York-Union Square Hotel;201 Park Avenue South;New York
4528;Ollies Chinese Restaurant;1991 Broadway;New York
4529;Ollies Noodle Shop & Grill;200 W 44th St;New York
4530;Ollies Noodle Shop & Grill;2315 Broadway;New York
4531;Ollies Restaurant;2957 Broadway;New York
4532;Olunneys Steak House;204 W 43rd St;New York
4533;Olympic Flame Diner;200 W 60th St;New York
4534;Olympic Restaurant;115 Delancey St;New York
4535;Olympic Restaurant;654 12th Ave;New York
4536;Olympic Restaurant;807 8th Ave;New York
4537;Omega Diner;122 W 72nd St;New York
4538;Omen Restaurant;113 Thompson St;New York
4539;Omjavi West Indian Restaurant;112 Chambers St;New York
4540;On Kee Foods;7 Eldridge St # 7;New York
4541;On The Park Cafe;301 W 135th St;New York
4542;One 3 Barrows;13 Barrow St;New York
4543;One 83 Restaurant;1608 First Ave.;New York
4544;One Fish Two Fish Restaurant;1399 Madison Ave;New York
4545;One If By Land Two If By Sea;17 Barrow St;
4546;One Stop;1708 Amsterdam Ave # 1;New York
4547;One Ten Bar & Grill;110 John Street;New York
4548;One91;191 Orchard Street;New York
4549;Onieals Grand Street Bar;174 Grand St;New York
4550;Oona;218 Lafayette St;New York
4551;Opal;Continental;
4552;Opal;251 E. 52nd Street;New York
4553;Opaline;85 Avenue A;New York
4554;Openers Pub;316 3rd Ave;New York
4555;Opera Espresso;1928 Broadway # 1;New York
4556;Opia;130 East 57th Street;New York
4557;Oreillys Pub;56 W 31st St;New York
4558;Oreillys Towne House Restaurant;21 W 35th St;New York
4559;Orienta;205 E 75th St;New York
4560;Orienta Restaurant;470 Avenue Of The Americas;New York
4561;Oriental Cafe;1580 1st Ave;New York
4562;Oriental Cottage Chin Restaurant;49 W 39th St # 1;New York
4563;Oriental Grill Inc;507 E 6th St;New York
4564;Oriental Lake;136 William St;New York
4565;Oriental Noodle Shop;135 E 45th St;New York
4566;Oriental Palace Restaurant;1728 Madison Ave;New York
4567;Oriental Pearl Restaurant Inc;103 Mott St # 103;New York
4568;Oriental Town Inc;14 Elizabeth St;New York
4569;Original Boychicks;19 W 45th St # 1;New York
4570;Original Pee Wee Jamaican;200 W 146th St # 1;New York
4571;Original Rays Pizza;1827 2nd Ave # 1;New York
4572;Orologio Restaurant;162 Avenue A;New York
4573;Orso Restaurant;322 W 46th St;New York
4574;Osaka;535 8th Avenue;New York
4575;Osborn Hall;433 1st Ave;New York
4576;Osso Buco Restaurant;88 University Pl;
4577;Osteria 1;23 W 39th St;New York
4578;Osteria Del Sole;267 West 4th Street;New York
4579;Osteria Laguna Restaurant;209 E 42nd St;New York
4580;Otabe Japanese Restaurant;68 E 56th St;New York
4581;Otis;754 9th Ave;New York
4582;Ottomanelli Cafe;119 E 18th St;New York
4583;Ottomanelli Cafe;337 3rd Ave;New York
4584;Ottomanelli Meat Market;1549 York Ave;New York
4585;Ottomanellis Cafe;1626 York Ave # 1;New York
4586;Our Place;1444 3rd Ave;New York
4587;Ousmanes Ultimate Halaal;19 W 125th St;New York
4588;Oven Inc;65 2nd Ave;New York
4589;Oxford Cafe;375 5th Ave;New York
4590;Oyster Bar & Restaurant;89 E 42nd St;New York
4591;Oyster Bar 50 4th St & 7th Av;842 7th Ave;New York
4592;Ozu Restaurant;566 Amsterdam Ave;New York
4593;P & C Garden Chinese Rest;44 Trinity Pl;New York
4594;P G Kings;18 W 33rd St;New York
4595;P J Bernstein Deli Restaurant;1215 3rd Ave;New York
4596;P J Carneys East;133 E 56th St;New York
4597;P J Charlton;549 Greenwich St;New York
4598;P J Coffee Co;1740 Broadway;New York
4599;P Js Cocktail Lounge & Rstrnt;2246 7th Ave;New York
4600;P S Gourmet Inc;P S Gourmet Inc;
4601;P S Gourmet Inc;178 5th Ave;New York
4602;P S Wolfs Bay Restaurant;32 W 38th St;New York
4603;P.D O'Hurley's;174 West 72nd Street;New York
4604;PK's Place Diner;211 East 46th Street;New York
4605;Pablo Mexico Restaurant;1643 Lexington Ave;New York
4606;Pacific East;318 W 23rd St;New York
4607;Pacific Echo;242 W 56th Street;New York
4608;Pacific Grill;89 South Street;New York
4609;Pacifica Restaurant Inc;138 Lafayette St;New York
4610;Pacifico;1484 2nd Ave;New York
4611;Pad Thai;114 8th Ave;New York
4612;Paddy Reillys Pub Entertainer;519 2nd Ave # 1;New York
4613;Pagina Uno Inc;308 E 49th St;New York
4614;Pakistan Tea House;176 Church St;New York
4615;Palace Fried Chicken;2211 3rd Ave;New York
4616;Palace Restaurant;122 E 57th St;New York
4617;Palio Restaurant;151 W 51st St;New York
4618;Palladium Restaurant;20 E 53rd St;New York
4619;Palm Restaurant Reservations;837 2nd Ave;New York
4620;Palm Too;840 2nd Ave # 1;New York
4621;Palmira Coffee Shop;4329 Broadway;New York
4622;Pamelas Cafe;683 Broadway;New York
4623;Pamir Restaurant;1065 1st Ave;New York
4624;Pamir Restaurant;1437 2nd Ave # 1;New York
4625;Pampa South American Restaurnt;768 Amsterdam Ave # 9798;New York
4626;Pan Pan Restaurant;500 Lenox Ave;New York
4627;Panchito's Mexican Restaurant;105 Macdougal Street Frnt;New York
4628;Pancho Magico;213 Pearl St # 2;New York
4629;Panchos Restaurant;347 E 109th St;New York
4630;Panda East Chinese Restaurant;536 3rd Ave;New York
4631;Panda Express;90 Maiden Ln;New York
4632;Panda Restaurant;3153 Broadway # 15;New York
4633;Panda Restaurant;578 9th Ave;New York
4634;Panda Restaurant On Sutton Pl Inc;987 1st Ave;New York
4635;Pandit Restaurant;566 Amsterdam Ave;New York
4636;Pane & Cioccolato;10 Waverly Pl;New York
4637;Pangea;178 2nd Ave;New York
4638;Panini & Co. Cafe;168 William St;New York
4639;Paninoteca;250 Mulberry St;New York
4640;Panna Ii Grdn Indn Restaurant Inc;;New York
4641;Panna India Cuisine;330 E 6th St;New York
4642;Panya Bakery;10 Stuyvesant St;New York
4643;Pao Restaurant;322 Spring St # 1;New York
4644;Paolas Restaurant;343 E 85th St;New York
4645;Paoluccis Restaurant;149 Mulberry St;New York
4646;Papa Dou;2077 7th Ave;New York
4647;Papa Leone Pasta Pizza Restaurant I;547 9th Ave;New York
4648;Papaya King Inc;179 E 86th St;New York
4649;Paper Moon Restaurant;39 E 58th St;New York
4650;Papoos Restaurant;129 Greenwich St;New York
4651;Pappardella;316 Columbus Ave # 1;New York
4652;Paquitos Restaurant;175 3rd Ave;New York
4653;Paquitos Restaurant;143 1st Ave # 1;New York
4654;Paris Cafe;119 South St;New York
4655;Paris Commune;411 Bleecker St;
4656;Park Avalon Restaurant;225 Park Ave S;New York
4657;Park Avenue Cafe;100 E 63rd St;New York
4658;Park Avenue Country Club;381 Park Ave S;New York
4659;Park Bistro;414 Park Ave S;New York
4660;Park Cafe;861 7th Ave # 1;New York
4661;Park Italian Gourmet Inc;60 W 45th St;New York
4662;Park Place Cafe;11 Park Pl;New York
4663;Park Restaurant;109 E 56th St;New York
4664;Park Row Gourmet;34 Park Row;New York
4665;Park View Restaurant;219 Dyckman St;New York
4666;Parlour Restaurant;250 W 86th St;New York
4667;Parma Restaurant;1404 3rd Ave;New York
4668;Parnell's Bar & Restaurant;350 E 53rd St;New York
4669;Parsi;181 W 4th St;New York
4670;Party Line Planning;162 W 34th St # 3;New York
4671;Pascalou;1308 Madison Avenue;New York
4672;Pasha Restaurant;70 W 71st St;New York
4673;Pasqua Coffee;51 Astor Pl;New York
4674;Passage To India Restaurant;308 E 6th St # 1003;New York
4675;Passport Restaurant;79 Saint Marks Pl;New York
4676;Pasta Amore Trattoria;315 W 57th St;New York
4677;Pasta Doro;846 7th Ave;New York
4678;Pasta Italia Restaurant;124 W 72nd St;New York
4679;Pasta Lovers;158 W 58th St;New York
4680;Pasta Lovers;142 W 49th St;New York
4681;Pasta Presto #5;959 2nd Ave;New York
4682;Pasta Presto Macdougal;93 Macdougal St;New York
4683;Pasta Vicci Inc;410 Amsterdam Ave;New York
4684;Pastabreak;4 World Trade Ctr;New York
4685;Pastappunto;1427 2nd Ave;New York
4686;Pasteur Restaurant;85 Baxter St;New York
4687;Pasticcio Restaurant;447 3rd Ave # 1;New York
4688;Pastrami Fctry Restaurant & Catrs;333 E 23rd St;New York
4689;Patagonia Cafe Ltd;1151 2nd Ave;New York
4690;Patria;250 Park Ave S;New York
4691;Patrick Conway's;40 E 43rd St;New York
4692;Patrick Kavanagh Pub;497 3rd Ave;New York
4693;Patricks 221 Inc;221 Dyckman St;New York
4694;Patrissy's Restaurant;98 Kenmare St;New York
4695;Patsys Italian Restaurant;236 W 56th St;New York
4696;Patsys Pizzeria;67 University Pl;New York
4697;Patsys Pizzeria;2287 1st Ave;New York
4698;Patsys Pizzeria;1312 2nd Ave # 1;New York
4699;Paul & Jimmy's Restrnt;123 E 18th St;New York
4700;Paulines Mks Corp;109 W 38th St;New York
4701;Pauls Palace;131 2nd Ave;New York
4702;Pavilion Gourmet Shop;500 E 77th St;New York
4703;Pavilion Restaurant;284 Hudson St;New York
4704;Pax;591 Lexington Ave;New York
4705;Pax Enterprises;991 3rd Ave;New York
4706;Pax Enterprises Inc;1776 Broadway # 606;New York
4707;Pax World;202 E 42nd St;New York
4708;Pbi Food Svc Inc;380 W 33rd St;New York
4709;Peacock Alley;301 Park Ave;New York
4710;Pearl;18 Cornelia St;New York
4711;Pearl Palace Of Ny;60 Pearl St # 1;New York
4712;Pearl River Cuisine;22 Elizabeth St;New York
4713;Pearl St Diner Inc;212 Pearl St;New York
4714;Peculier Pub;145 Bleecker St;New York
4715;Pee Dee Steak House;2006 3rd Avenue Rm A5;New York
4716;Peking Duck House;22 Mott St;
4717;Peking Garden;3163 Broadway;New York
4718;Peking Garden;2657 8th Ave;New York
4719;Peking Garden Restaurant;597 6th Ave;New York
4720;Peking Park Ave Restaurant Inc;100 Park Ave;New York
4721;Peking Royal Restaurant;71 4th Ave;New York
4722;Penang;240 Columbus Ave;New York
4723;Penang;1596 2nd Ave;New York
4724;Penang Bar & Grill;64 3rd Ave;New York
4725;Penang Chinatown Restaurant;41 Elizabeth St;New York
4726;Penang Restaurant;109 Spring St;New York
4727;Penn Bar & Grill;416 8th Ave;New York
4728;Penn Place Pub;372 8th Ave;New York
4729;Pennyfeathers Cafe;95 7th Ave S;New York
4730;Pensylviana Pretzel;117 Christopher St;New York
4731;Peoples Choice;2733 8th Ave # Ground;New York
4732;Pepe Rosso;149 Sullivan St;New York
4733;Pepe Verde;559 Hudson St;New York
4734;Peppermint Park Cafe;1225 1st Ave;New York
4735;Peppers Restaurant & Bar;349 Broadway # 1;New York
4736;Pepys Place;153 E 48th St;New York
4737;Pergola Des Artistes;252 W 46th St;New York
4738;Periyali;35 West 20th Street;New York
4739;Perks Fine Cuisine;553 Manhattan Ave;
4740;Perretti Italian Cafe;270 Columbus Ave;New York
4741;Perrys End;55 Greenwich Ave;New York
4742;Persepolis;1423 2nd Ave;New York
4743;Pertutti Cafe;2888 Broadway;New York
4744;Pescadou;18 King St;New York
4745;Pescatore Restaurant;955 2nd Ave;New York
4746;Pesce & Pasta East;1079 1st Ave;New York
4747;Pesce Pasta Trattoria;262 Bleecker St;New York
4748;Pesce Pasta Tre;1562 3rd Ave;New York
4749;Petaluma Restaurant;1356 1st Ave;New York
4750;Peters;182 Columbus Ave;New York
4751;Peters;1239 1st Ave;New York
4752;Peters Restaurant;98 Madison Ave;New York
4753;Petes Luncheonette;30 E 32nd St;New York
4754;Petes Place Restaurant;256 3 Av;New York
4755;Petes Tavern;129 E 18th St;New York
4756;Petite Abeille;466 Hudson St;New York
4757;Petite Abeille;107 W 18th St;New York
4758;Petrossian Restaurant;182 W 58th St;New York
4759;Phebes Place;361 Bowery;New York
4760;Philip Marie Restaurant;569 Hudson St;New York
4761;Pho Bang Restaurant Inc;3 Pike St;New York
4762;Phobang Restaurant;117 Mott St;New York
4763;Phoenix Garden Restaurant;242 E 40th St;New York
4764;Piada;3 Clinton;New York
4765;Piazza Bella;88 Madison Ave # 28;New York
4766;Pic Up Stix;1372 Lexington Ave;New York
4767;Picasso Restaurant;303 E 56th St # 5;New York
4768;Piccolo Angolo;621 Hudson St;New York
4769;Piccolos Pizza Plus;388 Broome St;New York
4770;Picholine;35 West 64th Street;New York
4771;Pierino Restaurant;107 Reade St;New York
4772;Pierre Au Tunnel French Restaurant;250 W 47thst Maain;New York
4773;Pietrasanta Restaurant;683 9th Ave;New York
4774;Pietros Restaurant;232 E 43rd St;New York
4775;Pig & Whistle Pub Restaurant;165 W 47th St;New York
4776;Pig & Whistle Tribeca;365 Greenwich St;New York
4777;Pig Heaven Restaurant;1540 2nd Ave;
4778;Pings Seafood Restaurant;20 E Broadway;New York
4779;Pink Angel Restaurant;773 Saint Nicholas Ave;New York
4780;Pink Teacup Inc;42 Grove St;New York
4781;Pinnacle;725 3rd Ave;New York
4782;Pinos Restaurant;120 E 34th St;New York
4783;Pio Pio;1329 Saint Nicholas Ave;New York
4784;Pipeline World Financial Tower;225 Liberty St # B;New York
4785;Pipers Kilt Of Inwood Inc;4944 Broadway;New York
4786;Pisces Restaurant;95 Avenue A;New York
4787;Pisello Restaurant;200 8th Ave;New York
4788;Pita City;180 7th Ave;New York
4789;Pita Cuisine Of La Guardia Pk;535 Laguardia Pl;New York
4790;Pita Cuisine Of Soho;65 Spring St;New York
4791;Pita Express;15 Ann St # 4;New York
4792;Pita Express;261 1st Ave;New York
4793;Pita Grill;175 2nd Avenue;New York
4794;Pita Grill;951 2nd Ave;New York
4795;Pita Grill I;1594 2nd Ave;New York
4796;Pita Hut Inc;225 W 23rd St;New York
4797;Pita Piper;510 Amsterdam Ave;New York
4798;Pita Place;247 W 38th St;New York
4799;Pitachoune Restaurant;226 3rd Ave;New York
4800;Pizza Box;176 Bleecker St;New York
4801;Pizza Haven;4942 Broadway;New York
4802;Pizza Hut;1515 Broadway;New York
4803;Pizza Hut;196 Broadway;New York
4804;Pizza Hut;359 2nd Ave;New York
4805;Pizza Hut;48 New St;New York
4806;Pizza Hut;560 5th Ave;New York
4807;Pizza Hut;800 2nd Ave;New York
4808;Pizza On The Pier;17 E River Dr;New York
4809;Pizza Place Corp;1325 5th Ave;New York
4810;Pizza Plus;642 9th Ave;New York
4811;Pizza Plus Plus;276 Canal St # 1;New York
4812;Pizzeria Uno;432 Columbus Ave;New York
4813;Pizzeria Uno;55 3rd Ave # 1;New York
4814;Pizzeria Uno;391 6th Ave;New York
4815;Pizzeria Uno;220 E 86th St;New York
4816;Pizzeria Uno;89 South St;New York
4817;Plaka Restaurant Inc;165 Bleecker St;New York
4818;Planet Hollywood;140 W 57th St;New York
4819;Planet Hollywood;152 W 57th St # 6;
4820;Planet One Cafe;76 E 7th St;New York
4821;Planet Sushi;380 Amsterdam Ave;New York
4822;Play Wright Tavern;202 W 49th St;New York
4823;Playwright Bar & Restaurant;732 8th Ave;New York
4824;Plaza Diner;1066 2nd Ave;New York
4825;Plaza Espana;130 W 58th St;New York
4826;Pluck Ninth Avenue Inc;768 9th Ave;New York
4827;Pluck U;643 2nd Ave;New York
4828;Pluck University Wings;50 3rd Ave;New York
4829;Pluck University Wings Inc;68 W 3rd St;New York
4830;Pluck University Wings Inc;124 Nassau St;New York
4831;Plug Uglies;257 3rd Ave;New York
4832;Plum Tree Restaurant;1501 1st Ave;New York
4833;Po Restaurant;31 Cornelia St;New York
4834;Poisson;108 W 44th St;New York
4835;Pollos Bravo;227 E 116th St.;New York
4836;Polly Esthers;1487 1st Ave;New York
4837;Polny Restaurant Corp;507 E 5th St;New York
4838;Polonia Restaurant;110 1st Ave;New York
4839;Pomaire;371 W 46th St.;New York
4840;Pomaire Restaurant Inc;371 West 46th Street;
4841;Pommes Frites;123 2nd Ave;New York
4842;Pomodori Restaurant;1425 2nd Ave;New York
4843;Pomodoro;229 Columbus Ave;New York
4844;Pondicherry Restaurant;8 W 58th St;New York
4845;Pongal Inc;110 Lexington Ave;New York
4846;Pongsri Thai Restaurant;311 2nd Ave # 1;New York
4847;Pongsri Thai Restaurant;244 W 48th St;New York
4848;Ponty Bistro Cafe & Bar;218 3rd Avenue;
4849;Poona Indian Restaurant Inc;128 W 72nd St;New York
4850;Popal Corp;1316 5th Ave;New York
4851;Popeyes Famous Fried Chick Inc;722 7th Ave;New York
4852;Popeyes Famous Fried Chicken;221 W 34thst Lbbby;New York
4853;Popover Cafe;551 Amsterdam Ave;New York
4854;Poppies Restaurant;17 W 32nd St;New York
4855;Poppolinis;16 Waverly Pl;New York
4856;Port West Restaurant;576 9th Ave # 1;New York
4857;Portfolio Restaurant & Gallery;4 W 19th St;New York
4858;Porto Fino Pizza Restaurant Ii;138 W 46th St;New York
4859;Porto-bello Restaurant;208 Thompson St;
4860;Portobello Pizzeria Restaurant;83 Murray St # 1;New York
4861;Positano Ristorante;122 Mulberry St;New York
4862;Post House;28 E 63rd St;
4863;Power Juice Bar;11 Waverly Pl;New York
4864;Poy Laung Thai Restaurant;210 Thompson St;New York
4865;Premier Realty Management;36 W 47th St;New York
4866;Prestos;2770 Broadway;New York
4867;Pret A Manger;1384 Broadway;New York
4868;Pretzel Time;17 E River Piers;New York
4869;Primavera Pizza & Pasta;1005 2nd Ave;New York
4870;Primavera Ristorante;1578 1st Ave;New York
4871;Prime Burger;5 East 51st Street;New York
4872;Primetime Pizza;64 7th Ave;New York
4873;Primitivo Osteria;202 West 14th Street (7th Avenue);New York
4874;Primola Restaurant;1226 2nd Ave;New York
4875;Princess Hotels Intl Svc;900 3rd Ave # 9;New York
4876;Pro Deli;62 W 56th St # 207;New York
4877;Prohibition Restaurant;503 Columbus Ave;New York
4878;Pronto Pizza;1101 Avenue Of The Americas;New York
4879;Pronto Pizza;114 Liberty St # 1;New York
4880;Pronto Pizza;2937 Broadway 115th St;New York
4881;Pronto Restaurants;55 W 55th St;New York
4882;Provence Restaurant;38 Macdougal St;New York
4883;Provi Provi;228 W 72nd St;New York
4884;Prowl;1374 1st Ave;New York
4885;Puccini Cafe;475 Columbus Ave;New York
4886;Puglia Restaurant;189 Hester St;New York
4887;Puket Thai Restaurant;945 2nd Ave;New York
4888;Puleos Restaurant;263 W 45th St;New York
4889;Puleos Too;259 W 45th St;New York
4890;Pump;113 E 31st St;New York
4891;Pump;156 William St;New York
4892;Pumpernick Delicatessen;64 W 39th St;New York
4893;Punch;913 Broadway;
4894;Punjab Palace;189 W Houston St;New York
4895;Pupetto Inc;25 E 63rd St;New York
4896;Purnima;245 W. 54 street;New York
4897;Pylos Restaurant;128 East 7;New York
4898;Pyramid Wrapps;28 W 40th St;New York
4899;Pyramida Foods;401 E 78th St;New York
4900;Q Bs;119 E 23rd St;New York
4901;Q2 Thai;788 9th Avenue;New York
4902;QDT;111 Reade Street;New York
4903;Quantum Leap Natural Food;88 W 3rd St;
4904;Quatorze Bis Restaurant;323 E 79th St;New York
4905;Quattro Gatti Restaurant Inc;205 E 81st St;New York
4906;Queen Of Sheba;650 10th Ave;New York
4907;Queen Sheeba Restaurant;1768 Amsterdam Ave;New York
4908;Quesquella Restaurant;3536 Broadway;New York
4909;Quilty's;177 Prince Street;New York
4910;Quiltys Restaurant;177 Prince St;New York
4911;Quizno's;304 West 34th Street;New York
4912;R J Colors;237 Park Ave;New York
4913;R S Restaurant Equipt;272 Bowery;New York
4914;Rachels;608 9th Ave;New York
4915;Radio Mexico Cafe;259 Front St;New York
4916;Rafaella Restaurant;381 Bleecker St;New York
4917;Rafaella To Go;384 Bleecker St;New York
4918;Raffaele Restaurant;1055 1st Ave;New York
4919;Raffles Coffee Shop;511 Lexington Ave;New York
4920;Rafina Greek Seafood Tagerna;1481 York Ave;New York
4921;Rain;100 W 82nd St;New York
4922;Rainbow And Stars;30 Rockefeller Plz # 65;New York
4923;Rainbow Chicken;2801 Broadway;New York
4924;Raj India;336 8th Ave;New York
4925;Raj Mahal;322 E 6th St;New York
4926;Raku II;57 West 76th;New York
4927;Ralphs Restaurant;862 9th Ave;New York
4928;Ranch 1;1111 6th Ave;New York
4929;Ranch 1;864 Broadway;New York
4930;Ranch 1;717 8th Ave;New York
4931;Ranch 1;130 W 42nd St # 21;New York
4932;Ranch 1;180 Broadway;New York
4933;Ranch 1;315 7th Ave # 1;New York
4934;Ranch 1;325 Broadway;New York
4935;Ranch 1;1333 Broadway;New York
4936;Ranch 1;684 3rd Ave;New York
4937;Ranch 1;1695 Broadway;New York
4938;Ranch 1;16 W 48th St;New York
4939;Ranch 1;14 E 42nd St;New York
4940;Ranch 1;303 Park Ave S;New York
4941;Ranch 1 Franchise Concept Grp;832 8th Ave;New York
4942;Rancho;466 Amsterdam Ave;New York
4943;Rancho El Girasol Inc;221 1st Ave;New York
4944;Rands Food Shops Inc;100 Centre St;New York
4945;Raouls Restaurant;180 Prince St;New York
4946;Rare Bar & Grill;228 Bleecker Street;New York
4947;Rathbones Restaurant;1702 2nd Ave;New York
4948;Ratners Dairy Restaurant;138 Delancey St;New York
4949;Rattlesnake Holding Co Inc;439 E 82nd St;New York
4950;Ray Bari Pizza;1330 Third Avenue;
4951;Ray Bari Pizza;400 West 42nd St.;
4952;Ray Bari Pizza;930 Third Ave.;New York
4953;Ray Bari Pizza Of W 69 Street;201 Amsterdam Ave;New York
4954;Raymonds Cafe;88 7th Ave;New York
4955;Rays Pizza;164 Chambers St;New York
4956;Reade Street Pub & Kitchen;135 Reade St;New York
4957;Rebeccas Bakery & Chicken Q;127 Avenue C;New York
4958;Recolte La Restaurant;110 E 49th St;New York
4959;Rectangels Cafe & Bar;159 2nd Ave # 1;New York
4960;Red Apple Chinese Restaurant;2109 1st Ave # 108;New York
4961;Red Bar Restaurant;339 East 75th Street;New York
4962;Red Flame Coffee Shop;67 W 44th St # 1;New York
4963;Red House Restaurant Of Ny;203 E 14th St;New York
4964;Red Light Bistro;50 9th Ave;New York
4965;Red Tulip;439 E. 75th Street;New York
4966;Redemption Cocktail Lounge & Cafe;1003 Second Ave;New York
4967;Redwood;2077 Broadway;New York
4968;Regate;198 Orchard Street;New York
4969;Regents;317 E 53rd St;New York
4970;Regional Thai Sawoy;1479 1st Ave;New York
4971;Regional Thai Taste Restaurant;Thai;
4972;Regional Thai Taste Restaurant;208 7th Ave;New York
4973;Reliable Catering Svc;549 W 145th St;New York
4974;Remache Store;55 West 125th Street Frnt;New York
4975;Reme Food Inc;4021 Broadway;New York
4976;Remi Restaurant;145 W 53rd St;New York
4977;Reminisce Bar & Lounge;334 E 73rd St;New York
4978;Renaissance Diner;776 9th Ave;New York
4979;Renchers Crab Inn Inc;15 W 125th St;New York
4980;Rene Pujol Restaurant;321 W 51st St;New York
4981;Republic;37 Union Sq W;New York
4982;Reservoir Bar;70 University Pl;New York
4983;Resman Corp;200 W 84th St;New York
4984;Restaurant 222;222 W 79th St;New York
4985;Restaurant 92;92 Fulton St;New York
4986;Restaurant Advisory Svc;160 E 64th St # 3f;New York
4987;Restaurant Assoc;120 W 45th St # 16;New York
4988;Restaurant At South Park Hotel;122 East 28;New York
4989;Restaurant Daniel;20 E 76th St;
4990;Restaurant El Ranchito;4129 Broadway;New York
4991;Restaurant Group La Juquilita;710 Amsterdam Ave;New York
4992;Restaurant Juquila;926 Amsterdam Ave;New York
4993;Restaurant Punto Fijo;2102 Amsterdam Ave;New York
4994;Restaurant Raphael;33 W 54th St;New York
4995;Restaurant Riki;141 E 45th St;New York
4996;Restaurant Sambuca;4199 Broadway;New York
4997;Restaurante Ecuatoriano Gensis;511 W 181st St # 3;New York
4998;Restaurante El Taxista Ectorno;206 Audubon Ave;New York
4999;Restivo Ristorante;209 7th Ave;New York
5000;Reunion;301 W 57th St;New York
5001;Revival;2367 Fredrick Douglas Blvd;New York
5002;Revolution;611 9th Ave;New York
5003;Rhodes Restaurant Inc;3 Hanover Sq # 1;New York
5004;Rhong-Tiam;541 La Guardia Place;
5005;Riazor;245 W 16th St;New York
5006;Ricardo Steak House;Steak House;
5007;Ricardo Steak House;2145 2nd Avenue;New York
5008;Rice & Beans Restaurant;744 9th Ave;New York
5009;Rice Take Out Restaurant;227 Mott St # 1;New York
5010;Richards Pasta Cafe;23 Saint James Pl;New York
5011;Richies Gourmet;1408 Madison Ave;New York
5012;Rico Food Shop;91 South St;New York
5013;Ricos Restaurant;110 E 23rd St;New York
5014;Riese Ny;401 E 63rd St;New York
5015;Right Bank Restaurant;822 Madison Ave;New York
5016;Rikyu Japanese Restaurant;210 Columbus Ave # 1;New York
5017;Rincon De Espana;226 Thompson St;New York
5018;Rinconcito Mexicano;137 E 110th St;New York
