;restaurant;address;neighborhood;addressGoogle
830;Le Gigot;18 Cornelia St btwn Bleecker and W 4th...;Greenwich Village;18-20 Cornelia St
831;Le Lupanar;103 Essex St at Delancey St;Lower East Side;103 Essex St
832;Le Marais;150 West 46th St btwn 6th and 7th Aves;Midtown West;150 W 46th St 6th floor
833;Le Miu;107 Ave A btwn 6th and 7th Sts;East Village;107 Ave A btwn 6th and 7th Sts
834;Le Miu (CLOSED);;East Village;
835;Le Monde;2885 Broadway btwn 112th and 113th Sts;Upper West Side;2885 Broadway
836;Le Pain Quotidien;50 W 72nd St btwn Central Park West and...;Upper West Side;50 W 72nd St btwn Central Park West and...
837;Le Pain Quotidien;50 W 72nd St btwn Central Park West and...;SoHo;50 W 72nd St btwn Central Park West and...
838;Le Pain Quotidien;50 W 72nd St btwn Central Park West and...;Upper East Side;50 W 72nd St btwn Central Park West and...
839;Le Pere Pinard;175 Ludlow St btwn Houston and Stanton...;Lower East Side;175 Ludlow St btwn Houston and Stanton...
840;Le Perigord;405 E 52d St btwn 1st Ave and Sutton Pl;Midtown East;1st Avenue
841;Le Refuge;;Upper East Side;
842;Le Singe Vert;;Chelsea;
843;Le Souk;;East Village;
844;Le Tableau (CLOSED);511 E 5th St btwn Aves A and B;East Village;511 E 5th St btwn Aves A and B
845;Le Veau d'Or;129 E 60th St btwn Park and Lexington...;Upper East Side;129 E 60th St btwn Park and Lexington...
846;Le Zie 2000;172 Seventh Ave btwn 20th and 21st Sts;Chelsea;172 Seventh Ave btwn 20th and 21st Sts
847;Leela Lounge;;Greenwich Village;
848;Les Enfants Terribles;37 Canal St at Ludlow St;Lower East Side;37 Canal St
849;Levain Bakery;;Upper West Side;
850;Levana;;Upper West Side;
851;Lever House;;Midtown East;
852;Life Cafe;;East Village;
853;Lil' Frankie's Pizza;;East Village;
854;Lili's Noodle Shop and Grill;;Midtown West;
855;Lili's Noodle Shop and Grill;;Upper East Side;
856;Lima's Taste (CLOSED);;Greenwich Village;
857;Lime Leaf;;Upper West Side;
858;Lisca;;Upper West Side;
859;Little D Eatery;434 7th Ave btwn 14th and 15th Sts;Park Slope;434 7th Ave
860;Little Giant;85 Orchard St at Broome St;Lower East Side;85 Orchard St
861;Lola;15 Watts St btwn Thompson St and West...;SoHo;Thompson St
862;Lollipop;27 E 61st St btwn Madison and Park Aves;Midtown East;27 E 61st St btwn Madison and Park Aves
863;Lomito (CLOSED);;SoHo;
864;Long Tan;;Park Slope;
865;Lookout Hill Smokehouse (CLOSED);;Park Slope;
866;Loreley;7 Rivington St btwn Bowery and Chrystie...;Lower East Side;7 Rivington St
867;Los Pollitos II;;Park Slope;
868;LuLu;235 Mulberry Street at Spring St;SoHo;235 Mulberry St
869;Lucien;14 First Ave btwn 1st and 2nd Sts;East Village;2nd Ave
870;Lucky Cheng's;24 First Ave at E 2nd St;East Village;24 1st Avenue
871;Lucky Strike;;SoHo;
872;Lucky's Famous;;Midtown West;
873;Lugo Caffe;;Midtown West;
874;Luke's Bar and Grill;;Upper East Side;
875;Lumi;963 Lexington Ave at 70th St;Upper East Side;963 Lexington Ave
876;Lupa;;Greenwich Village;
877;Lupe's East L.A. Kitchen;110 Sixth Ave at Watts St;SoHo;110 6th Ave
878;Lure Fishbar;;SoHo;
879;Lusardi's;1494 Second Ave at 78th St;Upper East Side;1494 2nd Ave
880;Luscious Food;59 Fifth Ave btwn Bergen St and St...;Park Slope;59 5th Ave
881;Lusso;;SoHo;
882;Luxee;;Lower East Side;
883;Luzia's;429 Amsterdam Ave btwn 80th and 81st Sts;Upper West Side;412 Amsterdam Ave
884;Luzzo's;211-213 First Ave at 13th St;East Village;211-213 First Ave at 13th St
885;Macaron;16 W 36 St btwn Broadway and 7th Aves;Midtown West;16 W 36 St btwn Broadway and 7th Aves
886;Macondo;157 E Houston St btwn Eldridge and...;Lower East Side;157 E Houston St
887;Madaleine Mae (CLOSED);461 Columbus Ave at 82nd St;Upper West Side;461 Columbus Ave
888;Madison and Vine;299 Madison Ave at 41st St;Midtown East;299 Madison Ave
889;Maia;98 Ave B btwn 6th and 7th Sts;East Village;98 Ave B btwn 6th and 7th Sts
890;Maison;1700 Broadway btwn 53rd and 54th Sts;Midtown West;1700 Broadway
891;Malatesta Trattoria;;Greenwich Village;
892;Maloney and Porcelli;;Midtown East;
893;Mama Mexico;;Midtown East;
894;Mama Mexico;;Upper West Side;
895;Mama's Food Shop;200 E 3rd St btwn Aves A and B;East Village;200 E 3rd St btwn Aves A and B
896;Mamlouk;;East Village;
897;Mamoun's Falafel;;Greenwich Village;
898;Mamoun's Falafel;;East Village;
899;Mandoo Bar;2 W 32nd St btwn Fifth Ave and Broadway;Midtown West;17 W 32nd St
900;Mangia e Bevi;800 Ninth Ave at 53rd St;Midtown West;800 9th Ave
901;Mangiarini;;Upper East Side;
902;Manhattan Bistro;129 Spring St btwn Greene and Wooster...;SoHo;129 Spring St btwn Greene and Wooster...
903;Mara's Homemade;342 E 6th St btwn First and Second Aves;East Village;342 E 6th St
904;Maracas Mexican Bar and Grill;33 Greenwich Ave btwn Sixth and Seventh...;Greenwich Village;33 Greenwich Ave
905;Mare;;Chelsea;
906;Marfa;;East Village;
907;Margon;136 W 46th St btwn Sixth and Seventh...;Midtown West;136 W 46th St
908;Maria's Mexican Bistro;669 Union St btwn Fourth and Fifth Aves...;Park Slope;5th Ave
909;Marinella;49 Carmine St at Bedford St;Greenwich Village;Centric
910;Marion's Continental Restaurant and Lounge (CLOSED);354 Bowery btwn Great Jones and E 4th...;East Village;Great Jones St
911;Market Cafe;496 Ninth Ave btwn 37th and 38th Sts;Midtown West;496 Ninth Ave btwn 37th and 38th Sts
912;Market Table;54 Carmine St at Bedford St;Greenwich Village;54 Carmine St
913;Markt;;Chelsea;
914;Maroons;244 W 16th St btwn Seventh and Eighth...;Chelsea;244 W 16th St btwn Seventh and Eighth...
915;Maroons (CLOSED);;Chelsea;
916;Marseille;;Midtown West;
917;Maruzzella;;Upper East Side;
918;Mary's Fish Camp;64 Charles St at 4th St;Greenwich Village;64 Charles St #4th
919;Mas (Farmhouse);;Greenwich Village;
920;Masa;10 Columbus Circle at 60th St;Midtown West;10 Columbus Cir
921;Matador;57 Greenwich Ave btwn Perry and Charles...;Greenwich Village;57 Greenwich Ave btwn Perry and Charles...
922;Matador (CLOSED);;Greenwich Village;
923;Match 65;29 E 65th St btwn Madison and Park Aves;Upper East Side;29 E 65th St
924;Matilda;647 E 11th St btwn Aves B and C;East Village;647 E 11th St
925;Matsuri;369 W 16th St btwn 8th and 9th Aves;Chelsea;369 W 16th St
926;Max;;East Village;
927;Maya;1191 First Ave btwn 64th and 65th Sts;Upper East Side;1191 First Ave btwn 64th and 65th Sts
928;Maz Mezcal;316 E 86th St btwn First and Second A;Upper East Side;444 East 86th St
929;Maze;;Midtown West;
930;McCormick and Schmick's;1285 Sixth Ave at 51st St;Midtown West;1285 6th Ave
931;Medina;;Chelsea;
932;Megu Midtown;845 United Nations Plaza at E 47th St;Midtown East;845 United Nations Plaza
933;Mekong (CLOSED);16 King St at Sixth Ave;SoHo;18 King St
934;Melt;440 Bergen St btwn Flatbush and Fifth...;Park Slope;440 Bergen St
935;Men Kui Tei;60 W 56th St btwn 5th and 6th Aves;Midtown East;6th Ave
936;Men Kui Tei;60 W 56th St btwn 5th and 6th Aves;East Village;6th Ave
937;Mercadito;;East Village;
938;Mercadito Cantina;172 Ave B btwn 10th and 11th Sts;East Village;172 Ave B btwn 10th and 11th Sts
939;Mercadito Grove;100 Seventh Ave So at Grove St;Greenwich Village;100 7th Ave S
940;Mercat;45 Bond St btwn Lafayette St and Bowery;East Village;45 Bond St btwn Lafayette St and Bowery
941;Mercer Kitchen;147 Mercer St at Mercer St;SoHo;147 Mercer St
942;Meskel;199 E 3rd St btwn Aves A and B;East Village;199 E 3rd St
943;Metisse;239 W 105th St btwn Amsterdam Ave and...;Upper West Side;239 W 105th St
944;Metrazur;404 Grand Central Terminal at Park Ave;Midtown East;89 E 42nd St
945;Metro Marche;;Midtown West;
946;Metsovo (CLOSED);65 W 70th St at Columbus Ave;Upper West Side;65 W 70th St
947;Mexicana Mama;;Greenwich Village;
948;Mezzaluna;;Upper East Side;
949;Mezzogiorno;;SoHo;
950;Mi Cocina;57 Jane St at Hudson St;Greenwich Village;57 Jane St #5131
951;Mia Dona;;Midtown East;
952;Michael Jordan's the Steakhouse N.Y.C.;23 Vanderbilt Ave at 42nd St;Midtown East;23 Vanderbilt Ave
953;Michael's;24 West 55th St btwn 5th and 6th Aves;Midtown West;6th Ave
954;Minca;536 E 5th St btwn Aves A and B;East Village;536 E 5th St
955;Minetta Tavern;;Greenwich Village;
956;Mingala Burmese;;Upper East Side;
957;Mint;150 E 50th St btwn Lexington and Third...;Midtown East;150 East 50th Street Between lexington &
958;Miracle Grill;222 Seventh Ave at 3rd St;Park Slope;222 Seventh Ave at 3rd St
959;Miracle Grill;222 Seventh Ave at 3rd St;Greenwich Village;222 Seventh Ave at 3rd St
960;Miriam;79 5th Ave at Prospect Place;Park Slope;Albert and Vera List Academic Center
961;Mishima;164 Lexington Ave btwn 30th and 31st Sts;Midtown East;164 Lexington Ave btwn 30th and 31st Sts
962;Miss Mamie's Spoonbread Too;366 W 110th St btwn Manhattan and...;Upper West Side;366 W 110th St
963;Miss Saigon (CLOSED);1425 Third Ave btwn 80th and 81st Sts;Upper East Side;1425 Third Ave btwn 80th and 81st Sts
964;Miyagi;220 W 13th St btwn Seventh and...;Greenwich Village;220 W 13th St
965;Moim;;Park Slope;
966;Molyvos;;Midtown West;
967;Momofuku Bakery and Milk Bar;;East Village;
968;Momofuku Ko;;East Village;
969;Momofuku Noodle Bar;163 1st Ave btwn 10th and 11th Sts;East Village;163 1st Ave btwn 10th and 11th Sts
970;Momofuku Ssam Bar;207 2nd Ave at E 13th St.;East Village;207 2nd Ave
971;Momoya;187 7th Ave at 21st St;Chelsea;187 7th Ave
972;Monte's Trattoria;97 MacDougal St btwn W 3rd and Bleecker...;Greenwich Village;97 MacDougal St
973;Montebello;120 E 56th St btwn Park and Lexington...;Midtown East;120 E 56th St Ste #610
974;Montparnasse;;Midtown East;
975;Mooncake Foods;28 Watts St btwn Sixth Ave and Thompson...;SoHo;28 Watts St btwn Sixth Ave and Thompson...
976;Moran's Chelsea;146 Tenth Ave at 19th St;Chelsea;146 Amsterdam Ave
977;Morandi;;Greenwich Village;
978;Morimoto;;Chelsea;
979;Morrell Wine Bar and Cafe;1 Rockefeller Plaza btwn 5th and 6th...;Midtown West;1 Rockefeller Plaza 48Th and
980;Morton's of Chicago;551 Fifth Ave at 45th St;Midtown West;551 5th Ave
981;Moustache;265 E 10th St btwn First Ave and Ave A;East Village;265 E 10th St btwn First Ave and Ave A
982;Moustache;265 E 10th St btwn First Ave and Ave A;Greenwich Village;265 E 10th St btwn First Ave and Ave A
983;Moutarde;239 Fifth Ave at Carroll St;Park Slope;239 Fifth Ave at Carroll St
984;Mr Jones;;East Village;
985;Mr. Chow;;Midtown East;
986;Mr. Falafel;;Park Slope;
987;Mr. K's;;Midtown East;
988;Mr. Skewer and Company;;Greenwich Village;
989;My Befana (CLOSED);116 West Houston St btwn Sullivan and...;SoHo;116 W Houston St
990;Naima;;Chelsea;
991;Naka Naka;;Chelsea;
992;Nana;;Park Slope;
993;Naples 45;;Midtown East;
994;Natsumi;226 W 50th St btwn 8th Ave and Broadway;Midtown West;226 W 50th St
995;Naya Mezze and Grill;1057 Second Ave btwn 55th and 56th St;Midtown East;1057 Second Ave btwn 55th and 56th St
996;Negril;362 W 23rd St btwn Eighth and Ninth Aves;Chelsea;362 W 23rd St
997;Negril Village;70 W 3rd St btwn La Guardia Pl and...;Greenwich Village;Queens
998;Nello;;Upper East Side;
999;Neo Sushi;;Upper West Side;
1000;Nice Matin;;Upper West Side;
1001;Nick and Stef's Steakhouse;9 Penn Plaza at 33rd St;Midtown West;9 Pennsylvania Plaza
1002;Nick and Toni's;;Upper West Side;
1003;Nick's Pizza;1814 Second Ave at 94st St;Upper East Side;1814 2nd Ave
1004;Nicky's Vietnamese Sandwiches;150 E 2nd St btwn Aves A and B;East Village;150 E 2nd St btwn Aves A and B
1005;Nino's;1354 First Ave btwn 72nd and 73rd Sts;Upper East Side;1354 First Ave btwn 72nd and 73rd Sts
1006;Nino's 208;208 E 58th St btwn Second and Third Aves;Midtown East;208 E 58th St btwn Second and Third Aves
1007;Nino's Bellissima Pizza;;Midtown East;
1008;Nino's Positano (CLOSED);;Midtown East;
1009;Nino's Tuscany;;Midtown West;
1010;Nippon;;Midtown East;
1011;Nizza;;Midtown West;
1012;NoNO Kitchen;;Park Slope;
1013;Noah's Ark;;Lower East Side;
1014;Nobu 57;;Midtown West;
1015;Noche Mexicana;852 Amsterdam Ave btwn 101st and 102nd...;Upper West Side;852 Amsterdam Ave
1016;Nomad;78 Second Ave btwn 4th and 5th Sts;East Village;5th Ave
1017;Nonna;;Upper West Side;
1018;Noodle Bar;172 Orchard St at Stanton St;Lower East Side;172 Orchard St
1019;Noodle Bar;172 Orchard St at Stanton St;Greenwich Village;172 Orchard St
1020;Nook;;Midtown West;
1021;Norma's;;Midtown West;
1022;Notaro;;Midtown East;
1023;Nougatine;;Midtown West;
1024;Novecento;343 W Broadway btwn Broome and Grand Sts;SoHo;343 W Broadway btwn Broome and Grand Sts
1025;Novo (CLOSED);290 Hudson St btwn Dominick and Spring...;SoHo;246 Spring St
1026;O.G.;;East Village;
1027;Obika;;Midtown East;
1028;Ocean Grill;384 Columbus Ave btwn 78th and 79th Sts;Upper West Side;384 Columbus Ave btwn 78th and 79th Sts
1029;Oceana;;Midtown East;
1030;Old Devil Moon;511 E 12th St btwn Aves A and B;East Village;511 E 12th St
1031;Old Devil Moon (CLOSED);;East Village;
1032;Old San Juan;;Midtown West;
1033;Oliva;161 E Houston St at Allen St;Lower East Side;161 E Houston St
1034;Olive Vine Cafe;;Park Slope;
1035;Omai;;Chelsea;
1036;Omen;;SoHo;
1037;Omido;;Midtown West;
1038;Oms/b;156 E 45th St btwn Lexington and Third...;Midtown East;156 E 45th St
1039;One If By Land, Two If By Sea;;Greenwich Village;
1040;Orsay;;Upper East Side;
1041;Orso;322 W 46th St btwn Eighth and Ninth Aves;Midtown West;322 W 46th St btwn Eighth and Ninth Aves
1042;Osteria Gelsi;;Midtown West;
1043;Osteria Laguna;;Midtown East;
1044;Osteria Serafina;38 E 58th St btwn Park and Madison Aves;Midtown East;38 E 58th St
1045;Osteria al Doge;;Midtown West;
1046;Osteria del Circo;;Midtown West;
1047;Ostia;;Greenwich Village;
1048;Otafuku;;East Village;
1049;Otto Enoteca Pizzeria;;Greenwich Village;
1050;Ouest;;Upper West Side;
1051;Ozu;566 Amsterdam Ave btwn 87th and 88th Sts;Upper West Side;566 Amsterdam Avenue Ave Bet 87st and
1052;P*Ong;;Greenwich Village;
1053;PDT;113 St Marks Pl btwn First Ave and Ave A;East Village;113 St Marks Pl
1054;PJ Clarke's;;Midtown East;
1055;PJ Clarkes at Lincoln Square;;Upper West Side;
1056;Padre Figlio;;Midtown East;
1057;Paladar;161 Ludlow St btwn Houston and Stanton...;Lower East Side;161 Ludlow St btwn Houston and Stanton...
1058;Palm Court;1 Central Park South;Midtown East;1 Central Park S
1059;Palm Court (CLOSED);;Midtown East;
1060;Palma;;Greenwich Village;
1061;Palo Santo;;Park Slope;
1062;Pam Real Thai Food;404 W 49th St btwn Ninth and Tenth Aves;Midtown West;540 W 49th St
1063;Pampano;;Midtown East;
1064;Pampano Taqueria;805 Third Ave btwn 49th and 50th Sts;Midtown East;805 Third Ave btwn 49th and 50th Sts
1065;Panca;;East Village;
1066;Panificio (CLOSED);175 Ave B at E 11th St;East Village;175 Ave B at E 11th St
1067;Paola's;245 E 84th St btwn Second and Third Aves;Upper East Side;245 E 84th St
1068;Papatzul;;SoHo;
1069;Papillon Bistro;22 E 54th St btwn 5th and Madison Aves;Midtown East;22 E 54th St
1070;Paradiso;;East Village;
1071;Paris Commune;99 Bank St at Greenwich St;Greenwich Village;99 Bank St at Greenwich St
1072;Park Avenue Autumn;100 E 63rd St at Park Ave;Upper East Side;100 E 63rd St
1073;Park Blue;;Midtown West;
1074;Parlor Steakhouse;;Upper East Side;
1075;Parma;;Upper East Side;
1076;Pasha;70 W 71st St btwn Central Park West and...;Upper West Side;31 W 71st St
1077;Pasita;;Greenwich Village;
1078;Pata Negra;345 East 12th St btwn 1st and 2nd Aves;East Village;345 East 12th St btwn 1st and 2nd Aves
1079;Patisserie des Ambassades;161 W 22nd St btwn Sixth and Seventh...;Chelsea;161 W 22nd St
1080;Patsy's Italian Restaurant;;Midtown West;
1081;Patsy's Pizzeria;;Upper East Side;
1082;Patsy's Pizzeria;;Greenwich Village;
1083;Patsy's Pizzeria;;Midtown East;
1084;Patsy's Pizzeria;;Upper West Side;
1085;Payard Patisserie and Bistro;1032 Lexington Ave btwn 73rd and 74th...;Upper East Side;1032 Lexington Ave
1086;Peacock Alley;301 Park Ave at 49th St;Midtown East;301 Park Ave
1087;Peanut Butter and Co.;240 Sullivan St btwn Bleecker and W 3rd...;Greenwich Village;240 Sullivan St
1088;Pearl Oyster Bar;18 Cornelia St btwn Bleecker and W 4th...;Greenwich Village;18-20 Cornelia St
1089;Peep;;SoHo;
1090;Pegu Club;77 W Houston St btwn W Broadway and...;SoHo;77 W Houston St
1091;Pepe Rosso to Go;;SoHo;
1092;Peperoncino;72 Fifth Ave at St Marks Pl;Park Slope;72 Fifth Ave at St Marks Pl
1093;Per Lei;;Upper East Side;
1094;Pera Mediterranean Brasserie;;Midtown East;
1095;Perbacco;234 E 4th St btwn Aves A and B;East Village;234 E 4th St btwn Aves A and B
1096;Perch;;Park Slope;
1097;Peri Ela;;Upper East Side;
1098;Perilla;9 Jones St btwn Bleecker and W 4th Sts;Greenwich Village;9 Jones St btwn Bleecker and W 4th Sts
1099;Perry Street;176 Perry St at West Side Highway;Greenwich Village;176 Perry St
1100;Persephone;115 E 60th St btwn Park and Lexington...;Upper East Side;115 E 60th St
1101;Persepolis;1407 Second Ave btwn 73rd and 74th Sts;Upper East Side;1407 Second Ave btwn 73rd and 74th Sts
1102;Pershing Square;;Midtown East;
1103;Persimmon;277 E 10th St btwn 1st Ave and Ave A;East Village;277 E 10th St btwn 1st Ave and Ave A
1104;Pescatore;;Midtown East;
1105;PetalBelle;158 Sullivan Street corner of Houston St;SoHo;158 Sullivan St
1106;Petite Abeille;466 Hudson St btwn Barrow and Grove Sts;Greenwich Village;466 Hudson St
1107;Petite Abeille;466 Hudson St btwn Barrow and Grove Sts;Chelsea;466 Hudson St
1108;Petrie Court Cafe and Wine Bar;;Upper East Side;
1109;Petrossian;;Midtown West;
1110;Philip Marie;569 Hudson St at 11th St;Greenwich Village;569 Hudson St
1111;Philippe;35 E 60th St at Madison Ave;Upper East Side;35 E 60th St at Madison Ave
1112;Philly Slim's Cheesesteaks;789 Ninth Ave btwn 52nd and 53rd Sts;Midtown West;789 Ninth Ave btwn 52nd and 53rd Sts
1113;Phoenix Garden;242 E 40th St btwn Second and Third Aves;Midtown East;242 E 40th St
1114;Piadina;57 W 10th St btwn Fifth and Sixth Aves;Greenwich Village;57 W 10th St
1115;Piano Due;;Midtown West;
1116;PicNic Market and Cafe;2665 Broadway btwn 101st and 102nd Sts;Upper East Side;230 W 101st St
1117;Picasso;303 E 56th St btwn First and Second Aves;Midtown East;303 E 56th St
1118;Piccolo Angelo;621 Hudson St btwn Jane and W 12th Sts;Greenwich Village;621 Hudson St btwn Jane and W 12th Sts
1119;Picholine;;Upper West Side;
1120;Pietrasanta;683 Ninth Ave at 47th St;Midtown West;683 9th Ave
1121;Pietro's;242 E 43rd St btwn 2nd and 3rd Aves;Midtown East;225 East 43rd Street Between 2nd Ave &
1122;Pig Heaven;;Upper East Side;
1123;Pigalle;790 Eighth Ave at 48th St;Midtown West;790 8th Ave
1124;Pinch and S'MAC;474 Columbus Ave btwn 82nd and 83rd Sts;Upper West Side;474 Columbus Ave btwn 82nd and 83rd Sts
1125;Pinche Taqueria;;Greenwich Village;
1126;Pink Pony;176 Ludlow St btwn Houston and Stanton...;Lower East Side;176 Ludlow St btwn Houston and Stanton...
1127;Pio Maya (CLOSED);;Greenwich Village;
1128;Pio Pio;1746 First Ave btwn 90th and 91st Sts;Upper East Side;E 91st St
1129;Pio Pio Salon;702 Amsterdam at 94th St;Upper West Side;702 Amsterdam Ave
1130;Piola;48 E 12th St btwn Broadway and...;East Village;48 E 12th St
1131;Pizza Gruppo;186 Ave B btwn 11th and 12th Sts;East Village;186 Ave B btwn 11th and 12th Sts
1132;Pizzeria de Santo (CLOSED);173 Ludlow St btwn Houston and Stanton...;Lower East Side;173 Ludlow St btwn Houston and Stanton...
1133;Planethailand 212;;Chelsea;
1134;Po;31 Cornelia St btwn Bleecker and W 4th...;Greenwich Village;31 Cornelia St
1135;Pomaire;371 W 46th St btwn 8th and 9th Aves;Midtown West;371 W 46th St
1136;Pop Burger;14 E 58th St btwn Madison and 5th Aves;Midtown East;42 E 58th St
1137;Porchetta;110 E 7th St btwn 1st Ave and Ave A;East Village;110 E 7th St btwn 1st Ave and Ave A
1138;Porter House New York;10 Columbus Circle at 59th St;Midtown West;10 Columbus Circle at 59th St
1139;Pre:Post;547 W 27th St btwn 10th and 11th Aves;Chelsea;547 W 27th St #300
1140;Prem-on Thai;;Greenwich Village;
1141;Primo Atto;;Park Slope;
1142;Prune;;East Village;
1143;Public House;140 E 41st St btwn Lexington and Third...;Midtown East;140 E 41st St
1144;Pukk;71 First Ave btwn 4th and 5th Sts;East Village;5th Ave
1145;Purnima;75 Ninth Ave btwn 15th and 16th Sts;Chelsea;75 Ninth Ave btwn 15th and 16th Sts
1146;Puttanesca;859 Ninth Ave at 56th St;Midtown West;859 9th Ave
1147;Pylos;128 E 7th St btwn Ave A and 1st Ave;East Village;128 E 7th St
1148;Pyramida;401 E 78th St at First Ave;Upper East Side;401 E 78th St at First Ave
1149;Quality Meats;57 W 58th St btwn 5th and 6th Aves;Midtown West;6th Ave
1150;Quatorze Bis;;Upper East Side;
1151;Queen of Sheba;;Midtown West;
1152;Quintessence (CLOSED);;East Village;
1153;R.U.B.;208 W 23rd St btwn Seventh and Eighth...;Chelsea;208 W 23rd St
1154;Rack and Soul;2818 Broadway at 109th St;Upper West Side;2818 Broadway
1155;Radio Perfecto;190 Ave B btwn 11th and 12th Sts;East Village;190 Ave B btwn 11th and 12th Sts
1156;Rai Rai Ken;214 E 10th St btwn First and Second Aves;East Village;214 E 10th St
1157;Rainbow Room;;Midtown West;
1158;Rainbow Room (CLOSED);30 Rockefeller Plaza;Midtown West;30 Rockefeller Plaza
1159;Rainbow Room Grill;30 Rockefeller Plaza;Midtown West;30 Rockefeller Plaza
1160;Rainbow Room Grill (CLOSED);;Midtown West;
1161;Ramen Setagaya;141 First Ave btwn 9th St and St Marks...;East Village;141 First Ave btwn 9th St and St Marks...
1162;Raoul's;180 Prince St btwn Sullivan and...;SoHo;180 Prince St
1163;Rare Bar and Grill;;Greenwich Village;
1164;Ravagh Persian Grill;;Upper East Side;
1165;Rayuela;;Lower East Side;
1166;Re Sette;;Midtown West;
1167;Rectangles;;Upper East Side;
1168;Red Bamboo;140 W 4th St btwn MacDougal St and...;Greenwich Village;140 West 4th Street
1169;Redeye Grill;;Midtown West;
1170;Regional;2607 Broadway btwn 98th and 99th Sts;Upper West Side;2607 Broadway
1171;Remi;;Midtown West;
1172;Restaurant Ichimura;1026 Second Ave btwn 54th and 55th Sts;Midtown East;W 55th St
1173;Restaurant Seo;;Midtown East;
1174;Resto Leon;351 E 12th St btwn First and Second Aves;East Village;351 E 12th St btwn First and Second Aves
1175;Retsina;;Midtown East;
1176;Rhong Tiam;541 LaGuardia Pl btwn W 3rd and...;Greenwich Village;541 LaGuardia Pl btwn W 3rd and...
1177;Riingo;;Midtown East;
1178;Risotteria;270 Bleecker St at Morton St;Greenwich Village;270 Bleecker St
1179;Ritz Asia;;Greenwich Village;
1180;Robert's Steakhouse;;Midtown West;
1181;Roberto Passon;741 9th Ave at 50th St;Midtown West;741 9th Ave
1182;Rocco's;;Greenwich Village;
1183;Rock Center Cafe;;Midtown West;
1184;Rocking Horse Cafe;;Chelsea;
1185;Roots and Vines;;Lower East Side;
1186;Rosa Mexicano First Avenue;1063 1st Ave at 58h St;Midtown East;1063 1st Avenue
1187;Rosa Mexicano Lincoln Center;61 Columbus Ave at 62nd St;Upper West Side;61 Columbus Ave
1188;Rose Club;;Midtown West;
1189;Rose Water;787 Union St at 6th Ave;Park Slope;787 Union St at 6th Ave
1190;Rothmann's Steakhouse and Grill;;Midtown East;
1191;Rouge Tomate;10 E 60th St btwn Madison and 5th Aves;Midtown East;14 E 60th St
1192;Ruby Foo's;1626 Broadway at 49th St;Midtown West;1626 Broadway
1193;Ruby Foo's (CLOSED);2182 Broadway at 77th St;Upper West Side;2182 Broadway
1194;Rue 57;60 W 57th St at Sixth Ave;Midtown West;60 W 57th St
1195;Russian Samovar;256 W 52nd St btwn Broadway and Eighth...;Midtown West;256 W 52nd St
1196;Rusty Knot;425 West St at 11th St;Greenwich Village;W 11th St
1197;S'Mac;345 E 12th St btwn First and Second Aves;East Village;345 E 12th St btwn First and Second Aves
1198;Sachiko's on Clinton;25 Clinton St btwn Houston and Stanton...;Lower East Side;25 Clinton St btwn Houston and Stanton...
1199;Sacred Chow;;Greenwich Village;
1200;Safran;88 Seventh Ave btwn 15th and 16th Sts;Chelsea;88 Seventh Ave btwn 15th and 16th Sts
1201;Sahara East;184 First Ave btwn 11th and 12th Sts;East Village;184 First Ave btwn 11th and 12th Sts
1202;Saigon 48;;Midtown West;
1203;Saigon Grill;620 Amsterdam Ave at 90th St;Upper West Side;620 Amsterdam Ave
1204;Saigon Grill;620 Amsterdam Ave at 90th St;Greenwich Village;620 Amsterdam Ave
1205;Saju;120 W 44th St btwn Sixth Ave and...;Midtown West;120 W 44th St
1206;Sakae Sushi;135 W 3rd St btwn Sixth Ave and...;Greenwich Village;135 W 3rd St btwn Sixth Ave and...
1207;Sakae Sushi (CLOSED);405 Lexington Ave btwn 42nd and 43rd Sts;Midtown East;405 Lexington Avenue
1208;Sakagura;211 E 43rd St btwn 2nd and 3rd Aves;Midtown East;3rd Ave
1209;Sake Hana;466 Amsterdam Ave btwn 82nd and 83rd Sts;Upper West Side;466 Amsterdam Ave btwn 82nd and 83rd Sts
1210;Sakura Cafe;388 Fifth Ave btwn 6th and 7th Sts;Park Slope;388 Fifth Ave btwn 6th and 7th Sts
1211;Sala;;East Village;
1212;Salmon River;3 E 40th St btwn Fifth and Madison Aves;Midtown East;3 E 40th St
1213;Salsa y Salsa;206 Seventh Ave btwn 21st and 22nd Sts;Chelsea;206 Seventh Ave btwn 21st and 22nd Sts
1214;Salt;58 MacDougal St btwn Houston and Prince...;SoHo;58 MacDougal St btwn Houston and Prince...
1215;Salt Bar;29A Clinton St btwn Houston and Stanton...;Lower East Side;29A Clinton St btwn Houston and Stanton...
1216;Salumeria Rosi;;Upper West Side;
1217;Sammy's Roumanian Steakhouse;157 Chrystie St;Lower East Side;157 Chrystie St
1218;San Marzano;;Lower East Side;
1219;San Pietro;18 E 54th St btwn Fifth and Madison Aves;Midtown East;18 E 54th St
1220;Sanctuary Tea;;SoHo;
1221;Sandro's;;Upper East Side;
1222;Sangria 46;;Midtown West;
1223;Sant Ambroeus;259 W 4th St at Perry St;Greenwich Village;259 West 4th Street
1224;Sant Ambroeus;259 W 4th St at Perry St;Upper East Side;259 West 4th Street
1225;Sapa;;Chelsea;
1226;Sapa (CLOSED);;Chelsea;
1227;Sapphire;;Upper West Side;
