;restaurant;address;country;addressGoogle
1946;Little Italy Pizza;55 West 45th Street;New York, NY, 10036;55 W 45th St
1947;Little Italy Pizza;180 Varick Street;New York, NY, 10014;180 Varick St
1948;Little Italy Pizza;11 Park Place;New York, NY, 10007;11 Park Pl
1949;Little Pie Company;424 West 43rd Street;New York, NY, 10036;424 W 43rd St
1950;Little Pie Company;407 West 14th Street;New York, NY, 10036;407 W 14th St
1951;Little Pie Company;Grand Central Terminal;New York, NY, 10017;89 E 42nd St
1952;Little Saigon Café;374 West 46th Street;New York, NY, 10036;374 W 46th St
1953;Little Seoul;232 7th Avenue;New York, NY, 10011;232 7th Ave
1954;Lo Scalco;313 Church Street;New York, NY, 10013;313 Church St
1955;Lobel's Prime Meats;1096 Madison Avenue;New York, NY, 10028;1096 Madison Ave
1956;Local East;1004 2nd Avenue;New York, NY, 10022;1004 2nd Ave
1957;Lola;15 Watts Street;New York, NY, 10013;15 Watts St
1958;Lombardi's;32 Spring Street;New York, NY, 10012;32 Spring St
1959;Londel's Supper Club;2620 Frederick Douglass Blvd;New York, NY, 10030;2620 Frederick Douglass Blvd
1960;Lonesome Dove (CLOSED);29 West 21st Street;New York, NY, 10010;29 W 21st St
1961;Longwood Gourmet;500 Lexington Avenue;New York, NY, 10017;500 Lexington Ave
1962;Loreley;7 Rivington Street;New York, NY, 10002;7 Rivington St
1963;Los Dados;73 Gansevoort Street;New York, NY, 10014;73 Gansevoort St
1964;Los Dos Molinos;119 East 18th Street;New York, NY, 10003;119 E 18th St
1965;Los Paisas;898 Amsterdam Avenue;New York, NY, 10025;898 Amsterdam Ave
1966;Loside;157 East Houston Street;New York, NY, 10002;157 E Houston St
1967;Lotus (CLOSED);409 West 14th Street;New York, NY, 10014;409 W 14th St
1968;Lttle Pie Company;424 West 43rd Street;New York, NY, 10014;424 W 43rd St
1969;Luca Bar;119 St Marks Place;New York, NY, 10009;119 St Marks Pl
1970;Luca Lounge;220 Avenue B;New York, NY, 10009;220 Avenue B
1971;Lucien;14 1st Avenue;New York, NY, 10009;14 1st Avenue
1972;Lucky Cheng's;24 1st Avenue;New York, NY, 10009;24 1st Avenue
1973;Lucky Star Cafe;250 West 43rd Street;New York, NY, 10036;250 W 43rd St
1974;Lucky Strike;59 Grand Street;New York, NY,;59 Grand St
1975;Luckys Juice Joint;75 West Houston Street;New York, NY, 10012;75 W Houston St
1976;Lucy Latin Kitchen;35 East 18th StreetBetween Broadway and Park Avenue;New York, NY, 10003;35 E 18th St
1977;Lucy of Gramercy;35 East 18th Street;New York, NY, 10003;35 E 18th St
1978;Ludo;42 East 1st Street;New York, NY, 10003;42 E 1st St
1979;Luke's Bar and Grill;1394 3rd Avenue;New York, NY, 10021;1394 3rd Ave
1980;Lumi Restaurant;963 Lexington Avenue;New York, NY, 10021;963 Lexington Ave
1981;Lunapiena Ristorante;243 East 53rd Street;New York, NY, 10022;243 E 53rd St
1982;Lunetta;920 Broadway;New York, NY, 10010;920 Broadway
1983;Lung Moon Bakery;83 Mulberry Street;New York, NY, 10013;83 Mulberry St
1984;Lupa;170 Thompson Street;New York, NY, 10012;170 Thompson St
1985;Lupe's East L.A. Kitchen;110 5th Avenue;New York, NY, 10013;110 5th Ave
1986;Lure Fishbar;142 Mercer Street, downstairs;New York, NY, 10012;142 Mercer St
1987;Lusardi's;1494 2nd Avenue;New York, NY, 10021;1494 2nd Ave
1988;Luscious Thai;1099 1st Avenue;New York, NY, 10021;1099 1st Avenue
1989;Luzia's;429 Amsterdam Avenue;New York, NY, 10024;429 Amsterdam Ave
1990;L’Atelier de Joël Robuchon;57 East 57th Street;New York, NY, 10022;E 57th St
1991;M & G Soul Food Diner;383 West 125th Street;New York, NY, 10027;383 W 125th St
1992;M & O Grocery & Imported & Domestic Products;124 Thompson Street;New York, NY, 10012;124 Thompson St
1993;Macchiato Espresso Bar;141 East 44th Street;New York, NY, 10017;141 E 44th St
1994;Macelleria;48 Gansevoort Street;New York, NY, 10014;48 Gansevoort St
1995;Mad 28;72 Madison Avenue Streete 1;New York, NY, 10016;72 Madison Avenue Streete 1
1996;Madeleine;128 West 23rd Street;New York, NY, 10011;128 W 23rd St
1997;Madison & Vine;299 Madison Avenue;New York, NY, 10017;299 Madison Ave
1998;Madison Bistro;238 Madison Avenue;New York, NY, 10016;238 Madison Ave
1999;Madras Café;79 2nd Avenue;New York, NY, 10003;79 2nd Ave
2000;Madras Mahal;104 Lexington Avenue;New York, NY, 10016;104 Lexington Ave
2001;Maggie's Cajun Grill;12 John Street;New York, NY, 10038;12 John St
2002;Magnifico (CLOSED);200 9th Avenue;New York, NY, 10011;200 9th Ave
2003;Magnolia Bakery;401 Bleecker Street at 11th Street;New York, NY, 10014;West 11th Street
2004;Maharaja;230 East 44th Street;New York, NY, 10017;230 E 44th St
2005;Mai House;186 Franklin Street;New York, NY, 10013;186 Franklin St
2006;Maia;98 Avenue B;New York, NY, 10009;98 Avenue B
2007;Mainland;1081 3rd Avenue;New York, NY, 10021;1081 3rd Ave
2008;Maison;1700 Broadway at 53rd Street;New York, NY, 10019;1700 Broadway
2009;Majestic Pizza Corp;8 Cortlandt Street;New York, NY, 10007;8 Cortlandt St
2010;Malaga Restaurant;406 East 73rd Street;New York, NY, 10021;406 E 73rd St
2011;Malatesta Trattoria;649 Washington Street;New York, NY, 10014;649 Washington St
2012;Malaysia Grill;2381 Broadway at 87th Street;New York, NY, 10024;2381 Broadway
2013;Malibu Diner;163 West 23rd Street;New York, NY, 10011;163 W 23rd St
2014;Mama Buddha;578 Hudson Street at 11th Street;New York, NY, 10014;578 Hudson Street at 11th Street
2015;Mama Buddha Restaurant;576 Hudson Street;New York, NY, 10014;576 Hudson St
2016;Mama's Food Shop;222 Sullivan Street;New York, NY, 10012;222 Sullivan St
2017;Mama's Food Shop;200 East 3rd Street;New York, NY, 10009;200 E 3rd St
2018;Mamlouk Restaurant;211 East 4th Street;New York, NY, 10009;211 E 4th St
2019;Mamoun's Falafel;119 MacDougal Street;New York, NY, 10012;119 MacDougal St
2020;Mana;646 Amsterdam Avenue;New York, NY, 10025;646 Amsterdam Ave
2021;Manana Restaurant Inc;1136 1ST Avenue;New York, NY, 10021;1136 1st Avenue
2022;Manapaty Milant Corp.;158 East 39th Street;New York, NY, 10017;158 E 39th St
2023;Manatus;340 Bleecker Street;New York, NY, 10014;340 Bleecker St
2024;Mancora;99 1st Avenue;New York, NY, 10003;99 1st Avenue
2025;Mandarin Court;61 Mott Street;New York, NY, 10013;61 Mott St
2026;Mandarin Grill;188 1st Avenue;New York, NY, 10009;188 1st Avenue
2027;Mandoo Bar;2 West 32nd Street;New York, NY, 10001;2 W 32nd St
2028;Mandoo Bar;71 University Place;New York, NY, 10003;71 University Pl
2029;Mangez Avec Moi;71-73 West Broadway;New York, NY, 10007;71 W Broadway
2030;Mangia;50 West 57th Street;New York, NY, 10019;50 W 57th St
2031;Mangia;40 Wall Street In the Trump Building;New York, NY, 10005;40 Wall St
2032;Mangia;16 East 48th Street;New York, NY, 10017;16 E 48th St
2033;Mangia;22 West 23rd Street;New York, NY, 10010;22 W 23rd St
2034;Mangia E Bevi;800 9th Avenue;New York, NY, 10019;800 9th Ave
2035;Mangia Restaurant;50 West 57TH Street Streete 1;New York, NY, 10019;1 W 57th St
2036;Mangiami;9 Stanton Street;New York, NY, 10002;9 Stanton St
2037;Mangiarini;1593 2nd Avenue;New York, NY, 10028;1593 2nd Ave
2038;Manhattan Diner;2180 Broadway;New York, NY, 10024;2180 Broadway
2039;Manhattan Espresso Cafe;146 East 49th Street;New York, NY, 10017;146 E 49th St
2040;Manhattan Fruit Exchange;75 9th Avenue;New York, NY, 10011;75 9th Ave
2041;Manhattan Ocean Club (CLOSED);57 West 58th Street;New York, NY, 10019;57 W 58th St
2042;Manila Gardens;325 East 14th Street;New York, NY, 10003;325 E 14th St
2043;Manna's Soul Food & Salad Bar Restaurant;2331-2333 8th Avenue a.k.a. Frederick Douglass Blvd.;New York, NY, 10027;2331 Frederick Douglass Blvd
2044;Manna's Soul Food & Salad Bar Restaurant;51 East 125th Street;New York, NY, 10035;51 E 125th St
2045;Mansion Restaurant;1634 York Avenue at 86th Street;New York, NY, 10028;1634 York Ave
2046;Mantra;986 2nd Avenue;New York, NY, 10022;986 2nd Ave
2047;Maoz;38 Union Square E;New York, NY, 10003;38 Union Square E
2048;Mara's Homemade;342 East 6th Street;New York, NY, 10003;342 E 6th St
2049;Marco Polo Noodle Shop;94 Baxter Street;New York, NY, 10013;94 Baxter St
2050;Mare;198 8th Avenue;New York, NY, 10011;198 8th Ave
2051;Maremma (CLOSED);228 West 10th Street;New York, NY, 10014;228 W 10th St
2052;Margie's Red Rose;267 West 144th Street;New York, NY, 10030;267 W 144th St
2053;Margon;136 West 46th Street;New York, NY, 10036;136 W 46th St
2054;Margot Patisserie;1212 Lexington Avenue;New York, NY,;1212 Lexington Ave
2055;Margot Patisserie;2109 Broadway at 74th Street;New York, NY, 10023;2109 Broadway
2056;Maria Pia;319 West 51st Street;New York, NY, 10019;319 W 51st St
2057;Maria's Bakery;42 Mott Street;New York, NY, 10013;42 Mott St
2058;Marinella;49 Carmine Street;New York, NY, 10014;Centric
2059;Mark's;25 East 77th Street;New York, NY, 10021;25 E 77th St
2060;MarkJoseph Steakhouse;261 Water Street;New York, NY, 10038;261 Water St
2061;Market Table;54 Carmine Street;New York, NY, 10014;54 Carmine St
2062;Maroons;244 West 16th Street;New York, NY, 10011;244 W 16th St
2063;Marquet Patisserie;15 East 12th Street;New York, NY, 10003;15 E 12th St
2064;Martha Frances Mississippi Cheesecake;1707 2nd Avenue;New York, NY, 10128;1707 2nd Ave
2065;Martinique Cafe;1260 Broadway;New York, NY, 10001;1260 Broadway
2066;Marumi;546 La Guardia Place;New York, NY, 10012;546 LaGuardia Pl
2067;Maruzzella;1483 1st Avenue;New York, NY, 10021;1483 1st Avenue
2068;Mary Ann's;116 8th Avenue;New York, NY, 10011;116 8th Ave
2069;Mary Ann's;107 West Broadway;New York, NY, 10013;2787 Broadway
2070;Mary Ann's;2452 Broadway;New York, NY, 10024;2452 Broadway
2071;Mary Ann's (CLOSED);80 2nd Avenue;New York, NY, 10003;80 2nd Ave
2072;Mary's Fish Camp;64 Charles Street;New York, NY, 10014;64 Charles St
2073;Mas;39 Downing Street;New York, NY, 10014;39 Downing St
2074;Masa;Time Warner Ctr. 10 Columbus Circle,;New York, NY, 10019;10 Columbus Cir
2075;Masala Bollywood;108 Lexington Avenue;New York, NY, 10018;108 Lexington Ave
2076;Maskerem;164 Amsterdam Avenue;New York, NY, 10023;164 Amsterdam Ave
2077;Massawa Restaurant;1239 Amsterdam Avenue;New York, NY, 10027;1239 Amsterdam Ave
2078;Massimo Al Ponte Vecchio;206 Thompson Street;New York, NY, 10012;206 Thompson St
2079;Matador;57 Greenwich Avenue;New York, NY, 10014;57 Greenwich Ave
2080;Matsugen;241 Church St., at Leonard St.;New York, NY, 10013;241 Church St
2081;Matsuri;Maritime Hotel;New York, NY, 10011;363 W 16th St
2082;Maui Tacos;330 5th Avenue;New York, NY, 10001;330 5th Ave
2083;Maurizio Trattoria;35 West 13th Street;New York, NY, 10011;35 W 13th St
2084;Mavalli Palace;46 East 29th Street;New York, NY, 10016;46 E 29th St
2085;Max;51 Avenue B;New York, NY, 10009;51 Avenue B
2086;Max;181 Duane Street;New York, NY, 10013;181 Duane St
2087;Max Brenner- Chocolate by the Bald Man;141 2nd Avenue;New York, NY, 10009;141 2nd Ave
2088;Max Brenner- Chocolate by the Bald Man;841 Broadway;New York, NY, 10003;841 Broadway
2089;Max Soha;1274 Amsterdam Avenue;New York, NY, 10027;1274 Amsterdam Ave
2090;Maxie;516A 3rd Avenue;New York, NY, 10016;516a 3rd Ave
2091;May May (CLOSED);35 Pell Street at Mott Street;New York, NY, 10013;35 Pell St
2092;May Wah Restaurant;190 Hester Street;New York, NY, 10013;190 Hester St
2093;Maya;1191 1st Avenue;New York, NY, 10021;1191 1st Avenue
2094;Maya Hurapan Kitchen;234 East 4th Street;New York, NY, 10009;234 E 4th St
2095;Mayrose;920 Broadway;New York, NY, 10010;920 Broadway
2096;McCormick & Schmick's;1285 5th Avenue;New York, NY, 10019;1285 5th Ave
2097;Mchale's;750 8th Avenue at 46th Street;New York, NY,;750 8th Ave
2098;Medina;315 10th Avenue;New York, NY, 10001;315 10th Ave
2099;Mediterraneo;1260 2nd Avenue;New York, NY, 10021;1260 2nd Ave
2100;Mee Noodle Shop;547 2nd Avenue;New York, NY, 10016;547 2nd Ave
2101;Mee Noodle Shop;219 1st Avenue;New York, NY, 10003;219 1st Avenue
2102;Mee Noodle Shop & Grill;92 2nd Avenue;New York, NY, 10003;92 2nd Ave
2103;Meet;71-73 Gansevoort Street;New York, NY, 10014;71 Gansevoort St
2104;Mehanata;113 Ludlow Street;New York, NY, 10002;113 Ludlow St
2105;Mei-Ju Vege Gourmet;154 Mott Street;New York, NY, 10013;154 Mott St
2106;Mekong;44 Prince Street;New York, NY, 10014;44 Prince St
2107;Melange Food Fair;1277 1st Avenue;New York, NY, 10021;1277 1st Avenue
2108;Melba's;300 West 114th Street;New York, NY, 10026;300 W 114th St
2109;Meli Melo;110 Madison Avenue;New York, NY, 10016;110 Madison Ave
2110;Melissa Blue;575 2nd Avenue;New York, NY, 10016;575 2nd Ave
2111;Meltemi;905 1st Avenue;New York, NY, 10022;905 1st Avenue
2112;Menchanko-Tei;131 East 45th Street;New York, NY, 10017;131 E 45th St
2113;Menchanko-Tei;39 West 55th Street;New York, NY, 10019;39 W 55th St
2114;Menkui Tei;63 Cooper Squareat Astor Place;New York, NY,;Astor Pl
2115;Mercadito;179 Avenue B;New York, NY, 10009;179 Avenue B
2116;Mercadito Grove;100 7th Avenue South;New York, NY, 10014;100 7th Ave S
2117;Mercat;45 Bond Street;New York, NY, 10012;45 Bond St
2118;Mercer Kitchen;Mercer Hotel;New York, NY, 10012;147 Mercer St
2119;Merinella;49 Carmine Street at Bedford Street;New York, NY, 10014;Centric
2120;Mermaid Inn;568 Amsterdam Avenue;New York, NY, 10024;568 Amsterdam Ave
2121;Mermaid Inn;96 2nd Avenue;New York, NY, 10003;96 2nd Ave
2122;Mesa De Espana Restaurant Inc;45 East 28TH Street;New York, NY, 10016;45 E 28th St
2123;Mesa Grill;102 5th Avenue;New York, NY, 10011;102 5th Ave
2124;Meskel Ethiopian Restaurant;199 East 3rd Street;New York, NY, 10009;199 E 3rd St
2125;Meskerem;124 MacDougal Street;New York, NY, 10012;124 MacDougal St
2126;Meskerem;164 Amsterdam Avenue;New York, NY, 10023;164 Amsterdam Ave
2127;Meskerem;468 West 47th Street;New York, NY, 10036;468 W 47th St
2128;Meson Sevilla;344 West 46th Street;New York, NY, 10036;344 W 46th St
2129;Metrazur;404 East Balcony Grand Central Terminal;New York, NY, 10017;89 E 42nd St
2130;Metro Diner;2641 Broadway Streete 1;New York, NY, 10025;2641 Broadway #1
2131;MetroCafe & Wine Bar;32 East 21st Street;New York, NY, 10010;32 E 21st St
2132;Metropolitan Museum Roof Garden Cafe;1000 5th Avenue;New York, NY, 10028;1000 5th Ave
2133;Metsovo (CLOSED);65 West 70th Street;New York, NY, 10023;65 W 70th St
2134;Mexican Village;118 Macdougal Street;New York, NY, 10012;118 MacDougal St
2135;Mexicana Mama;47 East 12th Street;New York, NY, 10003;47 E 12th St
2136;Mexicana Mama;525 Hudson Street;New York, NY, 10014;525 Hudson St
2137;Mexico Lindo;459 2nd Avenue;New York, NY, 10010;459 2nd Ave
2138;Mezzaluna;1295 3rd Avenue;New York, NY, 10021;1295 3rd Ave
2139;Mezze;10 East 44th Street;New York, NY, 10017;10 E 44th St
2140;Mezzogiorno;195 Spring Street;New York, NY, 10012;195 Spring St
2141;Mi;66 Madison Avenue Streete 115;New York, NY, 10016;66 Madison Ave
2142;Mi Cocina;57 Jane Street;New York, NY, 10014;57 Jane St
2143;Mi Nidito;852 8TH Avenue;New York, NY, 10019;852 8th Ave
2144;Michael Jordan's The Steak House;23 Vanderbilt Street;New York, NY, 10017;23 Vanderbilt Ave
2145;Michelle's Kitchen;1614 3rd Avenue;New York, NY, 10128;1614 3rd Ave
2146;Midnite Express;1715 2nd Avenue;New York, NY, 10128;1715 2nd Ave
2147;Midtown Deli;322 East 34th Street;New York, NY, 10016;322 E 34th St
2148;Midtown Restaurant;155 East 55th Street;New York, NY, 10022;157 E 55th St
2149;Mikata;150 Centre Street at Walker Street;New York, NY, 10013;150 Centre St
2150;Milk & Cookies Bakery;19 Commerce Street;New York, NY, 10014;19 Commerce St
2151;Mill Korean;2895 Broadway;New York, NY, 10025;2895 Broadway
2152;Milon Bangladesh;93 1st Avenue;New York, NY, 10003;93 1st Avenue
2153;Minamoto Kitchoan;608 5th Avenue;New York, NY, 10020;608 5th Ave
2154;Minar;5 West 31ST Street;New York, NY, 10001;5 W 31st St
2155;Minar;138 West 46th Street;New York, NY,;138 W 46th St
2156;Minetta Tavern;113 MacDougal Street;New York, NY, 10012;113 MacDougal St
2157;Mingala Burmese;1393-B 2nd Avenue;New York, NY, 10021;1393B 2nd Ave
2158;Mingala Burmese;21-23 East 7th Street;New York, NY, 10003;21 E 7th St #23
2159;Mint;San Carlos Hotel;New York, NY, 10022;150 E 50th St
2160;Miracle Grill;415 Bleecker Street;New York, NY, 10014;415 Bleecker St
2161;Mirchi;29 7th Avenue South;New York, NY, 10014;29 7th Ave S
2162;Mishima;164 Lexington Avenue;New York, NY, 10016;164 Lexington Ave
2163;Miss K's;118 Madison Avenue;New York, NY, 10016;118 Madison Ave
2164;Miss Mamie's;366 West 110th Street;New York, NY, 10025;366 W 110th St
2165;Miss Maude's;547 Lenox Avenue;New York, NY, 10027;547 Lenox Ave
2166;Miss Saigon;1425 3rd Avenue;New York, NY, 10028;1425 3rd Ave
2167;Mitali;334 East 5th Street,;New York, NY, 10003;334 E 5th St
2168;Mitchel London Foods;22 East 65th Street Streete A;New York, NY, 10021;22 E 65th St
2169;Mity Fine Restaurant;24 West 125th Street,;New York, NY, 10027;24 W 125th St
2170;Miyagi;220 West 13th Street;New York, NY, 10011;220 W 13th St
2171;Mizu Sushi;29 East 20th Street;New York, NY, 10003;29 E 20th St
2172;Mo Pitkin's (CLOSED);34 Avenue A;New York, NY, 10009;34 Avenue A
2173;Mo-Bay;17 West 125th Street;New York, NY, 10027;17 W 125th St
2174;Mocca Hungarian (CLOSED);1588 2nd Avenue;New York, NY, 10028;1588 2nd Ave
2175;Mocca Lounge;78 Reade Street;New York, NY, 10007;78 Reade St
2176;Moda;Flatotel 135 West 52nd Street;New York, NY, 10019;135 W 52nd St
2177;Moe's Deli;480 9th Avenue;New York, NY, 10018;480 9th Ave
2178;Moes Falafel;SW corner of 21st Street;New York, NY, 10010;E 21st St
2179;Mofongo Depot;931 Amsterdam Avenue;;931 Amsterdam Ave
2180;Mogador;101 St. Marks Place;New York, NY, 10009;101 St Marks Pl
2181;Moishe's Kosher Bake Shop;504 Grand Street;New York, NY, 10002;504 Grand St
2182;Moishes Kosher Bake Shop;115 2nd Avenue;New York, NY, 10003;115 2nd Ave
2183;Moksha;18 Murray Street;New York, NY, 10007;18 Murray Street
2184;Molly Wee Pub;402 8th Avenue;New York, NY, 10017;402 8th Ave
2185;Mollys Pub & Restaurant;287 3rd Avenue;New York, NY, 10010;287 3rd Ave
2186;Molyvos;871 7th Avenue;New York, NY, 10019;871 7th Ave
2187;Momofuku Noodle Bar;163 1st Avenue;New York, NY, 10003;163 1st Avenue
2188;Momofuku Ssam Bar;207 2nd Avenue;New York, NY, 10003;207 2nd Ave
2189;Momoya;185 7th Avenue;New York, NY, 10011;185 7th Ave
2190;Mon Petit Cafe;801 Lexington Avenue;New York, NY, 10021;801 Lexington Ave
2191;Monaco;421 Amsterdam Avenue;New York, NY, 10024;421 Amsterdam Ave
2192;Monkey Bar;60 East 54th Street (Elysee Hotel);New York, NY, 10022;60 E 54th St
2193;Monster Sushi;22 West 46th Street;New York, NY, 10036;22 W 46th St
2194;Monster Sushi;535 Hudson Street;New York, NY, 10014;535 Hudson St
2195;Monster Sushi;158 West 23rd Street;New York, NY, 10011;158 W 23rd St
2196;Mont Blanc;315 West 48th Street;New York, NY, 10036;315 W 48th St
2197;Montebello Ristorante Italiano;120 East 56th Street;New York, NY, 10022;120 E 56th St
2198;Montes Trattoria;97 MacDougal Street;New York, NY, 10012;97 MacDougal St
2199;Montien;90 3rd Avenue;New York, NY, 10003;90 3rd Ave
2200;Moomia Lounge;157 Lafayette Street;New York, NY, 10013;157 Lafayette St
2201;Moon Pie Pizzeria;31 Avenue C at 3rd Street;New York, NY,;Bayonne
2202;Mooncake Foods;28 Watts Street;New York, NY, 10013;28 Watts St
2203;Moonstruck;449 3rd Avenue;New York, NY, 10013;449 3rd Ave
2204;Moonstruck;244 Madison Avenue;New York, NY, 10022;244 Madison Ave
2205;Moonstruck Diner;250 East 58th Street;New York, NY, 10022;250 E 58th St
2206;Moonstruck East Restaurant;449 3RD Avenue;New York, NY, 10016;449 3rd Ave
2207;Moran's Chelsea;146 10th Avenue;New York, NY, 10011;146 10th Ave
2208;Morandi;211 Waverly Place;New York, NY, 10014;211 Waverly Pl
2209;Morimoto;88 10th Avenue;New York, NY, 10011;88 10th Ave
2210;Morning Star Restaurant;879 9TH Avenue;New York, NY, 10019;879 9th Ave
2211;Morrells;900 Broadway;New York, NY, 10003;900 Broadway
2212;Mosaico;175 Madison Avenue;New York, NY, 10016;175 Madison Ave
2213;Mosco Pizza;105 1/2 Mosco Street;New York, NY, 10013;105 Mosco St
2214;Mosto Osteria;87 2nd Avenue;New York, NY, 10003;87 2nd Ave
2215;Moto Japanese Restaurant;328 West 45TH Street Streete 1;New York, NY, 10036;328 West 45TH Street Streete 1
2216;Moustache;90 Bedford Street;New York, NY, 10014;Apartment Building from the TV Show Friends
2217;Moustache;265 East 10th Street;New York, NY, 10009;265 E 10th St
2218;Mr. Broadway Kosher Deli;1372 Broadway;New York, NY, 10018;1372 Broadway
2219;Mr. K's;570 Lexington Avenue;New York, NY, 10022;General Electric Building
2220;Mr. Tang Seafood Restaurant;50 Mott Street;New York, NY, 10013;50 Mott St
2221;Mud Truck;Astor Place;New York, NY, 10003;Astor Pl
2222;Mud Truck;Corner of Broadway;New York, NY, 10003;Corner of Broadway
2223;Mudville 9;126 Chambers Street;New York, NY, 10007;126 Chambers St
2224;Muggs;406 East 64TH Street;New York, NY, 10021;406 E 64th St
2225;Mughlai;320 Columbus Avenue;New York, NY, 10023;320 Columbus Ave
2226;Mule Cafe;67 4th Avenue;Brooklyn, NY, 11217;67 4th Ave
2227;Murals On 54;63 West 54th Street;New York, NY, 10019;63 W 54th St
2228;Murano Ristorante;207 West 36th Street;New York, NY, 10018;207 W 36th St
2229;Murray Hill Diner;222 Lexington Avenue;New York, NY, 10016;222 Lexington Ave
2230;Murray's Bagels;500 5th Avenue;New York, NY, 10011;500 5th Ave
2231;Murray's Sturgeon;2429 Broadway;New York, NY, 10024;2429 Broadway
2232;Murrays Bagels;500 5th Avenue;New York, NY, 10011;500 5th Ave
2233;Murrays Cheese Shop;257 Bleecker Street at Cornelia Street;New York, NY, 10014;257 Bleecker St
2234;Musette;228 3rd Avenue at 19th Street;New York, NY, 10003;228 3rd Avenue at 19th Street
2235;Myers of Keswick;634 Hudson Street;New York, NY, 10014;634 Hudson St
2236;Métisse;239 West 105th Street;New York, NY, 10025;239 W 105th St
2237;NY Dosas;Corner of West 4th Street and Sullivan Street;New York, NY,;Corner of West 4th Street and Sullivan Street
2238;NYC;75 Greenwich Avenue;New York, NY, 10014;75 Greenwich Ave
2239;Nada Sushi;135 East 50th Street at Lexington Avenue;New York, NY, 10022;135 E 50th St
2240;Nadaman Hakubai;Kitano Hotel, 66 Park Avenue;New York, NY, 10016;66 Park Ave
2241;Nader;48 East 29th Street;New York, NY, 10016;48 E 29th St
2242;Nadine's Restaurant;99 Bank Street;New York, NY, 10014;99 Bank St
2243;Nagomi Japanese Restaurant;179 Prince Street;New York, NY, 10012;179 Prince St
2244;Nagoya Japanese Restaurant;60 BeAvenuer Street;New York, NY, 10004;60 Beaver St
2245;Naima;513 West 27th Street;New York, NY, 10001;513 W 27th St
2246;Naka Naka;458 West 17th Street;New York, NY, 10011;458 W 17th St
2247;Nam;110 Reade Street;New York, NY, 10013;110 Reade St
2248;Naniwa Of Japan Inc;4 East 46TH Street;New York, NY, 10017;4 E 46th St
2249;Nanni;146 East 46th Street;New York, NY, 10017;146 E 46th St
2250;Nataro;635 2nd Avenue;New York, NY, 10016;635 2nd Ave
2251;National Cafe;210 1st Avenue;New York, NY,;210 1st Avenue
2252;Native;101 West 118th Street at Lenox Avenue;New York, NY, 10026;101 W 118th St
2253;Natori;58 St Marks Place;New York, NY, 10003;58 St Marks Pl
2254;Natsumi Restaurant and Lounge;226 West 50th Street;New York, NY, 10019;226 W 50th St
2255;Natural Deli;10 East 23rd Street;New York, NY, 10010;10 E 23rd St
2256;Natural Restaurant;88 Allen Street;New York, NY,;88 Allen St
2257;Natural Tofu;34 West 32ND Street;New York, NY, 10001;34 W 32nd St
2258;Neary's;358 East 57th Street;New York, NY, 10022;358 E 57th St
2259;Nebraska Steak House;15 Stone Street;New York, NY, 10004;15 Stone St
2260;Negril Village;362 West 23rd Street;New York, NY, 10011;362 W 23rd St
2261;Negril Village;70 West 3rd Street;New York, NY, 10012;70 W 3rd St
2262;Nello;696 Madison Avenue;New York, NY, 10021;696 Madison Ave
2263;Nelson Blue;233-235 Front Street;New York, NY, 10038;233 Front St
2264;Nero;46 Gansevoort Street;New York, NY, 10014;46 Gansevoort St
2265;New Bai Wei Gourmet Food Inc.;51 Division Street, Manhattan;New York, NY, 10002;51 Division St
2266;New Big Wong;67 Mott Street;New York, NY, 10013;67 Mott St
2267;New Bo-Ky;80 Bayard Street;New York, NY, 10013;80 Bayard St
2268;New Chao Chow;111 Mott Street;New York, NY,;111 Mott St
2269;New Chuan Garden;9 West 46th Street;New York, NY, 10036;9 W 46th St
2270;New Diamond Cafe;224 West 47th Street;New York, NY, 10036;224 W 47th St
2271;New Green Bo;66 Bayard Street;New York, NY, 10013;66 Bayard St
2272;New Malaysia;46-48 Bowery;New York, NY, 10013;46 Bowery #48
2273;New Manila Foodmart;351 East 14th Street;New York, NY,;351 E 14th St
2274;New Naimat Kada;124 Lexington Avenue;New York, NY, 10016;124 Lexington Ave
2275;New Pasteur;85 Baxter Street at Canal Street;New York, NY, 10013;85 Baxter St
2276;New Wing Wah;60 West 48th Street;New York, NY, 10036;60 W 48th St
2277;New Wing Wong;111 Lafayette ST;New York, NY,;111 Lafayette St
2278;New World Food Market;184 Lexington Avenue;New York, NY, 10016;Lexington Plaza
2279;New World Grill;329 West 49th Street;New York, NY, 10019;329 W 49th St
2280;New York Bagels;1228 2nd Avenue;New York, NY, 10021;1228 2nd Ave
2281;New York Burger Co.;303 Park Avenue South;New York, NY, 10010;303 Park Ave S
2282;New York Kom Tang Kal Bi House;32 West 32nd Street;New York, NY, 10001;32 W 32nd St
2283;New York Luncheonette;135 East 50th Street;New York, NY, 10022;135 E 50th St
2284;New York Thai Grill & Sushi Bar;37 West 54th Street;New York, NY, 10019;37 W 54th St
2285;Nha Hang Pho Viet Huong;73 Mulberry Street;New York, NY, 10013;73 Mulberry St
2286;Nha Trang Centre;148 Centre Street;New York, NY, 10013;148 Centre St
2287;Nha Trang Restaurant;87 Baxter Street;New York, NY, 10013;87 Baxter St
2288;Nice;35 East Broadway;New York, NY, 10002;35 E Broadway
2289;Nick And Toni's Cafe;100 West 67th Street;New York, NY, 10023;100 W 67th St
2290;Nick's;1814 2nd Avenue;New York, NY, 10128;1814 2nd Ave
