;restaurant;address;country;country_code;neighborhood;type;cost;addressGoogle
603;Loft;505 Columbus Ave;New York;NY;Upper West Side;Mediterranean;$$;505 Columbus Ave
604;Lombardi's;32 Spring St;New York;NY;NoLita;Pizza;$;32 Spring St
605;Lomito;300 Spring St;New York;NY;SOHO;Argentinean;$$$;300 Spring St
606;Londel's Supper Club;2620 Frederick Douglas Blvd;New York;NY;Harlem;Southern;$$;2620 Frederick Douglass Blvd
607;London Bar;151 W. 54th Street;New York;NY;Midtown West;French;$$$$;151 W 54th St
608;Loreley;7 Rivington St.;New York;NY;;German;;7 Rivington St
609;Los Dos Molinos;119 E 18th St;New York;NY;Gramercy Park;Southwestern;$$;119 E 18th St
610;Loside;157 E Houston Street;New York;NY;Lower East Side;American;$;157 E Houston St
611;LuLu;235 Mulberry Street;New York;NY;;;;235 Mulberry St
612;Lucien;14 1st Ave;New York;NY;East Village;French;$$;14 1st Avenue
613;Lucy Latin Kitchen;35 E 18th St;New York;NY;Flatiron;Nuevo Latino;$$$;35 E 18th St
614;Lupa;170 Thompson St;New York;NY;Greenwich Village;Italian;$$$$;170 Thompson St
615;Lure;142 Mercer St, Downstairs;New York;NY;SOHO;Seafood;$$$$;142 Mercer St
616;Lusardi's;1494 Second Ave;New York;NY;Upper East Side;Italian;$$$$;1494 2nd Ave
617;Luzia's;429 Amsterdam Ave.;New York;NY;;;;429 Amsterdam Ave
618;Macelleria;48 Gansevoort St;New York;NY;Meatpacking District;Italian;$$$;48 Gansevoort St
619;Madison Bistro;238 Madison Ave;New York;NY;Murray Hill;French;$$$;238 Madison Ave
620;Mai House;186 Franklin Street;New York;NY;TriBeCa;Vietnamese;$$$;186 Franklin St
621;Malatesta Trattoria;649 Washington St;New York;NY;West Village;Italian;$$;649 Washington St
622;Maloney & Porcelli;37 E 50th St;New York;NY;Midtown East;Steakhouse;$$$$;37 E 50th St
623;Mama Mexico;214 E. 49th St.;New York;NY;;;;214 E 49th St
624;Mama! Mexico;2672 Broadway;New York;NY;Midtown East;Mexican;$$;2672 Broadway
625;Mama's Food Shop;200 E Third St;New York;NY;East Village;American;$;200 E 3rd St
626;Mamlouk;211 East 4th St;New York;NY;East Village;Middle Eastern;$$$;211 E 4th St
627;Mamoun's Falafel Restaurant;119 MacDougal St.;New York;NY;;;;119 MacDougal St
628;Mandarin Court;61 Mott St;New York;NY;Chinatown;Chinese;$;61 Mott St
629;Mandoo Bar;2 W 32nd St;New York;NY;Midtown West;Korean;$;2 W 32nd St
630;Mangia;50 W 57th St Fl 1;New York;NY;Midtown East;Italian;$;50 W 57th St Fl 1
631;Mara's Homemade;342 E Sixth St;New York;NY;East Village;Creole-Cajun;$$;342 E 6th St
632;Mare;198 Eighth Ave;New York;NY;Chelsea;Seafood;$$;198 8th Ave
633;Maremma;228 W 10th St;New York;NY;West Village;Italian;$$$;228 W 10th St
634;MarkJoseph Steakhouse;261 Water St;New York;NY;Financial District;Steakhouse;$$$$;261 Water St
635;Market Table;54 Carmine St;New York;NY;;American;$$$$;54 Carmine St
636;Markt;676 6th Avenue;New York;NY;Flatiron;Belgian;$$$;676 6th Ave
637;Maroons;244 W 16th St;New York;NY;Chelsea;Southern;$$;244 W 16th St
638;Marseille;630 Ninth Ave;New York;NY;Midtown West;French;$$$;630 9th Ave
639;Mary Anns Mexican Restaurant;1503 2nd Ave;New York;NY;;;;1503 2nd Ave
640;Mary's Fish Camp;64 Charles St;New York;NY;West Village;Seafood;$$;64 Charles St
641;Mas (farmhouse);39 Downing St;New York;NY;Greenwich Village;American;$$$$;39 Downing St
642;Masa;10 Columbus Circle;New York;NY;Upper West Side;Japanese;$$$$$;10 Columbus Cir
643;Matsuri;369 W 16th St;New York;NY;;;;369 W 16th St
644;Max;1274 Amsterdam Ave;New York;NY;East Village;Italian;$;1274 Amsterdam Ave
645;Maya;1191 First Avenue;New York;NY;Midtown East;Mexican;$$$$;1191 1st Avenue
646;Mccormick & Schmick's;1285 Sixth Ave;New York;NY;Midtown West;Seafood;$$$;1285 6th Ave
647;Mediterraneo;1260 Second Ave;New York;NY;Upper East Side;Italian;$$;1260 2nd Ave
648;Megu;62 Thomas St;New York;NY;TriBeCa;Japanese;$$$$$;62 Thomas St
649;Megu Midtown;845 United Nations Plaza;New York;NY;Midtown East;Japanese;$$$$$;845 United Nations Plaza
650;Meltemi;905 First Ave;New York;NY;Midtown East;Greek;$$$;905 1st Avenue
651;Mercadito;179 Ave B;New York;NY;East Village;Mexican;$$;179 Avenue B
652;Mercadito Grove;100 Seventh Ave S;New York;NY;West Village;Mexican;$$;100 7th Ave S
653;Mercat;45 Bond Street;New York;NY;SOHO;Spanish;$$$$;45 Bond St
654;Mercer Kitchen;99 Prince Street;New York;NY;SOHO;American;$$$$;99 Prince St
655;Mermaid Inn;96 Second Ave;New York;NY;East Village;Seafood;$$$;96 2nd Ave
656;Mesa Grill;102 5th Ave;New York;NY;Flatiron;Southwestern;$$$$;102 5th Ave
657;Meskerem;468 W. 47th St.;New York;NY;;Ethiopian;;468 W 47th St
658;Metisse;239 W 105th St;New York;NY;Upper West Side;French;$$$;239 W 105th St
659;Metropol;234 W Fourth St;New York;NY;Greenwich Village;French;$$$;234 West 4th Street
660;Mexican Radio;250 Mulberry St;New York;NY;NoLita;Mexican;$$;250 Mulberry St
661;Mexicana Mama;525 Hudson St;New York;NY;West Village;Mexican;$$;525 Hudson St
662;Mezzaluna;1295 3rd Ave;New York;NY;Upper East Side;American;$$;1295 3rd Ave
663;Mi Cocina;57 Jane St;New York;NY;West Village;Mexican;$$$;57 Jane St
664;Michael Jordan's The Steakhouse N.Y.C.;23 Vanderbilt Ave - Grand Central Staion;New York;NY;Midtown East;Steakhouse;$$$;89 E 42nd St
665;Michael's;24 W 55th St;New York;NY;Midtown West;Californian;$$$$;24 W 55th St
666;Mickey Mantle's;42 Central Park South;New York;NY;Midtown East;American;$$$;42 Central Park S
667;Midtown;155 E 55th Street;New York;NY;Midtown East;American;$;155 E 55th St
668;Mill Korean;2895 Broadway;New York;NY;Harlem;Korean;$;2895 Broadway
669;Minetta Tavern;113 Macdougal Street;New York;NY;Greenwich Village;Italian;$$$;113 MacDougal St
670;Mingala Burmese;21-23 E Seventh St;New York;NY;East Village;Southeast Asian;$;21 E 7th St #23
671;Miracle Bar & Grill;415 Bleecker St;New York;NY;West Village;Southwestern;$$;415 Bleecker St
672;Miss Maude's Spoonbread Too;547 Lenox Ave;New York;NY;Harlem;Southern;$;547 Lenox Ave
673;Mo Pitkin's;34 Ave A;New York;NY;East Village;Jewish;$$;34 Avenue A
674;Mobay Uptown Restaurant & Barbecue;17 W 125th St;New York;NY;Harlem;Caribbean;$;17 W 125th St
675;Mofongo Depot;931 Amsterdam Ave;New York;NY;Upper West Side;Nuevo Latino;$$;931 Amsterdam Ave
676;Molyvos;871 7th Avenue;New York;NY;Midtown West;Greek;$$$;871 7th Ave
677;Momofuku Ko;163 First Ave;New York;NY;East Village;Chinese;$$$$;163 1st Avenue
678;Momofuku Noodle Bar;171 First Ave.;New York;NY;East Village;Chinese;$$$;171 1st Avenue
679;Momofuku Ssam Bar;207 2nd Ave;New York;NY;East Village;Asian;$$$;207 2nd Ave
680;Momoya;185 Seventh Ave;New York;NY;;;;185 7th Ave
681;Mon Petit Cafe;801 Lexington Ave;New York;NY;Upper East Side;French;$$;801 Lexington Ave
682;Monkey Bar;60 E 54th Street;New York;NY;Midtown East;American;$$$$;60 E 54th St
683;Monster Sushi;158 West 23rd St;New York;NY;;;;158 W 23rd St
684;Montebello;120 E 56th St;New York;NY;Midtown East;Italian;$$$;120 E 56th St
685;Montrachet - CLOSED;239 W Broadway;New York;NY;West Village;French;$$$$;239 W Broadway
686;Moran's;146 Tenth Ave;New York;NY;Chelsea;Seafood;$$$;146 Amsterdam Ave
687;Morandi;211 Waverly Place;New York;NY;Greenwich Village;Italian;$$$;211 Waverly Pl
688;Morimoto;88 10th Ave;New York;NY;Chelsea;Japanese;$$$$;88 10th Ave
689;Morrell Wine Bar & Cafe;1 Rockefeller Plaza;New York;NY;Midtown West;American;$$$;1 Rockefeller Plaza 48Th and
690;Morton's;The Steakhouse, 551 Fifth Ave;New York;NY;Midtown East;Seafood;$$$$;The Steakhouse, 551 Fifth Ave
691;Moustache;90 Bedford Street;New York;NY;West Village;Middle Eastern;$;Apartment Building from the TV Show Friends
692;Mr. Chow;324 E 57th St;New York;NY;Midtown East;Chinese;$$$$;324 E 57th St
693;Mr. K's;570 Lexington Ave;New York;NY;Midtown East;Chinese;$$$;General Electric Building
694;Mrs Lee & Shabu Shabu Wok;121 University Pl;New York;NY;West Village;Asian;$;121 University Pl
695;Mughlai;320 Columbus Ave;New York;NY;Upper West Side;Indian;$$;320 Columbus Ave
696;Mustang Sally's;324 Seventh Avenue;New York;NY;Chelsea;American;$$;324 7th Ave
697;Nebraska Beef;15 Stone St;New York;NY;Wall Street;Steakhouse;$$$$;15 Stone St
698;Nelson Blue;233 Front Street;New York;NY;Financial District;British;$$;233 Front St
699;Neo Sushi;2298 Broadway;New York;NY;Upper West Side;Sushi;$$$$;2298 Broadway
700;Neptune Room;511 Amsterdam Ave;New York;NY;Upper West Side;Seafood;$$$$;511 Amsterdam Ave
701;Nero;46 Gansevoort St;New York;NY;Meatpacking District;Italian;$$$;46 Gansevoort St
702;New Bo-Ky;80 Bayard St;New York;NY;Chinatown;Asian;$;80 Bayard St
703;New York Noodle Town;28 Bowery at Bayard Street;New York;NY;SOHO;Asian;$;28 Bowery
704;Nha Trang;87 Baxter St;New York;NY;Chinatown;Asian;$;87 Baxter St
705;Nice;35 E Broadway;New York;NY;Chinatown;Chinese;$;35 E Broadway
706;Nick's;1814 Second Ave;New York;NY;Upper East Side;Italian;$;1814 2nd Ave
707;Nicky's Vietnamese Sandwiches;150 E 2nd St;New York;NY;East Village;American;$;150 E 2nd St
708;Nicole's;10 East 60th Street;New York;NY;Midtown East;British;$$;10 E 60th St
709;Niko's Mediterranean Grill;2161 Broadway;New York;NY;Upper West Side;Greek;$;2161 Broadway
710;Nino's Bellissima Pizza;890 Second Ave.;New York;NY;Midtown East;Italian;$$$;890 2nd Ave
711;Noble Food & Wine;7 Spring Street;New York;NY;NoLita;American;$$$;7 Spring St
712;Nobu Fifty Seven;40 W 57th St;New York;NY;Midtown West;Japanese;$$$$$;40 W 57th St
713;Nobu New York;105 Hudson St;New York;NY;TriBeCa;Japanese;$$$$;105 Hudson St
714;Nobu Next Door;105 Hudson St;New York;NY;TriBeCa;Sushi;$$$$;105 Hudson St
715;Nocello;257 West 55th St;New York;NY;Midtown West;Italian;$$$;257 W 55th St
716;Nocello;257 West 55th Street;New York;NY;Theater;Italian;$$$$;257 W 55th St
717;Nonna;520 Columbus Ave;New York;NY;;;;520 Columbus Ave
718;Norma's;118 West 57th Street;New York;NY;Midtown West;American;$$;118 W 57th St
719;North Square Restaurant and Lounge;103 Waverly Place;New York;NY;Greenwich Village;American;$$$$;103 Waverly Pl
720;Nougatine;1 Central Park West;New York;NY;;American;$$$$;1 Central Park West
721;Novecento;343 W Broadway;New York;NY;SOHO;South American;$$$;343 W Broadway
722;Novita;102 E 22nd Street;New York;NY;Gramercy Park;Italian;$$$;102 E 22nd St
723;Nyonya;194 Grand Street;New York;NY;Little Italy;Malaysian;$;194 Grand St
724;Ocean Grill;384 Columbus Ave;New York;NY;Upper West Side;Seafood;$$$;384 Columbus Ave
725;Oceana;55 E 54th St;New York;NY;Midtown East;Seafood;$$$$;55 E 54th St
726;Odeon;145 W Broadway;New York;NY;TriBeCa;French;$$$;145 W Broadway
727;Old Devil Moon;511 E 12th St;New York;NY;East Village;Southern;$;511 E 12th St
728;Old Homestead;56 9th Ave;New York;NY;Meatpacking District;Steakhouse;$$$$;56 9th Ave
729;Oliva;161 East Houston Street;New York;NY;Lower East Side;American;$$;161 E Houston St
730;Olives;201 Park Ave S - W Hotel;New York;NY;Union Square;Mediterranean;$$$;201 Park Ave S
731;Ollie's Restaurant;1991 Broadway;New York;NY;Upper West Side;Chinese;$;1991 Broadway
732;Omen;113 Thompson Street;New York;NY;SOHO;Japanese;$$$;113 Thompson St
733;Once Upon a Tart;135 Sullivan Street;New York;NY;SOHO;American;$;135 Sullivan St
734;One;1 Little West 12th St;New York;NY;Meatpacking District;American;$$$;1 Little W 12th St
735;One If by Land;Two If by Sea, 17 Barrow St;New York;NY;Greenwich Village;American;$$$$;17 Barrow St
736;One Little West 12;1 Little West 12th St.;New York;NY;Meatpacking District;American;$$;1 Little W 12th St
737;Onieal's Grand Street;174 Grand St;New York;NY;SOHO;American;$$$;174 Grand St
738;Ono;18 Ninth Ave;New York;NY;Meatpacking District;Sushi;$$$$;18 9th Ave
739;Open the Sesame;198A Orchard St.;New York;NY;Lower East Side;Thai;$;198 Orchard St
740;Oriental Garden;14 Elizabeth St;New York;NY;Chinatown;Chinese;$;14 Elizabeth St
741;Osteria Al Doge;142 West 44th St;New York;NY;Midtown West;Italian;$$$;142 W 44th St
742;Osteria Del Circo;120 W 55th St;New York;NY;Midtown West;Italian;$$$$;120 W 55th St
743;Osteria Gelsi;507 Ninth Ave;New York;NY;Midtown West;Italian;$$$;507 9th Ave
744;Ostia Tapeo;113 Seventh Ave. S.;New York;NY;Greenwich Village;Small Plates;$$;113 7th Ave S
745;Otto;1 Fifth Ave;New York;NY;Greenwich Village;Italian;$$$$;1 5th Ave
746;Ouest;2315 Broadway;New York;NY;Upper West Side;American;$$$$;2315 Broadway
747;Outback Steakhouse;60 W 23rd St;New York;NY;Flatiron;Steakhouse;$$;60 W 23rd St
748;P.J. Clarke's;915 Third Ave;New York;NY;;;;915 3rd Ave
749;P.J. Clarke's;44 W. 63rd Street;New York;NY;;;;44 W 63rd St.
750;Paladar;161 Ludlow St;New York;NY;Lower East Side;Nuevo Latino;$$;161 Ludlow St
751;Pam Real Thai Food;404 W 49th St;New York;NY;Midtown West;Asian;$;404 W 49th St
752;Pampa;768 Amsterdam Avenue;New York;NY;Upper West Side;South American;$$;768 Amsterdam Ave
753;Pampano;209 E 49th St;New York;NY;Midtown East;Mexican;$$$;209 E 49th St
754;Paradou;8 Little W 12th St;New York;NY;Meatpacking District;French;$$;8 Little W 12th St
755;Paris Commune;99 Bank St;New York;NY;West Village;Continental;$$;99 Bank St
756;Park;The, 118 10th Ave;New York;NY;Chelsea;Mediterranean;$$$;118 10th Ave
757;Park Avenue Cafe;100 East 63rd St (@ Park Avenue);New York;NY;Upper East Side;American;$$$$;100 E 63rd St
758;Park Bistro;414 Park Ave South;New York;NY;SOHO;French;$$$;414 Park Ave S
759;Park East Grill;1564 2nd Avenue;New York;NY;Upper East Side;Jewish;$;1564 2nd Ave
760;Parlor Steakhouse;1600 3rd Ave;New York;NY;Upper East Side;Steakhouse;$$$$;1600 3rd Ave
761;Pasha;70 W 71st St;New York;NY;Upper West Side;Middle Eastern;$$$;70 W 71st St
762;Pastis;9 Ninth Ave;New York;NY;Meatpacking District;French;$$$;9 9th Ave
763;Patsy's;236 W 56th St;New York;NY;Midtown West;Italian;$$$;236 W 56th St
764;Paul's Da Burger Joint;131 2nd avenue;New York;NY;East Village;American;$$;131 2nd Ave
765;Payard Bistro;1032 Lexington Avenue;New York;NY;Upper East Side;French;$$$;1032 Lexington Ave
766;Peanut Butter & Co.;240 Sullivan St;New York;NY;;;;D'Agostino Hall
767;Pearl Oyster Bar;18 Cornelia Street;New York;NY;Greenwich Village;Seafood;$$$;18 Cornelia St
768;Peasant;194 Elizabeth St;New York;NY;NoLita;Italian;$$$;194 Elizabeth St
769;Peep;177 Prince St;New York;NY;SOHO;Asian;$$;LOFTS AT PRINCE (WEDDING)
770;Penelope;159 Lexington Ave;New York;NY;Murray Hill;American;$;159 Lexington Ave
771;Pepe Giallo;253 10th Ave;New York;NY;;;;253 10th Ave
772;Pepe Rosso;149 Sullivan St;New York;NY;SOHO;Italian;$;149 Sullivan St
773;Per Se;10 Columbus Circle, 4th Fl (60th St);New York;NY;Upper West Side;American;$$$$$;10 Columbus Circle, 4th Fl (60th St)
774;Pera;303 Madison Avenue;New York;NY;Midtown East;Mediterranean;$$$$;303 Madison Ave
775;Perbacco;234 E Fourth St;New York;NY;East Village;Italian;$$$;234 E 4th St
776;Peri Ela;1361 Lexington Avenue;New York;NY;Upper East Side;Turkish;$$;1361 Lexington Ave
777;Perilla;9 Jones Street;New York;NY;Greenwich Village;American;$$$$;9 Jones St
778;Periyali;35 W 20th St;New York;NY;Flatiron;Greek;$$$$;35 W 20th St
779;Perry St.;176 Perry St;New York;NY;West Village;French;$$$$;176 Perry St
780;Persimmon;277 E 10th St;New York;NY;;Korean;$$$$;277 E 10th St
781;Pescatore;955-957 2nd Ave;New York;NY;Midtown East;Indian;$$$;955 2nd Ave
782;Petite Abeille;400 West 14th St;New York;NY;Chelsea;Belgian;$;400 W 14th St
783;Petrossian;182 W 58th St;New York;NY;Midtown West;Continental;$$$$;182 W 58th St
784;Philip Marie;569 Hudson St;New York;NY;West Village;American;$$$;569 Hudson St
785;Pho Bang Restaurant Inc;St Pike St;New York;NY;Chinatown;Asian;$;Pike St
786;Piadina;57 W 10th St;New York;NY;Greenwich Village;Italian;$$;57 W 10th St
787;Piano Due;151 W 51st St;New York;NY;Midtown West;Italian;$$$$;151 W 51st St
788;Piccolo Angolo;621 Hudson St;New York;NY;West Village;Italian;$$;621 Hudson St
789;Piccolo Ristorante;226 Third Ave;New York;NY;Chelsea;Mediterranean;$$;226 3rd Ave
790;Picholine;35 W 64th St;New York;NY;Upper West Side;Mediterranean;$$$$;35 W 64th St
791;Pig Heaven;1540 Second Ave;New York;NY;Midtown West;Chinese;$$;1540 2nd Ave
792;Pinch;416 Park Ave S;New York;NY;Gramercy Park;Pizza;$;416 Park Ave S
793;Ping's Seafood;22 Mott St;New York;NY;Chinatown;Chinese;$;22 Mott St
794;Pinkberry Frozen Yogurt;240 E 82nd St;New York;NY;;Dessert;;240 E 82nd St
795;Pipa;38 E 19th Street;New York;NY;;Flatiron;$$$;38 E 19th St
796;Pisticci;125 La Salle St;New York;NY;Harlem;Italian;$;125 La Salle St
797;Pizza 33;171 W 23rd St;New York;NY;Chelsea;Pizza;$;171 W 23rd St
798;Pizzeria de Santo;173 Ludlow St.;New York;NY;Lower East Side;Pizza;$;173 Ludlow St
799;Po;31 Cornelia St;New York;NY;Greenwich Village;Italian;$$$;31 Cornelia St
800;Poke;343 E. 85th St.;New York;NY;;Sushi;$$;343 E 85th St
801;Pomme Frites;123 2nd Ave;New York;NY;;Belgian;$;123 2nd Ave
802;Pongal;110 Lexington Ave.;New York;NY;Murray Hill;Indian;$$;110 Lexington Ave
803;Popover Cafe;551 Amsterdam Ave;New York;NY;Upper West Side;American;$;551 Amsterdam Ave
804;Porchetta;110 East 7th Street;New York;NY;East Village;Italian;$$$;110 E 7th St
805;Porters New York;216 Seventh Avenue;New York;NY;Chelsea;American;$$;216 7th Ave
806;Positano;122 Mulberry St;New York;NY;Little Italy;Italian;$$;122 Mulberry St
807;Post House;28 E 63rd St (Between Park Ave & Madison Ave);New York;NY;Upper East Side;Steakhouse;$$$$;28 E 63rd St
808;Prem-On Thai;138 W Houston St;New York;NY;Greenwich Village;Thai;$$;138 W Houston St
809;Prime Grill;60 E 49th St;New York;NY;Midtown East;Jewish;$$$$;60 E 49th St
810;Primitivo Osteria;202 West 14th Street;New York;NY;West Village;Italian;$$$;202 W 14th St
811;Provence;38 Macdougal Street;New York;NY;SOHO;French;$$;38 MacDougal St
812;Prune;54 E First St;New York;NY;East Village;American;$$$;54 E 1st St
813;Public;210 Elizabeth St;New York;NY;NoLita;International;$$$;210 Elizabeth St
814;Pukk;71 First Ave;New York;NY;East Village;Thai;$;71 1st Avenue
815;Pump Energy Food;40 West 55th Street;New York;NY;Midtown West;International;$;40 W 55th St
816;Pure Food and Wine;54 Irving Pl;New York;NY;Gramercy Park;Vegetarian;$$$$;54 Irving Pl
817;Puttanesca;859 9th Avenue;New York;NY;Midtown West;Italian;$$;859 9th Ave
818;Pylos;128 E Seventh St;New York;NY;East Village;Greek;$$;128 E 7th St
819;P’ONG;150 W 10th St;New York;NY;;Continental;$$$;150 W 10th St
820;Quality Meats;57 W 58th St;New York;NY;Midtown West;Steakhouse;$$$$;57 W 58th St
821;Quartino;21 Peck Slip;New York;NY;;;;21 Peck Slip
822;Rack and Soul;2818 Broadway;New York;NY;Upper West Side;Barbecue;$$;2818 Broadway
823;Radio Perfecto;190 Ave B;New York;NY;East Village;American;$$;190 Avenue B
824;Rain West - CLOSED;100 West 82nd Street;New York;NY;Upper West Side;Asian;$$;100 W 82nd St
825;Rainbow Room;30 Rockefeller Plaza65th Floor;New York;NY;Midtown West;Italian;$$$$;30 Rockefeller Plaza 65th floor
826;Rao's;455 East 114th St;New York;NY;Harlem;Italian;$$$$;455 E 114th St
827;Raoul's;180 Prince St;New York;NY;SOHO;French;$$$;180 Prince St
828;Red Cat;227 Tenth Avenue;New York;NY;Chelsea;American;$$$;227 Amsterdam Ave
829;Redeye Grill;890 Seventh Ave;New York;NY;Midtown West;American;$$$;890 7th Ave
830;Remi;145 W 53rd St;New York;NY;Midtown West;Italian;$$$;145 W 53rd St
831;Republic;37 Union Square W;New York;NY;Union Square;Asian;$;37 Union Square W
832;Resto;111 E. 29th Street;New York;NY;Gramercy Park;Belgian;$$;111 E 29th St
833;Revel;10 Little W. 12th Street;New York;NY;Meatpacking District;International;$$$$;10 Little W 12th St
834;Revival;2367 Frederick Douglass Blvd;New York;NY;Harlem;Caribbean;$$;2367 Frederick Douglass Blvd
835;Ribot;780 Third Ave;New York;NY;;;;780 3rd Ave
836;Rice;277 Mott Street;New York;NY;NoLita;International;$;277 Mott St
837;Rice 'N' Beans;744 9th Ave;New York;NY;Midtown West;South American;$;744 9th Ave
838;Riingo;205 E. 45th St;New York;NY;Midtown East;Japanese;$$$$;205 E 45th St
839;Risotteria;270 Bleecker St;New York;NY;;;;270 Bleecker St
840;Roberto Passon;741 Ninth Ave;New York;NY;Midtown West;Italian;$$$;741 9th Ave
841;Rocco Restaurant;181 Thompson St;New York;NY;Greenwich Village;Italian;$$;181 Thompson St
842;Rock Center Cafe;2 W 50th St;New York;NY;Midtown West;American;$$$;2 W 50th St
843;Rocking Horse;182 Eighth Ave;New York;NY;Chelsea;Mexican;$$;182 8th Ave
844;Rolf's;281 Third Ave.;New York;NY;;German;$$;281 3rd Ave
845;Roppongi Restaurant;200 W 81st St;New York;NY;Upper West Side;Sushi;$$;200 W 81st St
846;Rosa Mexicano;61 Columbus Avenue;New York;NY;Upper West Side;Mexican;$$$;61 Columbus Ave
847;Rosa Mexicano;9 E 18th St;New York;NY;Flatiron;Mexican;$$$;9 E 18th St
848;Rosa Mexicano - First Avenue;1063 First Ave;New York;NY;Midtown East;Mexican;$$$;1063 1st Avenue
849;Roy's;130 Washington St;New York;NY;TriBeCa;Fusion;$$$;130 Washington St
850;Rub Bbq;208 W 23rd St;New York;NY;;;;208 W 23rd St
851;Ruby Foo's Times Square;1626 Broadway;New York;NY;Midtown West;Pan-Asian;$$$;1626 Broadway
852;Ruby Foo's Uptown;2182 Broadway;New York;NY;Upper West Side;Pan-Asian;$$$;2182 Broadway
853;Rue 57;60 West 57th Street;New York;NY;;;;60 W 57th St
854;Russian Samovar;256 W 52nd St;New York;NY;Midtown West;Continental;$$$;256 W 52nd St
855;Ruth's Chris Steak House;148 West 51st Street;New York;NY;Midtown West;Steakhouse;$$$$;148 W 51st St
856;S.O.B.'s;200 Varick St;New York;NY;SOHO;Brazilian;$;200 Varick St
857;Sachiko's On 25 Clinton;25 Clinton St;New York;NY;Lower East Side;Japanese;$$$;25 Clinton St
858;Sacred Chow;227 Sullivan Street;New York;NY;Greenwich Village;Vegetarian;$;227 Sullivan St
859;Sal Anthony's S.P.Q.R.;133 Mulberry St;New York;NY;Little Italy;Italian;$$;133 Mulberry St
860;Sala;344 Bowery;New York;NY;NoLita;Spanish;$$;344 Bowery
861;Salaam Bombay;319 Greenwich St;New York;NY;TriBeCa;Indian;$$;319 Greenwich St
862;Salmon River;3 East 40th Street;New York;NY;Murray Hill;Seafood;$$;3 E 40th St
863;Salt;58 Macdougal St;New York;NY;SOHO;American;$$$;58 MacDougal St
864;Salt Bar;29 Clinton St;New York;NY;Lower East Side;American;$$$;29 Clinton St
865;Salud Restaurant and Bar;142 Beekman Street;New York;NY;;;;142 Beekman St
866;Salute;270 Madison Ave;New York;NY;Murray Hill;Italian;$;270 Madison Ave
867;Sambuca;20 W 72nd St;New York;NY;Upper West Side;Italian;$$;20 W 72nd St
868;Sammy's Roumanian;157 Chrystie St;New York;NY;Lower East Side;European;$$$;157 Chrystie St
869;San Domenico;240 Central Park South;New York;NY;Midtown West;Italian;$$$$;240 Central Park S
870;Sanctuary T;337 West Broadway;New York;NY;SOHO;Continental;$$$;337 W Broadway
871;Sant Ambroeus;259 W Fourth St;New York;NY;West Village;Italian;$$$;259 West 4th Street
872;Santa Fe;73 W 71st St;New York;NY;Upper West Side;Southwestern;$$;73 W 71st St
873;Sapa;43 West 24th Street;New York;NY;Chelsea;Asian;$$$;43 W 24th St
874;Sapphire;1845 Broadway;New York;NY;Upper West Side;Indian;$$$;1845 Broadway
875;Sardi's;234 West 44th Street;New York;NY;Midtown West;Continental;$$$;234 W 44th St
876;Sarge's Deli;548 Third Avenue;New York;NY;Murray Hill;Deli;$;548 3rd Ave
877;Saucy;1409 York Avenue;New York;NY;Upper East Side;International;$$;1409 York Ave
878;Savann;414 Amsterdam Ave;New York;NY;Upper West Side;French;$$;414 Amsterdam Ave
879;Savoy;70 Prince St;New York;NY;SOHO;American;$$$;70 Prince St
880;Scaletta;50 W 77th St;New York;NY;Midtown West;Italian;$$$;50 W 77th St
881;Scalinatella;201 East 61st Street;New York;NY;Upper East Side;Italian;$$$$;201 E 61st St
882;Scalini Fedeli;165 Duane St;New York;NY;TriBeCa;Italian;$$$$;165 Duane St
883;Scarlatto;250 W 47th St;New York;NY;Midtown West;Italian;$$;250 W 47th St
884;Scarpetta;355 W 14th St;New York;NY;Meatpacking District;Italian;$$$$;355 W 14th St
885;Schiller's Restaurant;131 Rivington St;New York;NY;Lower East Side;International;$$;131 Rivington St
886;Sea;75 Second Ave;New York;NY;East Village;Asian;$;75 2nd Ave
887;Sea Grill;19 West 49th Street;New York;NY;Midtown West;Seafood;$$$$;19 W 49th St
888;Sequoia;Pier 17;New York;NY;Wall Street;Seafood;$$;89 South St
889;Serendipity 3;225 E 60th St;New York;NY;Upper East Side;American;$;225 E 60th St
890;Sevilla Restaurant and Bar;62 Charles St& West 4th St;New York;NY;West Village;Spanish;$$;62 Charles St
891;Sezz Medi';1260 Amsterdam Ave;New York;NY;Harlem;Mediterranean;$$;1260 Amsterdam Ave
892;Sfoglia;1402 Lexington Avenue;New York;NY;Upper East Side;Italian;$$$$;1402 Lexington Ave
893;Shaburi;125 E 39th St;New York;NY;Murray Hill;Japanese;$$$;125 E 39th St
894;Shaffer City Oyster Bar & Grill;5 W 21st St;New York;NY;Flatiron;Seafood;$$$;5 W 21st St
895;Shake Shack;366 Columbus Ave;New York;NY;Upper West Side;American;$$;366 Columbus Ave
896;Shake Shack;11 Madison Ave;New York;NY;Flatiron;American;$$;11 Madison Ave
897;Shula's Steak House;270 W 43rd St;New York;NY;Midtown West;American;$$$$;270 W 43rd St
898;Shun Lee Cafe;43 W 65th St;New York;NY;;;;43 W 65th St
899;Shun Lee Palace;155 E 55th Street;New York;NY;Midtown East;Chinese;$$$;155 E 55th St
900;Shun Lee West;43 W. 65th St.;New York;NY;;Chinese;$$$;43 W 65th St
901;Sip Sak;928 Second Ave;New York;NY;Midtown East;Middle Eastern;$;928 2nd Ave
