;restaurant;address;neighborhood;addressGoogle
829;Little Giant;85 Orchard St.;Lower East Side;85 Orchard St
830;Little Owl;90 Bedford;West Village;Apartment Building from the TV Show Friends
831;Lola is Soul;15 Watts St.;Soho;15 Watts St
832;Lombardi's;32 Spring St.;Soho;32 Spring St
833;Loreley Restaurant & Biergaerten;7 Rivington St.;Lower East Side;7 Rivington St
834;Los Dados;73 Gansevoort St.;Meatpacking District;73 Gansevoort St
835;Los Dos Molinos;119 E 18th St.;Flatiron;119 E 18th St
836;Lovely Day;196 Elizabeth St.;Nolita;196 Elizabeth St
837;Lovies Place;2190 Frederick Douglass Blvd.;Harlem;2190 Frederick Douglass Blvd
838;Luca Lounge;220 Ave. B;East Village;220 Avenue B
839;Lucien;14 1st Ave.;East Village;14 1st Avenue
840;Lucky 11;11 Mott St.;Chinatown;11 Mott St
841;Lucky Strike;59 Grand St.;Soho;59 Grand St
842;Lucy;35 E 18th St. | ABC Carpet & Home;Flatiron;35 E 18th St
843;Lulu;235 Mulberry St.;Greenwich Village;235 Mulberry St
844;Lumi;963 Lexington Ave.;East 70s;963 Lexington Ave
845;Lunch Box Buffet;195 Centre St.;Chinatown;195 Centre St
846;Lunetta;920 Broadway;Flatiron;920 Broadway
847;Lupe’s East L.A. Kitchen;110 Sixth Ave.;Tribeca;110 6th Ave
848;Lure Fishbar;142 Mercer St. | downstairs;Soho;142 Mercer St
849;Lusardi's;1494 Second Ave.;East 70s;1494 2nd Ave
850;Lusso;331 W. Broadway;Soho;331 W Broadway
851;Luxee;6 Clinton St.;Noho;6 Clinton St
852;Luzia's;429 Amsterdam Ave.;West 80s;429 Amsterdam Ave
853;L‘Artusi;228 W 10th St.;Greenwich Village;228 W 10th St
854;MIracle Grill;415 Bleecker St.;West Village;415 Bleecker St
855;Macao Trading Company;311 Church St.;Tribeca;311 Church St
856;Macelleria;48 Gansevoort;Meatpacking District;48 Gansevoort St
857;Macondo;157 E. Houston;Lower East Side;157 E Houston St
858;Madaleine Mae;461 Columbus Ave.;West 80s;461 Columbus Ave
859;Madangsui;35 W 35th St.;Garment District;35 W 35th St
860;Madison & Vine;299 Madison Ave. | Library Hotel;East 40s;299 Madison Avenue Entrance on
861;Madison Bistro;238 Madison Ave.;Murray Hill;238 Madison Ave
862;Madras Café;79 2nd Ave.;East Village;79 2nd Ave
863;Madras Mahal;104 Lexington Ave.;Murray Hill;104 Lexington Ave
864;Maffei Pizza;688 6th Ave.;Flatiron;688 6th Ave
865;Malatesta;649 Washington St.;West Village;649 Washington St
866;Mama Mexico;2672 Broadway;West 100s;2672 Broadway
867;Mama's Food Shop;200 E 3rd St.;East Village;200 E 3rd St
868;Mamajuana Cafe;247 Dyckman St.;Inwood;247 Dyckman St
869;Mambi;4181 Broadway;Washington Heights;4181 Broadway
870;Mamlouk;211 E. Fourth St.;East Village;211 E 4th St
871;Mamoun's Falafel;119 MacDougal St.;Greenwich Village;119 MacDougal St
872;Mandoo Bar;2 W 32nd St.;Chelsea;2 W 32nd St
873;Mangia;22 W 23rd St.;Flatiron;22 W 23rd St
874;Mangia;50 W 57th Sts;West 50s;50 W 57th St
875;Mangia;40 Wall St. | Trump Building;Financial District;40 Wall St
876;Mangia;16 E 48th St.;East 40s;16 E 48th St
877;Manhattan Heroes;27th & 7th Ave.;Chelsea;New York
878;Mantra 986;986 Second Ave.;East 50s;986 2nd Ave
879;Maoz;38 Union Square East;Union Square;38 Union Square E
880;Mara's Homemade;342 E 6th St.;East Village;342 E 6th St
881;March;405 E 58th St.;East 50s;405 E 58th St
882;Marchi's;251 E 31st St.;Murray Hill;251 E 31st St
883;Maremma;228 W 10th St.;West Village;228 W 10th St
884;Marfa;101 E 2nd St.;East Village;101 E 2nd St
885;Mark Joseph;261 Water St.;Financial District;261 Water St
886;Market Café;496 9th Ave.;Garment District;496 9th Ave
887;Market Table;54 Carmine St.;West Village;54 Carmine St
888;Markt;676 6th Ave.;Chelsea;676 6th Ave
889;Marquet Patisserie;15 E 12th St.;East Village;15 E 12th St
890;Marseille;630 9th Ave.;West 40s;630 9th Ave
891;Mary's Fish Camp;64 Charles St.;West Village;64 Charles St
892;Matsugen;241 Church St.;Tribeca;241 Church St
893;Matsuri;396 W 16th St.;Chelsea;396 W 16th St
894;Max;1274 Amsterdam Ave.;Harlem;1274 Amsterdam Ave
895;Max;51 Ave. B;East Village;51 Avenue B
896;Max Brenner;141 Second Ave.;East Village;141 2nd Ave
897;Max Brenner;841 Broadway;Union Square;841 Broadway
898;Max SoHa;1274 Amsterdam Ave.;Harlem;1274 Amsterdam Ave
899;Maz Mezcal;316 E 86th St.;East 80s;316 East 86th St
900;Maze;151 W 54th St. | The London NYC;West 50s;151 W 54th St
901;McCormick & Schmick's;1285 Sixth Ave.;West 50s;1285 6th Ave
902;Megu;62 Thomas St.;Tribeca;62 Thomas St
903;Megu;845 United Nations Plaza;East 40s;845 United Nations Plaza
904;Menchanko-Tei;43-45 W 55th St.;West 50s;43 W 55th St
905;Menkui-Tei;63 Cooper Sq.;Noho;63 Cooper Sq
906;Mercadito;179 Ave. B;East Village;179 Avenue B
907;Mercat;45 Bond St.;Greenwich Village;45 Bond St
908;Mercer Kitchen;99 Prince St. | Mercer Hotel;Soho;99 Prince St
909;Mercury Dime;246 E 5th St.;East Village;246 E 5th St
910;Merkato 55;55 Gansevoort St.;Meatpacking District;55 Gansevoort St
911;Mermaid Inn;96 2nd Ave.;East Village;96 2nd Ave
912;Mesa Grill;102 Fifth Ave.;Flatiron;102 5th Ave
913;Meskel;199 E 3rd St.;East Village;199 E 3rd St
914;Meskerem;468 W 47th St.;West 40s;468 W 47th St
915;Metisse;230 W 105th St.;West 100s;230 W 105th St
916;Metro Marche;625 Eighth Ave.;West 40s;625 8th Ave
917;Mexican Radio;19 Cleveland Pl.;Soho;19 Cleveland Pl
918;Mexicana Mama;525 Hudson St.;West Village;525 Hudson St
919;Mexico Lindo;459 2nd Ave.;Murray Hill;459 2nd Ave
920;Mezzaluna;1295 Third Ave.;East 70s;1295 3rd Ave
921;Mi Cocina;57 Jane St.;West Village;57 Jane St
922;Mi Mexico Lindo Panaderia;2267 Second Ave.;East Harlem;2267 2nd Ave
923;Mia Dona;206 E 58th St.;East 50s;206 E 58th St
924;Minar;138 W 46th St.;West 40s;138 W 46th St
925;Minca;536 E 5th St.;East Village;536 E 5th St
926;Mint;150 E 50th St. | San Carlos Hotel;East 50s;150 E 50th St
927;Mishima;164 Lexington Ave.;Murray Hill;164 Lexington Ave
928;Miss Mamie's Spoonbread Too;366 W 110th St.;Harlem;366 W 110th St
929;Miss Maude's;547 Lenox Ave.;Harlem;547 Lenox Ave
930;Mizu Sushi;29 E 20th St.;Flatiron;29 E 20th St
931;Mo-Bay;17 W 125th St.;Harlem;17 W 125th St
932;Moco Global Dining;516A Third Ave.;Murray Hill;516a 3rd Ave
933;Momofuku Ko;163 1st Ave.;East Village;163 1st Avenue
934;Momofuku Milk Bar and Bakery;207 Second Ave.;East Village;207 2nd Ave
935;Momofuku Noodle Bar;171 1st Ave.;East Village;171 1st Avenue
936;Momofuku Ssam Bar;207 2nd Ave.;East Village;207 2nd Ave
937;Momofuku Ssäm Bar;207 Second Ave.;East Village;207 2nd Ave
938;Momoya;185 Seventh Ave.;Chelsea;185 7th Ave
939;Mon Petit Cafe;801 Lexington Ave.;East 60s;801 Lexington Ave
940;Monck's Corner;644 9th Ave.;West 40s;644 9th Ave
941;Mooncake Foods;28 Watts St.;Tribeca;28 Watts St
942;Morandi;211 Waverly Pl.;West Village;211 Waverly Pl
943;Morimoto;88 10th Ave.;Chelsea;88 10th Ave
944;Morton's, The Steakhouse;Morton's, The Steakhouse;East 40s;551 5th Ave
945;Mott Pho Bang Restaurant;157 Mott St.;Chinatown;157 Mott St
946;Mottsu;285 Mott St.;Soho;285 Mott St
947;Moustache;1621 Lexington Ave.;East Harlem;1621 Lexington Ave
948;Mr. Chow;324 E 57th St.;East 50s;324 E 57th St
949;Mr. Chow Tribeca;121 Hudson St.;Tribeca;121 Hudson St
950;Mr. Ginger;1572 2nd Ave.;East 80s;1572 2nd Ave
951;Mr. K's;570 Lexington Ave.;East 50s;General Electric Building
952;Mr. Skewer & Co.;43 W 14th St.;Chelsea;43 W 14th St
953;Mr. Tang;50 Mott St.;Chinatown;50 Mott St
954;Mughlai;320 Columbus Ave.;West 70s;320 Columbus Ave
955;Naima;513 W 27th St.;Chelsea;513 W 27th St
956;Nam;110 Reade St.;Tribeca;110 Reade St
957;Nam Zhaou Hand Made Noodle and Dumpling Place;144 E Broadway;Chinatown;144 E Broadway
958;Nanni;146 E 46th St.;East 40s;146 E 46th St
959;Nanoosh Mediterranean Hummus Bar;1273 1st Avenue;East 60s;1273 1st Avenue
960;Native;161 Lenox Ave.;Harlem;161 Lenox Ave
961;Natsumi;226 W 50th St.;West 50s;226 W 50th St
962;Neary's;358 E 57th St.;East 50s;358 E 57th St
963;Nello;696 Madison Ave.;East 60s;696 Madison Ave
964;Nelson Blue;233 Front St.;South Street Seaport;233 Front St
965;Neo Sushi;2298 Broadway;West 80s;2298 Broadway
966;Neptune Room;511 Amsterdam Ave.;West 80s;511 Amsterdam Ave
967;Nero;46 Gansevoort St.;Greenwich Village;46 Gansevoort St
968;New Bai Wei Gourmet Foods;51 Division St.;Chinatown;51 Division St
969;New Bo-Ky;82 Bayard St.;Chinatown;82 Bayard St
970;New Caporal;3772 Broadway;Washington Heights;3772 Broadway
971;New Chao Chow Restaurant;111 Mott St.;Chinatown;111 Mott St
972;New Green Bo;66 Bayard St.;Chinatown;66 Bayard St
973;New Malaysia Restaurant;46-48 Bowery;Chinatown;46 Bowery #48
974;New Naima Kada;124 Lexington Avenue;Murray Hill;124 Lexington Ave
975;New Pasteur Restaurant;85 Baxter St.;Chinatown;85 Baxter St
976;New York Burger Co.;303 Park Ave. S;Flatiron;303 Park Ave S
977;Nha Trang;148 Centre St.;Chinatown;148 Centre St
978;Nha Trang;87 Baxter St.;Chinatown;87 Baxter St
979;Nicky's Vietnamese Sandwiches;150 E 2nd St.;East Village;150 E 2nd St
980;Nicola's;146 E 84th St.;East 80s;146 E 84th St
981;Nicole's;10 E 60th St.;East 60s;10 E 60th St
982;Niko's Mediterranean Grill & Bistro;2161 Broadway;West 70s;2161 Broadway
983;Nikoniko;80 Wall St.;Financial District;80 Wall St
984;Niles Restrnt;371 7th Ave. Lbby;Garment District;371 7th Ave
985;Nina's Argentinean Pizzeria;1750 Second Ave.;East 90s;1750 2nd Ave
986;Nino's Tuscany;117 W 58th St.;West 50s;117 W 58th St
987;Nippon;155 E 52nd St.;East 50s;155 E 52nd St
988;Nirvana;218 Third Ave.;Flatiron;218 3rd Ave
989;No 1 Chinese Restaurant;825 W 181st St.;Washington Heights;825 W 181st St
990;Noah's Ark;399 Grand St.;Lower East Side;399 Grand St
991;Noble Food & Wine;7 Spring St.;Little Italy;7 Spring St
992;Nobu;105 Hudson St.;Tribeca;105 Hudson St
993;Nobu 57;40 W 57th St.;West 50s;40 W 57th St
994;Nobu Next Door;105 Hudson St.;Tribeca;105 Hudson St
995;Nocello;257 W 55th St.;West 50s;257 W 55th St
996;Noche Mexicana;852 Amsterdam Ave.;West 100s;852 Amsterdam Ave
997;Noho Star;330 Lafayette St.;Greenwich Village;330 Lafayette St
998;Nolita House;47 E Houston St.;Little Italy;47 E Houston St
999;Nomad;78 Second Ave.;East Village;78 2nd Ave
1000;Noodle Bar;26 Carmine Street;West Village;26 Carmine St
1001;Norma's;118 W 57th St. | Le Parker Meridian;West 50s;119 W 56th St
1002;Novita;102 E 22nd St.;Flatiron;102 E 22nd St
1003;Nyonya;194 Grand St.;Chinatown;194 Grand St
1004;O.G.;507 E 6th St.;East Village;507 E 6th St
1005;OK 218;218-220 Grand St.;Chinatown;218 Grand St #220
1006;Oak Room at the Plaza;768 5th Avenue;West 50s;768 5th Ave
1007;Obika;590 Madison Ave.;East 50s;590 Madison Ave
1008;Ocean Grill;384 Columbus Ave.;West 70s;384 Columbus Ave
1009;Oceana;55 E 54th St.;East 50s;55 E 54th St
1010;Odeon;145 W Broadway;Tribeca;145 W Broadway
1011;Oh! Taisho;9 St. Marks Pl.;East Village;9 St Marks Pl
1012;Old Homestead Steak House;56 9th Ave.;Chelsea;56 9th Ave
1013;Old Town Bar;45 E 18th St.;Flatiron;45 E 18th St
1014;Olympic Pita;58 W 38th St.;Garment District;58 W 38th St
1015;Omai;158 9th Ave.;Chelsea;158 9th Ave
1016;Omen;113 Thompson St.;Soho;113 Thompson St
1017;Omido;1695 Broadway;West 50s;1695 Broadway
1018;Oms/B;156 E 45th St.;East 40s;156 E 45th St
1019;Once Upon A Tart;135 Sullivan St.;Soho;135 Sullivan St
1020;Onda;229 Front St.;South Street Seaport;229 Front St
1021;One 83;1608 1st Ave.;East 80s;1608 1st Avenue
1022;One Fish, Two Fish;1399 Madison Ave.;East 90s;1399 Madison Ave
1023;One if by Land, Two if by Sea;17 Barrow St.;Greenwich Village;17 Barrow St
1024;Ono;18 Ninth Ave.;Meatpacking District;18 9th Ave
1025;Oriental Food Restaurant;103-105 Mott St.;Chinatown;103 Mott St
1026;Oriental Garden;14 Elizabeth St.;Soho;14 Elizabeth St
1027;Osaka Vibe;355 Bowery;East Village;355 Bowery
1028;Osterial Gelsi;507 9th Ave.;West 40s;507 9th Ave
1029;Osterial Laguna Restaurant;209 E 42nd St. | Grand Central Station;East 40s;209 E 42nd St. | Grand Central Station
1030;Ostia;113 7th Avenue S #15;East 50s;113 7th Ave S #15
1031;Otafuku;236 E 9th St.;East Village;236 E 9th St
1032;Otto;1 Fifth Ave.;Greenwich Village;1 5th Ave
1033;Otto Restaurant Enoteca Pizzeria;1 5th Ave.;Greenwich Village;1 5th Ave
1034;Ottomanelli New York Grill;1424 Lexington Ave.;East 90s;1424 Lexington Ave
1035;Ouest;2315 Broadway;West 80s;2315 Broadway
1036;Our Place;1444 3rd Ave.;East 80s;1444 3rd Ave
1037;Overseas Asian Restaurant;49 Canal St.;Chinatown;49 Canal St
1038;Oyster Bar;89 E 42nd St.;East 40s;89 E 42nd St
1039;PJ Bernstein;1215 3rd Ave.;East 70s;1215 3rd Ave
1040;PJ Clarke's;44 W 63rd St. | Lincoln Square;West 60s;44 W 63rd St.
1041;PJ Clarke's;915 3rd Ave.;East 50s;915 3rd Ave
1042;Pad Thai;114 8th Ave.;Chelsea;114 8th Ave
1043;Pak Punjab Deli and Grocery;50 E. 3rd St.;East Village;50 E 3rd St
1044;Pakistan Tea House;176 Church St.;Tribeca;176 Church St
1045;Pala;198 Allen St.;Lower East Side;198 Allen St
1046;Palacinka;28 Grand St.;Soho;28 Grand St
1047;Paladar;161 Ludlow St. Frnt;Lower East Side;161 Ludlow St
1048;Palm Restaurant;837 2nd Ave.;East 40s;837 2nd Ave
1049;Pam Real Thai Food;404 W 49th St.;West 40s;404 W 49th St
1050;Pampa;768 Amsterdam Ave.;West 90s;768 Amsterdam Ave
1051;Pampano;209 E 49th St.;East 40s;209 E 49th St
1052;Pampano Taqueria;805 Third Ave.;East 50s;805 3rd Ave
1053;Pancho Magico;213 Pearl St.;Financial District;213 Pearl St
1054;Panino Sportivo Roma;1231 Amsterdam Ave.;Harlem;1231 Amsterdam Ave
1055;Paola's;245 E 84th St.;East 80s;245 E 84th St
1056;Papatzul;55 Grand St.;Chinatown;55 Grand St
1057;Paradou;8 Little W 12th St.;Meatpacking District;8 Little W 12th St
1058;Parigot;155 Grand St.;Soho;155 Grand St
1059;Paris Cafe;119 South St.;Financial District;119 South St
1060;Paris Commune;99 Bank St.;West Village;99 Bank St
1061;Paris Sandwich;113 Mott St.;Soho;113 Mott St
1062;Park Avenue Winter, Spring, Summer, Autumn;100 E 63rd St.;East 60s;100 E 63rd St
1063;Park Terrace Bistro;4959 Broadway;Inwood;4959 Broadway
1064;Pars;249 West 26th St.;Chelsea;249 W 26th St
1065;Pars Grill House and Bar;249 W 26th St.;Garment District;249 W 26th St
1066;Pascalou;1308 Madison Ave.;East 80s;1308 Madison Ave
1067;Pasha Restaurant;70 W 71st St. | Frnt 1;West 70s;70 W 71st St
1068;Pasita;47 8th St.;West Village;47 8th Ave
1069;Pasta Presto 51;959 2nd Ave. Frnt;East 40s;959 2nd Ave
1070;Pasticcio Restaurant;447 3rd Ave.;Murray Hill;447 3rd Ave
1071;Pastis;9 9th Ave.;Meatpacking District;9 9th Ave
1072;Patroon;160 E 46th St.;East 40s;160 E 46th St
1073;Patsy's Pizzeria;2287-91 1st Ave.;East Harlem;2287 1st Avenue
1074;Paul's;131 2nd Ave.;East Village;131 2nd Ave
1075;Payard Patisserie & Bistro;1032 Lexington Ave.;East 70s;1032 Lexington Ave
1076;Peanut Butter & Co;221 Sullivan St.;Greenwich Village;221 Sullivan St
1077;Pearl Oyster Bar;18 Cornelia St.;West Village;18 Cornelia St
1078;Peep;177 Prince St.;Soho;LOFTS AT PRINCE (WEDDING)
1079;Pellegrino's;138 Mulberry St.;Little Italy;138 Mulberry St
1080;Penelope;159 Lexington Ave.;West 50s;159 Lexington Ave
1081;Pepe Giallo;253 10th Ave. Frnt;Chelsea;253 10th Ave
1082;Pepe Rosso;149 Sullivan St.;Soho;149 Sullivan St
1083;Pepolino;281 W Broadway;Soho;281 W Broadway
1084;Per Lei;1347 2nd Ave.;East 70s;1347 2nd Ave
1085;Perbacco;234 E 4th St.;East Village;234 E 4th St
1086;Pergola Des Artistes;252 W 46th St.;West 40s;252 W 46th St
1087;Peri Ela;1361 Lexington Ave.;East 90s;1361 Lexington Ave
1088;Perilla;9 Jones St.;West Village;9 Jones St
1089;Periyali;35 W 20th St.;Chelsea;35 W 20th St
1090;Perle;62 Pearl St.;Financial District;62 Pearl St
1091;Perry Street;176 Perry St.;West Village;176 Perry St
1092;Persepolis;1423 Second Ave.;East 70s;1423 2nd Ave
1093;Persimmon;277 E. 10th St.;East Village;277 E 10th St
1094;Persimmon Kimchi House;277 E. 10th St.;East Village;277 E 10th St
1095;Persphone;115 E. 60th St.;East 50s;115 E 60th St
1096;Pesce e Pasta;262 Bleecker St.;West Village;262 Bleecker St
1097;Pete's Tavern;129 E 18th St.;Flatiron;129 E 18th St
1098;Petite Abeille;134 W Broadway;Soho;134 W Broadway
1099;Philip Marie;569 Hudson St.;West Village;569 Hudson St
1100;Philippe;33 E 60th St.;East 60s;33 E 60th St
1101;Philly Slim's;789 9th Ave.;West 50s;789 9th Ave
1102;Pho Grand;277C Grand St.;Chinatown;277C Grand St
1103;Pho Saigon;52 Bowery;Chinatown;52 Bowery
1104;Pho Tu Do;119 Bowery;Chinatown;119 Bowery
1105;Pho Viet Huong;73 Mulberry St.;Chinatown;73 Mulberry St
1106;Phobang Restaurant;157 Mott St.;Little Italy;157 Mott St
1107;Phoenix Garden;242 E 40th St.;Murray Hill;242 E 40th St
1108;Piadina;57 W 10th St.;West Village;57 W 10th St
1109;Piano Due;151 W 51st St.;West 50s;151 W 51st St
1110;Piccolo Angolo;621 Hudson St.;West Village;621 Hudson St
1111;Pie;124 4th Ave.;East Village;124 4th Ave
1112;Pig Heaven;1540 Second Ave.;East 80s;1540 2nd Ave
1113;Pigalle;790 8th Ave.;West 40s;790 8th Ave
1114;Pinche Taqueria;227 Mott St.;Soho;227 Mott St
1115;Ping's Seafood Restaurant;22 Mott St.;Chinatown;22 Mott St
1116;Pintxos;510 Greenwich St.;Tribeca;510 Greenwich St
1117;Piola;48 E 12th;East Village;48 E 12th St
1118;Pipa;38 East 19th St.;Flatiron;38 E 19th St
1119;Pisticci;124 La Salle;Morningside Heights;124 La Salle St
1120;Pita Joe;2 W 14th St.;Chelsea;2 W 14th St
1121;Pita Pocket;21 E 12th St.;Greenwich Village;21 E 12th St
1122;Pizza Bar;48-50 9th Ave.;Chelsea;48 9th Ave
1123;Planet Thailand 212;30 W 24th St.;Chelsea;30 W 24th St
1124;Polonia;110 1st Ave.;East Village;110 1st Avenue
1125;Pomaire;371 W 46th St.;West 40s;371 W 46th St
1126;Pommes Frites;123 2nd Ave.;East Village;123 2nd Ave
1127;Pongal;110 Lexington Ave.;Murray Hill;110 Lexington Ave
1128;Pop Burger;58-60 9th Ave.;Chelsea;58 9th Ave
1129;Popover Cafe;551 Amsterdam Ave.;West 80s;551 Amsterdam Ave
1130;Porchetta;110 E 7th St.;East Village;110 E 7th St
1131;Posto;310 Second Ave.;Gramercy Park;310 2nd Ave
1132;Pranna;79 Madison Avenue;Murray Hill;79 Madison Ave
1133;Presstoast;112 MacDougal St.;Greenwich Village;112 MacDougal St
1134;Prime Burger;5 E 51st St.;East 50s;5 E 51st St
1135;Province;305 Church St.;Tribeca;305 Church St
1136;Prune;54 E 1st St.;East Village;54 E 1st St
1137;Public;210 Elizabeth St.;Little Italy;210 Elizabeth St
1138;Public House;140 E 41st St.;West 40s;140 E 41st St
1139;Puebla Mexican Food;47 1st Ave.;East Village;47 1st Avenue
1140;Puglia Ristorante;189 Hester St.;Little Italy;189 Hester St
1141;Pukk;71 1st Ave.;East Village;71 1st Avenue
1142;Punjabi Food Junction;301 Tenth Ave.;Chelsea;301 Amsterdam Ave
1143;Pure Food and Wine;54 Irving Pl.;Gramercy Park;54 Irving Pl
1144;Puttanesca Italian Restaurant;859 9th Ave.;West 50s;859 9th Ave
1145;Pylos;128 E 7th St.;East Village;128 E 7th St
1146;Pão!;322 Spring St.;Soho;322 Spring St
1147;Qasim;338 Ninth Ave.;Chelsea;338 9th Ave
1148;Quartino;11 Bleecker St.;Noho;11 Bleecker St
1149;Quatorze Bis;323 E 79th St.;East 70s;323 E 79th St
1150;Queen Sheba;317 W 141st St.;Harlem;317 W 141st St
1151;Quintessence;263 E 10th St.;East Village;263 E 10th St
1152;R.U.B.;208 W 23rd St.;Chelsea;208 W 23rd St
1153;Rack & Soul;2818 Broadway;West 100s;2818 Broadway
1154;Rai Rai Ken;214 E 10th St.;East Village;214 E 10th St
1155;Rain;100 W 82nd St.;West 80s;100 W 82nd St
1156;Ramen Setagaya;141 First Ave.;East Village;141 1st Avenue
1157;Rare;303 Lexington Ave.;Murray Hill;303 Lexington Ave
1158;Rare Bar & Grill;228 Bleecker St.;West Village;228 Bleecker St
1159;Red Bamboo;140 W 4th St.;Greenwich Village;140 West 4th Street
1160;Red Egg;202 Centre St.;Chinatown;202 Centre St
1161;Regate;198 Orchard St.;Lower East Side;198 Orchard St
1162;Republic;37 Union Square West;Union Square;37 Union Square W
1163;Restaurant Nippon;155 E 52nd St.;East 50s;155 E 52nd St
1164;Resto;111 E 29th St.;Murray Hill;111 E 29th St
1165;Ricardo Steak House;2145 Second Ave.;East Harlem;2145 2nd Ave
1166;Rice;227 Elizabeth St.;Nolita;227 Elizabeth St
1167;Rice 'N Beans;744 9th Ave.;West 50s;744 9th Ave
1168;Rice to Riches;37 Spring St.;Soho;37 Spring St
1169;Rickshaw Dumpling Bar;61 W 23rd St.;Flatiron;61 W 23rd St
1170;Riingo;205 E 45th St.;East 40s;205 E 45th St
1171;Rinconcito;307 W 39th St.;West 40s;307 W 39th St
1172;Roberto;741 Ninth Ave.;West 50s;741 9th Ave
1173;Ronnybrook Milk Bar;75 9th Ave.;Chelsea;75 9th Ave
1174;Room Service;166 8th Ave.;Chelsea;166 8th Ave
1175;Roomali;97 Lexington Ave.;Murray Hill;97 Lexington Ave
1176;Rosa Mexicano;61 Columbus Ave.;West 60s;61 Columbus Ave
1177;Roti Plus;2345 Eighth Ave.;Harlem;2345 Frederick Douglass Blvd
1178;Rouge Tomate;14 East 60th Street;East 60s;14 E 60th St
1179;Royal Siam;240 8th Ave.;Chelsea;240 8th Ave
1180;Rudy's Bar & Grill;627 9th Ave.;West 40s;627 9th Ave
1181;S'mac;345 E 12th St.;East Village;345 E 12th St
1182;Sahara East;184 1st Ave.;East Village;184 1st Avenue
1183;Sahara's Turkish Cuisine;513 Second Ave.;Murray Hill;513 2nd Ave
1184;Saigon Banh Mi Bakery;138 Mott St.;Chinatown;138 Mott St
1185;Saigon Grill;2381 Broadway;West 80s;2381 Broadway
1186;Sakae Sushi;135 W. 3rd St.;Greenwich Village;135 W 3rd St
1187;Sakagura;211 E 43rd St.;East 40s;211 E 43rd St
1188;Sal's and Carmine's;2671 Broadway;West 100s;2671 Broadway
1189;Salumeria Biellese;378 Eighth Ave.;Chelsea;378 8th Ave
1190;Salumeria Rosi Parmacotto;283 Amsterdam Ave.;West 70s;283 Amsterdam Ave
1191;Sammy's;453 6th Ave.;West Village;453 6th Ave
1192;San Francisco de Asis;1779 Lexington Ave.;East Harlem;1779 Lexington Ave
1193;San Loco;124 2nd Ave.;East Village;124 2nd Ave
1194;San Loco;111 Stanton St.;Lower East Side;111 Stanton St
1195;San Loco;151 Ave. A;East Village;151 Avenue A
1196;Sangam;190 Bleecker St.;Greenwich Village;190 Bleecker St
1197;Sanmaroo;22 W 8 St.;West Village;22 W 8th St
1198;Sapporo;152 W 49th St.;West 40s;152 W 49th St
1199;Sapporo East;245 E 10th St.;East Village;245 E 10th St
1200;Sarabeth's;423 Amsterdam Ave.;West 80s;423 Amsterdam Ave
1201;Sarabeth's;75 Ninth Ave.;Flatiron;75 9th Ave
1202;Sarabeth's;1295 Madison Ave.;East 90s;1295 Madison Ave
1203;Sarge's;548 3rd Ave.;Murray Hill;548 3rd Ave
1204;Sassy's Sliders;1530 Third Ave.;East 80s;1530 3rd Ave
1205;Savann;414 Amsterdam Ave.;West 80s;414 Amsterdam Ave
1206;Savarona;420 E 59th St.;East 50s;420 E 59th St
1207;Scarpetta;355 W. 14th St.;Meatpacking District;355 W 14th St
1208;Schiller's Liquor Bar;131 Rivington St.;Lower East Side;131 Rivington St
1209;Seasonal;132 W 58th St.;West 50s;132 W 58th St
1210;Second Avenue Deli;162 E 33rd St.;Murray Hill;162 E 33rd St
1211;Seoul Station;81 St. Marks Place;East Village;81 St Marks Pl
1212;Serafina;1022 Madison Ave.;East 70s;1022 Madison Ave
1213;Serendipity 3;225 E 60th St.;East 60s;225 E 60th St
1214;Servants of God/A Taste of Seafood;50 E 125th St.;East Harlem;50 E 125th St
1215;Shabu-Tatsu Downtown;216 E 10th St.;East Village;216 E 10th St
1216;Shake Shack;23rd & Madison Ave.;Flatiron;Madison Ave & E 23rd St
1217;Shang;187 Orchard St.;Chinatown;187 Orchard St
1218;Shanghai Café;100 Mott St.;Chinatown;100 Mott St
1219;Shanghai Cuisine;89 Bayard St.;Chinatown;89 Bayard St
1220;Sharaku;14 Stuyvesant St.;East Village;14 Stuyvesant St
1221;Sheng Wang;27 Eldridge St.;Chinatown;27 Eldridge St
1222;Shima;188 2nd Ave.;East Village;188 2nd Ave
1223;Shinbashi;7 E 48th St.;East 40s;7 E 48th St
1224;Sigiri;91 First Ave.;East Village;91 1st Avenue
1225;Silver Spurs;771 Broadway;Greenwich Village;771 Broadway
1226;Silver Spurs;494 La Guardia Place;Greenwich Village;494 LaGuardia Pl
1227;Simon Sips Cafe;72 East 1st Street;Greenwich Village;72 E 1st St
1228;Singapore Café;69 Mott St.;Chinatown;69 Mott St
1229;Singas Famous Pizza;176 Second Ave.;East Village;176 2nd Ave
1230;Sirtaj;36 W 26th St.;Flatiron;36 W 26th St
1231;Skylight Diner;402 W 34th St.;Chelsea;402 W 34th St
1232;Skyway;11 Allen St.;Lower East Side;11 Allen St
1233;Slurp;84 Stanton St.;Lower East Side;84 Stanton St
1234;Smith's;79 MacDougal Street;Greenwich Village;79 MacDougal St
1235;Smokin' Q;206 E 63rd St.;East 60s;206 E 63rd St
1236;Smorgas Chef;53 Stone St.;Financial District;53 Stone St
1237;Soba Totto;211 E. 43rd St.;East 40s;211 E 43rd St
1238;Soba-ya;229 E 9th St.;East Village;229 E 9th St
