level_0;level_1;ristorante;indirizzoOriginale;indirizzoGoogle;Score;0_restaurant;0_address;0_addressFix;1_restaurant;1_address;1_neighborhood;1_type;1_cost;1_addressFix
;32,000;;;;;;;;Ali Baba;206 E 34th St;Murray Hill;Turkish;$;206 E 34th St, New York, NY 10016, USA
;33,000;;;;;;;;Alias;76 Clinton St;Lower East Side;American;$$$;76 Clinton St, New York, NY 10002, USA
;34,000;;;;;;;;Alice's Tea Cup;102 West. 73 st;Upper West Side;American;$;102 W 73rd St, New York, NY 10023, USA
;37,000;;;;;;;;Almond;12 E 22nd Street;Flatiron;French;$$$$$;12 E 22nd St, New York, NY 10010, USA
;39,000;;;;;;;;Alouette;2588 Broadway;Upper West Side;French;$$$;2588 Broadway
;40,000;;;;;;;;Alta;64 West 10th Street;Greenwich Village;Mediterranean;$$$;64 W 10th St, New York, NY 10011, USA
;41,000;;;;;;;;Alto;520 Madison Ave;Midtown East;Italian;$$$$$;520 Madison Ave, New York, NY 10022, USA
;42,000;;;;;;;;Amalia;;Midtown West;Mediterranean;$$$$;
;43,000;;;;;;;;Amaranth;21 E. 62nd St.;Mediterranean;$$$;;21 E 62nd St, New York, NY 10065, USA
;44,000;;;;;;;;Amazing 66;66 Mott Street;Chinatown;Chinese;$$;66 Mott St, New York, NY 10013, USA
;45,000;;;;;;;;Ambassador Grill and Lounge;1 United Nations Plaza;Midtown East;International;$$$;1 United Nations Plaza, New York, NY 10017, United States
;49,000;;;;;;;;Amy Ruth's;113 W 116th St;Harlem;Southern;$;113 W 116th St, New York, NY 10026, USA
;50,000;;;;;;;;Amy's Bread;75 Ninth Ave;Midtown West;American;$;75 9th Ave, New York, NY 10011, USA
;51,000;;;;;;;;Angelica Kitchen;300 E 12th St;East Village;Vegetarian;$;300 E 12th St, New York, NY 10003, USA
;52,000;;;;;;;;Angelo & Maxies Steakhouse;233 Park Ave South (19th St);Midtown West;Steakhouse;$$$;233 Park Ave South (19th St)
;53,000;;;;;;;;Angelo's Of Mulberry Street;146 Mulberry St Fl 1;Little Italy;Italian;$$$;146 Mulberry St Fl 1, New York, NY 10013, USA
;54,000;;;;;;;;Angon on The Sixth;320 E Sixth St;East Village;Indian;$;320 E 6th St, Dallas, TX 75203, USA
;55,000;;;;;;;;Annisa;13 Barrow Street;Greenwich Village;American;$$$$$;13 Barrow Street
;56,000;;;;;;;;Anthos;36 W 52nd St;Midtown West;Mediterranean;$$$$;36 W 52nd St, Bayonne, NJ 07002, USA
;59,000;;;;;;;;Aq Cafe;58 Park Ave;Murray Hill;Scandinavian;$;Park Ave, United States
;60,000;;;;;;;;Aquagrill;210 Spring St;SOHO;Seafood;$$$$;210 Spring St, New York, NY 10012, USA
;62,000;;;;;;;;Arezzo;46 W 22nd St;Flatiron;Italian;$$$;46 W 22nd St, New York, NY 10010, USA
;63,000;;;;;;;;Aroma;36 E Fourth St;NoLita;Italian;$$;Bartlett Building, 36 E 4th St, Cincinnati, OH 45202, USA
;64,000;;;;;;;;Arqua;281 Church Street;TriBeCa;Italian;$$$;281 Church St, New York, NY 10013, USA
;65,000;;;;;;;;Arriba Arriba!;1463 Third Ave;Upper East Side;American;$;1463 3rd Ave, New York, NY 10028, USA
;67,000;;;;;;;;Artichoke;328 E 14th St;East Village;Pizza;$$;328 E 14th St, New York, NY 10003, USA
;68,000;;;;;;;;Artie's Deli;2290 Broadway;;;;2290 Broadway, New York, NY 10024, USA
;70,000;;;;;;;;Arturo's Restaurants;106 W Houston St;Greenwich Village;Italian;$;106 W Houston St, New York, NY 10012, USA
;71,000;;;;;;;;Asia De Cuba;237 Madison Ave;Murray Hill;Asian;$$$$;237 Madison Ave, New York, NY 10016, USA
;72,000;;;;;;;;Asiakan;710 Amsterdam Ave.;Upper West Side;Pan-Asian;$;710 Amsterdam Ave, New York, NY 10025, USA
;73,000;;;;;;;;Asiate;80 Columbus Cir at 60th Street;Upper West Side;French;$$$$;80 Columbus Cir at 60th Street
;76,000;;;;;;;;Atlantic Grill;1341 Third Ave;Upper East Side;Seafood;$$$;1341 3rd Ave, New York, NY 10021, USA
;77,000;;;;;;;;Atnhos;36 W. 52nd Street;Greek;$$$$;;36 W 52nd St, Bayonne, NJ 07002, USA
;78,000;;;;;;;;Au Mandarin;200-250 Vesey St;Financial District;Chinese;$$;200-250 Vesey St
;79,000;;;;;;;;August;359 Bleecker St;West Village;European;$$$;359 Bleecker St, New York, NY 10014, USA
;80,000;;;;;;;;Aureole;34 E 61st St (Between Park and Madison);Midtown East;American;$$$$$;34 E 61st St (Between Park and Madison)
;81,000;;;;;;;;Aurora;51 Broome St.;SOHO;Italian;$$;51 Broome St, Maroubra NSW 2035, Australia
;83,000;;;;;;;;Awash;947 Amsterdam Ave.;Ethiopian;;;947 Amsterdam Ave, New York, NY 10025, USA
;85,000;;;;;;;;Azucar;939 Eighth Avenue;Midtown West;Cuban;$$;939 8th Ave, New York, NY 10001, USA
;86,000;;;;;;;;Azuri Cafe;465 W 51st St;Midtown West;Jewish;$;465 W 51st St, New York, NY 10019, USA
;87,000;;;;;;;;Azza;137 E. 55th Street;Midtown East;Moroccan;$$$$;137 E 55th St, New York, NY 10022, USA
;89,000;;;;;;;;BLT Fish;21 W 17th St;Flatiron;Seafood;$$;21 W 17th St, New York, NY 10011, USA
;90,000;;;;;;;;BLT Prime;111 East 22nd Street;Gramercy Park;American;$$$$;111 E 22nd St, New York, NY 10010, USA
;91,000;;;;;;;;BLT Steak;106 E 57th St;Midtown East;Steakhouse;$$$$$;106 E 57th St, New York, NY 10022, USA
;94,000;;;;;;;;Bali Nusa Indah Restaurant Inc;651 9th Ave;Indonesian;;;651 9th Ave, New York, NY 10036, USA
;95,000;;;;;;;;Balthazar;80 Spring Street;SOHO;French;$$$;80 Spring St, New York, NY 10012, USA
;96,000;;;;;;;;Banjara;97 First Ave;East Village;Indian;$$;97 First Ave, Marsden QLD 4132, Australia
;98,000;;;;;;;;Bao 111;111 Ave C;East Village;Asian;$$;111 Loisaida Ave, New York, NY 10009, USA
;100,000;;;;;;;;Bar Boa;100 W 82nd Street;Upper West Side;Vietnamese;$$$$;100 W 82nd St, New York, NY 10024, USA
;101,000;;;;;;;;Bar Jamon;52 Irving Pl.;NY;Spanish;$$$;52 Irving Pl, New York, NY 10003, USA
;102,000;;;;;;;;Bar Martignetti;406 Broome St.;;;;406 Broome St, New York, NY 10013, USA
;103,000;;;;;;;;Bar Pitti;268 Sixth Avenue;Greenwich Village;Italian;$$;268 6th Ave, New York, NY 10012, USA
;106,000;;;;;;;;Barbounia;250 Park Ave South;Flatiron;Mediterranean;$$$$;250 Park Ave S, New York, NY 10003, USA
;107,000;;;;;;;;Barmarche;14 Spring St;NoLita;American;$$;14 Spring St, New York, NY 10012, USA
;108,000;;;;;;;;Barney Greengrass;541 Amsterdam Ave;Upper West Side;Deli;$;541 Amsterdam Ave, New York, NY 10024, USA
;109,000;;;;;;;;Barolo;398 West Broadway;SOHO;Italian;$$$;398 W Broadway, New York, NY 10012, USA
;110,000;;;;;;;;Basta Pasta;37 W 17th St;Flatiron;Italian;$$;37 W 17th St, New York, NY 10011, USA
;111,000;;;;;;;;Battery Gardens;Inside Battery Parkacross From 17 State St;Financial District;American;$$$;New York, NY 10004, United States
;112,000;;;;;;;;Bay Leaf;49 W 56th Street;Midtown West;Indian;$$;49 W 56th St, New York, NY 10019, USA
;113,000;;;;;;;;Bb Sandwich Bar;120 W Third St;West Village;American;$;120 W Third St, Dayton, OH 45402, USA
;114,000;;;;;;;;Beacon;25 West 56th St (Between 5th & 6th Avenues);Midtown West;American;$$$$;25 West 56th St (Between 5th & 6th Avenues)
;116,000;;;;;;;;Bellavitae;21 Minetta Ln;Greenwich Village;Italian;$$$;21 Minetta Ln, New York, NY 10012, USA
;117,000;;;;;;;;Bello;863 Ninth Ave;;;;863 9th Ave, New York, NY 10019, USA
;119,000;;;;;;;;Ben & Jack's Steak House;219 E 44th St;Midtown East;Steakhouse;$$$$;219 E 44th St, New York, NY 10017, USA
;120,000;;;;;;;;Ben's Kosher Deli;209 West 38th Street;Midtown West;Deli;$;209 W 38th St, New York, NY 10018, USA
;121,000;;;;;;;;Beppe;45 E 22nd St;Flatiron;Italian;$$$;45 E 22nd St, New York, NY 10010, United States
;122,000;;;;;;;;Bette;461 W 23rd St;Chelsea;European;$$$;461 W 23rd St, New York, NY 10011, USA
;123,000;;;;;;;;Bettola;412 Amsterdam Ave;Upper West Side;Italian;$$;412 Amsterdam Ave, New York, NY 10024, USA
;124,000;;;;;;;;Beyoglu;1431 Third Avenue;Upper East Side;Mediterranean;$$;1431 3rd Ave, New York, NY 10028, USA
;125,000;;;;;;;;Bianca;5 Bleecker St;NoLita;Italian;$$;5 Bleecker St, New York, NY 10012, USA
;126,000;;;;;;;;Big Nick's Burger Joint;2175 Broadway;Upper West Side;American;$;2175 Broadway, New York, NY 10024, USA
;127,000;;;;;;;;Big Wong;67 Mott St;;;;67 Mott St, New York, NY 10013, USA
;128,000;;;;;;;;Bistro Cassis;225 Columbus Ave;Upper West Side;French;$$;225 Columbus Ave, New York, NY 10023, USA
;129,000;;;;;;;;Bistro Citron;473 Columbus Ave.;;;;473 Columbus Ave, New York, NY 10024, USA
;130,000;;;;;;;;Bistro Les Amis;180 Spring St/Thompson;SOHO;French;$$;180 Spring St, New York, NY 10012, USA
;131,000;;;;;;;;Bistro Ten 18;1018 Amsterdam Ave;Upper West Side;American;$$;1018 Amsterdam Ave, New York, NY 10025, USA
;132,000;;;;;;;;Black Iron Burger Shop;540 E 5th St;East Village;American;$$$;540 E 5th St, New York, NY 10009, USA
;133,000;;;;;;;;Black Pearl;37 W. 26th Street;Chelsea;Seafood;$$;37 W 26th St, New York, NY 10010, USA
;134,000;;;;;;;;Blaue Gans;139 Duane Street;TriBeCa;German;$$$;139 Duane St, New York, NY 10013, USA
;135,000;;;;;;;;Blockheads Mexican Diner;954 Second Ave;Midtown West;Mexican;$;954 2nd Ave, New York, NY 10022, USA
;136,000;;;;;;;;Bloomingdale Road;2398 Broadway;American;$$$;;2398 Broadway, New York, NY 10024, USA
;137,000;;;;;;;;Blossom;187 Ninth Ave.;Vegetarian;$$;;187 9th Ave, New York, NY 10011, USA
;138,000;;;;;;;;Blue 9 Burger;92 3rd Ave;East Village;American;$;3rd Ave & E 92nd St, New York, NY 10128, USA
;139,000;;;;;;;;Blue Fin;1567 Broadway at 47th;Midtown West;Seafood;$$$;1567 Broadway, New York, NY 10036, USA
;141,000;;;;;;;;Blue Ribbon;97 Sullivan Street;SOHO;American;$$$;97 Sullivan St, New York, NY 10012, USA
;142,000;;;;;;;;Blue Ribbon Bakery;33 Downing Street;Greenwich Village;American;$$;33 Downing St, Ladera Ranch, CA 92694, USA
;143,000;;;;;;;;Blue Ribbon Sushi;119 Sullivan St;SOHO;Sushi;$$$;119 Sullivan St, New York, NY 10012, USA
;145,000;;;;;;;;Blue Water Grill;31 Union Square West;Union Square;Seafood;$$$;31 Union Square W, New York, NY 10003, USA
;146,000;;;;;;;;Bluechili;251 W 51st St;Midtown West;Asian;$$;251 W 51st St, New York, NY 10019, USA
;147,000;;;;;;;;Bobby Van's Grill - 50th Street;135 W 50th St;Midtown West;Italian;$$$;135 W 50th St, New York, NY 10020, USA
;148,000;;;;;;;;Bobby Van's Steakhouse-54th Street;131 E 54th Street;Midtown East;Steakhouse;$$$;131 E 54th St, New York, NY 10022, USA
;149,000;;;;;;;;Bobby Van's Steakhouse-Park Avenue;230 Park Avenue;Midtown East;Steakhouse;$$$;The Helmsley Building, New York, NY 10017, USA
;150,000;;;;;;;;Bobo;181 W. 10th St.;Greenwich Village;European;$$$$;181 W 10th St, New York, NY 10014, USA
;151,000;;;;;;;;Boca Chica;13 First Avenue;East Village;South American;$;13 First Ave, Sawtell NSW 2452, Australia
;152,000;;;;;;;;Boi;246 East 44th Street;Midtown East;Vietnamese;$$;246 E 44th St, New York, NY 10017, USA
;153,000;;;;;;;;Boi To Go;800 Second Ave;Midtown East;Vietnamese;$$;800 2nd Ave, New York, NY 10017, USA
;154,000;;;;;;;;Bolo;23 E 22nd St;Flatiron;Spanish;$$$$;23 E 22nd St, New York, NY 10010, USA
;155,000;;;;;;;;Bombay Grill;344 Lexington Ave;Indian;$$;;344 Lexington Ave, New York, NY 10016, USA
;156,000;;;;;;;;Bombay Palace;30 W 52nd St;Midtown West;Indian;$$;30 W 52nd St
;157,000;;;;;;;;Bombay Talkie;189 Ninth Ave;Chelsea;Indian;$$;189 9th Ave, New York, NY 10011, USA
;158,000;;;;;;;;Bond 45;154 W 45th St;Midtown West;Italian;$$$;154 W 45th St, New York, NY 10036, USA
;159,000;;;;;;;;Bondi Road;153 Rivington St.;Australian;$$;;153 Rivington St, New York, NY 10002, USA
;160,000;;;;;;;;Bondst;6 Bond Street;TriBeCa;Japanese;$$$$;6 Bond St, New York, NY 10012, USA
;161,000;;;;;;;;Boom;152 Spring Street;SOHO;Italian;$$;152 Spring St, Charleston, SC 29403, USA
;162,000;;;;;;;;Boqueria;53 W. 19th St.;Spanish;$$$;;53 W 19th St, New York, NY 10011, USA
;164,000;;;;;;;;Bottino;246 10th Ave;Chelsea;Italian;$$$;246 10th Ave, New York, NY 10001, USA
;165,000;;;;;;;;Bouley;120 West Broadway;TriBeCa;French;$$$$$;120 W Broadway, Louisville, KY 40202, USA
;166,000;;;;;;;;Bourbon Street Bar & Grille;346 W 46th Street;Creole-Cajun;$$$$;;346 W 46th St, New York, NY 10036, USA
;167,000;;;;;;;;Brasserie;100 East 53rd St;Midtown East;French;$$$;100 E 53rd St, New York, NY 10022, United States
;168,000;;;;;;;;Brasserie 8 1/2;9 W 57th St;Midtown West;French;$$$$;East River Realty Company, LLC, 9 W 57th St, New York, NY 10019, USA
;169,000;;;;;;;;Brasserie Julien;1422 3rd Ave (Between 80th & 81st Streets);Upper East Side;French;$$;1420-1422 3rd Ave, New York, NY 10028, United States
;170,000;;;;;;;;Bread;20 Spring St;NoLita;American;$$;20 Spring St, New York, NY 10012, USA
;171,000;;;;;;;;Bricco Ristorante;304 W 56th St;;;;304 W 56th St, New York, NY 10019, USA
;172,000;;;;;;;;Brick Lane Curry;342 East 6th St;East Village;Indian;$;342 E 6th St, New York, NY 10003, USA
;173,000;;;;;;;;Bridge Cafe;279 Water St;Financial District;American;$$$;279 Water St, Brooklyn, NY 11201, USA
;174,000;;;;;;;;Bright Food Shop;218 Eighth Ave;Chelsea;Asian;$;218 Eighth Ave, Rosebud VIC 3939, Australia
;175,000;;;;;;;;Broadway East;171 East Broadway;Lower East Side;American;$$$;171 E Broadway, New York, NY 10002, USA
;177,000;;;;;;;;Brother Jimmy's Bbq;1461 1st Ave;Midtown East;Southern;$;1461 1st Avenue, New York, NY 10075, USA
;178,000;;;;;;;;Bubba Gump Shrimp Co.;1501 Broadway;Midtown West;American;$;1501 Broadway 12th Floor, Manhattan, NY 10036, United States
;180,000;;;;;;;;Bubby's;120 Hudson St;TriBeCa;American;$;120 Hudson St, New York, NY 10013, USA
;181,000;;;;;;;;Buddakan;75 Ninth Ave;Chelsea;Fusion;$$$$;75 9th Ave, New York, NY 10011, USA
;182,000;;;;;;;;Buddha BBeeQ;1750 Second Ave.;Upper East Side;Korean;$;1750 2nd Ave, New York, NY 10128, USA
;184,000;;;;;;;;Buenos Aires;513 E Sixth St;East Village;Argentinean;$$;513 E 6th St, Newport, KY 41071, USA
;185,000;;;;;;;;Bukhara Grill;217 E 49th St;Midtown East;Indian;$$;217 E 49th St, New York, NY 10017, USA
;187,000;;;;;;;;Burger Joint;190 Bleecker St;Gramercy Park;American;$;190 Bleecker St, New York, NY 10012, USA
;188,000;;;;;;;;Burritoville;352 W 39th St;Midtown West;Southwestern;$;352 W 39th St, New York, NY 10018, USA
;191,000;;;;;;;;Cabana;89 S St Pier 17 Pavilion;Upper East Side;Nuevo Latino;$$;89 S St Pier 17 Pavilion
;192,000;;;;;;;;Cabrito;50 Carmine St.;Fusion;;;50 Carmine St, New York, NY 10014, USA
;193,000;;;;;;;;Cacio E Pepe;182 Second Ave;East Village;Italian;$$;182 2nd Ave, New York, NY 10003, USA
;194,000;;;;;;;;Cafe Asean;117 West 10th Street;;;;117 W 10th St, New York, NY 10011, USA
;195,000;;;;;;;;Cafe Blossom;466 Columbus Ave;;;;466 Columbus Ave, New York, NY 10024, USA
;196,000;;;;;;;;Cafe Centro;200 Park Ave;Midtown East;Mediterranean;$$$;MetLife Building, 200 Park Ave, New York, NY 10166, USA
;197,000;;;;;;;;Cafe Con Leche;726 Amsterdam Ave;Upper West Side;Cuban;$;726 Amsterdam Ave, New York, NY 10025, USA
;198,000;;;;;;;;Cafe De Bruxelles;118 Greenwich Ave;West Village;Belgian;$$;118 Greenwich Ave, New York, NY 10011, USA
;199,000;;;;;;;;Cafe Des Artistes;1 W 67th Street;Upper West Side;French;$$$;1 W 67th St, New York, NY 10023, USA
;200,000;;;;;;;;Cafe Du Soleil;2723 Broadway;Upper West Side;French;$$$;2723 Broadway, New York, NY 10025, USA
;203,000;;;;;;;;Cafe Gitane;242 Mott St;NoLita;French;$;242 Mott St, New York, NY 10012, USA
;204,000;;;;;;;;Cafe Gray;10 Columbus Circle, 3rd Fl;Upper West Side;French;$$$$$;10 Columbus Cir 3rd Fl, New York, NY 10019, USA
;205,000;;;;;;;;Cafe Habana;229 Elizabeth St;NoLita;Cuban;$;229 Elizabeth St, New York, NY 10012, USA
;206,000;;;;;;;;Cafe Joul;1070 First Avenue;Midtown East;French;$$;1070 1st Avenue, New York, NY 10022, USA
;208,000;;;;;;;;Cafe Loup;105 W 13th St;Greenwich Village;French;$$$;105 W 13th St, New York, NY 10011, USA
;209,000;;;;;;;;Cafe Mogador;101 St Marks Pl;East Village;Moroccan;$;101 St Marks Pl, New York, NY 10009, USA
;210,000;;;;;;;;Cafe Ronda;249-251 Columbus Ave;Upper West Side;Mediterranean;$$;249 Columbus Ave, New York, NY 10023, USA
;211,000;;;;;;;;Cafe Rustico East;230 East 29th St.;Midtown East;Italian;$$$;230 E 29th St, New York, NY 10016, USA
;212,000;;;;;;;;Cafe Select;212 Lafayette Street;International;$$$;;212 Lafayette St, New York, NY 10012, USA
;213,000;;;;;;;;Cafe Spice;72 University Pl;;;;72 University Pl, New York, NY 10003, USA
;214,000;;;;;;;;Cafe St. Barts;Park Avenue @ 50th St.;Upper East Side;American;$$$;Park Ave & E 50th St, New York, NY 10022, USA
;215,000;;;;;;;;Cafe Un Deux Trois;123 W 44th St;Midtown West;French;$$$;123 W 44th St, New York, NY 10036, USA
;216,000;;;;;;;;Cafeteria;119 Seventh Avenue;Chelsea;American;$;119 7th Ave, New York, NY 10010, USA
;217,000;;;;;;;;Caffe Falai;68 Clinton St.;SOHO;Italian;$$;68 Clinton St, New York, NY 10002, USA
;218,000;;;;;;;;Café Boulud;20 East 76th St;Upper East Side;French;$$$$;20 E 76th St, New York, NY 10021, USA
;219,000;;;;;;;;Café Sabarsky;1048 Fifth Ave;Upper East Side;Austrian;$$;1048 5th Ave, New York, NY 10028, USA
;221,000;;;;;;;;Camaje;85 Macdougal St;Greenwich Village;American;$$;85 MacDougal St, New York, NY 10012, USA
;222,000;;;;;;;;Camino Sur;336 W 37th St;Midtown West;South American;$$$;336 W 37th St, New York, NY 10018, USA
;223,000;;;;;;;;Campagnola;1382 First Ave;Upper East Side;Italian;$$$$;1382 1st Avenue, New York, NY 10021, USA
;224,000;;;;;;;;Candela;Candela, 92 Second Avenue;East Village;Cuban;$$;92 2nd Ave, New York, NY 10003, United States
;226,000;;;;;;;;Candle Cafe;1307 Third Avenue;Upper East Side;Vegetarian;$;1307 3rd Ave, New York, NY 10021, USA
;228,000;;;;;;;;Capital Grille;155 E 42nd St;Midtown East;Steakhouse;$$$$;155 E 42nd St, New York, NY 10017, USA
;229,000;;;;;;;;Caracas Arepa Bar;91 East 7th St;East Village;South American;$;1/2, 91 E 7th St, New York, NY 10009, USA
;231,000;;;;;;;;Carnegie Deli;854 7th Ave;Midtown West;Deli;$;854 7th Ave, New York, NY 10019, USA
;232,000;;;;;;;;Casa;72 Bedford St;West Village;South American;$$;72 Bedford St, New York, NY 10014, USA
;233,000;;;;;;;;Casa La Femme North;1076 First Ave;Midtown East;African;$$$;1076 1st Avenue, New York, NY 10022, USA
;234,000;;;;;;;;Casa Mono;125 East 17th;Gramercy Park;Spanish;$$$;125 E 17th St, New York, NY 10003, USA
;235,000;;;;;;;;Casimir;103-105 Ave B;East Village;French;$$;103 Avenue B, New York, NY 10009, USA
;236,000;;;;;;;;Caterina's;316 East 53rd Street;Midtown East;Hungarian;$$$;316 E 53rd St, New York, NY 10022, USA
;237,000;;;;;;;;Celeste;502 Amsterdam Ave;Upper West Side;Italian;$$;502 Amsterdam Ave, New York, NY 10024, USA
;238,000;;;;;;;;Cellini Restaurant;65 E 54th St;Midtown East;Italian;$$$;65 E 54th St, New York, NY 10022, USA
;239,000;;;;;;;;Cendrillon;45 Mercer St;SOHO;Southeast Asian;$$;45 Mercer St, New York, NY 10013, USA
;240,000;;;;;;;;Central Park Boathouse;Enter on E 72nd St;;;;Enter on E 72nd St
;241,000;;;;;;;;Cercle Rouge;241 W Broadway;TriBeCa;American;$$$;241 W Broadway, New York, NY 10013, USA
;243,000;;;;;;;;Charlie Palmer's Metrazur;East Balcony #4, 404 Grand Central Terminal, 42nd Street;Midtown East;American;$$$;89 E 42nd St, New York, NY 10017, United States
;244,000;;;;;;;;Chat 'N Chew;10 E 16th St;Union Square;American;$;10 E 16th St, New York, NY 10003, USA
;245,000;;;;;;;;Chemist Club Grill;Dylan Hotel;Midtown East;American;$$$;Eastmoreland Pl, Saint Peter's, Dublin, Ireland
;246,000;;;;;;;;Chennai Garden;129 E 27 St;Gramercy Park;Indian;$;129 E 27th St, New York, NY 10016, USA
;248,000;;;;;;;;Chikalicious Dessert Bar;203 E 10th St;East Village;American;$;203 E 10th St
;249,000;;;;;;;;Chimichurri Grill;606 9th Avenue;Midtown West;South American;$$$;606 9th Ave, New York, NY 10036, USA
;251,000;;;;;;;;China Fun;246 Columbus Ave;Upper West Side;Chinese;$;246 Columbus Ave, New York, NY 10023, USA
;252,000;;;;;;;;China Grill;60 W 53rd St;Midtown West;Asian;$$$$;60 W 53rd St, New York, NY 10019, USA
;253,000;;;;;;;;China de Puebla;3143 Broadway;Harlem;Asian;;3143 Broadway, New York, NY 10027, USA
;255,000;;;;;;;;Chino's;173 Third Ave;Gramercy Park;Asian;$;173 Third Ave
;256,000;;;;;;;;Chipotle;100 Maiden Ln.;Financial District;Mexican;$;100 Maiden Ln, New York, NY 10038, USA
;257,000;;;;;;;;Chiyono;328 E. Sixth St.;Japanese;$$;;328 E 6th St, New York, NY 10003, USA
;258,000;;;;;;;;Cho Dang Gol;55 W 35th St;Midtown West;Korean;$;55 W 35th St, New York, NY 10001, USA
;259,000;;;;;;;;Chocolate Bar;48 8th Ave;Greenwich Village;Dessert;$$$;48 8th Ave, New York, NY 10014, USA
;260,000;;;;;;;;Chola;232 E 58th St;Midtown East;Indian;$$;232 E 58th St, New York, NY 10022, USA
;261,000;;;;;;;;Choshi Restaurant;77 Irving Pl;Greenwich Village;Japanese;$$;77 Irving Pl, New York, NY 10003, USA
;262,000;;;;;;;;Chow Bar;230 W Fourth St;West Village;Asian;$$;230 West 4th Street, New York, NY 10014, USA
;263,000;;;;;;;;Churrascaria Plataforma Ny;316 W 49th Street;Midtown West;South American;$$$;316 W 49th St, New York, NY 10019, United States
;265,000;;;;;;;;Cilantro;1712 2nd Ave;Upper East Side;Southwestern;$;1712 2nd Ave, New York, NY 10128, USA
;266,000;;;;;;;;Cinema Cafe On 34th;505 3rd Ave;;;;505 3rd Ave
;267,000;;;;;;;;Circus;132 E 61st St;Upper East Side;South American;$$$;132 E 61st St, New York, NY 10065, USA
;269,000;;;;;;;;City Bakery;3 W 18th St;Flatiron;American;$;3 W 18th St, New York, NY 10011, USA
;270,000;;;;;;;;City Burger;1410 Broadway;Midtown West;American;$$;1410 Broadway, New York, NY 10018, USA
;273,000;;;;;;;;Coffee Shop;29 Union Square West;Union Square;American;$;29 Union Square W, New York, NY 10003, USA
;276,000;;;;;;;;Comfort Diner;25 W 23rd St;Midtown East;American;$;25 W 23rd St, New York, NY 10010, USA
;277,000;;;;;;;;Compass;208 W 70th Street;Upper West Side;American;$$$;208 W 70th St, New York, NY 10023, USA
;278,000;;;;;;;;Convivio;45 Tudor City Pl;Midtown East;Italian;$$$$$;45 Tudor City Pl, New York, NY 10017, USA
;280,000;;;;;;;;Coppola's Pizzeria Restaurant;206 W 79th St;Upper West Side;Italian;$$;206 W 79th St, New York, NY 10024, USA
;282,000;;;;;;;;Corner Bistro;331 W 4th St;West Village;American;$;331 W 4th St
;283,000;;;;;;;;Cosette;163 E 33rd St;Murray Hill;French;$$;163 E 33rd St, New York, NY 10016, USA
;284,000;;;;;;;;Cosi;53 E. Eighth St.;Greenwich Village;American;$;53 E 8th St, New York, NY 10003, USA
;285,000;;;;;;;;Counter;105 First Ave;East Village;Vegetarian;$$;105 First Ave
;286,000;;;;;;;;Country;90 Madison Ave, 2nd Fl;Gramercy Park;American;$$$$;90 Madison Ave 2nd Fl, Westbury, NY 11590, USA
;287,000;;;;;;;;Cowgirl;519 Hudson Street;West Village;Southwestern;$;519 Hudson St, New York, NY 10014, USA
;288,000;;;;;;;;Craft;43 E 19th St;Union Square;American;$$$$$;43 E 19th St, New York, NY 10003, USA
;290,000;;;;;;;;Craftsteak;85 10th Ave;Chelsea;Steakhouse;$$$$$;US-NYC-8510, 85 10th Ave, New York, NY 10011, USA
;292,000;;;;;;;;Creole;2167 Third Ave;Harlem;Creole-Cajun;$$;2167 3rd Ave, New York, NY 10035, USA
;293,000;;;;;;;;Crisp;684 3rd Ave;Midtown East;Middle Eastern;$$;684 3rd Ave, Cherry Hill, NJ 08002, USA
;295,000;;;;;;;;Crooked Knife;29 E. 30th Street;Murray Hill;British;$$;29 E 30th St, New York, NY 10016, USA
;296,000;;;;;;;;Cru;24 Fifth Ave;Greenwich Village;Mediterranean;$$$$;24 5th Ave, New York, NY 10011, USA
;297,000;;;;;;;;Crumbs Bake Shop;1371 3rd Ave;;;;1371 3rd Ave, New York, NY 10075, USA
;300,000;;;;;;;;Cubana Cafe;110 Thompson St;Greenwich Village;Cuban;$;110 Thompson St, New York, NY 10012, USA
;301,000;;;;;;;;Cube 63;63 Clinton St;Lower East Side;Japanese;$$;63 Clinton St, New York, NY 10002, USA
;302,000;;;;;;;;Cucina Di Pesce;87 E 4th St;East Village;Italian;$;87 E 4th St, New York, NY 10003, USA
;303,000;;;;;;;;Da Andrea;557 Hudson St;West Village;Italian;$$;557 Hudson St, New York, NY 10014, USA
;304,000;;;;;;;;Da Antonio;157 E 55th St;Midtown East;Italian;$$$$;157 E 55th St, New York, NY 10022, USA
;305,000;;;;;;;;Da Ciro;229 Lexington Ave;Murray Hill;Italian;$$;229 Lexington Ave, New York, NY 10016, USA
;306,000;;;;;;;;Da Nico;164 Mulberry St.;Italian;$$;;164 Mulberry St, New York, NY 10013, USA
;307,000;;;;;;;;Da Silvano;260 6th Avenue;Greenwich Village;Italian;$$$;260 6th Ave, New York, NY 10014, USA
;308,000;;;;;;;;Da Umberto;107 West 17th Street;Italian;$$$;;107 W 17th St, New York, NY 10011, USA
;309,000;;;;;;;;Dallas Bbq;27 W 72nd St;Upper West Side;American;$;27 W 72nd St, New York, NY 10023, USA
;310,000;;;;;;;;Danal;90 E 10th St;East Village;French;$$;90 E 10th St, New York, NY 10003, USA
;311,000;;;;;;;;Daniel;60 E 65th St;Upper East Side;French;$$$$$;60 E 65th St
