restaurant;address;country;neighborhood;type;phone
Empire Szechuan Garden;1241 Amsterdam Ave;New York;;;
Empire Szechuan Gourmet;2574 Broadway # 1;New York;;;
Empire Szechuan Greenwich;15 Greenwich Ave # 1;New York;;;
Empire Szechuan Kyoto Sushi;2642 Broadway;New York;;;
Empire Szechuan Noodle House;4041 Broadway;New York;;;
Empire Szechuan Village;173 7th Ave S;New York;;;
Empire Wok;1567 2nd Ave;New York;;;
Encore;1535 Broadway # 8;New York;;;
Ennio & Michael Restaurant Corp;539 Laguardia Pl # Lbby;New York;;;
Epices Inc;103 W 70th St;New York;;;
Epoque Bar and Grill;401 West 50th Street;New York;;;
Eric Levine Restaurant;530 E 76th St;New York;;;
Erie Entertainment;91 7th Ave S # 3;New York;;;
Erminia Ristorante;250 E 83rd St;New York;;;
Ernies;2150 Broadway;New York;;;
Eros;1076 1st Ave;New York;;;
Esashi Japanese Restaurant Corp;32 Avenue A;New York;;;
Espace Restaurant;9 E 16th St;New York;;;
Espana 2000;455 2nd Ave;New York;;;
Espinal Caribbean Deli;411 E 70th St;New York;;;
Ess-a-bagel;359 1st Ave;New York;;;
Essen West Inc;226 W 72nd St;New York;;;
Essex Restaurant;120 Essex Street;New York;;;
Est Est Est;64 Carmine St # 1;New York;;;
Estiatorio Milos Restaurant;125 West 55th Street;New York;;;
Estihana;221 W 79th St;New York;;;
Estoril Sol Restaurant;382 8th Ave;New York;;;
Etats Unis Restaurant;242 E 81st St;New York;;;
Ethos First Avenue;905 1st Avenue;New York;;;
Eugene Colley Restaurant;4036 Broadway;New York;;;
Eureka Luncheonette;132 Varick St;New York;;;
Europa;199 Water St;New York;;;
Eurostar Cafe;17 E 45th St;New York;;;
Evas Restaurant Corp;11 W 8th St;New York;;;
Evelyn;380 Columbus Ave;New York;;;
Evergreen Coffee Shop Restaurant;145 W 47th St;New York;;;
Everybodys Hero;1580 York Ave;New York;;;
Everything Ok Inc;311 Broadway Lowr Level;New York;;;
Everything Yogurt & Salad Cafe;5 World Trade Ctr;New York;;;
Excelsior Coffee Shop;45 W 81st St;New York;;;
Exchange Club;6 Hanover St;New York;;;
Exile;117 W 70th St;New York;;;
Exit Deli Inc;34 E 40th St;New York;;;
Express Line Inc;88 Fulton St;New York;;;
Extremes Restaurant & Bakery;2086 7th Ave;New York;;;
FR.OG;71 Spring Street;New York;;;
Fa Choy Inc;118 3rd Ave;New York;;;
Fa Xing Restaurant;2107 3rd Ave;New York;;;
Factory Cafe;104 Christopher St;New York;;;
Fado Inc;504 Canal St;New York;;;
Fagiolini Restaurant Inc;334 Lexington Ave;New York;;;
Failte;531 Second Ave.;New York;;;
Fairway Fruits & Vegetables;2127 Broadway;New York;;;
Fairwood Fast Food Inc;23 Pell St;New York;;;
Falafel Express;1406 Madison Ave;New York;;;
Falafel House;1752 2nd Ave;New York;;;
Falafel Hudson Restaurant;516 Hudson St;New York;;;
Family Deli;2655 8th Ave # 1;New York;;;
Family Garden Restaurant;329 3rd Ave;New York;;;
Family Noodle Restaurant Inc;19 Henry St;New York;;;
Famous Chicken Place;592 3rd Ave;New York;;;
Famous Fish Market;684 Saint Nicholas Avenue;;;;
Famous Original Rays Pizza;462 Columbus Ave;New York;;;
Fantasia Restaurant;119 Fulton St;New York;;;
Fantastic Restaurant;2351 2nd Ave;New York;;;
Fanti Lechonera & Restaurant;1753 Lexington Ave;New York;;;
Fantino;112 Central Park S;New York;;;
Fashion 40 Lounge;202 West 40th Street;New York;;;
Fashion Cafe Restaurant;630 5th Ave # 278;New York;;;
Fashion Soup Corporation;124 W 41st St;New York;;;
Fashion World Co;22 E 33rd St # 3;New York;;;
Fast Food;279 1st Ave;New York;;;
Fast Wok;70 7th Ave;New York;;;
Fat B Cafe;25 Howard St;New York;;;
Fat Ming Restaurant;666 Amsterdam Ave;New York;;;
Fatina Restaurant;404 W 49th St;New York;;;
Favia Lite Cafe;1140 2nd Ave;New York;;;
Fay & Allens;201 E 71st St;New York;;;
Fed Up Inc;4015 Broadway;New York;;;
Federal Sandwich Shop;92 Duane St;New York;;;
Federicos;1981 Broadway;New York;;;
Fedora Restaurant;239 W 4th St;New York;;;
Fei Ma;79 Avenue A;New York;;;
Fei Ming Chinese Restaurant;82 Nagle Ave;New York;;;
Felicias Restaurant;4986 Broadway;New York;;;
Felidia Ristorante Inc;243 E 58th St;New York;;;
Felix;63 Greene St;New York;;;
Ferrier Restaurant;29 E 65th St # 1;New York;;;
Festival Restaurnt;120 Rivington St;New York;;;
Fiamma Cafe;619 Hudson St;New York;;;
Fiddlers Green;58 W 48th St;New York;;;
Fiesta Mexicana Inc;2823 Broadway;New York;;;
Figaro Cafe Le;184 Bleecker St # 1;New York;;;
Figaro Pizza;42 W 56th St;New York;;;
Figaro Pizzeria & Bar;28 W 44th St;New York;;;
Filli Ponte Restaurant;39 Desbrosses St;New York;;;
Fine & Schapiro;138 W 72nd St;New York;;;
Fino Restaurant;4 E 36th St;New York;;;
Fionas Bar & Restaurant;1664 1st Ave;New York;;;
Fiorellos Roman Cafe;1900 Broadway;New York;;;
Fiori Restaurant;4 Park Ave;New York;;;
Firebird Russian Restaurant;365 W 46th St # 2;New York;;;
Firehouse Tavern;522 Columbus Avenue;New York;;;
Firenze Ristorante Ltd;1594 2nd Ave;New York;;;
First;87 1st Ave;New York;;;
First Av Restaurant;361 1st Ave;New York;;;
First Avenue Pizza;347 1st Ave;New York;;;
First Cafe Boss Corp;23 W 32nd St;New York;;;
First Choice Chinese Kitchen;3893 Broadway # A;New York;;;
First Punjabi Dhabha Inc;301 10th Ave # 1001;New York;;;
First Taste;53 Bayard St;New York;;;
First Taste Restaurant;3861 Broadway;New York;;;
First Wok Restaurant;1570 3rd Ave;New York;;;
Fischer Brothers & Leslie Kosher Meat &;230 West 72nd Street Frnt;New York;;;
Fish Market Restaurant;1429 2nd Ave;New York;;;
Fish Restaurant;2799 Broadway;New York;;;
Fishin Eddie;73 W 71st St;New York;;;
Fitzgeralds Pub;336 3rd Ave # 25;New York;;;
Five Luck Restaurant;1834 2nd Ave;New York;;;
Flamboyan Restauant;1505 Lexington Ave;New York;;;
Flamers Charbroiled Hamburgers;901 Avenue Of The Americas;New York;;;
Flaming Embers;206 E 86th St;New York;;;
Flamingo East;219 2nd Ave # 219;New York;;;
Flash Inn Restaurant;107 Macombs Pl;New York;;;
Flavored With One Love;1941 Madison Ave;New York;;;
Flavours Restaurant;2099 8th Ave;New York;;;
Flea Market;131 Avenue A;New York;;;
Flight 151;151 8th Ave;New York;;;
Flor De Mayo Restaurant;2651 Broadway # 101;New York;;;
Flor De Sol;361 Greenwich St;New York;;;
Flor's Kitchen;170 Waverly Place;New York;;;
Florent Restaurant Inc;69 Gansevoort St;New York;;;
Florios Pizzeria & Restaurant;192 Grand St;New York;;;
Flower Drum Restaurant;856 2nd Ave;New York;;;
Flowers Restaurant;21 W 17th St;New York;;;
Fluffy's Cafe & Bakery;855 7th Avenue;New York;;;
Flying Burrito Brothers;165 West 4th Street Frnt;New York;;;
Flying Fish;395 West St;New York;;;
Focacceria;87 Macdougal St;New York;;;
Focaccia Fiorentina Restaurant;1166 1st Ave;New York;;;
Foleys Fish House;714 7th Ave;New York;;;
Follonico;6 W 24th St;;;;
Fontana Di Trevi;151 W 57th St;New York;;;
Foo King Chinese Kitchen;694 10th Ave;New York;;;
Food Exchange;120 E 59th St;New York;;;
Food Exchange Market;47 Broadway;New York;;;
Food King Chinese Restaurant;2331 1st Ave;New York;;;
Fook Sing Chinese Restaurant;314 E 106th St;New York;;;
Forlinis Restaurant;93 Baxter St;New York;;;
Foro-italico Restaurant;455 W 34th St;New York;;;
Fort Tryon Park Cafe;(914) 923-2233;;;;
Fortuna Valentino;422 W Broadway;New York;;;
Fortune Garden;845 2nd Ave;New York;;;
Four Brothers Food Inc;1 W 137th St;New York;;;
Four Seasons Banquet Dept;99 E 52nd St;New York;;;
Foxhounds;320 S End Ave;New York;;;
Francesca Pizzeria & Restaurant;1811 1st Ave;New York;;;
Francisco's;159 W 23rd St;New York;;;
Francos San Remo Itlian;393 8th Ave # 1;New York;;;
Franda Restaurant;538 W 207th St;New York;;;
Frankie & Johnnie's Steak House;269 W 45th St;New York;;;
Franklin Station Cafe;222 West Broadway;;;;
Franks Restaurant;85 10th Ave;New York;;;
Franks Trattoria;371 1st Ave;New York;;;
Fratelli Restaurant;115 Mulberry St;New York;;;
Frazier Foods Inc;52 Fulton;New York;;;
Frazier Foods West Inc;167 Chambers St;New York;;;
Frederick's Downtown;637 Hudson Street;New York;;;
Freds Restaurant;476 Amsterdam Ave;New York;;;
Fresco By Scotto Restaurant;34 E 52nd St;New York;;;
Fresco Tortilla Grill;253 8th Ave;New York;;;
Fresco Tortilla Plus;143 Fulton St;New York;;;
Fresco Tortillas;766 9th Ave;New York;;;
Fresco Tortillas Bakery;719 2nd Ave # 1;New York;;;
Fresco Tortillas Inc;980 2nd Ave;New York;;;
Fresh Basils;663 Lexington Ave # 1;New York;;;
Fresh Grill Tortilla;411 Amsterdam Ave;New York;;;
Fresh Tortilla;328 E 14th St # 1;New York;;;
Fresh Tortilla Grill;1280 1st Ave;New York;;;
Fresh Tortillas;1739 2nd Ave;New York;;;
Friars Coffee Shop;303 E 46th St;New York;;;
Friars National Assn Inc;57 E 55th St;New York;;;
Frico Bar;402 W 43rd St;New York;;;
Friend Of A Farmer;77 Irving Pl;New York;;;
Frisbee;36 West 46th Street;New York;;;
Frontier Restaurant;593 3rd Ave # 1;New York;;;
Frontiere Restaurant;199 Prince St;New York;;;
Frozena Fish And Chips House;116 Hamilton Pl;New York;;;
Frutti De Mare;84 E 4th St;New York;;;
Fu Chow Restaurant;137 E Broadway;New York;;;
Fu Kee Chinese Restaurant;128 Lafayette St;New York;;;
Fu On Kitchen;2419 7th Ave;New York;;;
Fu Wah Restaurants;1407 Amsterdam Avenue;New York;;;
Fu Ying Chinese Restaurant;748 E 9th St;New York;;;
Fu Ying Chinese Take Out;811 8th Ave;New York;;;
Fuentes Restaurant;107 Clinton St;New York;;;
Fuji Restaurant;238 W 56th St;New York;;;
Fuji Sushi & Teriyaki;146 E 55th St;New York;;;
Fujii;62 Greenwich Ave;New York;;;
Fujiyama-Mama Restrnt;467 Colmbs Av;New York;;;
Fuleen Seafood Restaurant;11 Division St;New York;;;
Full Moon Saloon;735 8th Ave;New York;;;
Fumei;305 E 115th St;New York;;;
Funda Cibaena;605 W 142nd St;New York;;;
Fung Doo Restaurant;103 E Broadway;New York;;;
Fus House;972 2nd Ave;New York;;;
G;223 W 19th St;New York;;;
G & B Franks;567 9th Ave;New York;;;
G & J Pizza Restaurants;3340 Broadway;New York;;;
G & W Restaurant;274 W 145th St;New York;;;
G B Shaws;90 Fulton St;New York;;;
Gabari Restaurant;770 Fort Washington Ave;New York;;;
Gabriela Mexican Restaurant;685 Amsterdam Avenue;New York;;;
Gabriels Bar & Restaurant;11 W 60th St;New York;;;
Gaetana's Cucina Italiana;143 Christopher Street;New York;;;
Galaxy Cafe;665 9th Ave # 46;New York;;;
Galaxy Deli Restaurant;2244 Broadway;New York;;;
Galicia Restaurant;212 West 14th Street;New York;;;
Galicia Restaurant & Bakery;1506 Saint Nicholas Ave;New York;;;
Galil Restaurant Inc;1252 Lexington Ave # 1;New York;;;
Gallagher's Steak House;228 W 52nd St;New York;;;
Galleria Babou Cafe;160 E 56th St;New York;;;
Gammeeok Restaurant;43 W 32nd St # 1;New York;;;
Gan-eden Restaurant;74 W 47th St # 3;New York;;;
Gandhi Indian Restaurant;345 E 6th St;New York;;;
Garage Restaurant & Cafe;99 7th Ave S;New York;;;
Garcia Jose;47 West 47th Street;New York;;;
Garden American Health Bar Inc;49 Ann St;New York;;;
Garden Cafe;147 E 60th St;New York;;;
Garden Diner;301 South End Avenue;New York;;;
Garden Tavern Restaurant;407 8th Ave;New York;;;
Gardenia Restaurant;797 Madison Ave;New York;;;
Garlic Bob's Italian Restaurant & Pizzeria;508 Columbus Ave;New York;;;
Garlic Bobs Pizza Bar;1325 3rd Ave;New York;;;
Gascogne Restaurant;158 8th Ave # 158;New York;;;
Gayoung Inc;53 W 35th St;New York;;;
Gee Whiz Restaurant;295 Greenwich St;New York;;;
Gelateria Siracusa;65 4th Ave;New York;;;
Gemelli;4 World Trade Ctr;New York;;;
Gemini Restaurant;641 2nd Ave # 1;New York;;;
Genes Coffee Shop;26 E 60th St;New York;;;
Genia Deli Coffee Shop Inc;224 Lafayette St;New York;;;
Genie;69 New St;New York;;;
Genki Sushi;565 5th Ave;New York;;;
Gennaro Restaurant;665 Amsterdam Ave;New York;;;
Gente;153 E 45th St;New York;;;
George & Ginas Restaurant;169 E 106th St;New York;;;
Georges & Sons;89 Greenwich St;New York;;;
Gerardis Restaurant;83 Pearl St;New York;;;
Gershwin Cafe;5 E 27th St;New York;;;
Gertrudes;33 E 61st St;New York;;;
Ghenet Restaurant;284 Mulberry St;New York;;;
Ghion Ethiopian;668 Amsterdam;New York;;;
Giambelli Fiftieth;46 E 50th St;New York;;;
Giambone Restaurant;42 Mulberry St;New York;;;
Giggles Restaurant;115 W 40th St;New York;;;
Gigino Restaurant;323 Greenwich St;New York;;;
Gin Lane;355 West 14th Street;New York;;;
Gin Mill;442 Amsterdam Ave;New York;;;
Ginga Chinese Restaurant;370 8th Ave;New York;;;
Gingertoon Corp;417 Bleecker St;New York;;;
Gingerty Corp;367 Greenwich St;New York;;;
Ginji Japanese Restaurant;165 Front St;New York;;;
Gino Corp;81 Catherine St;New York;;;
Gino Restaurant;780 Lexington Ave # 1;New York;;;
Gino The Italian Cuisine;780 Lexington Ave;New York;;;
Ginseng Chinese Restaurant;104 E 125th St;New York;;;
Gioie Restaurant Corp;243 E 53rd St;New York;;;
Giorgio's Of Gramercy;27 East 21st Street;New York;;;
Giorgios Trattoria;354 E 84th St;New York;;;
Giovanni Restaurants;47 W 55th St;New York;;;
Giovanni Venti Cinque Restaurant;25 E 83rd St;New York;;;
Giovanni's Italian Restaurant & Pizzeria;1011 Columbus Ave;New York;;;
Giovannis Atrium;100 Washington St # 1;New York;;;
Girasole Restaurant;151 E 82nd St;New York;;;
Girl From Ipanema;252 W 14th St;New York;;;
Giuliano Gourmet Pizza & Deli;88 Broad St;New York;;;
Glatt China Express Inc;1468 2nd Ave;New York;;;
Glatt Dynasty;1049 2nd Ave;New York;;;
Gli Food Svc;625 8th Ave;New York;;;
Global 33;93 2nd Ave;New York;;;
Glocca Morra;304 3rd Ave;New York;;;
Gloria's Restaurant;107 West Broadway;New York;;;
Go Sushi Inc;3 Greenwich Ave;New York;;;
Gold Dish Chinese Latin;1848 2nd Ave;New York;;;
Gold Rush Bar & Grill;499 10th Ave;New York;;;
Gold Star Driving Ctr Inc;6 Allen St;New York;;;
Gold Vin Cafe;110 William St;New York;;;
Goldbergs Famous Snack Shop;152 W 31st St;New York;;;
Golden Chicken & Ribs;604 9th Ave;New York;;;
Golden China Buffet;227 Lexington Ave;New York;;;
Golden Chopstick Chinese Rstnt;77 Pearl St;New York;;;
Golden Chopstick Noodle House;1619 York Ave;New York;;;
Golden City Chinese Restaurant;2545 Amsterdam Ave;New York;;;
Golden Dragon Restaurant Of Ny;51 Division St;New York;;;
Golden Eagle Restaurant Inc;270 W 38th St;New York;;;
Golden Garden;92 3rd Ave;New York;;;
Golden Group Kitchen;379 1st Ave;New York;;;
Golden House Restaurant Inc;277 Bleecker St;New York;;;
Golden Krust Caribbean Bakery;111 E 23rd St;;;;
Golden Malaysian Rest;95 Chrystie St;New York;;;
Golden Sands Group Ii Inc;355 E 86th St # 1659;New York;;;
Golden Star Restaurant;51 E Broadway;New York;;;
Golden Unicorn Restaurant Inc;18 E Broadway;New York;;;
Golden Wok;1667 1st Ave;New York;;;
Goldfern Foods Inc;186 5th Ave # 6;New York;;;
Good Chinese Restaurant;178 W Houston St;New York;;;
Good Enough To Eat;424 Amsterdam Ave;New York;;;
Good Fortune Chinese Rstrnt;1156 1st Ave;New York;;;
Good Friend Kitchen;587 Lenox Ave;New York;;;
Good Health Cafe & Natural Food Gr;324 E 86th St;New York;;;
Good Morning Deli;940 3rd Ave;New York;;;
Good Morning New York;2 Lafayette St;New York;;;
Good Noodle Shop;157 E 33rd St # 3;New York;;;
Good Restaurant;89 Greenwich Avenue (between 7th & 8;New York;;;
Good Taste;280 Lenox Ave;New York;;;
Good Taste Ii Chinese Rstrnt;1974 2nd Ave # A;New York;;;
Goodfellas Kitchen;91 Christopher St;New York;;;
Googies;237 Sullivan St;New York;;;
Googies Luncheonette;1491 2nd Ave # 1;New York;;;
Gotham Bar & Grill;12 E 12th St;;;;
Gourmet Taste;1367 1st Ave;New York;;;
Gourmet Wok;597 10th Ave;New York;;;
Govas Bar & Restaurant;94 Greenwich St;New York;;;
Grace Chinese Restaurant;8 E 37th St;New York;;;
Grace Deli;391 2nd Ave;New York;;;
Grace Restaurant;114 Franklin St;New York;;;
Graces Trattoria Cafe & Grill;201 E 71st St;New York;;;
Gracie Mews Restaurant Corp;1550 1st Ave;;;;
Gracies Corner Restaurant;352 E 86th St;New York;;;
Grads Foods Inc;500 8th Ave;New York;;;
Grafi Restrnt;47 E 29th St;New York;;;
Gramercy Restaurant;184 3rd Ave;New York;;;
Gramercy Tavern Corp;42 E 20th St;New York;;;
Grand Center Inc;202 Centre St;New York;;;
Grand Saloon;158 E 23rd St;New York;;;
Grand Sea Palace Restaurant;346 W 46th St;New York;;;
Grand Ticino Restaurant;228 Thompson St;New York;;;
Grand Tier Restaurant;1 Lincoln Center Plz;New York;;;
Grange Hall;50 Commerce St;New York;;;
Grannys Kitchen;110 Saint Marks Pl;New York;;;
Grat City;1680 1st Ave # 1;New York;;;
Gray Papaya;402 6th Ave;New York;;;
Grays Papaya;2090 Broadway # 1;New York;;;
Graziella Ristorante;41 Greenwich Ave;New York;;;
Great American Health Bar;35 W 57th St;New York;;;
Great Eastern Restaurant;2085 Lexington Ave;New York;;;
Great Health Bar Kosher Pizza;Pizzeria;;;;
Great India Restaurant;1586 2nd Ave # 5086;New York;;;
Great Jones St Cafe;54 Great Jones St;New York;;;
Great Shang Hai Restrnts;27 Division St;New York;;;
Great Steak & Fry Co;901 Ave Of The Americas # 7;New York;;;
Great Wall;1631 Lexington Ave;New York;;;
Great Wall Chinese Food Corp;800 W 181st St;New York;;;
Great Wall Kitchen;2238 7th Ave;New York;;;
Great Wall On Wall;88 Fulton St;New York;;;
Great Wall Restaurant;1588 Amsterdam Ave;New York;;;
Great Wall The;920 Columbus Ave;New York;;;
Great World Chinese Restaurant;239 9th Ave;New York;;;
Greek Corner;322 7th Ave;New York;;;
Greeks Coffee Shop;347 Madison Ave;New York;;;
Green Garden Chinese Restaurant;174 Lexington Ave;New York;;;
Green Grocer;30 Rockefeller Plz # Conc13;New York;;;
Green House;37 E 29th St;New York;;;
Green House 36;341 W. 36th Street;;;;
Green Jade Chinese Restaurant;19 Saint Nicholas Ave;New York;;;
Green Kitchen Restaurant;1477 1st Ave;New York;;;
Green Park Restaurant;22 E 29thst Lbbby;New York;;;
Greentree Cafe Restaurant;350 W 14th St;New York;;;
Greenwich 103;103 Greenwich Ave;New York;;;
Greenwich Cafe;75 Greenwich Ave;New York;;;
Greenwich Pizza & Brewing Co;418 Avenue Of The Americas;New York;;;
Grifone Restaurant Corp;244 E 46th St;New York;;;
Grill 53;111 W 53rd St;New York;;;
Grill Cheese CO;168 Ludlow Street;New York;;;
Grill On The Corner;327 Greenwich St;New York;;;
Grill Room;2 World Financial Ctr;New York;;;
Grotto Pizzeria & Restaurant Inc;69 New St;New York;;;
Grove Street Cafe;53 Grove St;New York;;;
Gubbio;223 W Broadway;New York;;;
Gulshan Restaurant;326 East 6th Street;New York;;;
Guo's Garden;1685 First Ave.;New York;;;
Guru Foods & Snowballs;371 Lafayette St;New York;;;
Gus Place;149 Waverly Place;New York;;;
Gus's Figs Bistro & Bar;250 West 27th Street;New York;;;
Gusmack Restaurant Corp;750 8th Ave;New York;;;
Gypsy Caravan;146 W 34th St;New York;;;
Gyro Cart;1 Penn Plz;New York;;;
Gyro Ii;427 7th Ave;New York;;;
H & J Giant Fried Chicken;189 Church St;New York;;;
H K Inc;125 W 43rd St;New York;;;
H2O Bar & Grill;15 Water Side Plaza;New York;;;
HK Restaurant;523 9th Avenue;New York;;;
Ha Hava;81 Saint Marks Pl;New York;;;
Hadleighs;1900 Broadway # 1;New York;;;
Haikara Grill;1016 2nd Ave;New York;;;
Hakata Grill;230 W 48th St;New York;;;
Hakata Japanese Restaurant;37 E 60th St;New York;;;
Halal Indo Pak Restaurant;1750 1st Ave;New York;;;
Halal Restaurant;2127 2nd Ave;New York;;;
Hale Hearty Soups;55 W 56th St;New York;;;
Hamachi Japanese Restaurant & Sushi Bar;34 E 20 St;New York;;;
Hamaya Inc;152 E 46th St;New York;;;
Hamburger Harrys;145 W 45th St;New York;;;
Hamid Tariq;540 9th Ave;New York;;;
Han-sung Garden Restaurant;42 W 35th St;New York;;;
Hana Restauarant;675 9th Ave;New York;;;
Hanami Restaurant;213 E 45th St;;;;
Hanbat Restaurant;53 W 35th St;New York;;;
Hang Cheng Restaurant;1703 Lexington Ave;New York;;;
Hang Lee Chinese Restaurant;666 W 204th St # 1;New York;;;
Hannas Kitchen Inc;524 W 36th St;New York;;;
Hanratty's Restaurant & Bar;1410 Madison Ave.;New York;;;
Hanrattys Restaurant;1410 Madison Ave;New York;;;
Hao Cheng Chinese Restaurant;130 9th Ave;New York;;;
Hao Tong Chinese Restaurant;493 2nd Ave;New York;;;
Hapon Japannese Restaurant;211 E 43rd St;New York;;;
Happy Burger Ii Inc;2489 Broadway 92 St;New York;;;
Happy Face Chinese & Mexican Restaurant;216 3rd Avenue Frnt;New York;;;
Happy Family;500 W 43rd St;New York;;;
Happy Garden;301 Pleasant Ave;New York;;;
Happy Garden Chinese Restrnt;1514 Madison Ave;New York;;;
Happy Joy Kitchen;760 10th Ave;New York;;;
Happy Joy Restaurant;25 Canal St;New York;;;
Happy Taco;1167 2nd Ave;;;;
Happy Wok Restaurant;158 Delancey St;New York;;;
Happy World Restaurant;1309 Saint Nicholas Ave;New York;;;
Harbour Lights;89 South St # 17;New York;;;
Hard Rock Cafe;221 W 57th St # 2;New York;;;
Harglos Cafe Restaurant Bar;974 2nd Ave;New York;;;
Harlem Fried Chicken;341 Lenox Ave;New York;;;
Harley Davidson Cafe;1370 Avenue Of The Americas;New York;;;
Harmony Palace Restaurant;94 Mott St;New York;;;
Harp Bar & Restaurant;132 W 32nd St;New York;;;
Harries Coffee Shop;1407 Broadway;New York;;;
Harriets Kitchen;502 Amstrdm Av;New York;;;
Harry International Inc;1193 1st Ave;New York;;;
Harry's Burritos;241 Columbus Avenue;New York;;;
Harrys At Hanover Square;1 Hanover Sq;New York;;;
Harrys At Woolworth Bldg;233 Broadway;New York;;;
Harrys Burritos;76 W 3rd St;New York;;;
Haru Food Svc;433 Amsterdam Ave;New York;;;
Haru Restaurant Inc;165 W 72nd St;New York;;;
Haruko Restaurant Inc;519 3rd Ave;New York;;;
Hasaki Restaurant;210 E 9th St;New York;;;
Hasta La Pasta Restaurant;418 Avenue Of The Americas;New York;;;
Hat Restaurant;108 Stanton St;New York;;;
Hatsuhana Restaurant Inc;17 E 48th St # 3;New York;;;
Hatsune Inc;401 E 73rd St;New York;;;
Havana Central Times Square;151 West 46th Street;New York;;;
Haveli Restaurant Inc;100 2nd Ave;New York;;;
Hawaii Sushi;1477 2nd Avenue Between 76th & 77th;New York;;;
Hay Wun Loy Restaurant;28 Pell St;New York;;;
Health Stop;700 3rd Ave;New York;;;
Health Youth Foods;102 8th Ave;New York;;;
Healthy Bagel & Things Inc;1355 2nd Ave;New York;;;
Healthy Choice Gourmet Deli Pizza;341 7th Ave;New York;;;
Heartland Brewery & Chophouse;127 West 43rd Street;New York;;;
Heartland Brewery And Restaurants;35 Union Sq W;New York;;;
Heartland Brewery Radio City;1285 6th Avenue at 51 St.;New York;;;
Hectors Place Restaurant;44 Little West 12th St;New York;;;
Heidelberg Restaurant;1648 2nd Ave;New York;;;
Heights Bar & Grill;2867 Broadway;New York;;;
Heights Restaurant;654 W 181st St;New York;;;
Helenas;432 Lafayette St;New York;;;
Helianthus Inc;48 Macdougal St;New York;;;
Helmsley Enterprises Inc;60 E 42nd St # 53;New York;;;
Heng Da Express Kitchen Inc;61 Reade St;New York;;;
Henry's;Broadway @ 105st.;New York;;;
Henry's Evergreen;1288 1 Ave;New York;;;
Herban Kitchen;290 Hudson Street;New York;;;
Heroes Plus;5 W 46th St;New York;;;
Heroic Sandwich Inc;36 E 4th St;New York;;;
Hi Life Bar & Grill;477 Amsterdam Ave;New York;;;
Hi Life Restaurant & Lounge;1340 1st Ave;New York;;;
Hickory Foods Inc;205 W 29th St;New York;;;
Highlands Cafe Restaurant;1505 3rd Ave;New York;;;
Hilton;1335 Avenue Of The Americas;New York;;;
Hing Lung Restaurant;108 W 145th St;New York;;;
Hing Shing Seafood Store;67 Eldridge St;New York;;;
Hing Wong House Inc;271 Grand St;New York;;;
Hispanic American Restaurant;351 E 13th St # 313;New York;;;
Hizen Japanese Restaurant;203 E 45th St;New York;;;
Ho Ban Restaurant;34 W 35th St;New York;;;
Ho Lee Restaurant;2493 7th Ave;New York;;;
Ho Wong Coffee House;146 Hester St;New York;;;
Ho Yip Restaurant;189 Broadway;New York;;;
Hoboken Ferry;162 11th Ave;New York;;;
Hog Pit;22 9th Ave;New York;;;
Hoihow Lunch Corp;108 Saint Nicholas Ave;New York;;;
Hok Corp;913 2nd Ave;New York;;;
Hole In One Restaurant;1003 2nd Ave;New York;;;
Holiday Cocktail Lng & Restaurant;75 Saint Marks Pl;New York;;;
Holidays;333 W 57th St;New York;;;
Hollywood Coffee Shop;574 Avenue Of The Americas;New York;;;
Holy Basil Thai Bar & Rstrnt;149 2nd Ave;New York;;;
Home Front Inc;236 W 54th St;New York;;;
Home Restaurant;20 Cornelia St;New York;;;
Homer Restaurant;121 W 10th St;New York;;;
Homes Kitchen;22 E 21st St # 1;New York;;;
Hometowen Buffet;Buffet;;;;
Honey Bee Cafe;71 W 55th St # 1;New York;;;
Hong Am Restaurant;3668 Broadway;New York;;;
Hong Cheong Kitchen;2393 8th Ave;New York;;;
Hong Fat Restaurant;1799 Lexington Ave;New York;;;
Hong Kong Kitchen;62 Bleecker St;New York;;;
Hong Kong Noodle Inc;288 8th Ave;New York;;;
Hong Kong Restaurant;2262 8th Ave # Main;New York;;;
Hong On;28 Market St;New York;;;
Hong Win;4 E 28th St;New York;;;
Hong Ying Rice Shop;11 Mott St;New York;;;
Honmura An Inc;170 Mercer St;New York;;;
Honolulu Steamshop Co;270 W 45th St;New York;;;
Hooters Restaurant;211 W 56th St;New York;;;
Hop Fat Chinese Restaurant;175 Avenue C;New York;;;
Hop Kee Restaurant;21 Mott St;New York;;;
Hop Shing Restaurant Inc;9 Chatham Sq;New York;;;
Hop Won Restaurant;139 E 45th St;New York;;;
Hoppin Jalapenos Bar & Grill;597 W 207th St;New York;;;
Horus Kebab House;93 Avenue B (6th Street);New York;;;
Horus Lounge II;510 La Guardia Place;New York;;;
Hos Kitchen;793 6th Ave;New York;;;
Hos Wok Restaurant;455 Hudson St;New York;;;
Hosteria Florella Italian Seafd;Italian;;;;
Hot & Crusty Bagel Cafe;1707 Broadway;New York;;;
Hot & Tasty Corp;509 3rd Ave # 34;New York;;;
Hot Tomato;676 6th Ave;New York;;;
Hotel Parker Meridien;118 W 57th St;New York;;;
Houlihan's - Riese Restaurant;1900 Broadway Lbby;New York;;;
Houlihans;196 Broadway;New York;;;
Hour Glass Tavern;373 W 46th St;New York;;;
House Of Pita;32 W 48th St;New York;;;
