TimeOut	#1 Farmer’s Market	1458 Second Ave,  at 76th St,  Upper East Side,  (212-396-2626) 
TimeOut	Madras Café	Indian 	79 Second Ave,  between 4th and 5th Sts,  East Village,  (212-254-8002) 
TimeOut	Madras Café 	79 Second Ave,  between 4th and 5th Sts,  East Village,  (212-254-8002) 
TimeOut	Madras Café 	Indian 	79 Second Ave,  between 4th and 5th Sts,  East Village,  (212-254-8002) 
TimeOut	Madras Café   	79 Second Ave,  between 4th and 5th Sts,  East Village,  (212-254-8002) 	 Indian 
TimeOut	Madras Mahal	104 Lexington Ave,  between 27th and 28th Sts,  Gramercy/Flatiron,  (212-684-4010) 
TimeOut	Madras Mahal	Indian 	104 Lexington Ave,  between 27th and 28th Sts,  Gramercy/Flatiron,  (212-684-4010) 
TimeOut	Madras Mahal 	104 Lexington Ave,  between 27th and 28th Sts,  Gramercy/Flatiron,  (212-684-4010) 
TimeOut	Madras Mahal 	Indian 	104 Lexington Ave,  between 27th and 28th Sts,  Gramercy/Flatiron,  (212-684-4010) 
TimeOut	Madras Mahal   	104 Lexington Ave,  between 27th and 28th Sts,  Gramercy/Flatiron,  (212-684-4010) 	 Indian 
TimeOut	Maffei Pizza	688 Sixth Ave,  at 22nd St,  Chelsea,  (212-929-0949) 
TimeOut	Maffei Pizza	Italian: Pizza 	688 Sixth Ave,  at 22nd St,  Chelsea,  (212-929-0949) 
TimeOut	Maffei Pizza 	688 Sixth Ave,  at 22nd St,  Chelsea,  (212-929-0949) 
TimeOut	Maffei Pizza 	Italian: Pizza 	688 Sixth Ave,  at 22nd St,  Chelsea,  (212-929-0949) 
TimeOut	Maffei Pizza   	688 Sixth Ave,  at 22nd St,  Chelsea,  (212-929-0949) 	 Italian: Pizza 
TimeOut	Magnolia Bakery	1240 Sixth Ave,  at 49th St,  Midtown West,  (212-767-1123) 
TimeOut	Magnolia Bakery	200 Columbus Ave,  at 69th St,  Upper West Side,  (212-724-8101) 
TimeOut	Magnolia Bakery	401 Bleecker St,  at Bank St,  West Village,  (212-462-2572) 
TimeOut	Magnolia Bakery	Food or Beverage Shop 	1240 Sixth Ave,  at 49th St,  Midtown West,  (212-767-1123) 
TimeOut	Magnolia Bakery	Food or Beverage Shop 	200 Columbus Ave,  at 69th St,  Upper West Side,  (212-724-8101) 
TimeOut	Magnolia Bakery	Food or Beverage Shop 	401 Bleecker St,  at Bank St,  West Village,  (212-462-2572) 
TimeOut	Magnolia Bakery 	1240 Sixth Ave,  at 49th St,  Midtown West,  (212-767-1123) 
TimeOut	Magnolia Bakery 	200 Columbus Ave,  at 69th St,  Upper West Side,  (212-724-8101) 
TimeOut	Magnolia Bakery 	401 Bleecker St,  at Bank St,  West Village,  (212-462-2572) 
TimeOut	Magnolia Bakery 	Food or Beverage Shop 	1240 Sixth Ave,  at 49th St,  Midtown West,  (212-767-1123) 
TimeOut	Magnolia Bakery 	Food or Beverage Shop 	200 Columbus Ave,  at 69th St,  Upper West Side,  (212-724-8101) 
TimeOut	Magnolia Bakery 	Food or Beverage Shop 	401 Bleecker St,  at Bank St,  West Village,  (212-462-2572) 
TimeOut	Magnolia Bakery   	1240 Sixth Ave,  at 49th St,  Midtown West,  (212-767-1123) 	 Food or Beverage Shop 
TimeOut	Magnolia Bakery   	200 Columbus Ave,  at 69th St,  Upper West Side,  (212-724-8101) 	 Food or Beverage Shop 
TimeOut	Magnolia Bakery   	401 Bleecker St,  at Bank St,  West Village,  (212-462-2572) 	 Food or Beverage Shop 
TimeOut	Mai House	186 Franklin St,  between Greenwich and Hudson Sts,  Tribeca,  (212-431-0606) 
TimeOut	Mai House	Vietnamese 	186 Franklin St,  between Greenwich and Hudson Sts,  Tribeca,  (212-431-0606) 
TimeOut	Mai House 	186 Franklin St,  between Greenwich and Hudson Sts,  Tribeca,  (212-431-0606) 
TimeOut	Mai House 	Vietnamese 	186 Franklin St,  between Greenwich and Hudson Sts,  Tribeca,  (212-431-0606) 
TimeOut	Mai House   	186 Franklin St,  between Greenwich and Hudson Sts,  Tribeca,  (212-431-0606) 	 Vietnamese 
TimeOut	Maia	98 Ave B,  between 6th and 7th Sts,  East Village,  (212-358-1166) 
TimeOut	Maia	Turkish 	98 Ave B,  between 6th and 7th Sts,  East Village,  (212-358-1166) 
TimeOut	Maia 	98 Ave B,  between 6th and 7th Sts,  East Village,  (212-358-1166) 
TimeOut	Maia 	Turkish 	98 Ave B,  between 6th and 7th Sts,  East Village,  (212-358-1166) 
TimeOut	Maia   	98 Ave B,  between 6th and 7th Sts,  East Village,  (212-358-1166) 	 Turkish 
TimeOut	Maison	1700 Broadway,  between 53rd and 54th Sts,  Midtown West,  (212-757-2233) 
TimeOut	Maison	French 	1700 Broadway,  between 53rd and 54th Sts,  Midtown West,  (212-757-2233) 
TimeOut	Maison 	1700 Broadway,  between 53rd and 54th Sts,  Midtown West,  (212-757-2233) 
TimeOut	Maison 	French 	1700 Broadway,  between 53rd and 54th Sts,  Midtown West,  (212-757-2233) 
TimeOut	Maison   	1700 Broadway,  between 53rd and 54th Sts,  Midtown West,  (212-757-2233) 	 French 
TimeOut	Malatesta Trattoria	649 Washington St,  at Christopher St,  West Village,  (212-741-1207) 
TimeOut	Malatesta Trattoria	Italian 	649 Washington St,  at Christopher St,  West Village,  (212-741-1207) 
TimeOut	Malatesta Trattoria 	649 Washington St,  at Christopher St,  West Village,  (212-741-1207) 
TimeOut	Malatesta Trattoria 	Italian 	649 Washington St,  at Christopher St,  West Village,  (212-741-1207) 
TimeOut	Malatesta Trattoria   	649 Washington St,  at Christopher St,  West Village,  (212-741-1207) 	 Italian 
TimeOut	Maloney & Porcelli	37 E 50th St,  between Madison and Park Aves,  Midtown East,  (212-750-2233) 
TimeOut	Maloney & Porcelli	Steakhouses 	37 E 50th St,  between Madison and Park Aves,  Midtown East,  (212-750-2233) 
TimeOut	Maloney & Porcelli 	37 E 50th St,  between Madison and Park Aves,  Midtown East,  (212-750-2233) 
TimeOut	Maloney & Porcelli 	Steakhouses 	37 E 50th St,  between Madison and Park Aves,  Midtown East,  (212-750-2233) 
TimeOut	Maloney & Porcelli   	37 E 50th St,  between Madison and Park Aves,  Midtown East,  (212-750-2233) 	 Steakhouses 
TimeOut	Mamajuana Cafe	247 Dyckman St,  at Seaman Ave,  Inwood,  (212-304-0140) 
TimeOut	Mamajuana Cafe	Latin American 	247 Dyckman St,  at Seaman Ave,  Inwood,  (212-304-0140) 
TimeOut	Mamajuana Cafe 	247 Dyckman St,  at Seaman Ave,  Inwood,  (212-304-0140) 
TimeOut	Mamajuana Cafe 	Latin American 	247 Dyckman St,  at Seaman Ave,  Inwood,  (212-304-0140) 
TimeOut	Mamajuana Cafe   	247 Dyckman St,  at Seaman Ave,  Inwood,  (212-304-0140) 	 Latin American 
TimeOut	Mama’s Food Shop	200 E 3rd St,  between Aves A and B,  East Village,  (212-777-4425) 
TimeOut	Mama’s Food Shop	American Regional 	200 E 3rd St,  between Aves A and B,  East Village,  (212-777-4425) 
TimeOut	Mama’s Food Shop 	200 E 3rd St,  between Aves A and B,  East Village,  (212-777-4425) 
TimeOut	Mama’s Food Shop 	American Regional 	200 E 3rd St,  between Aves A and B,  East Village,  (212-777-4425) 
TimeOut	Mama’s Food Shop   	200 E 3rd St,  between Aves A and B,  East Village,  (212-777-4425) 	 American Regional 
TimeOut	Mama’s Mudsliders (CLOSED)	120 Christopher St,  between Bleecker and Bedford Sts,  West Village,  (646-414-4447) 
TimeOut	Mama’s Mudsliders (CLOSED)	American 	120 Christopher St,  between Bleecker and Bedford Sts,  West Village,  (646-414-4447) 
TimeOut	Mama’s Mudsliders (CLOSED) 	120 Christopher St,  between Bleecker and Bedford Sts,  West Village,  (646-414-4447) 
TimeOut	Mama’s Mudsliders (CLOSED) 	American 	120 Christopher St,  between Bleecker and Bedford Sts,  West Village,  (646-414-4447) 
TimeOut	Mama’s Mudsliders (CLOSED)   	120 Christopher St,  between Bleecker and Bedford Sts,  West Village,  (646-414-4447) 	 American 
TimeOut	Mamlouk (CLOSED)	211 E 4th St,  between Aves A and B,  East Village,  (212-529-3477) 
TimeOut	Mamlouk (CLOSED)	Middle Eastern 	211 E 4th St,  between Aves A and B,  East Village,  (212-529-3477) 
TimeOut	Mamlouk (CLOSED) 	211 E 4th St,  between Aves A and B,  East Village,  (212-529-3477) 
TimeOut	Mamlouk (CLOSED) 	Middle Eastern 	211 E 4th St,  between Aves A and B,  East Village,  (212-529-3477) 
TimeOut	Mamlouk (CLOSED)   	211 E 4th St,  between Aves A and B,  East Village,  (212-529-3477) 	 Middle Eastern 
TimeOut	Mamoun’s Falafel	119 MacDougal St,  between Bleecker and W 3rd Sts,  Greenwich Village,  (212-674-8685) 
TimeOut	Mamoun’s Falafel	22 St. Marks Pl,  between Second and Third Aves,  East Village,  (no phone yet) 
TimeOut	Mamoun’s Falafel	Middle Eastern 	119 MacDougal St,  between Bleecker and W 3rd Sts,  Greenwich Village,  (212-674-8685) 
TimeOut	Mamoun’s Falafel	Middle Eastern 	22 St. Marks Pl,  between Second and Third Aves,  East Village,  (no phone yet) 
TimeOut	Mamoun’s Falafel 	119 MacDougal St,  between Bleecker and W 3rd Sts,  Greenwich Village,  (212-674-8685) 
TimeOut	Mamoun’s Falafel 	22 St. Marks Pl,  between Second and Third Aves,  East Village,  (no phone yet) 
TimeOut	Mamoun’s Falafel 	Middle Eastern 	119 MacDougal St,  between Bleecker and W 3rd Sts,  Greenwich Village,  (212-674-8685) 
TimeOut	Mamoun’s Falafel 	Middle Eastern 	22 St. Marks Pl,  between Second and Third Aves,  East Village,  (no phone yet) 
TimeOut	Mamoun’s Falafel   	119 MacDougal St,  between Bleecker and W 3rd Sts,  Greenwich Village,  (212-674-8685) 	 Middle Eastern 
TimeOut	Mamoun’s Falafel   	22 St. Marks Pl,  between Second and Third Aves,  East Village,  (no phone yet) 	 Middle Eastern 
TimeOut	Mamá Mexico	214 E 49th St,  between Second and Third Aves,  Midtown East,  (212-935-1316) 
TimeOut	Mamá Mexico	2672 Broadway,  between 101st and 102nd Sts,  Upper West Side,  (212-864-2323) 
TimeOut	Mamá Mexico	Mexican 	214 E 49th St,  between Second and Third Aves,  Midtown East,  (212-935-1316) 
TimeOut	Mamá Mexico	Mexican 	2672 Broadway,  between 101st and 102nd Sts,  Upper West Side,  (212-864-2323) 
TimeOut	Mamá Mexico 	214 E 49th St,  between Second and Third Aves,  Midtown East,  (212-935-1316) 
TimeOut	Mamá Mexico 	2672 Broadway,  between 101st and 102nd Sts,  Upper West Side,  (212-864-2323) 
TimeOut	Mamá Mexico 	Mexican 	214 E 49th St,  between Second and Third Aves,  Midtown East,  (212-935-1316) 
TimeOut	Mamá Mexico 	Mexican 	2672 Broadway,  between 101st and 102nd Sts,  Upper West Side,  (212-864-2323) 
TimeOut	Mamá Mexico   	214 E 49th St,  between Second and Third Aves,  Midtown East,  (212-935-1316) 	 Mexican 
TimeOut	Mamá Mexico   	2672 Broadway,  between 101st and 102nd Sts,  Upper West Side,  (212-864-2323) 	 Mexican 
TimeOut	Mana	646 Amsterdam Ave,  between 91st and 92nd Sts,  Upper West Side,  (212-787-1110) 
TimeOut	Mana	Vegetarian & Organic 	646 Amsterdam Ave,  between 91st and 92nd Sts,  Upper West Side,  (212-787-1110) 
TimeOut	Mana 	646 Amsterdam Ave,  between 91st and 92nd Sts,  Upper West Side,  (212-787-1110) 
TimeOut	Mana 	Vegetarian & Organic 	646 Amsterdam Ave,  between 91st and 92nd Sts,  Upper West Side,  (212-787-1110) 
TimeOut	Mana   	646 Amsterdam Ave,  between 91st and 92nd Sts,  Upper West Side,  (212-787-1110) 	 Vegetarian & Organic 
TimeOut	Mandler’s (CLOSED)	601 Eighth Ave,  between 39th and 40th Sts,  Midtown West,  (212-244-4222) 
TimeOut	Mandler’s (CLOSED)	German 	601 Eighth Ave,  between 39th and 40th Sts,  Midtown West,  (212-244-4222) 
TimeOut	Mandler’s (CLOSED) 	601 Eighth Ave,  between 39th and 40th Sts,  Midtown West,  (212-244-4222) 
TimeOut	Mandler’s (CLOSED) 	German 	601 Eighth Ave,  between 39th and 40th Sts,  Midtown West,  (212-244-4222) 
TimeOut	Mandler’s (CLOSED)   	601 Eighth Ave,  between 39th and 40th Sts,  Midtown West,  (212-244-4222) 	 German 
TimeOut	Mandler’s: The Original Sausage Co. (CLOSED)	26 E 17th St,  between Fifth Ave and Broadway,  Gramercy/Flatiron,  (212-255-8999) 
TimeOut	Mandler’s: The Original Sausage Co. (CLOSED)	German 	26 E 17th St,  between Fifth Ave and Broadway,  Gramercy/Flatiron,  (212-255-8999) 
TimeOut	Mandler’s: The Original Sausage Co. (CLOSED) 	26 E 17th St,  between Fifth Ave and Broadway,  Gramercy/Flatiron,  (212-255-8999) 
TimeOut	Mandler’s: The Original Sausage Co. (CLOSED) 	German 	26 E 17th St,  between Fifth Ave and Broadway,  Gramercy/Flatiron,  (212-255-8999) 
TimeOut	Mandler’s: The Original Sausage Co. (CLOSED)   	26 E 17th St,  between Fifth Ave and Broadway,  Gramercy/Flatiron,  (212-255-8999) 	 German 
TimeOut	Mandoo Bar	2 W 32nd St,  between Fifth Ave and Broadway,  Midtown West,  (212-279-3075) 
TimeOut	Mandoo Bar	Korean 	2 W 32nd St,  between Fifth Ave and Broadway,  Midtown West,  (212-279-3075) 
TimeOut	Mandoo Bar 	2 W 32nd St,  between Fifth Ave and Broadway,  Midtown West,  (212-279-3075) 
TimeOut	Mandoo Bar 	Korean 	2 W 32nd St,  between Fifth Ave and Broadway,  Midtown West,  (212-279-3075) 
TimeOut	Mandoo Bar   	2 W 32nd St,  between Fifth Ave and Broadway,  Midtown West,  (212-279-3075) 	 Korean 
TimeOut	Mangez Avec Moi	71-73 West Broadway,  between Murray Warren Sts,  Financial District,  (212-385-0008) 
TimeOut	Mangez Avec Moi	Vietnamese 	71-73 West Broadway,  between Murray Warren Sts,  Financial District,  (212-385-0008) 
TimeOut	Mangez Avec Moi 	71-73 West Broadway,  between Murray Warren Sts,  Financial District,  (212-385-0008) 
TimeOut	Mangez Avec Moi 	Vietnamese 	71-73 West Broadway,  between Murray Warren Sts,  Financial District,  (212-385-0008) 
TimeOut	Mangez Avec Moi   	71-73 West Broadway,  between Murray Warren Sts,  Financial District,  (212-385-0008) 	 Vietnamese 
TimeOut	Mangez Express	71–73 West Broadway,  between Murray and Warren Sts,  Financial District,  (212-385-0008) 
TimeOut	Mangez Express	Vietnamese 	71–73 West Broadway,  between Murray and Warren Sts,  Financial District,  (212-385-0008) 
TimeOut	Mangez Express 	71–73 West Broadway,  between Murray and Warren Sts,  Financial District,  (212-385-0008) 
TimeOut	Mangez Express 	Vietnamese 	71–73 West Broadway,  between Murray and Warren Sts,  Financial District,  (212-385-0008) 
TimeOut	Mangez Express   	71–73 West Broadway,  between Murray and Warren Sts,  Financial District,  (212-385-0008) 	 Vietnamese 
TimeOut	Mangia e Bevi	800 Ninth Ave,  at 53rd St,  Midtown West,  (212-956-3976) 
TimeOut	Mangia e Bevi	Italian 	800 Ninth Ave,  at 53rd St,  Midtown West,  (212-956-3976) 
TimeOut	Mangia e Bevi 	800 Ninth Ave,  at 53rd St,  Midtown West,  (212-956-3976) 
TimeOut	Mangia e Bevi 	Italian 	800 Ninth Ave,  at 53rd St,  Midtown West,  (212-956-3976) 
TimeOut	Mangia e Bevi   	800 Ninth Ave,  at 53rd St,  Midtown West,  (212-956-3976) 	 Italian 
TimeOut	Mangiami	9 Stanton St,  between Bowery and Chrystie St ,  Lower East Side,  (212-477-7047) 
TimeOut	Mangiami	Italian 	9 Stanton St,  between Bowery and Chrystie St ,  Lower East Side,  (212-477-7047) 
TimeOut	Mangiami 	9 Stanton St,  between Bowery and Chrystie St ,  Lower East Side,  (212-477-7047) 
TimeOut	Mangiami 	Italian 	9 Stanton St,  between Bowery and Chrystie St ,  Lower East Side,  (212-477-7047) 
TimeOut	Mangiami   	9 Stanton St,  between Bowery and Chrystie St ,  Lower East Side,  (212-477-7047) 	 Italian 
TimeOut	Mangiarini	1593 Second Ave,  between 82nd and 83rd Sts,  Upper East Side,  (212-734-5500) 
TimeOut	Mangiarini	Italian 	1593 Second Ave,  between 82nd and 83rd Sts,  Upper East Side,  (212-734-5500) 
TimeOut	Mangiarini 	1593 Second Ave,  between 82nd and 83rd Sts,  Upper East Side,  (212-734-5500) 
TimeOut	Mangiarini 	Italian 	1593 Second Ave,  between 82nd and 83rd Sts,  Upper East Side,  (212-734-5500) 
TimeOut	Mangiarini   	1593 Second Ave,  between 82nd and 83rd Sts,  Upper East Side,  (212-734-5500) 	 Italian 
TimeOut	Manhattan Bistro	129 Spring St,  between Greene and Wooster Sts,  Soho,  (212-966-3459) 
TimeOut	Manhattan Bistro	French 	129 Spring St,  between Greene and Wooster Sts,  Soho,  (212-966-3459) 
TimeOut	Manhattan Bistro 	129 Spring St,  between Greene and Wooster Sts,  Soho,  (212-966-3459) 
TimeOut	Manhattan Bistro 	French 	129 Spring St,  between Greene and Wooster Sts,  Soho,  (212-966-3459) 
TimeOut	Manhattan Bistro   	129 Spring St,  between Greene and Wooster Sts,  Soho,  (212-966-3459) 	 French 
TimeOut	Maoz Vegetarian	38 Union Sq East,  between 16th and 17th Sts,  Gramercy/Flatiron,  (212-260-1988) 
TimeOut	Maoz Vegetarian	59 E 8th St,  between Broadway and University Pl,  East Village,  (212-420-5999) 
TimeOut	Maoz Vegetarian	Vegetarian & Organic 	38 Union Sq East,  between 16th and 17th Sts,  Gramercy/Flatiron,  (212-260-1988) 
TimeOut	Maoz Vegetarian	Vegetarian & Organic 	59 E 8th St,  between Broadway and University Pl,  East Village,  (212-420-5999) 
TimeOut	Maoz Vegetarian 	38 Union Sq East,  between 16th and 17th Sts,  Gramercy/Flatiron,  (212-260-1988) 
TimeOut	Maoz Vegetarian 	59 E 8th St,  between Broadway and University Pl,  East Village,  (212-420-5999) 
TimeOut	Maoz Vegetarian 	Vegetarian & Organic 	38 Union Sq East,  between 16th and 17th Sts,  Gramercy/Flatiron,  (212-260-1988) 
TimeOut	Maoz Vegetarian 	Vegetarian & Organic 	59 E 8th St,  between Broadway and University Pl,  East Village,  (212-420-5999) 
TimeOut	Maoz Vegetarian   	38 Union Sq East,  between 16th and 17th Sts,  Gramercy/Flatiron,  (212-260-1988) 	 Vegetarian & Organic 
TimeOut	Maoz Vegetarian   	59 E 8th St,  between Broadway and University Pl,  East Village,  (212-420-5999) 	 Vegetarian & Organic 
TimeOut	Maracas Mexican Bar & Grill	33 Greenwich Ave,  between Sixth and Seventh Aves ,  West Village,  (212-593-6600) 
TimeOut	Maracas Mexican Bar & Grill	Mexican 	33 Greenwich Ave,  between Sixth and Seventh Aves ,  West Village,  (212-593-6600) 
TimeOut	Maracas Mexican Bar & Grill 	33 Greenwich Ave,  between Sixth and Seventh Aves ,  West Village,  (212-593-6600) 
TimeOut	Maracas Mexican Bar & Grill 	Mexican 	33 Greenwich Ave,  between Sixth and Seventh Aves ,  West Village,  (212-593-6600) 
TimeOut	Maracas Mexican Bar & Grill   	33 Greenwich Ave,  between Sixth and Seventh Aves ,  West Village,  (212-593-6600) 	 Mexican 
TimeOut	Mara’s Homemade	342 E 6th St,  between First and Second Aves,  East Village,  (212-598-1110) 
TimeOut	Mara’s Homemade	American Regional 	342 E 6th St,  between First and Second Aves,  East Village,  (212-598-1110) 
TimeOut	Mara’s Homemade 	342 E 6th St,  between First and Second Aves,  East Village,  (212-598-1110) 
TimeOut	Mara’s Homemade 	American Regional 	342 E 6th St,  between First and Second Aves,  East Village,  (212-598-1110) 
TimeOut	Mara’s Homemade   	342 E 6th St,  between First and Second Aves,  East Village,  (212-598-1110) 	 American Regional 
TimeOut	Marbella Restaurant	162 E 33rd St,  between Lexington and Third Aves ,  Midtown East,  (212-725-4499) 
TimeOut	Marbella Restaurant	Spanish 	162 E 33rd St,  between Lexington and Third Aves ,  Midtown East,  (212-725-4499) 
TimeOut	Marbella Restaurant 	162 E 33rd St,  between Lexington and Third Aves ,  Midtown East,  (212-725-4499) 
TimeOut	Marbella Restaurant 	Spanish 	162 E 33rd St,  between Lexington and Third Aves ,  Midtown East,  (212-725-4499) 
TimeOut	Marbella Restaurant   	162 E 33rd St,  between Lexington and Third Aves ,  Midtown East,  (212-725-4499) 	 Spanish 
TimeOut	Marc Forgione	134 Reade St,  between Greenwich and Hudson Sts,  Tribeca,  (212-941-9401) 
TimeOut	Marc Forgione	American 	134 Reade St,  between Greenwich and Hudson Sts,  Tribeca,  (212-941-9401) 
TimeOut	Marc Forgione 	134 Reade St,  between Greenwich and Hudson Sts,  Tribeca,  (212-941-9401) 
TimeOut	Marc Forgione 	American 	134 Reade St,  between Greenwich and Hudson Sts,  Tribeca,  (212-941-9401) 
TimeOut	March (CLOSED)	405 E 58th St,  between First Ave and Sutton Pl,  Midtown East,  (212-754-6272) 
TimeOut	March (CLOSED)	American Creative 	405 E 58th St,  between First Ave and Sutton Pl,  Midtown East,  (212-754-6272) 
TimeOut	March (CLOSED) 	405 E 58th St,  between First Ave and Sutton Pl,  Midtown East,  (212-754-6272) 
TimeOut	March (CLOSED) 	American Creative 	405 E 58th St,  between First Ave and Sutton Pl,  Midtown East,  (212-754-6272) 
TimeOut	March (CLOSED)   	405 E 58th St,  between First Ave and Sutton Pl,  Midtown East,  (212-754-6272) 	 American Creative 
TimeOut	Marco Polo Café	102 St. Marks Pl,  between First Ave and Ave A,  East Village,  (212-228-8456) 
TimeOut	Marco Polo Café	Eclectic 	102 St. Marks Pl,  between First Ave and Ave A,  East Village,  (212-228-8456) 
TimeOut	Marco Polo Café 	102 St. Marks Pl,  between First Ave and Ave A,  East Village,  (212-228-8456) 
TimeOut	Marco Polo Café 	Eclectic 	102 St. Marks Pl,  between First Ave and Ave A,  East Village,  (212-228-8456) 
TimeOut	Marco Polo Café   	102 St. Marks Pl,  between First Ave and Ave A,  East Village,  (212-228-8456) 	 Eclectic 
TimeOut	Mardigras	3 Maiden Ln,  between Broadway and Liberty Pl,  Financial District,  (212-233-6066) 
TimeOut	Mardigras	American Regional 	3 Maiden Ln,  between Broadway and Liberty Pl,  Financial District,  (212-233-6066) 
TimeOut	Mardigras 	3 Maiden Ln,  between Broadway and Liberty Pl,  Financial District,  (212-233-6066) 
TimeOut	Mardigras 	American Regional 	3 Maiden Ln,  between Broadway and Liberty Pl,  Financial District,  (212-233-6066) 
TimeOut	Mardigras   	3 Maiden Ln,  between Broadway and Liberty Pl,  Financial District,  (212-233-6066) 	 American Regional 
TimeOut	Mare	198 Eighth Ave,  at 20th St,  Chelsea,  (212-675-7522) 
TimeOut	Mare	Seafood 	198 Eighth Ave,  at 20th St,  Chelsea,  (212-675-7522) 
TimeOut	Mare 	198 Eighth Ave,  at 20th St,  Chelsea,  (212-675-7522) 
TimeOut	Mare 	Seafood 	198 Eighth Ave,  at 20th St,  Chelsea,  (212-675-7522) 
TimeOut	Mare   	198 Eighth Ave,  at 20th St,  Chelsea,  (212-675-7522) 	 Seafood 
TimeOut	Marfa	101 E 2nd St,  between First Ave and Ave A,  East Village,  (212-673-8908) 
TimeOut	Marfa	American Regional 	101 E 2nd St,  between First Ave and Ave A,  East Village,  (212-673-8908) 
TimeOut	Marfa 	101 E 2nd St,  between First Ave and Ave A,  East Village,  (212-673-8908) 
TimeOut	Marfa 	American Regional 	101 E 2nd St,  between First Ave and Ave A,  East Village,  (212-673-8908) 
TimeOut	Margie’s Red Rose	275 W 144th St,  between Adam Clayton Powell Jr. Blvd,  Harlem,  (212-491-3665) 
TimeOut	Margie’s Red Rose	American Regional 	275 W 144th St,  between Adam Clayton Powell Jr. Blvd,  Harlem,  (212-491-3665) 
TimeOut	Margie’s Red Rose 	275 W 144th St,  between Adam Clayton Powell Jr. Blvd,  Harlem,  (212-491-3665) 
TimeOut	Margie’s Red Rose 	American Regional 	275 W 144th St,  between Adam Clayton Powell Jr. Blvd,  Harlem,  (212-491-3665) 
TimeOut	Margie’s Red Rose   	275 W 144th St,  between Adam Clayton Powell Jr. Blvd,  Harlem,  (212-491-3665) 	 American Regional 
TimeOut	Margon	136 W 46th St,  between Sixth and Seventh Aves,  Midtown West,  (212-354-5013) 
TimeOut	Margon	Caribbean 	136 W 46th St,  between Sixth and Seventh Aves,  Midtown West,  (212-354-5013) 
TimeOut	Margon 	136 W 46th St,  between Sixth and Seventh Aves,  Midtown West,  (212-354-5013) 
TimeOut	Margon 	Caribbean 	136 W 46th St,  between Sixth and Seventh Aves,  Midtown West,  (212-354-5013) 
TimeOut	Margon   	136 W 46th St,  between Sixth and Seventh Aves,  Midtown West,  (212-354-5013) 	 Caribbean 
TimeOut	Marinella	49 Carmine St,  at Bedford St,  West Village,  (212-807-7472) 
TimeOut	Marinella	Italian 	49 Carmine St,  at Bedford St,  West Village,  (212-807-7472) 
TimeOut	Marinella 	49 Carmine St,  at Bedford St,  West Village,  (212-807-7472) 
TimeOut	Marinella 	Italian 	49 Carmine St,  at Bedford St,  West Village,  (212-807-7472) 
TimeOut	Marinella   	49 Carmine St,  at Bedford St,  West Village,  (212-807-7472) 	 Italian 
TimeOut	Mario’s Trattoria	493 Ninth Ave,  between 37th and 38th Sts ,  Midtown West,  (212-239-3394) 
TimeOut	Mario’s Trattoria	Italian 	493 Ninth Ave,  between 37th and 38th Sts ,  Midtown West,  (212-239-3394) 
TimeOut	Mario’s Trattoria 	493 Ninth Ave,  between 37th and 38th Sts ,  Midtown West,  (212-239-3394) 
TimeOut	Mario’s Trattoria 	Italian 	493 Ninth Ave,  between 37th and 38th Sts ,  Midtown West,  (212-239-3394) 
TimeOut	Mario’s Trattoria   	493 Ninth Ave,  between 37th and 38th Sts ,  Midtown West,  (212-239-3394) 	 Italian 
TimeOut	MarkJoseph Steakhouse	261 Water St,  at Peck Slip,  Financial District,  (212-277-0020) 
TimeOut	MarkJoseph Steakhouse	Steakhouses 	261 Water St,  at Peck Slip,  Financial District,  (212-277-0020) 
TimeOut	MarkJoseph Steakhouse 	261 Water St,  at Peck Slip,  Financial District,  (212-277-0020) 
TimeOut	MarkJoseph Steakhouse 	Steakhouses 	261 Water St,  at Peck Slip,  Financial District,  (212-277-0020) 
TimeOut	MarkJoseph Steakhouse   	261 Water St,  at Peck Slip,  Financial District,  (212-277-0020) 	 Steakhouses 
TimeOut	Market Cafe	496 Ninth Ave,  between 37th and 38th Sts,  Midtown West,  (212-564-7350) 
TimeOut	Market Cafe	American 	496 Ninth Ave,  between 37th and 38th Sts,  Midtown West,  (212-564-7350) 
TimeOut	Market Cafe 	496 Ninth Ave,  between 37th and 38th Sts,  Midtown West,  (212-564-7350) 
TimeOut	Market Cafe 	American 	496 Ninth Ave,  between 37th and 38th Sts,  Midtown West,  (212-564-7350) 
TimeOut	Market Cafe   	496 Ninth Ave,  between 37th and 38th Sts,  Midtown West,  (212-564-7350) 	 American 
TimeOut	Market Diner	572 Eleventh Ave,  at 43rd St,  Midtown West,  (212-695-0415) 
TimeOut	Market Diner	American 	572 Eleventh Ave,  at 43rd St,  Midtown West,  (212-695-0415) 
TimeOut	Market Diner 	572 Eleventh Ave,  at 43rd St,  Midtown West,  (212-695-0415) 
TimeOut	Market Diner 	American 	572 Eleventh Ave,  at 43rd St,  Midtown West,  (212-695-0415) 
TimeOut	Market Diner   	572 Eleventh Ave,  at 43rd St,  Midtown West,  (212-695-0415) 	 American 
TimeOut	Market Table	54 Carmine St,  at Bedford St,  West Village,  (212-255-2100) 
TimeOut	Market Table	American 	54 Carmine St,  at Bedford St,  West Village,  (212-255-2100) 
TimeOut	Market Table 	54 Carmine St,  at Bedford St,  West Village,  (212-255-2100) 
TimeOut	Market Table 	American 	54 Carmine St,  at Bedford St,  West Village,  (212-255-2100) 
